科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"659,922,685.20","833,498,198.60","1,069,786,353.24","225,657,103.75","451,896,761.24","720,143,296.85","985,647,701.91","214,113,161.93","504,696,630.46","798,393,522.41","1,146,914,933.42","283,035,043.30","620,374,423.14","1,061,217,725.34","1,525,703,810.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"142,366,656.33","142,366,656.33"
收到的税费返还,,,,,,,,"201,153.18","269,989.83","895,446.37",,"240,396.17","305,488.34","310,566.99","2,826,889.41"
支付其他与投资活动有关的现金,,,,,,,"50,000,000.00","5,000,000.00","5,000,000.00","7,000,000.00",,,,,
收到其他与经营活动有关的现金,"2,407,171.82","8,910,010.68","34,373,810.73","2,985,860.57","5,071,884.69","8,464,560.34","10,747,626.94","4,534,809.94","12,353,091.37","20,496,754.13","30,644,967.45","3,539,640.82","9,244,929.12","17,985,455.37","22,645,719.16"
投资活动现金流出小计,"87,781,373.45","47,722,846.95","25,405,432.74","5,463,905.14","14,798,576.36","24,634,068.61","94,761,914.67","93,751,013.06","137,816,454.19","220,404,524.38","270,903,796.93","16,403,920.99","49,975,573.16","194,859,917.08","213,185,209.34"
经营活动现金流入小计,"662,329,857.02","842,408,209.28","1,104,160,163.97","228,642,964.32","456,968,645.93","728,607,857.19","996,395,328.85","218,849,125.05","517,319,711.66","819,785,722.91","1,177,559,900.87","286,815,080.29","629,924,840.60","1,079,513,747.70","1,551,176,419.37"
投资活动产生的现金流量净额,"-87,507,834.21","-46,782,114.64","-25,392,196.84","-5,456,792.14","-14,684,730.81","-23,670,632.48","-93,739,949.47","-93,751,013.06","-134,816,454.19","-214,354,524.38","-268,339,694.35","-16,403,920.99","-48,553,236.33","-187,084,196.38","-196,859,041.12"
购买商品、接受劳务支付的现金,"402,941,070.08","552,906,869.84","711,966,131.74","186,755,747.15","333,629,807.71","512,463,581.81","657,424,032.99","168,434,263.12","315,626,833.65","477,448,339.62","674,514,875.97","221,972,460.60","427,251,970.21","685,648,922.46","943,010,950.12"
吸收投资收到的现金,,,,,"369,558,700.00","369,558,700.00","369,558,700.00",,,,"4,000,000.00",,,,
支付给职工以及为职工支付的现金,"70,119,444.99","97,614,905.47","169,543,267.53","66,584,412.52","113,893,223.93","151,259,324.21","192,302,747.89","70,012,064.07","118,842,980.96","165,774,296.30","220,512,443.29","89,686,973.81","147,757,622.81","215,324,436.58","284,396,843.41"
取得借款收到的现金,"156,000,000.00","132,000,000.00","215,000,000.00","80,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","70,000,000.00","147,000,000.00","217,000,000.00","237,000,000.00","97,000,000.00","244,000,000.00","382,200,000.00","402,200,000.00"
支付的各项税费,"45,107,784.84","48,378,335.09","63,335,596.59","20,409,024.88","32,633,741.16","36,663,605.37","53,308,149.30","13,055,309.16","29,002,611.05","46,083,193.26","64,658,999.91","19,383,807.56","41,782,066.71","69,414,626.87","94,520,672.41"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"94,024,661.45","95,758,424.94","103,323,022.87","25,416,191.20","49,125,527.40","77,480,929.56","99,948,302.41","25,920,223.13","56,925,815.89","94,643,647.38","132,890,874.72","34,636,320.95","73,882,373.58","124,293,947.30","173,111,267.75"
筹资活动现金流入小计,"156,000,000.00","132,000,000.00","215,000,000.00","80,000,000.00","459,558,700.00","459,558,700.00","459,558,700.00","70,000,000.00","147,000,000.00","217,000,000.00","241,000,000.00","97,000,000.00","244,000,000.00","382,200,000.00","402,200,000.00"
经营活动现金流出小计,"612,192,961.36","794,658,535.34","1,048,168,018.73","299,165,375.75","529,282,300.20","777,867,440.95","1,002,983,232.59","277,421,859.48","520,398,241.55","783,949,476.56","1,092,577,193.89","365,679,562.92","690,674,033.31","1,094,681,933.21","1,495,039,733.69"
偿还债务支付的现金,"135,300,000.00","103,000,000.00","177,000,000.00","60,000,000.00","170,000,000.00","250,000,000.00","250,000,000.00",,,,"20,000,000.00","50,000,000.00","147,000,000.00","197,000,000.00","217,000,000.00"
经营活动产生的现金流量净额,"50,136,895.66","47,749,673.94","55,992,145.24","-70,522,411.43","-72,313,654.27","-49,259,583.76","-6,587,903.74","-58,572,734.43","-3,078,529.89","35,836,246.35","84,982,706.98","-78,864,482.63","-60,749,192.71","-15,168,185.51","56,136,685.68"
分配股利、利润或偿还利息支付的现金,"10,682,732.62","21,576,732.56","23,265,913.61","2,330,102.60","19,697,441.15","19,972,027.77","19,952,607.37","51,497.90","14,235,543.60","16,008,296.80","18,576,689.73","2,650,513.62","22,861,109.14","28,207,653.40","32,743,332.84"
收回投资收到的现金,,,,,,,,,,,,,,,"14,841,521.37"
支付其他与筹资活动有关的现金,"700,000.00","530,000.00","300,000.00",,"3,249,000.00","51,589,000.00","7,939,000.00",,"2,700,000.00","3,000,000.00","2,950,000.00",,,,"250,000.00"
取得投资收益收到的现金,"18,023.35",,,,,,,,,,,,"1,081,143.60","7,434,527.47","1,081,143.60"
筹资活动现金流出小计,"146,682,732.62","125,106,732.56","200,565,913.61","62,330,102.60","192,946,441.15","321,561,027.77","277,891,607.37","51,497.90","16,935,543.60","19,008,296.80","41,526,689.73","52,650,513.62","169,861,109.14","225,207,653.40","249,993,332.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"255,515.89","940,732.31","13,235.90","7,113.00","113,845.55","963,436.13","1,021,965.20",,"3,000,000.00","3,000,000.00","2,564,102.58",,"341,193.23","341,193.23","403,503.25"
筹资活动产生的现金流量净额,"9,317,267.38","6,893,267.44","14,434,086.39","17,669,897.40","266,612,258.85","137,997,672.23","181,667,092.63","69,948,502.10","130,064,456.40","197,991,703.20","199,473,310.27","44,349,486.38","74,138,890.86","156,992,346.60","152,206,667.16"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-1,158,789.21","-776,987.24","-510,909.85","-78,999.83","-303,816.34","313,930.02","388,186.04","564,072.07","1,301,876.44","-129,304.89","572,603.07","93,961.21","-2,279,283.93"
收到其他与投资活动有关的现金,,,,,,,,,,"3,050,000.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"273,539.24","940,732.31","13,235.90","7,113.00","113,845.55","963,436.13","1,021,965.20",,"3,000,000.00","6,050,000.00","2,564,102.58",,"1,422,336.83","7,775,720.70","16,326,168.22"
五、现金及现金等价物净增加额,"-28,053,671.17","7,860,826.74","43,875,245.58","-59,086,293.41","179,102,963.92","64,988,456.16","81,035,423.08","-82,061,315.37","-7,442,341.64","20,037,497.24","17,418,199.34","-51,048,222.13","-34,590,935.11","-45,166,074.08","9,205,027.79"
购建固定资产、无形资产和其他长期资产支付的现金,"87,781,373.45","47,722,846.95","25,405,432.74","5,463,905.14","14,798,576.36","24,634,068.61","44,761,914.67","73,551,417.13","88,116,858.26","118,704,928.45","127,930,050.38","8,403,920.99","31,975,573.16","44,493,260.75","61,718,553.01"
期初现金及现金等价物余额,"100,127,506.46","72,073,835.29","79,934,662.03","123,809,907.61","123,809,907.61","123,809,907.61","123,809,907.61","204,845,330.69","204,845,330.69","204,845,330.69","204,845,330.69","222,263,530.03","222,263,530.03","222,263,530.03","222,263,530.03"
投资支付的现金,,,,,,,,"15,199,595.93","44,699,595.93","94,699,595.93","142,973,746.55","8,000,000.00","18,000,000.00","8,000,000.00","9,100,000.00"
期末现金及现金等价物余额,"72,073,835.29","79,934,662.03","123,809,907.61","64,723,614.20","302,912,871.53","188,798,363.77","204,845,330.69","122,784,015.32","197,402,989.05","224,882,827.93","222,263,530.03","171,215,307.90","187,672,594.92","177,097,455.95","231,468,557.82"
