科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"259,394,310.40","314,607,331.78","341,849,058.77","640,763,394.81","642,253,049.45","667,014,804.86","610,501,973.64","593,726,562.74","545,129,087.27","227,740,105.51","233,015,522.10","206,008,914.14","112,995,705.14","209,184,828.77","162,846,210.06","444,297,274.36","465,581,016.94","426,425,063.99","568,381,864.74","531,188,250.25","467,041,966.87","435,137,086.02","385,469,438.62","342,534,992.31","237,276,561.98"
短期借款,"100,634,540.79","99,130,201.46","208,178,305.51","163,277,324.83","111,384,017.52","113,941,138.29","97,084,674.05","101,690,868.85","81,124,621.32","50,350,654.69","45,124,836.68","59,257,211.27","66,878,777.89","111,850,229.60","108,248,604.70","48,064,171.00","43,375,641.72",,,,,,,"6,076,711.32","8,608,006.20"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"48,116,306.85","55,562,850.94","289,968,788.55","198,597,136.82","188,815,396.28","210,059,244.80","191,122,452.93","225,866,404.86","269,440,135.83","177,021,601.95","197,898,247.43","241,247,377.47","231,387,957.63","208,081,039.21","222,817,887.61","160,312,074.26","180,431,173.53","172,716,154.47","197,481,361.39","193,332,804.20","182,992,189.07","163,922,367.31","186,916,728.99","207,938,314.95","225,430,149.29"
应付票据,"93,990,440.00","111,909,060.70","241,821,202.90","182,480,930.20","214,490,622.50","216,676,861.20","188,000,517.00","174,860,811.70","167,927,319.60","222,555,248.40","234,469,751.40","210,704,624.00","241,068,978.30","213,523,142.46","157,006,890.01","151,471,668.71","172,590,188.06","211,753,505.29","202,330,586.39","194,047,657.36","155,157,356.19","128,388,306.43","189,353,512.07","231,986,299.57","227,949,054.25"
应收账款,"204,154,444.66","279,369,903.99","281,457,026.55","297,754,336.49","312,193,003.24","284,465,016.15","309,697,170.57","323,821,623.79","314,246,827.20","313,734,975.35","302,495,800.86","324,707,379.31","351,634,365.50","333,544,671.46","291,775,814.04","285,009,252.84","289,652,600.75","318,496,967.67","284,231,807.20","290,608,976.86","264,213,239.20","271,981,029.66","281,600,882.38","305,864,371.22","307,887,962.02"
应付账款,"100,808,751.12","157,171,977.18","167,463,149.53","179,019,296.48","179,696,640.44","175,510,060.16","179,651,431.90","208,850,213.00","172,292,637.97","144,658,048.49","135,694,602.40","137,977,668.40","190,378,460.86","158,553,506.62","132,066,110.49","127,327,991.66","101,612,550.10","113,468,480.33","108,058,249.18","133,722,226.82","130,623,805.05","114,653,106.77","147,613,024.00","107,170,465.94","167,580,945.69"
预付款项,"32,257,784.90","32,373,435.34","5,720,758.92","4,098,700.44","4,459,344.87","4,840,425.90","2,306,747.30","12,780,941.11","1,464,375.64","1,293,580.34","2,944,181.31","1,153,975.26","3,580,264.59","1,708,629.48","1,844,413.26","26,984,303.99","9,439,200.65","17,351,903.11","42,891,783.11","46,852,627.98","40,493,608.93","14,949,306.49","31,534,630.76","1,905,141.50","32,853,914.38"
预收款项,"199,076.75","1,660,276.84","3,538,892.45","767,189.77","1,647,884.34","410,555.25","514,949.12","2,739,473.50","1,652,195.84","773,457.25","1,113,086.47","1,325,389.36","817,116.45","416,725.61","461,595.74","852,526.22","917,740.13","90,390.41","1,510,886.83","651,008.32","452,165.35","1,307,043.47","2,000,077.88","1,370,288.68","3,277,519.39"
其他应收款,"5,535,213.12","5,012,685.02","2,290,610.41","1,488,128.10","972,994.19","476,063.44","127,957.01","218,460.79","91,075.79","272,865.76","203,580.00","1,687,074.12","1,594,415.80","429,417.84","336,024.62","207,977.44","557,141.89","3,429,803.32","7,532,066.45","568,455.32","568,633.32","620,392.68","456,559.57","459,252.47","114,210.87"
应付职工薪酬,"1,016,013.13","2,070,618.46","2,478,002.42","1,781,187.32","2,403,043.84","5,810,271.35","6,207,516.38","10,147,597.26","9,194,648.08","13,067,024.38","10,327,991.47","11,926,314.97","10,767,003.30","12,513,727.58","9,701,292.47","10,987,635.01","5,374,812.90","9,886,504.83","5,906,028.16","7,236,006.09","5,133,076.57","6,860,629.18","4,799,722.78","6,152,658.10","4,987,295.39"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,133,052.17","2,506,042.49","8,142,704.42","2,305,745.36","2,111,258.31","8,263,595.85","2,759,751.46","1,374,498.31","6,030,076.48","4,962,497.47","4,322,614.85","8,852,926.74","3,579,585.27","6,591,013.38","1,971,622.27","330,091.95","2,226,997.69","2,813,244.84","508,129.21","-3,970,243.95","-18,506,450.59","3,045,744.41","1,116,308.18","3,159,066.06","9,817,988.33"
应收利息,,,,,,,,,,"3,181,456.39","5,358,177.54","6,939,657.40","8,497,351.16","7,441,979.49","4,612,005.13","3,189,205.55","4,902,978.15","5,773,479.95","6,216,900.20","4,138,650.50","2,541,995.44","1,205,910.90","1,308,508.66","1,762,464.01","1,260,400.13"
应付利息,,,,,,,,,,"95,324.71",,"126,062.00","79,981.56","93,063.37",,"171,587.74","193,795.20",,,,,,,"7,426.78","35,267.34"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"22,173,910.80",,,"12,000,000.00","6,075,000.00","4,209,482.54","6,784,149.72",,,,"20,800,000.00",,,,"19,000,000.00",,,,"14,082,731.09","726,011.09","726,008.40","435,605.04","629,799.48","629,799.48"
存货,"58,759,800.62","84,831,603.95","99,709,861.76","105,966,738.84","97,384,093.57","92,151,081.80","114,642,862.17","102,176,942.98","79,457,308.31","87,357,882.79","79,086,528.64","71,128,397.49","111,364,680.35","86,785,679.04","75,572,151.43","80,008,387.55","69,768,614.71","62,660,485.86","64,163,587.65","76,472,447.22","65,145,365.51","52,830,366.34","84,057,158.89","59,494,615.70","76,533,433.32"
其他应付款,"2,761,479.05","4,055,914.55","2,620,530.80","3,774,506.07","3,378,037.31","2,871,123.23","3,298,857.48","3,038,254.58","3,173,224.67","979,657.96","957,208.15","1,071,430.51","683,412.40","751,960.58","647,071.29","603,983.60","738,512.52","18,201,338.25","729,152.20","688,164.82","1,101,691.95","216,417,543.52","180,388,509.31","132,041,385.28","106,074,325.62"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"22,683,240.00",,,,,,,,,,,,,,,"14,280.00","7,212.00",,,,,,
其他流动资产,"82,488.00","57,750.00","49,735.00","60,443.50","58,132.00","69,193.50","63,207.00","69,823.50","82,017.00","413,992,357.54","413,592,017.00","395,069,823.50","504,751,121.46","481,716,918.45","493,541,320.70","180,378,531.50","140,081,479.00","162,390,002.27","25,086,367.50","49,000,000.00","41,852,876.70","46,576,751.33","69,409,847.55","68,368,512.44","110,644,380.30"
其他流动负债,"4,039,597.43","6,201,681.40","7,117,925.61","7,524,763.35","10,491,772.85","9,172,636.69","9,647,341.78","10,082,368.89","12,829,137.33","12,966,663.60","12,626,245.56","9,828,660.08","9,655,216.19","10,907,222.58","12,050,497.74","7,501,651.48","9,466,801.85","8,620,540.68","8,120,842.25","9,063,647.70","7,847,481.71","11,025,069.51","10,350,223.33","9,459,293.82","11,666,494.03"
流动资产合计,"608,300,348.55","771,815,561.02","1,021,045,839.96","1,248,728,879.00","1,246,136,013.60","1,259,075,830.45","1,228,462,370.62","1,258,660,759.77","1,209,910,827.04","1,224,594,825.63","1,234,594,054.88","1,247,942,598.69","1,325,805,861.63","1,328,893,163.74","1,253,345,826.85","1,180,387,007.49","1,160,414,205.62","1,169,243,860.64","1,195,985,738.24","1,192,162,212.33","1,064,849,875.04","987,223,210.73","1,040,753,755.42","988,327,664.60","992,001,012.29"
流动负债合计,"302,316,846.10","406,879,683.88","664,043,953.64","540,930,943.38","537,603,277.11","538,731,242.02","491,374,521.71","519,568,235.81","454,223,861.29","450,408,576.95","444,636,336.98","461,870,287.33","523,908,532.22","515,200,591.78","422,153,684.71","366,311,307.37","336,497,040.17","364,848,284.63","327,171,086.22","355,521,198.25","282,535,137.32","482,423,451.69","536,056,982.59","498,053,395.03","540,626,695.72"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"24,581,520.00","23,841,720.00",,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,"106,201.61","98,999.19","91,859.19","99,960.00","92,820.00","85,680.00","78,540.00","71,400.00","64,260.00","57,120.00","49,980.00","42,840.00","35,700.00","28,560.00","23,800.00",,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"117,289,542.81","105,312,274.57","83,065,597.92","76,187,228.78","76,499,685.77","76,777,434.81","75,540,057.64","74,714,151.13","74,322,228.13","78,156,436.22","77,191,214.78","75,799,982.27","75,257,466.22","74,235,720.54","73,232,472.70","72,130,359.02","72,751,255.47","72,236,893.09","70,961,653.55","70,249,616.86","68,923,752.32","70,109,310.33","69,456,942.23","71,085,702.26","170,871,906.13"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"11,783,683.01","3,164,449.63","7,520,201.82","6,605,556.55","7,131,961.68","6,610,336.05","6,959,713.53","7,209,866.53","8,011,099.02","4,295,147.66","5,269,034.84","6,006,084.42","8,292,474.07","10,017,037.75","10,402,539.76","21,731,153.72","23,319,285.44","49,782,570.24","55,841,402.01","65,495,391.46","129,243,439.76","417,709,792.04","430,609,766.20","434,851,539.43","395,037,376.70"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
