科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"408,618,074.77","416,874,020.29","460,604,716.05","122,874,192.95","251,367,503.49","396,400,767.56","522,929,888.33","138,688,003.09","282,892,001.71","448,606,071.30","588,646,524.86","148,693,056.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"12,348,896.14","22,958,297.55","22,783,912.74","4,237,873.65","10,386,030.97","20,380,074.96","21,972,201.79","8,565,443.89","18,569,873.77","27,717,586.04","32,630,838.05","7,684,353.82"
投资活动现金流出小计,"21,829,871.69","9,472,029.13","17,337,542.62","62,822,397.91","233,096,952.22","555,703,039.73","570,688,679.72","222,999,134.58","474,905,580.24","626,126,935.29","639,973,155.77","197,451,236.62"
经营活动现金流入小计,"420,966,970.91","439,832,317.84","483,388,628.79","127,112,066.60","261,753,534.46","416,780,842.52","544,902,090.12","147,253,446.98","301,461,875.48","476,323,657.34","621,277,362.91","156,377,409.82"
投资活动产生的现金流量净额,"-21,818,895.69","-8,991,955.63","-17,238,657.68","-62,819,375.91","-97,267,082.36","-238,537,223.89","-26,517,037.79","-212,147,031.25","-230,508,963.85","-143,790,062.98","-35,946,408.70","-197,450,306.62"
购买商品、接受劳务支付的现金,"120,479,831.13","118,948,713.05","129,418,907.73","30,242,955.75","68,751,806.93","105,420,393.08","138,842,671.75","54,206,515.14","107,453,456.15","160,864,010.92","210,320,559.53","45,993,537.27"
吸收投资收到的现金,,,,"210,853,500.00","210,853,500.00","210,853,500.00","187,003,500.00","4,000,000.00","17,624,600.00","17,624,600.00","17,624,600.00",
支付给职工以及为职工支付的现金,"87,388,158.50","94,059,774.04","103,420,789.46","28,078,720.42","59,927,035.71","90,604,755.47","123,158,134.93","32,215,967.21","66,389,028.16","101,260,429.70","134,467,620.24","36,022,331.70"
取得借款收到的现金,"310,000.00",,,,,,,,,,,
支付的各项税费,"57,425,276.57","66,379,924.15","65,238,707.29","15,225,641.84","35,348,404.77","52,934,272.43","73,898,389.49","15,922,968.65","41,305,005.31","54,584,481.99","72,797,464.50","12,060,266.44"
收到其他与筹资活动有关的现金,,,,,,,"1,000,000.00",,,,,
支付其他与经营活动有关的现金,"98,270,827.91","112,433,922.32","118,199,563.87","33,174,716.09","68,733,099.05","106,760,642.20","147,297,646.91","39,667,885.17","79,037,589.68","126,437,583.43","166,732,854.10","45,243,285.58"
筹资活动现金流入小计,"310,000.00",,,"210,853,500.00","210,853,500.00","210,853,500.00","188,003,500.00","4,000,000.00","17,624,600.00","17,624,600.00","17,624,600.00",
经营活动现金流出小计,"363,564,094.11","391,822,333.56","416,277,968.35","106,722,034.10","232,760,346.46","355,720,063.18","483,196,843.08","142,013,336.17","294,185,079.30","443,146,506.04","584,318,498.37","139,319,420.99"
偿还债务支付的现金,"310,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"57,402,876.80","48,009,984.28","67,110,660.44","20,390,032.50","28,993,188.00","61,060,779.34","61,705,247.04","5,240,110.81","7,276,796.18","33,177,151.30","36,958,864.54","17,057,988.83"
