科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,795,156.89","3,579,649.51","40,453,300.34","53,767,067.32","59,029,981.80","551,026,127.82","554,861,229.82","543,320,294.90","559,225,247.98","559,690,542.81","544,150,120.93","516,212,768.52","484,677,992.96","281,841,294.80","240,376,796.23","215,641,653.29","216,498,316.74","192,867,738.53","166,324,353.64","128,098,492.47","174,444,052.18","167,248,213.17","181,954,227.99","189,211,380.67","171,464,280.52","241,775,945.05","371,638,221.41","360,280,207.01","290,799,346.95","560,237,781.81","968,326,904.92","864,633,437.28","786,485,884.70"
短期借款,,,"10,000,000.00","15,293,126.42","11,552,754.11",,,,"4,753,092.66","13,723,728.68","34,099,698.88","34,265,475.97","29,677,003.94","62,223,267.84","60,745,641.00","31,690,235.99","20,884,006.00","37,800,780.00","35,467,606.89","35,315,434.62","129,331,577.63","164,101,901.90","222,426,503.89","255,384,858.15","278,069,123.55","262,041,055.36","227,292,500.00","237,943,200.00","271,655,800.00","457,287,236.12","504,995,800.00","560,732,684.03","1,096,898,390.35"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,411,516.97","3,093,617.22","6,964,855.11","7,093,508.11","11,735,957.06","12,937,587.48","19,599,126.21","12,537,401.02","14,968,192.37","22,723,478.23","23,533,482.20","20,982,550.28","16,875,078.98","12,897,773.02","16,427,068.62","15,947,023.98","11,399,995.28","14,324,690.18","9,691,739.24","18,504,041.64","17,640,859.07","29,766,468.94","11,750,370.50","7,079,423.34","8,945,258.26","15,123,478.37","11,471,606.37","9,380,633.63","14,176,183.51","9,506,225.04","7,742,508.66","11,417,001.66","125,082,462.57"
应付票据,,,"463,143.97","23,546.77","23,546.77",,,,,,,,,,,"4,346,547.59",,,"49,870,800.00","49,870,800.00","16,000,000.00","23,400,000.00","7,400,000.00","7,657,956.00","6,755,026.05","4,533,581.25","714,791.85","493,356.15",,"20,000,000.00",,,"24,516,915.68"
应收账款,"2,409,386.15","12,575,237.70","19,807,544.21","29,683,249.04","30,441,810.75","31,090,298.50","25,502,866.91","42,873,191.48","47,066,578.99","44,845,993.91","45,464,137.05","39,422,188.05","93,019,508.66","148,336,744.99","94,918,254.87","105,420,149.44","97,214,351.68","155,306,016.00","232,294,928.94","268,308,954.63","248,863,381.81","234,209,033.77","267,296,306.73","303,239,320.20","479,955,869.39","476,553,147.02","458,207,588.71","590,713,463.61","945,452,537.43","1,123,744,099.53","996,070,789.95","1,111,387,195.65","1,439,094,816.33"
应付账款,"6,414,780.54","10,909,761.90","15,747,088.06","10,529,263.93","13,128,471.41","11,235,044.33","5,709,950.54","7,183,660.43","11,584,471.85","9,744,634.10","8,030,540.64","10,040,809.67","69,791,082.68","94,677,326.18","35,268,196.37","42,227,719.69","72,422,539.45","113,261,039.79","92,482,447.98","87,853,042.52","140,093,162.05","139,323,406.69","134,433,832.65","160,413,522.77","251,861,161.45","198,726,792.74","196,228,717.52","264,710,890.94","505,715,724.56","409,436,988.06","354,994,504.08","458,607,813.73","571,126,998.64"
预付款项,"1,586,938.67","2,548,596.63","2,469,276.87","1,950,054.63","2,290,190.81","1,242,304.99","4,110,477.54","3,266,324.89","6,903,768.62","22,549,024.83","48,133,191.89","12,989,357.34","10,848,984.24","15,764,412.27","23,626,976.11","19,320,606.02","15,485,046.42","6,874,302.32","6,577,263.87","13,946,122.65","11,978,435.16","30,957,034.17","46,465,507.04","71,944,256.62","49,390,553.77","24,432,305.45","18,342,510.81","19,210,474.02","161,023,131.35","39,799,071.11","39,406,957.25","46,274,756.13","29,623,527.47"
预收款项,"3,553,197.41","1,243,580.97","826,687.33","679,494.61","156,227.61","932,850.59","135,208.02","1,052,882.45","128,122.23","956,456.45",,,,"467,984.47",,,,"163,186.13",,"334,349.49","334,333.19","675,732.85","1,660,931.36","3,997,399.85","6,574,517.48","2,367,688.56","2,448,838.03","2,843,200.50","2,655,431.68","1,248,960.84","8,068,150.80","1,555,157.51","6,579,882.55"
