科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"48,005,627.70","39,017,218.11","53,631,521.21","53,517,619.40","190,630,061.43","189,534,438.94","185,417,644.37","188,839,022.49","205,690,935.19","220,804,099.84","221,284,999.49","228,739,784.17","215,851,594.68","223,329,114.16","237,593,835.97","223,755,522.82","209,161,336.50","182,643,207.07"
短期借款,,"24,000,000.00","9,500,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,"5,000,000.00","5,000,000.00",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"2,862,822.81","1,361,000.00","2,357,896.20","4,271,209.28","1,801,200.00","3,451,236.79","2,599,517.62","3,790,944.49","3,438,498.39","3,378,772.48","2,120,552.89","2,096,203.83","4,329,618.11","3,275,418.48","1,542,527.02","5,148,583.21","3,355,927.02","1,457,722.00"
应付票据,"9,578,818.66","7,473,329.43","16,717,013.17","4,053,471.79","8,398,960.61","9,085,911.25","2,068,767.95","8,918,210.92","5,478,517.85","10,688,281.85","7,392,233.52","14,472,228.26","18,976,562.62","16,450,250.83","16,371,170.57","26,853,676.42","23,733,610.32","28,841,408.52"
应收账款,"72,724,683.97","85,521,652.80","94,056,571.87","106,391,077.67","110,173,193.09","105,916,246.44","96,641,309.35","124,740,034.80","120,990,505.71","100,292,978.03","94,294,867.28","123,020,465.80","151,562,359.97","160,329,771.62","140,870,619.56","156,946,146.47","193,589,899.81","201,298,334.02"
应付账款,"48,853,607.80","41,630,937.78","48,196,258.28","61,188,379.34","60,771,761.18","53,913,962.80","51,046,681.26","55,327,168.15","59,336,406.50","45,336,416.68","52,717,609.19","74,191,267.36","84,181,473.67","80,977,708.90","96,109,380.49","132,179,722.22","141,784,314.04","113,621,819.60"
预付款项,"9,456,675.31","15,374,524.06","2,114,883.36","3,077,425.25","3,481,128.46","5,442,928.10","6,373,943.94","5,995,484.40","6,197,358.97","1,592,281.86","2,395,698.36","2,645,375.57","3,213,508.75","2,093,798.09","1,078,344.22","1,453,972.60","1,440,290.21","1,217,799.20"
预收款项,"11,714,063.39","6,851,178.89","10,247,440.03","15,780,081.21","15,615,872.57","13,907,834.54","16,655,767.44","13,130,225.54","11,680,589.74","8,203,081.59","8,599,270.75","13,536,940.09","15,574,320.49","14,793,509.11","20,601,656.47","27,095,318.51","35,232,628.73","27,696,049.96"
其他应收款,"996,678.30","693,732.43","494,564.70","1,386,515.87","1,816,742.02","1,054,269.91","576,213.60","641,457.03","1,633,188.27","2,667,296.12","3,391,547.23","3,355,280.28","3,571,764.76","3,550,026.85","5,118,072.89","2,192,292.55","3,276,261.45","2,583,310.08"
应付职工薪酬,"2,551,607.00","2,471,864.02","3,036,837.00","3,548,630.00","3,382,485.00","3,469,555.10","3,514,404.00","5,078,060.50","4,341,499.31","4,023,681.98","3,942,542.08","4,968,352.30","4,958,571.74","5,240,907.27","6,259,652.81","9,492,925.73","13,273,971.81","14,639,702.94"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"4,993,294.67","1,577,898.26","3,354,337.38","6,964,668.31","1,843,153.28","4,122,673.91","2,836,176.72","6,702,852.14","4,640,975.48","1,191,930.12","2,995,262.11","6,836,924.07","5,892,793.61","7,998,039.57","7,235,554.14","6,660,239.78","9,366,287.08","7,314,597.42"
应收利息,,,"23,121.10",,,"459,649.32","888,789.02","308,000.00","672,702.50","222,500.00","174,375.00","248,639.50","211,256.00","190,557.06","150,173.42","108,390.70","137,265.85",
应付利息,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"68,933,832.81","62,355,696.25","83,703,871.30","86,083,477.90","89,673,646.44","82,360,998.00","88,895,676.67","77,471,043.58","71,320,204.41","67,555,120.24","79,272,889.15","94,838,373.77","101,117,688.35","92,869,107.31","119,015,663.76","151,124,413.12","167,385,528.53","150,137,131.37"
其他应付款,"3,376,250.52","1,632,696.64","3,229,237.84","4,019,086.59","9,421,757.44","3,154,857.39","2,413,875.96","3,093,104.73","2,267,438.89","2,565,590.96","2,071,463.16","2,583,763.38","3,380,295.22","4,409,044.48","6,082,422.54","8,366,810.48","6,883,460.39","21,453,586.83"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,"69,763.10","58,808.54","45,158.82","24,197.94","77,359.49","49,683.27","30,270.01","22,571.03","72,278.24","237,971.51","238,956.96","224,224.16",
一年内到期的非流动负债,"20,000,000.00",,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,"549,519.71","751,602.96","630,743.08","4,243,176.20"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"202,980,320.90","204,323,823.65","236,382,429.74","254,727,325.37","397,575,971.44","388,289,530.60","386,451,903.11","406,831,145.61","409,967,591.38","396,590,408.06","402,984,612.67","454,974,392.93","479,880,361.65","485,710,071.81","506,156,728.06","541,719,881.39","579,201,476.61","543,580,679.94"
流动负债合计,"101,067,642.04","85,637,905.02","94,281,123.70","95,554,317.24","99,433,990.08","87,654,794.99","78,535,673.33","92,249,621.98","87,745,427.77","72,008,983.18","77,718,380.81","116,589,475.46","132,964,017.35","129,869,460.16","152,659,837.02","210,648,693.14","230,274,272.37","213,567,165.27"
可供出售金融资产,,,,,,,,,,,,,,,,,,"2,000,000.00"
长期借款,"15,000,000.00",,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,"10,304,162.45","8,479,111.47","6,246,943.99","3,220,000.00","3,220,000.00",,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,"2,000,000.00",
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,"1,032,107.43","1,315,374.55","1,131,646.94","1,307,112.17","1,533,763.73","1,434,553.02","1,243,494.21","1,937,085.26","1,980,733.55","1,544,227.48","1,978,642.09","1,716,017.24","1,900,093.42","2,432,706.22","2,445,720.51","3,492,930.77","4,767,598.96","6,281,456.01"
固定资产,"56,154,895.61","52,392,317.42","49,499,810.16","47,011,112.91","45,704,001.32","48,286,072.31","48,392,711.53","45,012,077.71","44,181,673.40","43,367,078.98","48,026,175.71","46,892,338.24","47,030,234.95","47,724,638.82","47,045,771.19","50,246,554.09","49,019,545.08","47,881,344.07"
递延所得税负债,,,,,,,,,,,,,,,,,,
在建工程,"63,025.00","63,025.00","32,300.00","32,300.00","32,300.00","32,300.00","32,300.00","3,104,665.14","3,786,476.80","4,872,998.18","3,114,878.27","4,222,841.89","4,936,666.29","15,019,984.99","25,818,027.60","28,443,499.30","30,542,696.16","88,897,574.05"
其他非流动负债,"3,500,000.00","2,550,000.00","1,800,000.00","1,800,000.00","8,800,000.00",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,"29,836,269.88","12,344,486.02","9,178,590.93","6,327,112.17","13,553,763.73","10,234,553.02","14,543,494.21","14,237,085.26","14,280,733.55","13,544,227.48","13,978,642.09","15,516,017.24","15,700,093.42","13,009,352.22","12,671,018.81","13,368,944.07","14,282,297.26","15,446,869.31"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"130,903,911.92","97,982,391.04","103,459,714.63","101,881,429.41","112,987,753.81","97,889,348.01","93,079,167.54","106,486,707.24","102,026,161.32","85,553,210.66","91,697,022.90","132,105,492.70","148,664,110.77","142,878,812.38","165,330,855.83","224,017,637.21","244,556,569.63","229,014,034.58"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"24,503,760.08","24,503,760.08","23,891,914.06","23,891,914.06","123,729,437.61","123,729,437.61","123,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","83,729,437.61","23,729,437.61","23,729,437.61","23,729,437.61"
无形资产,"20,823,615.92","18,108,608.67","17,440,871.45","16,940,989.77","16,746,139.85","16,571,128.59","16,489,938.38","16,368,385.57","16,252,118.28","16,041,586.79","15,987,056.53","15,794,876.63","15,602,312.55","15,409,182.21","15,216,051.87","15,023,340.14","14,831,928.31","14,712,879.42"
盈余公积,"9,126,149.05","11,986,915.47","15,637,903.21","15,637,903.21","15,637,903.21","19,024,191.73","19,024,191.73","19,024,191.73","19,024,191.73","22,448,087.95","22,448,087.95","22,448,087.95","22,448,087.95","27,611,389.41","27,611,389.41","27,611,389.41","27,611,389.41","35,288,925.71"
开发支出,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,
商誉,,,"2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85","2,182,657.85"
未分配利润,"60,044,456.48","85,423,449.85","107,909,566.38","125,580,817.93","131,621,198.37","136,612,755.22","140,534,162.24","147,376,634.10","154,817,602.95","157,227,725.30","158,471,619.06","171,406,163.39","181,256,792.64","198,172,589.31","206,201,911.60","153,856,661.93","174,303,000.89","195,831,853.17"
长期待摊费用,"3,801,717.44","4,004,996.55","4,674,128.12","4,950,722.27","402,916.73","432,944.15","1,291,330.26","1,160,738.21","1,032,142.75","1,036,712.12","920,231.60","975,591.62","1,195,285.09","1,087,964.60","1,005,903.37","1,152,519.67","968,324.53","1,076,939.66"
