科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"284,757,883.72","357,467,204.56",,"402,526,214.46",,"207,028,547.56","283,368,423.38","445,956,160.41","125,455,629.39","248,517,453.33","346,555,957.67","513,051,359.05","167,615,897.56","297,865,324.18","463,160,591.29","647,292,874.27","174,313,279.82","341,762,642.89","534,266,609.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"3,665,245.17","18,782,998.50",,"5,622,587.25","5,622,587.25","5,622,587.25",,,
收到的税费返还,"287,322.53","37,741.49",,"329,407.74",,"38,372.19","38,372.19","38,372.19","298,777.20","298,777.20","1,261,876.89","2,795,515.35","1,837,517.62","3,393,793.36","4,182,088.65","5,677,333.37","1,391,403.66","2,480,104.85","3,706,387.98"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"740,048.46","2,927,101.63",,"1,220,112.72",,"2,046,862.33","2,300,297.32","4,967,607.58","25,845.95","255,268.31","2,420,333.75","4,541,671.09","130,241.82","205,934.25","790,243.61","4,143,742.70","1,487,574.21","1,553,509.17","1,909,287.08"
投资活动现金流出小计,"18,053,887.76","19,672,107.71",,"29,911,400.10",,"16,814,087.81","27,049,041.77","34,671,876.77","17,221,898.15","48,552,312.86","98,137,309.73","126,705,740.08","34,146,724.31","46,100,288.22","59,100,201.15","99,154,262.69","21,465,655.93","43,623,655.65","69,212,564.15"
经营活动现金流入小计,"285,785,254.71","360,432,047.68",,"404,075,734.92",,"209,113,782.08","285,707,092.89","450,962,140.18","125,780,252.54","249,071,498.84","350,238,168.31","520,388,545.49","169,583,657.00","301,465,051.79","468,132,923.55","657,113,950.34","177,192,257.69","345,796,256.91","539,882,284.90"
投资活动产生的现金流量净额,"-17,809,499.64","-19,432,128.90","-4,286,200.00","-29,699,458.65","-9,364,300.00","-16,681,908.52","-26,829,186.26","-34,215,135.67","-16,607,500.90","-45,688,772.43","-75,672,169.52","-105,299,134.33","-33,179,089.48","-43,880,394.45","-49,497,750.70","-63,218,128.65","-20,821,301.30","-26,454,048.85","-47,694,375.70"
购买商品、接受劳务支付的现金,"205,054,660.48","244,644,515.57",,"284,756,296.49",,"133,187,568.29","195,755,471.86","309,721,155.51","98,700,620.17","172,454,374.00","245,435,382.37","335,369,927.61","128,072,306.00","209,904,995.04","323,312,734.55","444,251,966.50","131,742,646.29","225,338,878.06","360,408,485.90"
吸收投资收到的现金,"20,000,000.00",,,,,,"112,065,405.00","112,065,405.00",,,"6,020,000.00","97,755,355.90",,"61,300.00","61,300.00","61,300.00",,,
