科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,187,913,564.74","1,552,559,962.78","1,455,959,839.88","744,537,513.48","1,101,486,638.97","1,727,747,930.63","372,261,588.77","899,914,010.93","1,345,163,620.05","2,146,113,948.84","240,838,286.76","780,474,047.50","1,150,597,551.58","1,898,973,939.61","332,729,002.00","955,324,690.53","1,479,006,208.27","2,266,615,657.49","492,832,806.65","1,550,664,334.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"4,620,590.73","12,891,622.57","3,469,547.49",,"523,797.27","2,165,382.30",,"7,482,571.90","7,482,571.90","764,240.14","102,052.32","148,411.41","639,628.24","1,178,640.41",,"995,777.89","3,182,838.47","4,147,662.08",,"1,490.65"
支付其他与投资活动有关的现金,,,,,"7,000,000.00",,"4,900.00","1,021,545.62","1,583,734.02",,957.00,,,"770,000.00",,,,,"150,003,476.80","150,003,476.80"
收到其他与经营活动有关的现金,"14,484,602.52","7,145,789.74","14,356,091.34","12,646,594.44","27,820,242.41","21,134,918.40","24,331,342.01","62,805,706.42","100,280,863.62","10,533,092.03","40,977,116.83","22,684,981.40","61,317,733.90","12,859,186.20","62,907,020.97","123,495,988.40","137,563,690.47","21,514,788.46","61,412,006.68","127,186,957.54"
投资活动现金流出小计,"60,183,422.43","73,718,327.40","31,748,580.46","6,831,769.84","15,976,719.35","20,167,558.59","39,974,592.60","54,373,891.82","71,183,705.42","78,373,387.84","16,344,873.30","31,797,806.11","123,077,642.40","163,231,183.84","28,259,989.00","49,975,649.20","100,010,203.20","161,016,805.31","183,119,328.84","235,518,018.58"
经营活动现金流入小计,"1,207,018,757.99","1,572,597,375.09","1,473,785,478.71","757,184,107.92","1,129,830,678.65","1,751,048,231.33","396,592,930.78","970,202,289.25","1,452,927,055.57","2,157,411,281.01","281,917,455.91","803,307,440.31","1,212,554,913.72","1,913,011,766.22","395,636,022.97","1,079,816,456.82","1,619,752,737.21","2,292,278,108.03","554,244,813.33","1,677,852,782.66"
投资活动产生的现金流量净额,"-59,497,864.74","-49,374,883.91","-26,126,392.84","-788,551.97","-2,929,947.99","-14,473,685.73","-39,872,232.34","-48,619,904.87","-4,514,458.20","-61,307,026.35","-16,344,873.30","-28,235,636.11","-119,512,472.40","-127,837,238.84","-28,259,989.00","-49,974,249.20","-99,618,803.20","-147,654,005.31","-183,041,328.84","-232,510,923.58"
购买商品、接受劳务支付的现金,"1,244,027,336.15","1,259,717,299.55","1,362,715,680.57","626,122,742.38","952,210,537.43","1,366,657,404.36","488,080,482.60","1,035,262,940.16","1,414,364,269.97","1,840,921,244.44","328,107,145.88","714,251,576.30","1,030,186,030.85","1,536,679,348.35","641,106,689.46","1,351,056,933.59","1,983,915,649.50","2,766,046,490.68","569,871,866.15","1,417,938,956.37"
吸收投资收到的现金,,,,,"235,672,545.97","235,672,545.97",,,,,,,,,,,,"691,172,871.12",,
支付给职工以及为职工支付的现金,"32,344,194.34","38,933,615.95","42,575,321.67","26,231,124.37","38,075,555.24","52,318,668.36","19,217,340.39","33,271,182.57","49,427,515.62","64,951,022.82","17,556,835.10","32,412,536.55","46,702,624.98","64,663,278.12","18,088,627.39","32,762,923.61","49,649,029.27","71,071,721.31","21,723,986.68","41,002,890.24"
取得借款收到的现金,"654,200,000.00","565,630,000.00","634,433,729.96","249,526,316.00","417,526,316.00","641,105,366.30","250,000,000.00","469,600,000.00","819,600,000.00","1,149,600,000.00","150,000,000.00","390,000,000.00","550,000,000.00","794,000,000.00","350,000,000.00","657,500,000.00","1,016,400,000.00","1,288,902,600.00","254,500,000.00","550,500,000.00"
支付的各项税费,"34,965,115.78","42,999,154.54","36,845,067.48","30,819,203.97","40,509,174.96","58,230,233.48","16,660,175.54","35,051,933.59","48,348,130.80","52,795,513.32","10,285,439.16","28,561,165.46","38,386,779.30","45,640,014.65","9,984,551.82","21,520,148.18","37,565,270.68","40,039,031.47","4,871,920.46","11,082,191.47"
收到其他与筹资活动有关的现金,"9,829,971.86",,,,,,"5,300,000.00",,,,,,"5,000,000.00","5,000,000.00",,,,,,
