科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
应收利息,,,,,"8,782,030.86","15,487,472.26","14,425,629.44","22,262,107.30","2,739,056.93","4,478,812.49","5,259,048.50","4,485,572.40","4,396,945.10","2,537,624.78","4,230,003.64","7,220,604.72","10,454,523.36","4,737,124.92","10,554,218.20","13,325,208.59","20,218,006.70","22,098,528.52","24,391,455.66","32,210,184.12","33,484,597.65","37,282,275.88","40,028,335.60","46,823,172.42","44,757,327.19",,"1,243,940.82","3,134,435.89"
应付利息,"46,132.35","327,479.07","656,583.25","347,579.26","265,055.67","337,618.47","144,628.36","82,415.19","16,106.25","125,241.66","99,691.16",,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,"92,225,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"188,741,315.09","384,712,451.77","443,869,521.89","350,388,623.35","405,060,835.94","533,286,487.69","542,363,566.47","444,659,146.65","597,970,667.66","774,369,626.81","834,248,277.87","816,328,870.29","839,605,166.97","939,751,948.52","877,324,432.45","818,179,890.36","845,638,601.71","899,558,806.91","918,633,481.95","843,612,393.26","898,049,820.14","983,595,326.10","1,037,406,745.97","918,162,392.36","868,385,988.37","902,110,525.46","848,543,049.47","813,220,428.66","787,666,862.57","816,931,889.31","770,582,664.54","714,157,995.09"
其他应付款,"179,397,903.51","46,562,031.31","43,351,437.71","57,347,538.11","45,306,775.14","47,106,269.78","100,093,984.90","119,478,424.99","124,730,001.99","123,113,335.22","142,083,145.93","150,481,058.85","133,535,378.52","109,057,123.66","94,336,332.66","107,477,844.60","143,576,736.06","133,542,232.83","109,581,761.77","108,995,172.55","111,987,646.86","104,747,374.79","102,104,405.75","79,158,055.72","119,911,322.89","89,742,085.66","92,267,530.97","86,439,309.09","97,688,853.22","108,747,986.35","97,463,885.27","107,953,836.37"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"326,710,000.00","314,405,000.00","160,783,380.00",,,
其他流动资产,"123,429.52","20,928,282.45","54,233,164.51","39,640,124.35","49,074,156.35","58,685,503.54","52,405,099.82","97,256,871.79","47,127,272.57","42,660,968.44","500,027,227.74","190,171,625.39","449,946,221.94","561,539,942.85","559,310,413.49","509,079,317.17","476,698,031.93","429,455,695.07","857,064,098.53","1,029,691,208.56","587,776,082.07","721,333,654.61","992,820,575.57","1,083,509,612.17","906,436,382.47","852,906,773.55","891,138,876.19","1,101,487,736.44","608,754,951.42","487,923,282.37","705,379,943.22","723,954,041.89"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"1,068,236,177.20","1,403,045,066.03","1,878,872,036.79","1,751,761,304.39","3,988,660,453.57","3,837,130,867.91","4,483,174,540.80","4,139,348,568.79","3,816,989,597.22","3,842,228,174.45","3,922,753,678.57","3,813,336,163.24","3,807,851,370.47","3,673,223,257.44","3,860,821,759.96","3,747,206,903.81","3,847,552,967.61","3,581,220,595.47","4,063,289,824.31","3,934,156,212.05","3,677,696,212.77","3,669,676,396.08","3,890,770,400.61","3,673,661,410.26","3,561,437,329.28","3,522,778,943.79","3,717,269,371.27","3,737,439,959.66","3,344,490,529.67","3,158,182,481.76","3,369,705,607.26","3,261,162,548.09"
流动负债合计,"1,132,166,117.72","1,098,122,961.01","1,185,586,777.23","937,650,161.57","1,186,354,204.88","950,028,232.54","1,489,423,942.35","1,075,407,688.12","855,433,162.45","873,103,814.61","1,058,969,072.56","907,783,643.29","931,388,715.72","750,660,980.35","849,209,603.83","828,518,704.12","1,023,346,467.61","859,993,606.14","1,193,891,880.99","1,008,022,097.66","979,814,021.97","937,495,268.45","1,102,595,574.75","748,180,180.77","792,234,616.99","723,922,014.29","1,254,113,273.01","1,096,153,638.51","848,379,159.50","668,270,169.26","903,991,564.24","746,584,834.75"
可供出售金融资产,,,,,,,,,,,,,,,,,,,"198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00","198,000,000.00"
长期借款,,,,,,,,,,,,,,,,,,"356,232,800.00","363,641,600.00","342,443,600.00","331,560,000.00","333,890,000.00","346,850,000.00","344,965,000.00","338,720,000.00","331,845,000.00",,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,"198,000,000.00","198,000,000.00","684,171,577.40","447,797,163.82","439,411,830.18","452,188,593.78","452,993,729.40","413,238,415.11","409,006,136.21","397,997,294.11","387,928,072.85","377,951,216.20","362,458,679.25","366,175,897.25","366,950,307.24","303,078,911.99","313,331,310.00"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,"7,000,415.25","6,940,044.74","6,887,341.10","6,887,341.10","7,752,333.29","6,887,341.10","7,752,333.29","7,752,333.29","7,505,412.30","7,752,333.29","7,505,412.30","7,505,412.30","7,288,261.15","7,234,142.25","7,223,318.47","7,125,904.42","7,715,772.62","7,661,653.70","7,606,359.74","7,552,469.81","5,560,579.47","5,518,607.43","5,452,799.61","5,398,909.68","5,929,000.86","5,875,110.93","5,821,221.00","5,183,349.96","11,878,416.48","11,357,424.20"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"187,711,312.58","190,992,044.67","197,558,250.55","198,318,402.33","262,518,378.31","245,455,513.78","260,319,987.38","265,978,783.94","264,153,148.07","264,783,613.97","264,306,220.77","261,896,517.52","256,415,344.31","260,884,662.45","252,855,084.78","248,840,848.36","243,678,086.50","245,527,177.53","434,800,819.91","436,420,212.40","433,753,789.84","432,854,967.63","441,062,993.45","438,552,185.84","441,095,321.06","438,918,267.43","481,349,409.80","480,365,473.18","475,930,118.90","469,364,689.71","462,923,373.81","456,549,374.70"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
