科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"138,728,794.25","148,070,446.98","58,043,859.06","109,737,656.49","70,296,245.61","235,861,574.25","67,736,322.86","54,255,251.20","76,867,786.97","46,735,444.82","72,167,491.48","67,308,778.00","104,049,396.51","132,081,761.57","58,300,970.43","33,554,756.05","51,985,832.25","114,762,579.00","440,675,594.77","173,939,074.95","114,897,515.91","293,452,247.60","184,808,905.68","257,789,060.04"
短期借款,"14,681,097.00",,,,,,,,,,,,"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","76,696,890.99","33,352,785.25","45,000,000.00",,
交易性金融资产,,,,,"453,723.74",,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,542,000.00",,"300,000.00","300,000.00",,,,,,"68,000.00",,"55,000.00",,,,,,,,,"2,106,000.00","4,555,000.00","7,150,000.00","2,370,000.00"
应付票据,"4,774,954.00","3,382,090.00","4,758,565.60","3,431,150.00","2,955,177.50","3,445,177.50","1,430,000.00","250,000.00",,,,"17,950,000.00","19,795,000.00","5,315,000.00","6,970,000.00","4,150,000.00","2,000,000.00",,,,,,,
应收账款,"35,582,026.77","24,476,819.12","33,555,306.65","15,528,916.70","22,157,125.40","30,755,485.24","29,122,832.77","27,284,574.68","19,776,710.83","12,508,833.89","25,268,755.12","46,215,935.24","75,956,300.52","45,678,245.22","89,560,851.13","77,776,343.98","113,589,623.26","51,773,012.08","64,593,216.96","105,481,074.63","57,062,744.20","103,926,418.97","100,017,420.49","86,962,550.52"
应付账款,"12,604,327.47","8,014,635.96","13,058,158.67","8,809,242.41","12,700,457.77","11,039,567.55","27,313,288.00","23,250,830.60","24,113,604.98","24,209,411.12","59,353,626.81","41,610,414.27","48,106,203.34","45,190,055.11","49,975,963.65","34,955,715.94","34,473,646.85","26,083,554.53","34,333,968.76","24,550,172.22","32,609,288.69",,"38,851,402.58",
预付款项,"25,044,119.07","9,669,580.31","2,617,273.80","5,030,487.48","5,008,132.00","25,937,704.79","4,751,441.70","6,166,738.55","4,114,469.00","2,908,082.58","9,291,387.65","7,103,201.42","10,560,114.47","14,689,365.14","9,138,466.43","17,144,261.05","18,186,626.57","18,279,833.44","13,424,403.31","17,932,903.34","14,268,550.89","7,595,943.04","12,430,364.10","9,554,896.63"
预收款项,"2,323,862.74","781,010.40","235,594.03","221,924.29","596,406.79","1,994,948.73","322,228.59","307,407.75","312,560.36","1,404,554.87","1,348,426.43","11,097,968.59","6,823,552.83","7,684,020.42","3,846,759.97","2,780,459.87","6,467,449.50","4,802,451.74","7,564,778.08","10,162,119.47","4,115,922.18","5,245,658.52","4,724,864.48","6,814,689.14"
其他应收款,"979,867.11","518,496.51","900,350.40","1,790,769.10","1,123,196.76","1,712,974.14","628,025.04","1,765,948.17","1,109,686.99","1,696,572.92","432,972.41","1,158,686.97","657,829.04","1,509,679.71","2,370,175.86","1,888,003.22","2,241,603.71","2,839,596.05","335,041.85","1,000,972.34","751,523.33","1,092,953.65","624,113.85","1,539,753.89"
应付职工薪酬,"4,965,808.83","3,874,111.57","3,963,150.08","1,521,744.75","2,363,198.02","2,580,973.14","4,429,918.10","1,417,521.50","1,416,962.32","2,099,857.19","4,388,588.68","1,436,296.71","4,086,469.66","4,129,872.31","6,483,978.17","3,445,856.61","4,836,234.09","5,094,139.68","9,745,615.10","4,139,726.23","4,723,490.22","7,613,232.42","11,152,152.37","4,305,423.88"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,705,891.86","2,766,365.54","2,871,295.99","3,077,109.23","5,565,752.72","2,486,935.44","2,932,037.02","1,832,236.71","905,903.06","1,491,659.13","485,450.23","678,779.40","4,909,675.31","3,023,028.34","5,160,067.99","5,192,324.90","10,840,625.69","6,255,222.89","8,794,415.73","24,663,873.54","8,696,125.67","19,589,375.35","21,581,398.63","26,455,091.69"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"44,516.76",,,,,,,,,"2,117,448.57",,,"5,437.50","54,375.00","59,812.50","59,812.50","54,375.00","54,375.00","59,812.50","59,812.50","356,484.01",,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"3,853,564.70",,,,,,,,
存货,"98,815,106.84","177,467,963.37","152,837,290.79","160,904,153.06","169,219,937.75","183,914,811.38","204,243,625.45","198,187,413.73","195,528,881.43","188,837,710.78","177,422,837.01","175,658,850.48","173,961,814.08","171,421,970.79","165,000,667.83","173,209,525.41","171,972,162.12","189,707,093.89","202,988,558.29","201,733,374.28","241,674,438.78","248,916,498.09","252,223,301.70","250,023,377.49"
其他应付款,"3,953,798.30","2,793,002.17","1,416,742.07","2,934,106.91","3,368,523.03","12,950,737.44","3,965,846.03","2,524,469.20","2,967,460.71",,"4,584,958.94","2,883,480.19","4,143,250.40","3,361,395.96","1,819,461.08","1,748,647.06","2,133,351.67","2,086,759.37","3,882,151.90","1,511,334.35","2,084,812.69","4,850,170.08","5,450,586.57","7,547,474.68"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,"14,000,000.00","156,322,429.04","95,689,297.12","120,399,865.15","50,000,000.00","111,690,239.52","109,121,935.91","79,723,865.22","80,686,940.28","13,191,437.46","11,118,966.93","9,036,579.63","6,385,667.86","55,020,568.09","74,057,359.18","52,582,163.46","47,460,218.37","146,979,485.70","544,140,148.46","481,148,520.22","303,075,932.96","410,271,073.01","469,801,968.47"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"300,691,914.04","374,203,306.29","404,576,509.74","388,981,279.95","388,658,226.41","528,182,549.80","418,172,487.34","396,781,862.24","377,121,400.44","333,441,585.27","297,774,881.13","308,619,419.04","374,222,034.25","371,766,690.29","379,391,699.77","377,630,248.89","410,558,011.37","424,822,332.83","868,996,300.88","1,044,227,548.00","911,909,293.33","962,614,994.31","967,525,178.83","1,078,041,607.04"
流动负债合计,"45,054,256.96","21,611,215.64","26,303,506.44","19,995,277.59","27,549,515.83","34,498,339.80","40,393,317.74","29,582,465.76","29,716,491.43","31,322,930.88","70,161,051.09","75,656,939.16","132,869,589.04","113,757,747.14","119,316,043.36","101,186,381.58","105,805,682.80","89,376,503.21","109,380,742.07","141,783,929.30","85,938,908.71","107,482,773.61","81,760,404.63","75,844,085.60"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,"2,119,203.62",,,,,,,,,,,,"31,047,990.85","30,879,707.32"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"150,137,974.08","143,265,047.17","130,399,357.50","126,368,020.66","123,329,421.96","107,449,430.60","175,716,783.12","172,402,801.93","169,552,218.02","170,414,971.00","355,009,267.59","350,480,685.68","345,438,429.19","351,452,827.96","382,635,172.39","377,052,270.44","370,379,706.09","381,606,792.65","397,634,838.17","392,655,405.10","389,906,331.36","402,793,117.49","405,850,376.38","402,146,586.01"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"9,495,725.20","3,844,295.22","25,197,505.53","37,263,153.50","50,966,798.62","81,185,780.60","110,879,807.48","127,769,977.44","153,246,306.63","189,669,305.74","65,807,227.72","69,631,312.85","76,657,246.97","66,975,447.41","45,562,832.10","45,951,453.65","48,080,236.18","31,117,471.01","22,044,064.73","30,469,716.35","27,073,294.78","13,246,170.54","61,719,838.64","67,535,351.51"
其他非流动负债,"10,046,673.32","8,671,433.97","7,295,146.18","6,937,061.28","6,569,748.73","6,200,055.88",,,,,,,,,,,,,,,,,,
工程物资,"681,128.56","1,061,212.24","1,054,241.57","1,084,449.86","1,414,536.11","5,075,723.17","4,910,093.13","9,544,689.90","3,699,771.58","5,950,719.11","3,198,002.67","1,343,961.85","1,648,577.24","1,928,093.51","1,695,589.93","1,817,769.42","1,941,983.94","3,116,704.47","6,794,236.96","3,270,185.68","3,214,630.11",,,
非流动负债合计,"10,046,673.32","8,671,433.97","7,295,146.18","6,937,061.28","6,569,748.73","6,200,055.88","5,830,363.03","5,460,670.18","5,090,977.33","4,721,284.48","5,651,591.63","4,224,846.22","3,612,205.93","5,175,763.08","4,753,820.22","4,331,877.36","3,909,934.50","3,487,991.64","4,336,048.78","3,881,605.93","3,427,163.08","2,972,720.23","2,850,368.37","2,759,039.43"
固定资产清理,,,,,,,,,,,,,,"314,052.54",,,,"27,487.14",,408.55,,,,
负债合计,"55,100,930.28","30,282,649.61","33,598,652.62","26,932,338.87","34,119,264.56","40,698,395.68","46,223,680.77","35,043,135.94","34,807,468.76","36,044,215.36","75,812,642.72","79,881,785.38","136,481,794.97","118,933,510.22","124,069,863.58","105,518,258.94","109,715,617.30","92,864,494.85","113,716,790.85","145,665,535.23","89,366,071.79","110,455,493.84","84,610,773.00","78,603,125.03"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
