科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"428,201,120.08","728,732,588.65","1,022,816,061.34","461,647,556.90","804,990,577.77","1,177,581,980.34","265,945,895.68","538,734,751.21","936,059,540.13","1,416,764,886.99","318,360,953.81","717,341,002.00","1,152,617,704.22","1,631,236,931.86","412,120,655.13","814,858,438.01","1,282,241,564.04","1,897,199,251.01","428,102,077.08","947,118,868.55","1,510,517,405.07","2,153,202,777.31","478,078,290.98","947,028,538.77","1,608,865,780.36"
取得子公司及其他营业单位支付的现金净额,,"19,403,228.51",,,,,,,,,,,,,,,,"44,132,936.60",,,,,,,
收到的税费返还,"26,903,978.26","52,476,004.14","73,726,977.09","32,267,095.89","54,457,411.51","73,033,778.10","15,777,331.99","31,335,305.99","48,980,182.56","77,138,765.31","28,129,530.06","46,495,517.74","70,247,592.27","99,869,983.80","26,642,100.83","48,911,057.19","78,049,042.24","106,546,808.78","25,698,024.43","43,389,435.87","69,762,581.59","95,564,636.30","24,375,594.04","49,694,715.00","65,052,765.46"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"35,000,000.00","35,000,000.00","35,000,050.00"
收到其他与经营活动有关的现金,"10,727,208.44","13,108,744.55","15,349,783.79","10,009,487.85","7,956,251.52","13,240,518.87","2,828,914.73","9,009,853.18","19,470,006.42","30,769,409.82","689,628.67","4,867,912.12","8,155,882.19","34,846,611.56","2,965,486.55","5,820,854.89","18,080,931.00","33,017,254.20","2,197,537.69","6,299,136.53","11,249,741.69","18,350,720.58","3,141,631.82","6,494,102.01","49,019,670.04"
投资活动现金流出小计,"30,873,294.88","93,259,427.17","90,152,633.37","23,659,828.65","42,485,379.98","73,150,751.78","39,169,001.20","92,015,243.76","169,626,913.02","627,021,070.82","226,255,069.27","642,721,064.33","679,388,789.51","716,445,106.49","19,168,288.20","33,507,121.26","77,345,809.77","147,157,321.49","40,060,343.34","103,281,330.45","152,619,112.69","161,839,136.07","50,046,021.82","66,705,156.43","291,200,361.32"
经营活动现金流入小计,"465,832,306.78","794,317,337.34","1,111,892,822.22","503,924,140.64","867,404,240.80","1,263,856,277.31","284,552,142.40","579,079,910.38","1,004,509,729.11","1,524,673,062.12","347,180,112.54","768,704,431.86","1,231,021,178.68","1,765,953,527.22","441,728,242.51","869,590,350.09","1,378,371,537.28","2,036,763,313.99","455,997,639.20","996,807,440.95","1,591,529,728.35","2,267,118,134.19","505,595,516.84","1,003,217,355.78","1,722,938,215.86"
投资活动产生的现金流量净额,"-30,850,283.33","-89,839,652.71","-87,498,338.90","-23,585,308.67","-41,930,000.24","-72,272,916.22","-38,921,979.40","-91,472,541.88","-169,063,925.28","-464,222,564.16","-7,492,148.73","-48,231,789.03","89,624,123.41","51,036,314.57","-19,261,441.89","-33,671,362.66","-77,266,589.40","-146,896,501.76","-39,815,633.16","-103,023,325.13","-152,108,636.32","-161,305,896.24","-50,008,276.10","-66,666,938.46","-255,901,748.34"
购买商品、接受劳务支付的现金,"404,394,016.05","671,849,077.35","886,811,518.56","421,267,771.85","744,826,161.24","1,036,967,483.33","197,761,542.77","449,287,518.16","869,079,000.07","1,216,400,254.32","259,343,716.25","639,616,277.57","1,171,869,527.10","1,529,065,821.21","332,411,198.96","672,485,480.93","1,146,789,647.73","1,655,983,644.41","327,473,220.46","726,839,482.45","1,210,929,093.72","1,880,536,852.11","405,142,521.53","827,186,674.60","1,317,796,697.88"
吸收投资收到的现金,"20,130,000.00","72,899,597.73","6,240,915.61",,"487,324,775.00","487,324,775.00",,"9,813,300.00","9,813,300.00","9,813,300.00",,"9,800,000.00","9,800,000.00","9,800,000.00",,,,,,,"1,000,000.00","3,000,000.00",,,"523,863,405.58"
支付给职工以及为职工支付的现金,"24,274,704.09","46,350,410.03","81,603,815.09","47,585,555.25","79,182,543.04","112,408,186.72","30,054,925.76","56,357,545.10","88,493,077.36","124,883,957.99","35,123,463.31","78,911,848.35","128,226,639.89","183,307,533.52","49,244,184.10","93,648,503.12","141,203,446.36","197,449,896.09","58,317,140.09","110,095,199.05","165,953,534.07","219,787,795.11","59,275,891.78","105,802,785.71","145,237,016.46"
取得借款收到的现金,"150,680,430.53","260,640,014.51","326,632,115.38","122,775,937.17","195,461,093.86","304,591,141.10","48,500,000.00","180,414,816.80","235,434,238.17","293,434,238.17","118,500,000.00","293,677,400.00","503,177,400.00","624,601,753.24","90,000,000.00","241,000,000.00","521,000,000.00","737,437,030.09","100,000,000.00","250,959,016.53","438,493,745.54","637,698,644.40","127,021,908.00","348,521,908.00","579,446,795.91"
支付的各项税费,"1,617,285.55","4,064,677.84","14,068,607.69","6,582,584.41","11,233,344.61","15,747,270.37","3,900,726.81","8,311,001.37","14,992,868.82","21,000,257.55","2,464,932.07","8,312,718.52","15,978,071.01","18,599,738.50","6,178,180.97","9,674,171.22","16,447,943.15","24,521,341.92","5,516,944.14","12,732,602.60","17,542,086.37","24,627,470.54","6,934,489.07","13,804,980.53","22,281,541.49"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"14,645,541.67",,,,,,,,,,"10,400,000.00","9,388,000.00"
支付其他与经营活动有关的现金,"24,748,462.78","23,172,852.81","30,073,349.23","36,540,323.74","29,451,395.63","46,123,760.66","21,077,030.25","28,940,554.95","43,834,630.24","62,080,454.75","13,515,989.90","36,914,622.65","57,795,785.89","69,008,796.02","15,640,172.31","32,864,445.36","81,502,087.46","85,586,985.49","15,614,777.72","29,959,176.13","65,515,618.61","63,743,746.59","20,171,519.35","27,217,545.13","110,959,836.82"
筹资活动现金流入小计,"170,810,430.53","333,539,612.24","332,873,030.99","122,775,937.17","682,785,868.86","791,915,916.10","48,500,000.00","190,228,116.80","245,247,538.17","303,247,538.17","118,500,000.00","303,477,400.00","512,977,400.00","649,047,294.91","90,000,000.00","241,000,000.00","521,000,000.00","737,437,030.09","100,000,000.00","250,959,016.53","439,493,745.54","640,698,644.40","127,021,908.00","358,921,908.00","1,112,698,201.49"
经营活动现金流出小计,"455,034,468.47","745,437,018.03","1,012,557,290.57","511,976,235.25","864,693,444.52","1,211,246,701.08","252,794,225.59","542,896,619.58","1,016,399,576.49","1,424,364,924.61","310,448,101.53","763,755,467.09","1,373,870,023.89","1,799,981,889.25","403,473,736.34","808,672,600.63","1,385,943,124.70","1,963,541,867.91","406,922,082.41","879,626,460.23","1,459,940,332.77","2,188,695,864.35","491,524,421.73","974,011,985.97","1,596,275,092.65"
偿还债务支付的现金,"127,172,623.08","229,672,326.39","297,749,101.34","118,533,130.83","186,861,873.16","279,492,538.69","80,159,665.41","120,074,482.21","165,093,903.58","311,443,903.58","103,000,000.00","180,677,400.00","256,177,400.00","395,101,753.24","153,000,000.00","268,000,000.00","493,000,000.00","678,000,000.00","121,253,782.17","211,736,996.31","520,236,996.31","656,282,104.49","125,875,478.00","294,375,478.00","404,375,478.00"
经营活动产生的现金流量净额,"10,797,838.31","48,880,319.31","99,335,531.65","-8,052,094.61","2,710,796.28","52,609,576.23","31,757,916.81","36,183,290.80","-11,889,847.38","100,308,137.51","36,732,011.01","4,948,964.77","-142,848,845.21","-34,028,362.03","38,254,506.17","60,917,749.46","-7,571,587.42","73,221,446.08","49,075,556.79","117,180,980.72","131,589,395.58","78,422,269.84","14,071,095.11","29,205,369.81","126,663,123.21"
分配股利、利润或偿还利息支付的现金,"8,782,108.49","8,602,101.05","21,542,007.96","5,272,232.12","8,185,465.49","13,394,060.63","3,477,410.69","33,558,845.14","37,831,878.93","42,347,357.26","3,472,018.36","29,790,417.02","34,629,489.94","41,011,750.65","5,711,382.81","38,811,493.42","53,898,075.83","56,558,271.61","5,560,928.43","28,496,518.32","35,324,701.32","41,323,063.85","5,944,463.15","29,209,437.80","35,574,267.61"
收回投资收到的现金,,"2,830,000.00","1,092,800.00","10,439.00","10,439.00","10,439.00",,,,"160,000,000.00","215,200,000.00","588,500,000.00","760,500,000.00","760,174,264.35",,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"25,600,000.00",,"10,400,000.00","9,388,000.00"
取得投资收益收到的现金,,"55,700.00","1,264,157.27","44,539.20","44,539.20","44,539.20",,,,"2,183,318.55","3,060,920.54","5,320,574.67","6,135,641.80","6,135,641.80",,,,,,,,,,,"126,534.25"
筹资活动现金流出小计,"135,954,731.57","238,274,427.44","319,291,109.30","123,805,362.95","195,047,338.65","292,886,599.32","83,637,076.10","153,633,327.35","202,925,782.51","353,791,260.84","106,472,018.36","210,467,817.02","290,806,889.94","436,113,503.89","158,711,382.81","306,811,493.42","546,898,075.83","734,558,271.61","126,814,710.60","240,233,514.63","555,561,697.63","723,205,168.34","131,819,941.15","333,984,915.80","449,337,745.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"23,011.55","534,074.46","297,337.20","19,541.78","500,401.54","822,857.36","247,021.80","542,701.88","562,987.74","615,188.11","502,000.00","530,941.17","2,239,511.66","1,033,755.45","-93,153.69","-164,241.40","79,220.37","260,819.73","244,710.18","258,005.32","510,476.37","524,104.08","37,745.72","38,217.97","171,382.94"
筹资活动产生的现金流量净额,"34,855,698.96","95,265,184.80","13,581,921.69","-1,029,425.78","487,738,530.21","499,029,316.78","-35,137,076.10","36,594,789.45","42,321,755.66","-50,543,722.67","12,027,981.64","93,009,582.98","222,170,510.06","212,933,791.02","-68,711,382.81","-65,811,493.42","-25,898,075.83","2,878,758.48","-26,814,710.60","10,725,501.90","-116,067,952.09","-82,506,523.94","-4,798,033.15","24,936,992.20","663,360,455.88"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"137,759.46","137,759.46","137,759.46",,,,,,,,"9,135.75",,,
四、汇率变动对现金的影响,-270.80,"53,614.14","-264,717.21","-5,095.68","41,189.72","37,547.22","-12,623.96","-25,339.25","-44,980.57","-55,058.80","13,063.25","-5,948.29","-7,267.19","10,361.23","-6,048.34","4,228.12","776,268.38","1,251,657.87","-89,039.25","-28,134.67","-23,957.90","484,823.12","10,664.29","26,977.85","272,465.16"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"35,000,695.79"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"23,011.55","3,419,774.46","2,654,294.47","74,519.98","555,379.74","877,835.56","247,021.80","542,701.88","562,987.74","162,798,506.66","218,762,920.54","594,489,275.30","769,012,912.92","767,481,421.06","-93,153.69","-164,241.40","79,220.37","260,819.73","244,710.18","258,005.32","510,476.37","533,239.83","37,745.72","38,217.97","35,298,612.98"
