科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"118,784,150.68","131,367,378.25","201,466,429.19","108,846,487.88","363,315,038.39","266,866,603.38","232,688,354.02","147,448,918.68","295,016,138.13","269,352,603.23","361,149,500.91","286,649,428.46","334,406,927.83","80,003,839.87"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,"5,731,126.00","4,443,967.20",,"2,630,818.27","10,683,308.38","57,521,925.54","18,531,674.81","24,185,135.50","11,632,408.20","33,179,593.65","32,397,045.68","44,951,243.15","90,721,633.80"
应付票据,"39,742,950.00","82,301,003.68","126,177,612.50","149,703,710.00","196,080,543.00","151,747,211.00","158,166,668.00","113,500,000.00","146,668,028.00","159,728,107.04","84,332,251.04","133,740,589.08","64,042,561.08","60,993,413.00"
应收账款,"84,294,351.73","106,109,493.08","142,669,050.38","211,337,132.37","178,704,094.49","243,388,890.12","288,415,717.93","249,411,424.69","211,660,793.39","198,022,503.49","166,045,555.43","260,603,849.16","198,443,063.96","231,629,596.70"
应付账款,"31,713,406.45","26,955,543.86","27,176,542.47","22,223,620.42","15,418,442.62","44,014,329.04","108,042,697.35","27,035,291.86","89,176,369.60","74,851,963.84","96,957,081.34","100,861,336.43","121,327,974.57","143,869,374.86"
预付款项,"162,303,700.04","175,939,679.43","174,255,127.13","178,161,599.87","215,612,223.24","239,507,918.96","229,757,163.96","266,250,919.41","262,072,102.29","299,291,700.95","213,570,956.68","276,094,522.06","192,470,524.60","466,783,032.31"
预收款项,"85,193,558.06","58,035,877.43","96,158,450.28","59,124,976.79","41,574,824.72","63,240,449.74","40,881,996.22","50,067,182.72","47,964,070.66","33,981,596.94","19,329,819.72","40,004,700.36","37,385,105.26","92,358,073.00"
其他应收款,"5,881,048.60","4,962,342.31","4,630,402.33",,"4,902,037.31","8,655,785.77","4,842,086.56","5,650,626.10","5,754,112.07","5,937,274.92","6,141,316.09","8,047,409.54","40,602,660.23","20,952,509.90"
应付职工薪酬,"6,042,418.57","7,580,955.65","10,506,667.52",,"6,754,617.97","7,098,325.86","13,175,971.97","7,824,839.33","8,973,261.34","8,999,117.05","11,180,379.04","9,694,607.91","9,472,809.89","9,423,807.26"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"10,921,976.24","12,734,693.71","8,906,206.65",,"11,610,432.43","996,794.16","12,865,104.02","9,525,824.51","11,719,866.54","8,539,111.04","14,320,131.65","10,358,155.91","10,305,363.89","8,928,631.02"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,,,,,,,,,"262,138.96","281,652.15","735,061.13","695,656.93",,
其他应付款,"370,627.83","353,530.00","168,837.31",,"7,521,592.84","1,286,049.47","1,783,974.43","1,315,091.35","1,330,087.41","1,756,622.81","67,690,836.94","57,673,236.70","48,788,288.13","47,885,316.89"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,"4,315,339.21","10,036,102.91","37,623,262.35",,"41,025,058.15","27,998,951.32","22,755,908.03","20,748,861.99","20,725,448.91","27,809,229.30","31,092,835.63","17,744,160.43","18,150,136.29","18,625,230.95"
其他流动负债,"5,877,867.89",,,,,,,,,,,,,
流动资产合计,"375,578,590.26","434,146,121.98","565,088,238.58","546,991,208.57","806,189,269.85","797,101,457.93","835,981,156.04","708,042,425.68","819,675,869.25","812,327,372.24","811,914,819.52","882,232,072.26","829,024,556.06","908,715,843.53"
流动负债合计,"179,862,805.04","187,961,604.33","269,094,316.73","246,734,121.96","278,960,453.58","268,383,159.27","334,916,411.99","209,268,229.77","305,831,683.55","287,856,518.72","293,810,499.73","352,332,626.39","291,322,102.82","363,458,616.03"
可供出售金融资产,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00"
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,"6,027,000.00","6,234,325.81","35,459,203.99","48,080,583.47","48,930,109.87","49,808,600.36","54,584,029.82","55,465,835.81","48,244,414.14","49,572,735.18"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"3,418,419.37","4,798,061.90","3,911,130.09",,"3,303,332.36","3,322,400.74","4,241,144.87","4,336,868.16","4,223,731.25","4,167,376.55","4,215,666.03","3,888,488.60","2,677,721.52","5,154,991.00"
递延所得税负债,,,,,,,,,,,,,,
在建工程,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,
固定资产清理,,,,,,,,"765,022.53",,,,,,
负债合计,"179,862,805.04","187,961,604.33","269,094,316.73","246,734,121.96","278,960,453.58","268,383,159.27","334,916,411.99","209,268,229.77","305,831,683.55","287,856,518.72","293,810,499.73","352,332,626.39","291,322,102.82","363,458,616.03"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"100,000,000.00","100,000,000.00","100,000,000.00",,"133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00","266,680,000.00","266,680,000.00","271,113,000.00","271,113,000.00","271,113,000.00","271,113,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"16,553,203.69","16,553,203.69","16,553,203.69",,"195,975,603.69","195,975,603.69","195,975,603.69","195,975,603.69","62,635,603.69","62,635,603.69","106,039,737.55","108,941,787.55","111,903,957.60","114,806,007.60"
无形资产,,"324,461.54","335,423.06",,"315,839.72","560,067.28","543,871.75","1,637,322.08","1,592,674.10","1,548,026.12","1,503,378.14","1,676,985.45","1,676,470.31","1,624,952.81"
盈余公积,"3,640,631.98","6,316,313.93","8,123,142.55",,"9,750,660.46","9,750,660.46","8,341,828.26","8,341,828.26","8,341,828.26","8,341,828.26","9,695,177.14","9,695,177.14","9,695,177.14","9,695,177.14"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"46,590,830.00","46,590,830.00","46,590,830.00","46,590,830.00"
商誉,,"12,247,666.81","12,247,666.81",,"12,247,666.81","15,855,553.44","7,428,184.51","7,428,184.51","7,428,184.51","7,428,184.51","2,365,951.42","2,365,951.42",,
未分配利润,"83,809,768.39","144,624,895.96","193,036,197.63",,"215,335,844.86","218,179,222.29","219,967,772.96","232,287,370.72","239,506,552.77","248,424,353.33","251,646,287.40","264,299,960.28","262,228,093.66","272,189,420.62"
长期待摊费用,"1,827,953.18","2,195,820.54","1,993,957.54",,"1,616,350.31","2,230,627.20","5,528,533.66","4,741,620.46","4,009,738.67","3,303,453.85","2,886,806.79","2,560,599.69",,
少数股东权益,,"4,336,322.81","5,088,977.11",,"5,515,479.10","9,641,371.33","9,716,883.98","9,203,805.30","17,560,254.52","17,513,252.58","6,842,101.74","6,798,197.54","2,498,598.65","2,489,432.13"
递延所得税资产,"3,041,446.29","6,080,207.95","8,319,421.63",,"9,178,582.64","9,965,584.64","13,076,406.06","13,384,810.85","14,695,615.14","12,868,542.95","15,085,321.84","13,399,985.67","15,546,937.84","17,092,301.00"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"8,287,818.84","25,646,218.74","26,807,599.13",,"32,688,771.84","38,168,559.11","66,277,344.84","80,374,412.06","80,880,053.54","79,124,184.34","80,641,154.04","84,357,846.64","73,145,543.81","78,444,979.99"
所有者权益(或股东权益)合计,"204,003,604.06","271,830,736.39","322,801,520.98","334,313,372.93","559,917,588.11","566,886,857.77","567,342,088.89","579,148,607.97","594,724,239.24","603,595,037.86","598,745,473.83","614,257,292.51","610,847,997.05","623,702,207.49"
资产总计,"383,866,409.10","459,792,340.72","591,895,837.71","581,047,494.89","838,878,041.69","835,270,017.04","902,258,500.88","788,416,837.74","900,555,922.79","891,451,556.58","892,555,973.56","966,589,918.90","902,170,099.87","987,160,823.52"
负债和所有者(或股东权益)合计,"383,866,409.10","459,792,340.72","591,895,837.71","581,047,494.89","838,878,041.69","835,270,017.04","902,258,500.88","788,416,837.74","900,555,922.79","891,451,556.58","892,555,973.56","966,589,918.90","902,170,099.87","987,160,823.52"
