科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"453,194,088.10","502,939,546.61","442,976,736.51","559,111,724.60","299,958,891.98","449,446,423.50","563,313,612.19","133,601,557.51","301,616,033.35","443,062,356.88","583,179,602.60","168,323,334.94","391,895,624.35","647,074,600.19","702,501,125.05","197,177,771.64","414,274,860.01","605,187,835.33","769,913,611.78","276,923,846.77","564,273,503.06","796,468,546.79","986,645,664.23","230,274,989.60"
二、营业利润,"50,578,541.78","62,066,348.90","55,468,380.65","65,826,445.38","24,793,640.13","38,084,105.02","47,171,295.45","8,186,559.58","24,776,590.21","34,859,513.00","43,581,625.57","13,806,513.98","33,751,376.35","45,178,980.10","47,183,939.86","7,173,725.68","8,638,649.72","5,744,708.60","9,790,114.89","3,415,531.28","14,488,549.09","15,813,502.78","7,164,252.16","-14,080,272.93"
减:营业成本,"365,543,481.98","399,504,852.65","353,297,367.22","446,245,090.99","242,793,815.94","361,882,606.00","450,757,457.43","110,117,553.89","248,603,410.63","366,136,948.92","482,380,100.28","141,943,333.96","328,332,689.72","559,750,063.22","597,103,742.60","170,000,953.66","356,936,597.70","530,302,791.72","679,839,198.64","254,597,381.75","506,322,224.36","712,607,518.15","884,404,225.58","218,562,655.63"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,381,604.05","3,809,224.47","2,727,343.08","3,664,999.86","1,897,944.19","2,936,069.15","3,600,194.07","923,311.38","1,421,334.31","1,803,460.33","2,614,697.93","417,851.13","1,333,567.05","2,378,103.98","3,319,504.28","955,886.70","2,046,801.69","3,034,005.43","5,996,054.14","1,862,472.72","4,025,250.66","6,037,292.14","8,114,697.66","2,089,246.61"
营业外收入,"2,639,964.00","3,529,000.00","6,053,680.00","7,505,993.95","290,303.46","637,878.46","971,353.46","256,050.00","3,740,235.63","4,773,235.84","5,071,151.84","285,000.00","770,000.00","1,055,000.00","1,401,603.80","285,000.10","1,244,800.10","1,562,646.18","2,345,664.22","365,551.20","79,208.91","80,785.42","199,853.95","7,000.00"
销售费用,"4,187,126.59","5,068,525.62","4,716,738.50","7,037,650.03","3,781,890.47","7,269,495.02","7,931,175.88","1,632,423.63","3,631,973.78","7,379,737.40","9,346,471.84","2,469,533.97","7,103,600.79","10,708,981.80","14,228,271.36","2,125,700.29","9,649,778.51","14,864,729.35","23,075,931.30","2,976,423.69","11,785,112.32","17,750,665.17","25,284,430.54","6,507,320.77"
减:营业外支出,"30,000.00","77,128.49",223.97,"220,999.11","107,736.92","110,939.04","198,727.59","11,027.90","801,700.24","1,094,354.53","1,238,860.67","15,255.00","142,309.57","145,159.57","444,968.04","1,450.00","736,890.10","754,434.67","10,033,861.79",36.50,"602,204.64","651,302.90","346,459.39","1,181.90"
管理费用,"24,106,915.16","29,076,119.18","22,143,143.54","29,881,026.89","17,772,951.27","26,861,649.95","38,061,168.76","11,258,349.19","22,399,943.73","32,140,434.88","41,768,287.71","11,539,980.01","23,049,147.92","36,605,611.47","51,332,102.72","14,615,244.99","29,462,803.35","45,262,931.49","59,240,837.36","11,405,654.15","24,785,320.14","38,900,918.57","55,394,645.11","12,015,462.30"
其中:非流动资产处置净损失,,"76,628.49",223.97,"120,999.11","102,736.92","105,339.04","143,727.51",195.23,"775,448.83",,,,,,"126,654.57",,,,"9,598,392.06",,"601,277.30",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,636,372.86","6,419,941.54","3,865,796.25","6,323,188.29","7,867,925.34","11,382,484.62","15,113,039.21","1,102,958.09","74,459.27","434,298.60","2,283,923.72","-1,486,044.66","-1,514,151.69","-5,738,002.39","-7,475,976.99","2,484,204.82","-905,161.79","-1,091,270.76","-6,623,449.57","2,223,518.08","6,921,206.75","11,152,580.25","13,169,965.68","6,647,011.89"
三、利润总额,"53,188,505.78","65,518,220.41","61,521,836.68","73,111,440.22","24,976,206.67","38,611,044.44","47,943,921.32","8,431,581.68","27,715,125.60","38,538,394.31","47,413,916.74","14,076,258.98","34,379,066.78","46,088,820.53","48,140,575.62","7,457,275.78","9,146,559.72","6,552,920.11","2,101,917.32","3,781,045.98","13,965,553.36","15,242,985.30","7,017,646.72","-14,074,454.83"
资产减值损失,"1,891,356.29","-171,477.98","639,499.74","14,855.63","1,050,724.64","1,030,013.74","679,281.39","380,401.75","708,321.42","369,070.60","730,626.53","543,877.81","1,517,207.61","1,579,987.50","2,005,640.39","1,096,464.39","10,387,730.25","9,804,028.55","1,022,396.08","885,919.37","1,078,884.16","266,353.30","346,183.05","863,091.93"
减:所得税,"8,311,199.19","9,979,034.87","9,202,742.54","11,112,686.53","3,768,091.35","5,813,317.02","7,464,620.56","1,207,677.00","4,051,020.64","5,725,398.57","6,538,950.52","3,383,095.29","7,873,094.12","10,220,291.47","5,659,762.38","960,845.35","-321,729.32","957,937.55","1,673,091.20","489,117.90","2,098,519.11","348,362.38","-650,011.22","-2,058,632.27"
加:公允价值变动净收益,,"474,601.59","-474,601.59","-474,601.59",,,,,,,,,,,,,,,,,,"369,000.00","596,000.00","-596,000.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"131,310.61","2,359,386.18","356,134.06","356,134.06",,,,,,"61,106.85","-473,869.02","911,711.26","1,677,813.40","3,389,125.49","5,196,099.17","1,274,408.89","1,942,339.42","2,734,089.05","2,427,471.06","443,054.27","1,173,484.45","1,446,723.60","2,175,415.06","2,610,727.08"
四、净利润,"44,877,306.59","55,539,185.54","52,319,094.14","61,998,753.69","21,208,115.32","32,797,727.42","40,479,300.76","7,223,904.68","23,664,104.96","32,812,995.74","40,874,966.22","10,693,163.69","26,505,972.66","35,868,529.06","42,480,813.24","6,496,430.43","9,468,289.04","5,594,982.56","428,826.12","3,291,928.08","11,867,034.25","14,894,622.92","7,667,657.94","-12,015,822.56"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,"3,324,824.12","5,131,122.46","1,274,408.89","2,694,828.65","3,504,496.34","4,267,853.23","443,054.27","1,173,484.45","1,446,723.60","1,867,115.06","602,958.59"
归属于母公司所有者的净利润,"44,877,306.59","55,539,185.54","52,319,094.14","61,998,753.69","21,208,115.32","32,797,727.42","40,479,300.76","7,223,904.68","23,664,104.96","32,812,995.74","40,874,966.22","10,693,163.69","26,650,771.97","35,816,217.85","42,694,855.63","6,528,261.68","8,681,516.66","5,392,548.29","6,585,390.48","3,291,928.08","11,867,034.25","14,894,622.92","7,667,657.94","-12,015,822.56"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,"-144,799.31","52,311.21","-214,042.39","-31,831.25","786,772.38","202,434.27","-6,156,564.36",,,,,
