科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"309,624,168.28","472,021,842.14","287,805,583.87","264,746,848.55","302,499,179.31","417,629,346.18","52,079,919.00","193,963,275.24","294,083,629.41","421,961,055.53","148,219,449.10","235,384,794.01","411,719,624.15","654,040,014.84","115,285,555.31","267,816,291.18","425,210,552.20","671,230,913.56","45,616,112.40","150,267,848.40","309,442,782.53","445,322,959.74","190,170,298.51","299,881,577.30","500,760,269.89","689,415,051.71","273,438,142.31","525,137,795.78","692,725,525.53","950,774,956.28","158,556,160.98","217,624,304.97","340,191,242.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"39,940,904.64",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,"647,685.87","647,685.87","981,896.45","981,896.45","521,599.50","521,599.50","753,053.66","753,053.66","176,935.79","190,317.43","299,113.80","293,603.67","236,820.92","287,757.09","294,086.78","986,901.42","40,019.50","4,222,664.24","4,324,797.09","2,958,001.30",,"409,379.71","1,354,878.16"
支付其他与投资活动有关的现金,,,,,,,,,,"402,000,000.00","-16,000,000.00","44,000,000.00","263,500,000.00","610,000,000.00","256,000,000.00","489,700,000.00","987,000,000.00","1,678,040,000.00","414,040,000.00","670,670,000.00","1,158,439,000.00","1,628,710,000.00","285,880,000.00","739,960,000.00","950,140,000.00","1,186,850,000.00","177,700,000.00","530,170,000.00","700,770,000.00","1,096,170,000.00","157,900,000.00","274,850,000.00","472,749,340.80"
收到其他与经营活动有关的现金,"1,953,334.99","986,144.89","4,355,323.61","683,399.44","761,268.84","5,529,966.40","2,555,182.76","3,093,731.35","8,614,071.61","11,352,252.64","4,214,750.48","8,709,966.10","19,145,804.24","12,910,652.70","1,698,326.61","5,250,302.17","8,220,793.72","6,381,006.25","676,823.20","7,219,278.18","61,145,036.02","4,947,663.65","1,091,308.29","5,974,029.89","23,466,886.62","13,216,887.90","15,435,617.36","27,268,892.44","16,565,938.65","14,684,893.12","37,962,483.39","51,459,499.15","78,699,556.08"
投资活动现金流出小计,"48,545,965.46","42,568,412.69","28,011,557.05","9,521,341.15","18,801,143.98","33,938,017.56","13,070,591.59","36,543,723.68","56,021,570.71","496,449,696.76","-2,692,746.00","91,837,623.25","357,140,922.16","785,765,934.91","268,982,198.81","509,790,425.45","1,018,233,994.45","1,723,085,843.62","451,178,688.93","744,477,479.93","1,294,899,076.38","1,717,914,544.26","297,175,472.07","904,987,202.02","1,144,818,554.09","1,406,018,439.67","207,094,669.10","584,403,292.68","841,611,314.56","1,251,932,539.38","171,118,575.82","345,011,602.30","549,359,311.28"
经营活动现金流入小计,"311,577,503.27","473,007,987.03","292,160,907.48","265,430,247.99","303,260,448.15","423,159,312.58","54,635,101.76","197,057,006.59","302,697,701.02","433,313,308.17","153,081,885.45","244,742,445.98","431,847,324.84","667,932,563.99","117,505,481.42","273,588,192.85","434,184,399.58","678,364,973.47","46,469,871.39","157,677,444.01","370,886,932.35","450,564,227.06","191,498,427.72","306,143,364.28","524,521,243.29","703,618,841.03","288,913,779.17","556,629,352.46","713,616,261.27","968,417,850.70","196,518,644.37","269,493,183.83","420,245,677.11"
投资活动产生的现金流量净额,"-48,535,965.46","-42,558,412.69","-27,902,254.05","-9,521,341.15","-18,521,143.98","-33,658,017.56","-13,070,591.59","-36,543,723.68","-56,021,570.71","-110,222,262.52","2,813,135.05","-31,685,663.49","-77,198,651.52","-202,439,519.76","-29,237,259.89","-39,697,871.75","-98,528,401.08","-165,570,924.25","25,502,180.26","76,877,964.84","-12,653,592.76","32,627,031.80","-3,026,759.22","-180,165,635.19","-201,435,796.22","-245,940,736.04","10,045,915.60","-38,065,853.96","-69,421,531.94","-130,684,505.67","50,496,034.36","-20,735,304.50","114,771,941.70"
购买商品、接受劳务支付的现金,"244,797,015.87","363,055,802.43","135,182,610.37","168,281,262.70","263,268,971.18","394,952,354.00","114,656,352.55","158,250,170.83","243,106,634.96","356,200,125.19","156,785,470.49","214,932,977.17","311,192,945.84","416,487,132.85","150,742,360.61","246,737,404.18","366,929,643.62","506,286,683.02","102,249,679.35","210,977,399.84","314,493,396.82","436,925,371.23","105,885,343.06","187,725,683.71","267,029,392.98","409,988,728.39","226,342,220.96","364,158,838.61","511,032,600.71","625,979,977.42","96,340,309.29","176,460,189.08","217,502,207.26"
吸收投资收到的现金,"17,640,000.00",,,,"655,300,000.00","655,300,000.00",,,,,"5,100,000.00","11,100,000.00","14,316,696.00","6,000,000.00",,,,,"6,000,000.00","6,000,000.00","35,781,576.47","71,362,027.50","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,
支付给职工以及为职工支付的现金,"11,054,626.48","16,338,413.14","23,311,695.26","13,182,383.86","19,136,539.67","24,253,666.44","7,905,821.71","19,882,276.42","25,477,806.33","33,539,998.38","10,204,720.75","17,631,274.84","27,817,901.94","35,806,202.42","10,749,561.98","20,545,337.48","35,789,803.20","41,321,193.90","10,881,678.53","28,656,854.22","44,124,666.68","57,088,031.00","16,171,359.15","34,868,376.69","53,599,654.70","69,770,756.53","23,983,301.64","45,050,184.22","58,370,650.50","76,318,313.93","17,281,981.82","31,480,405.27","44,148,402.58"
取得借款收到的现金,"111,800,000.00","172,444,000.00","167,340,000.00","82,800,000.00","122,800,000.00","144,800,000.00","40,000,000.00","40,000,000.00","40,000,000.00","50,000,000.00",,,,,,,,,,"52,000,000.00","97,700,000.00","127,700,000.00","35,500,000.00","45,698,700.00","55,512,800.00","117,000,000.00","70,000,000.00","145,246,207.80","176,037,151.08","163,855,164.82","3,675,000.00","47,844,835.18","47,844,835.18"
