科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"375,054,320.47","377,889,326.97","454,311,523.07","58,538,362.72","123,749,514.15","217,656,516.39","435,784,863.04","71,664,421.34","171,245,813.82","292,516,690.97","594,657,006.08","150,788,831.71","345,100,395.79","612,884,265.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"35,558,014.67","57,248,497.88","54,757,612.12","41,681,407.98","40,852,989.77","60,955,431.00"
收到的税费返还,"17,739,823.38","16,984,416.57","21,332,418.08","4,620,996.51","5,998,178.15","9,368,014.44","21,967,974.72","4,933,247.36","6,573,549.33","12,540,827.90","24,900,275.58","6,316,530.74","11,140,200.21","15,847,049.29"
支付其他与投资活动有关的现金,,,,,,,"133,000,000.00","52,500,000.00",,,"50,000,000.00","10,000,000.00",,"612,373.40"
收到其他与经营活动有关的现金,"32,906,529.93","37,892,053.06","46,169,146.85","3,169,800.00","9,963,570.69","17,890,906.04","28,322,420.31","10,074,655.21","32,348,591.83","56,653,662.48","21,656,281.82","50,721,344.16","19,770,537.96","50,938,777.89"
投资活动现金流出小计,"7,371,573.11","59,149,370.49","18,035,090.87","13,064,121.67","30,684,684.80","46,988,112.69","194,922,038.15","71,719,511.10","97,348,187.51","162,901,319.00","245,692,557.89","70,228,172.09","114,691,773.26","205,358,570.58"
经营活动现金流入小计,"425,700,673.78","432,765,796.60","521,813,088.00","66,329,159.23","139,711,262.99","244,915,436.87","486,075,258.07","86,672,323.91","210,167,954.98","361,711,181.35","641,213,563.48","207,826,706.61","376,011,133.96","679,670,092.86"
投资活动产生的现金流量净额,"-6,702,074.95","-46,327,174.95","-16,144,081.55","-12,454,563.60","-29,266,278.97","-44,599,980.45","-191,748,762.22","-70,935,306.98","8,124,421.58","-56,021,551.05","-104,082,406.05","-29,684,757.90","9,686,322.06","-17,313,947.12"
购买商品、接受劳务支付的现金,"173,685,942.14","145,245,393.50","178,773,262.93","47,236,833.14","78,747,292.79","117,441,274.05","156,325,144.32","52,414,395.03","83,074,201.30","128,325,713.25","183,899,574.16","109,351,183.70","165,608,024.39","224,253,351.29"
吸收投资收到的现金,,"750,000.00",,,"200,540,000.00","200,540,000.00","320,087,150.00",,"19,936,890.00","19,979,610.00","19,936,890.00","68,200,000.00","68,200,000.00","68,200,000.00"
