科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动现金流出小计,"120,075,499.66","115,097,362.78","127,677,154.34","82,931,767.18","123,550,739.14","190,866,780.87","107,095,890.23","149,998,395.23","149,998,395.23","149,998,395.23","7,032.55","48,006,000.00","48,302,000.00","2,918,488.24","71,486,984.42","79,995,586.70","84,300,130.41","4,786,799.52"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,598.29,598.29,"1,111.11","1,400.00","940,811.97","940,811.97","942,598.30",,"2,173.93","126,656.84","216,120.00","217,040.00","217,040.00","247,856.84","369,719.97"
筹资活动产生的现金流量净额,"22,024,500.34","-22,097,374.78","-30,177,154.34","31,567,320.56","73,199,228.60","5,883,186.87","356,206,059.77","299,547,054.77","302,587,054.77","302,587,054.77","-7,032.55","62,345,883.00","77,980,500.00","-468,488.24","-68,336,984.42","-67,813,586.70","684,719,428.55","-4,786,799.52"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,"2,928,856.37","2,914,116.28","2,914,116.28","2,914,116.28",,,"4,688,872.73","110,000,000.00","384,414,040.00","425,250,406.36","383,593,595.33","232,067,354.14"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,598.29,598.29,"1,111.11","2,930,256.37","3,854,928.25","3,854,928.25","3,856,714.58",,"2,173.93","6,218,870.20","110,216,120.00","384,631,080.00","425,467,446.36","384,246,857.58","232,437,074.11"
五、现金及现金等价物净增加额,"41,458,893.95","32,818,531.98","41,383,649.96","-50,979,341.92","-125,124,871.39","39,633,912.80","180,390,204.73","97,198,793.44","81,410,739.52","503,394,035.04","-272,365,638.66","-88,886,855.07","-9,849,697.50","-499,389,962.05","-303,531,300.47","-390,132,692.05","-209,584,093.20","-246,239,028.88"
购建固定资产、无形资产和其他长期资产支付的现金,"29,028,634.20","1,257,962.04","4,164,973.46","2,674,851.94","4,744,124.32","4,494,634.32","1,384,784.56","3,710,772.26","3,652,072.90","6,324,887.59","5,228,532.26","97,737,977.00","168,967,207.46","22,570,890.00","138,658,738.93","185,974,084.19","252,718,649.71","63,172,062.51"
期初现金及现金等价物余额,"67,376,065.23","108,834,959.18","141,653,491.16","183,037,141.12","183,037,141.12","183,037,141.12","222,671,053.92","222,671,053.92","222,671,053.92","222,671,053.92","726,065,088.96","726,065,088.96","726,065,088.96","716,215,391.46","716,215,391.46","716,215,391.46","716,215,391.46","506,631,298.26"
投资支付的现金,,,"2,400,000.00",,,,"900,000.00","16,900,000.00","16,900,000.00","20,900,000.00","22,011,000.00","22,011,000.00","30,011,000.00",,,,,
期末现金及现金等价物余额,"108,834,959.18","141,653,491.16","183,037,141.12","132,057,799.20","57,912,269.73","222,671,053.92","403,061,258.65","319,869,847.36","304,081,793.44","726,065,088.96","453,699,450.30","637,178,233.89","716,215,391.46","216,825,429.41","412,684,090.99","326,082,699.41","506,631,298.26","260,392,269.38"
