科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"454,525,371.39","633,625,752.00","339,826,773.10","530,328,415.66","701,701,015.18","173,038,044.39","375,060,775.03","558,139,499.90","728,741,321.74","175,054,362.92","392,678,544.17","614,541,743.03","840,108,788.63","219,576,524.95","463,553,018.97","734,431,648.09","1,033,500,559.99","265,090,799.18","584,816,035.05","911,273,071.58","1,305,636,964.84","326,942,657.88","724,780,653.11","1,124,591,462.19","1,563,222,281.96","394,708,216.03","892,480,007.70","1,387,399,000.62","2,016,422,890.84","539,628,614.21","1,071,437,185.43","1,670,433,235.81","2,219,276,356.96","559,554,772.29","1,242,265,227.96","2,004,773,798.14","2,857,419,302.97","685,815,000.96","1,423,189,761.17","2,328,601,698.80","3,248,945,549.35","714,457,411.84"
二、营业利润,"77,158,198.63","121,890,103.49","69,581,142.40","111,852,082.91","150,853,693.97","31,668,916.04","88,598,188.43","138,760,166.33","166,641,917.27","26,468,350.07","81,001,006.61","127,882,263.71","106,314,060.86","22,386,050.65","51,815,904.95","84,026,492.50","129,216,191.71","34,396,368.36","88,750,978.37","143,308,393.62","206,504,712.54","51,927,298.33","132,841,599.97","220,660,395.78","296,018,486.47","70,489,349.23","170,419,743.26","217,136,389.29","158,187,395.20","44,128,215.54","131,912,567.59","248,432,863.95","262,491,661.79","59,785,106.19","171,632,271.74","295,633,115.60","409,187,130.21","99,782,464.71","209,942,908.85","350,924,590.36","473,998,517.90","102,595,041.27"
减:营业成本,"334,219,430.42","449,208,700.93","234,708,042.10","360,976,615.09","477,079,333.32","120,155,972.69","247,049,086.81","357,594,456.57","468,931,384.72","114,320,263.20","252,212,489.70","389,781,455.73","574,487,121.88","167,259,664.13","345,965,216.12","543,687,960.84","746,952,424.39","182,780,349.93","391,367,214.23","608,795,917.28","871,569,044.17","218,682,970.97","474,687,605.15","725,017,486.43","1,017,806,160.53","258,870,118.07","595,445,811.58","955,659,433.80","1,480,959,732.89","421,350,416.82","787,531,627.12","1,174,461,729.68","1,565,689,641.62","388,230,991.18","834,851,977.55","1,319,115,298.75","1,871,965,806.93","430,394,052.87","943,678,599.40","1,578,288,305.10","2,196,210,059.84","477,410,855.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,138,906.31","1,604,775.33","905,031.35","1,371,820.50","1,786,114.26","379,321.76","878,887.41","1,178,081.50","1,598,682.46","245,172.12","743,036.55","1,318,443.61","2,111,847.66","748,420.07","1,581,833.90","2,441,309.17","3,227,734.42","751,195.48","1,690,222.66","2,751,751.60","4,606,715.06","2,363,867.06","5,005,188.34","8,263,876.04","11,342,382.01","2,867,128.86","5,929,535.03","8,147,635.40","11,582,397.14","2,468,900.45","5,169,746.49","8,622,174.62","19,601,854.72","5,406,594.73","13,058,197.63","22,660,911.58","28,900,381.93","8,944,450.87","17,036,196.16","25,853,378.69","36,415,790.55","7,866,955.71"
营业外收入,"31,931.81","2,376,598.00","1,767,398.58","3,684,403.30","5,045,508.75",,,"87,401.58","1,080,496.65","551,658.07","13,187,453.07","14,828,399.35","20,170,367.38","510,000.00","88,295.14","530,134.51","2,502,674.69","1,156,240.95","3,287,619.33","7,052,709.61","13,514,017.60","4,227,982.37","11,381,276.62","14,061,721.87","17,648,358.08","3,729,155.23","5,010,028.26","8,564,658.96","94,467,428.90","1,260,967.68","4,970,710.05","6,918,623.78","12,692,621.88","1,974,898.51","3,286,922.49","4,202,441.15","1,803,176.59","14,212.82","400,092.39","491,424.39","748,528.51","146,604.30"
销售费用,"23,091,374.52","34,252,465.84","19,070,416.38","30,982,142.00","42,124,070.07","15,392,734.65","26,280,346.02","39,112,979.73","54,756,651.48","18,385,810.34","34,161,689.77","55,110,054.48","85,672,641.19","14,942,433.28","32,641,512.86","52,064,062.25","72,094,667.27","20,827,312.27","44,265,835.81","68,102,579.49","95,760,309.65","21,618,284.21","46,944,077.17","68,749,280.02","98,966,522.56","24,590,310.49","50,812,305.53","85,129,251.14","137,648,236.61","26,587,780.12","57,552,236.00","94,399,743.52","154,595,365.46","46,320,176.19","92,485,095.96","152,748,330.83","221,410,455.45","58,368,023.14","111,564,201.46","174,470,050.87","238,380,120.95","56,353,629.60"
减:营业外支出,"404,077.24","222,913.66","80,840.00","180,840.00","180,840.00","110,200.00","270,200.00","300,200.00","567,079.37",357.03,"191,856.18","586,856.18","597,103.54","221,463.22","2,123,554.58","2,170,140.52","2,286,555.91","125,000.00","180,183.46","180,406.35","327,336.25","65,000.00","186,297.82","258,316.90","423,730.96","134,872.50","326,874.18","468,777.74","1,475,966.27","144,223.40","277,197.15","375,081.13","2,622,370.00","357,344.19","1,212,986.22","2,709,883.19","3,047,182.89","2,269,815.29","2,582,289.36","2,750,104.98","6,484,189.09","486,064.43"
管理费用,"16,699,743.68","25,249,838.50","14,960,874.11","23,122,355.26","31,552,155.88","10,180,731.89","17,921,944.54","28,120,789.10","49,910,669.37","19,852,430.08","32,494,866.77","53,828,796.60","87,849,885.43","20,623,161.87","43,075,313.55","66,268,412.10","92,932,256.52","26,373,137.75","54,564,419.32","85,015,669.03","123,188,243.55","34,994,053.05","72,754,810.29","111,882,060.35","152,355,838.94","40,889,891.18","86,444,912.44","151,042,699.43","222,815,077.95","46,843,317.84","102,943,784.15","161,198,913.63","234,406,346.93","64,007,754.84","137,322,297.06","220,914,594.00","321,204,115.79","69,981,103.60","145,090,574.39","146,459,901.70","204,079,870.59","44,694,634.26"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"2,024,741.44","2,071,327.38","2,087,742.77",,,,,,,,,,"35,871.54","46,104.56","534,958.50",,"31,289.38","176,943.32","254,613.29",,"241,582.53","1,030,473.58",,,,,,
