科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"234,785,748.19","556,365,124.20","1,177,429,370.81","230,204,655.84","516,928,823.56","829,369,187.08","1,054,608,137.31","265,107,731.99","611,794,160.64","1,006,457,074.30","1,414,526,879.45","458,737,947.66","964,124,257.16","1,518,633,966.65","1,941,914,949.75","666,605,822.33","1,343,938,560.46","1,989,307,417.14","2,711,085,412.84","658,447,231.49","1,534,934,195.38","2,155,556,293.05","2,948,523,929.07","710,030,014.57","1,477,618,546.56","2,412,415,075.53","3,291,184,713.41","950,366,107.44","1,954,941,281.38","3,060,526,719.58","4,212,745,201.75","1,022,513,830.29","2,014,214,633.94","3,360,936,171.57","4,149,679,573.39","1,032,317,295.81","1,726,624,862.38","2,387,857,372.52","2,922,491,960.93","770,830,492.99","1,755,164,962.97","2,709,704,333.61","3,448,280,462.95","926,183,484.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"-3,552,061.34","-4,052,121.86",,,,"-2,737,939.47","108,462,060.53",,,,,,,,,,,,,,,,,,"354,276,650.33","354,276,650.33",,
收到的税费返还,"2,567,051.17","5,805,484.87","13,910,919.91","4,114,477.67","1,749,967.04","9,260,203.72","15,077,517.65","2,605,370.96","12,451,886.88","19,136,344.27","20,140,653.31","4,547,472.53","13,241,482.45","22,219,912.65","52,041,245.68","7,755,701.47","18,382,490.93","35,087,178.59","78,277,642.85","23,804,404.03","39,285,035.42","60,388,075.23","79,452,333.49","16,180,908.62","38,559,740.00","41,305,891.30","48,349,991.46","15,805,797.69","25,022,954.48","42,114,476.88","52,610,496.11","19,206,174.91","27,596,067.46","54,187,807.81","76,148,810.11","27,830,084.60","49,553,768.63","71,913,602.12","78,349,458.20","19,838,702.94","27,924,808.67","77,314,829.69","110,137,093.11","45,222,001.54"
支付其他与投资活动有关的现金,,,,,,,"40,000,000.00",,,"30,000,000.00","17,777,000.00","14,876,000.00","5,288,000.00","3,198,000.00",,,,,,,,,,,,,,,,,"31,000,000.00",,,"41,000,000.00","31,000,000.00",,,,,,,,"444,360,000.00","30,498,115.58"
收到其他与经营活动有关的现金,"9,083,651.56","869,149.42","1,790,603.73","7,396,499.09","15,083,419.48","7,919,173.61","21,290,311.04","1,957,817.79","2,699,939.38","3,889,746.26","27,475,101.02","863,060.43","2,853,530.60","3,893,162.15","8,765,111.31","1,144,272.83","5,651,813.04","5,752,462.27","14,505,532.85","12,303,771.57","3,973,319.60","7,136,754.75","117,755,131.80","2,187,890.72","7,673,199.45","26,010,317.44","32,666,870.14","11,527,418.79","9,456,820.87","52,306,323.70","19,661,075.47","3,214,559.60","10,951,622.23","12,891,554.59","26,246,436.99","1,513,475.27","8,895,261.93","33,505,154.43","50,359,467.30","11,678,394.52","17,676,513.89","29,509,197.27","40,362,888.80","15,462,190.53"
投资活动现金流出小计,"36,783,774.97","70,275,885.79","191,277,203.34","43,184,308.17","73,617,194.26","140,531,840.31","204,773,184.57","26,056,945.63","94,341,464.61","167,514,381.61","198,840,929.19","43,910,942.03","91,776,140.96","147,833,990.16","314,528,713.01","119,708,180.39","175,247,341.44","354,236,655.45","591,894,639.94","131,635,483.13","376,514,909.45","569,146,919.87","821,017,075.74","140,303,198.19","382,250,305.75","558,667,170.84","811,220,284.87","231,138,295.46","423,913,613.56","627,726,757.97","844,295,139.76","139,588,215.10","320,974,571.91","497,607,549.78","516,453,646.35","76,948,992.50","179,747,184.16","214,484,048.87","290,332,806.49","65,618,089.65","557,219,662.77","688,713,325.02","1,942,072,972.93","159,206,734.19"
经营活动现金流入小计,"246,436,450.92","563,039,758.49","1,193,130,894.45","241,715,632.60","533,762,210.08","846,548,564.41","1,090,975,966.00","269,670,920.74","626,945,986.90","1,029,483,164.83","1,462,142,633.78","464,148,480.62","980,219,270.21","1,544,747,041.45","2,002,721,306.74","675,505,796.63","1,367,972,864.43","2,030,147,058.00","2,803,868,588.54","694,555,407.09","1,578,192,550.40","2,223,081,123.03","3,145,731,394.36","728,398,813.91","1,523,851,486.01","2,479,731,284.27","3,372,201,575.01","977,699,323.92","1,989,421,056.73","3,154,947,520.16","4,285,016,773.33","1,044,934,564.80","2,052,762,323.63","3,428,015,533.97","4,252,074,820.49","1,061,660,855.68","1,785,073,892.94","2,493,276,129.07","3,051,200,886.43","802,347,590.45","1,800,766,285.53","2,816,528,360.57","3,598,780,444.86","986,867,676.34"
投资活动产生的现金流量净额,"-22,772,622.77","-66,775,885.79","-174,857,569.94","-41,347,816.17","-47,204,984.11","-110,854,944.49","-166,891,709.17","-26,056,945.63","-52,390,733.43","-125,563,650.43","-156,185,785.05","-26,101,942.03","-73,967,140.96","-130,020,990.16","-308,316,141.86","-119,052,880.39","-174,387,052.98","-351,864,192.95","-579,450,310.49","-131,635,483.13","-374,682,224.16","-569,146,919.87","-816,633,181.13","-140,303,198.19","-337,643,149.52","-514,060,014.61","-764,899,449.96","-231,138,295.46","-423,913,613.56","-627,726,757.97","-842,026,009.26","-133,588,215.10","-314,572,570.59","-460,607,549.78","-476,629,496.66","-40,948,992.50","-50,422,184.16","-120,968,981.12","-156,317,594.76","-65,618,089.65","-531,875,083.67","-663,368,745.92","-1,886,346,458.03","-159,206,734.19"
购买商品、接受劳务支付的现金,"187,288,226.17","450,242,583.27","892,849,608.42","162,402,396.51","420,839,898.15","726,267,618.14","835,057,951.31","183,399,649.74","434,356,152.48","687,447,376.58","931,625,223.53","318,483,192.00","678,272,806.22","1,140,605,074.75","1,478,768,231.04","510,732,064.38","1,104,309,189.12","1,575,534,043.82","2,106,305,320.57","512,326,779.23","1,106,617,522.87","1,518,967,740.24","2,074,656,178.67","440,226,771.79","966,518,640.20","1,683,851,262.24","2,172,632,000.60","651,562,543.13","1,351,649,292.21","2,054,164,562.74","2,793,832,230.03","663,600,305.65","1,212,224,621.22","2,165,054,185.60","2,687,939,713.34","592,382,108.65","890,585,611.03","1,290,181,159.90","1,564,438,034.28","369,858,329.30","1,015,442,713.26","1,412,473,138.93","1,759,423,313.80","639,654,712.71"
吸收投资收到的现金,,,,,"314,597,357.00","314,597,357.00","314,597,357.00",,,,,,,,,,"648,037,130.75","652,010,330.75","648,037,130.75",,,,,"149,346,015.00","149,346,015.00","149,346,015.00","149,346,015.00","135,037,366.41","131,404,572.00","247,819,162.00","451,736,982.00",,,,,,,,,"1,099,912,763.60","1,305,716,963.60","1,305,716,963.60","1,285,574,422.24",
