科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"637,714,657.95","622,199,154.50","740,986,050.60","155,710,720.79","372,217,628.49","610,836,077.04","774,069,042.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,
收到的税费返还,"24,379,626.76","57,581,665.36","49,208,954.13","11,650,392.98","27,541,660.55","40,950,389.37","57,142,260.19"
支付其他与投资活动有关的现金,"99,537,138.13",,"280,000.00",20.00,,"150,149.03","51,181,951.54"
收到其他与经营活动有关的现金,"30,065,169.50","31,430,542.22","9,591,318.10","6,116,266.53","5,160,118.46","7,795,986.69","40,268,618.72"
投资活动现金流出小计,"201,410,693.28","77,973,760.63","67,123,214.72","119,472,743.29","380,548,366.80","611,352,284.20","1,023,002,848.96"
经营活动现金流入小计,"692,159,454.21","711,211,362.08","799,786,322.83","173,477,380.30","404,919,407.50","659,582,453.10","871,479,921.83"
投资活动产生的现金流量净额,"-98,440,657.40","-72,679,928.56","-46,132,434.12","-119,254,743.29","-221,114,083.34","-225,627,547.26","-248,780,515.97"
购买商品、接受劳务支付的现金,"380,249,460.59","380,667,810.30","433,252,511.08","75,049,498.43","246,838,129.22","403,980,843.43","519,120,970.03"
吸收投资收到的现金,,,"400,000.00","504,000,000.00","504,000,000.00","504,000,000.00","504,000,000.00"
支付给职工以及为职工支付的现金,"116,512,020.43","106,748,538.57","138,052,224.57","34,024,034.44","58,575,083.65","96,224,154.67","155,037,969.76"
取得借款收到的现金,"360,040,528.40","325,611,108.99","436,404,240.00","104,200,000.00","104,200,000.00","112,066,275.57","142,606,971.74"
支付的各项税费,"31,756,453.59","39,817,574.63","43,637,803.36","14,992,089.03","42,401,281.22","55,589,772.94","46,273,818.90"
收到其他与筹资活动有关的现金,"11,440,000.00","30,399,679.88","54,765,000.00","17,650,000.00","7,060,000.00","6,410,000.00","3,600,000.00"
支付其他与经营活动有关的现金,"66,799,382.84","51,477,295.63","97,477,458.95","29,449,167.48","55,341,156.96","84,981,621.28","74,569,449.17"
筹资活动现金流入小计,"371,480,528.40","356,010,788.87","491,569,240.00","625,850,000.00","615,260,000.00","622,476,275.57","650,206,971.74"
经营活动现金流出小计,"595,317,317.45","578,711,219.13","712,419,997.96","153,514,789.38","403,155,651.05","640,776,392.32","795,002,207.86"
偿还债务支付的现金,"264,068,169.89","347,960,054.60","452,263,922.13","234,400,000.00","289,294,754.35","285,470,035.00","334,424,634.38"
经营活动产生的现金流量净额,"96,842,136.76","132,500,142.95","87,366,324.87","19,962,590.92","1,763,756.45","18,806,060.78","76,477,713.97"
分配股利、利润或偿还利息支付的现金,"37,368,942.63","15,787,483.16","85,305,226.16","5,549,357.46","3,346,636.08","3,842,607.71","8,649,486.89"
收回投资收到的现金,,"50,000.00","19,260,000.00",,"150,000,000.00","370,000,000.00","756,000,000.00"
支付其他与筹资活动有关的现金,"56,399,679.88","59,765,000.00","1,071,698.10","60,255,364.23","25,510,000.00","24,860,000.00","37,334,000.00"
取得投资收益收到的现金,"3,432,870.23","4,715,909.74","1,181,660.30",,"1,709,985.46","4,590,865.03","8,606,429.85"
筹资活动现金流出小计,"357,836,792.40","423,512,537.76","538,640,846.39","300,204,721.69","318,151,390.43","314,172,642.71","380,408,121.27"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"171,922.33","263,220.30","218,000.00","7,724,298.00","11,133,871.91","9,335,903.14"
筹资活动产生的现金流量净额,"13,643,736.00","-67,501,748.89","-47,071,606.39","325,645,278.31","297,108,609.57","308,303,632.86","269,798,850.47"
处置子公司及其他营业单位收到的现金净额,"126,165.65",,,,,,
四、汇率变动对现金的影响,"129,598.39","10,025,864.02","11,671,855.74","-3,074,481.98","-2,775,037.41","-5,377,306.14","-8,356,905.17"
收到其他与投资活动有关的现金,"99,411,000.00","356,000.00","285,900.00",,,,"280,000.00"
四(2)、其他原因对现金的影响,,,,,,,
投资活动现金流入小计,"102,970,035.88","5,293,832.07","20,990,780.60","218,000.00","159,434,283.46","385,724,736.94","774,222,332.99"
五、现金及现金等价物净增加额,"12,174,813.75","2,344,329.52","5,834,140.10","223,278,643.96","74,983,245.27","96,104,840.24","89,139,143.30"
购建固定资产、无形资产和其他长期资产支付的现金,"99,073,555.15","77,973,760.63","48,843,214.72","9,472,723.29","10,548,366.80","21,202,135.17","55,820,897.42"
期初现金及现金等价物余额,"21,854,463.94","34,029,277.69","36,373,607.21","42,207,747.31","42,207,747.31","42,207,747.31","42,207,747.31"
投资支付的现金,"2,800,000.00",,"18,000,000.00","110,000,000.00","370,000,000.00","590,000,000.00","916,000,000.00"
期末现金及现金等价物余额,"34,029,277.69","36,373,607.21","42,207,747.31","265,486,391.27","117,190,992.58","138,312,587.55","131,346,890.61"
