科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"61,316,537.28","85,338,201.27","88,502,659.61","132,103,609.74","16,805,973.01","73,966,137.91","110,506,424.56","170,668,939.18","31,612,157.62","114,001,315.78","198,739,889.34","285,846,227.90","41,936,403.43","129,304,736.12","207,132,483.87","299,781,406.80","59,479,913.10","169,611,393.87","282,526,865.00","433,957,653.68","52,187,852.91","177,980,026.34","287,261,882.82","454,528,619.57","108,254,697.30","354,202,328.68","547,883,449.74","688,206,692.70","111,330,761.41","463,687,465.17","621,956,727.98","1,044,545,962.23","95,868,772.98","222,604,908.73","462,366,159.36"
二、营业利润,"11,272,406.53","13,317,260.19","14,627,438.34","21,605,395.08","-396,777.68","10,666,740.23","16,891,338.29","19,867,602.70","3,681,948.39","15,923,508.65","23,090,342.49","26,362,563.25","4,755,480.61","1,749,044.74","6,686,659.32","6,279,567.70","2,572,718.56","9,977,131.60","26,144,752.17","51,085,581.41","3,505,610.59","16,187,649.71","33,968,373.94","65,186,657.04","16,328,128.40","33,962,347.45","56,051,296.25","72,636,746.16","12,786,012.75","67,244,459.90","82,495,172.41","228,359,347.76","-22,006,090.97","-189,840,256.01","-198,583,110.96"
减:营业成本,"44,312,964.67","59,615,183.14","62,303,992.31","93,004,328.57","11,558,533.32","51,720,361.36","76,857,985.94","120,342,625.77","22,721,177.56","80,372,356.21","139,523,529.56","203,664,787.58","29,040,373.75","91,247,624.94","148,046,121.44","216,823,229.17","43,494,546.63","121,745,772.95","196,902,926.93","288,913,211.76","34,977,055.21","119,607,287.66","191,092,726.80","299,491,489.48","73,106,084.85","271,586,915.40","407,634,222.88","493,547,945.89","72,224,099.06","310,309,737.92","409,690,671.63","691,802,902.82","70,849,889.92","174,199,857.80","361,310,953.59"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"274,426.19","329,023.83","210,935.00","210,935.00",,"201,731.06","213,718.37","482,725.46","7,391.81","34,685.78","501,362.27","98,534.59","27,586.71","74,215.60","78,428.27","885,608.26","270,102.77","1,164,721.24","1,434,635.54","3,068,938.95","32,861.48","335,488.11","876,967.92","2,597,483.32","762,296.80","2,720,855.95","3,095,610.78","4,937,192.66","244,858.37","3,432,369.75","3,771,668.47","8,372,672.10","556,212.10","4,303,828.23","5,411,556.37"
营业外收入,"625,212.60","1,711,790.37","3,422,991.22","5,094,977.96","795,887.80","1,879,025.54","3,071,015.53","5,949,599.78","828,423.47","1,370,326.94","3,206,600.47","6,252,667.38","689,890.16","1,493,988.10","2,229,761.60","6,552,391.97","1,078,719.02","2,028,872.03","2,611,138.00","8,791,608.84","699,817.34","1,782,645.29","3,691,117.10","7,926,832.55","1,128,072.57","2,765,416.65","7,171,745.01","10,662,913.21","1,136,924.26","19,735,751.70","21,205,434.20","28,129,989.13","1,188,761.59","711,906.32","1,254,755.23"
销售费用,"2,722,720.50","3,819,651.59","3,279,391.65","4,750,354.93","1,459,570.57","3,239,865.33","5,024,503.95","9,751,028.81","2,684,002.31","8,822,690.84","14,610,919.44","21,358,307.63","3,272,763.96","9,872,554.27","17,504,630.13","26,951,156.83","4,532,371.97","14,925,423.22","22,228,441.32","33,983,467.46","4,845,699.85","16,804,400.71","24,175,144.58","35,334,179.08","10,621,448.35","19,334,410.11","29,120,073.06","42,243,657.21","8,281,817.01","26,833,569.38","39,680,300.08","63,057,304.05","9,916,769.77","21,997,010.08","34,947,427.77"
减:营业外支出,"5,060.00",380.00,790.00,790.00,61.40,61.40,"6,765.45","37,685.22",,"9,835.53","201,808.28","29,498.78","70,319.80","74,082.07","74,096.53","299,529.19",,"20,000.00","20,000.00","48,076.07",1.01,50.41,50.41,50.41,"571,700.63","571,728.89","930,219.45","695,094.38",903.45,"1,003,142.58","1,672,389.78","7,331,445.30","450,074.47","515,988.89","561,282.02"
管理费用,"2,434,111.90","6,204,374.23","7,223,077.21","10,710,367.72","3,712,204.69","6,091,356.32","9,655,323.22","19,731,238.82","4,550,938.49","10,119,564.21","19,764,270.36","27,901,773.90","5,397,478.16","21,354,099.69","27,392,378.09","37,248,339.03","6,650,914.80","15,313,088.47","25,936,192.83","43,279,639.41","9,505,212.92","20,205,805.91","32,246,516.33","48,967,239.57","8,939,547.67","23,736,501.15","40,444,951.35","65,243,573.61","14,407,171.49","46,178,003.56","74,838,017.39","119,685,385.08","26,984,318.93","59,461,116.09","88,779,447.17"
其中:非流动资产处置净损失,,,,,,,,,,,,,,409.98,409.98,"225,842.64",,,,"28,076.07",,,,,"51,917.05","51,917.05","51,917.05","58,100.78",,,,"133,270.25",,"48,527.19","48,527.19"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"258,716.59","-85,723.32","313,505.10","741,137.45","402,792.23","244,192.03","-543,740.49","192,760.74","-1,181,191.05","-2,005,591.17","-960,456.44","3,284,408.92","2,241,603.45","5,654,271.39","8,138,361.08","11,634,311.25","1,919,743.76","3,827,423.36","5,219,903.92","6,566,331.48","1,092,116.45","3,172,784.68","5,642,493.53","5,114,858.79","1,612,972.04","3,855,618.50","9,809,217.52","10,708,742.11","1,662,096.95","4,552,308.29","7,338,710.93","5,392,237.32","8,370,491.22","23,660,236.62","38,080,534.34"
