科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"347,548,546.23","449,019,703.75","552,103,789.55","343,006,127.43","235,231,867.38","565,752,814.56","248,154,309.00","310,967,744.18","443,701,882.09","1,247,603,215.05","588,917,997.59","1,395,971,658.43","1,106,672,736.86","1,363,046,160.56","1,259,860,853.87","1,968,432,652.69","2,264,566,163.67","2,516,713,955.79"
短期借款,"119,000,000.00","349,570,000.00","555,000,000.00","555,000,000.00","525,000,000.00","422,670,000.00","475,000,000.00","672,700,000.00","852,700,000.00","1,122,700,000.00","1,512,700,000.00","1,207,000,016.20","925,500,000.00","1,017,000,000.00","1,217,000,000.00","2,440,000,000.00","2,657,930,311.16","2,807,353,045.84"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"35,162,689.45","21,040,923.00","49,052,820.08","98,906,813.32","94,663,549.67","101,243,042.85","99,735,490.58","83,297,135.31","32,591,715.05","83,843,920.54","15,307,233.02","76,538,540.26","151,418,072.46","255,388,167.91","163,803,598.97","182,522,694.46","396,187,679.93","335,196,204.32"
应付票据,"71,133,773.20",,,"40,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","83,000,000.00","83,000,000.00",,"200,000,000.00","350,000,000.00","361,124,381.27","200,000,000.00","150,000,000.00","50,000,000.00",
应收账款,"80,823,222.29","219,127,159.35","327,907,395.00","314,723,966.90","289,825,635.30","570,663,474.64","403,638,759.44","695,357,281.38","789,892,218.26","1,188,081,794.15","1,055,932,945.29","1,254,168,634.25","1,155,271,009.21","1,369,381,780.49","1,230,791,476.87","1,534,279,491.59","1,805,714,826.88","2,051,406,366.95"
应付账款,"230,695,293.88","411,097,104.16","535,015,595.29","386,373,991.15","462,052,361.60","697,183,793.32","461,781,747.36","648,878,358.27","673,943,671.15","1,205,850,287.73","935,347,764.42","751,916,503.03","650,515,522.01","973,968,521.82","940,860,163.52","991,781,937.65","1,430,390,715.98","1,903,322,965.35"
预付款项,"36,906,062.21","94,272,115.34","34,630,153.52","34,211,214.53","64,402,825.11","24,321,913.85","90,158,717.58","55,232,793.09","52,787,218.39","41,198,478.84","66,166,146.86","44,545,919.60","50,993,271.85","128,085,419.04","209,154,548.46","157,414,385.07","210,640,289.76","326,139,634.91"
预收款项,"205,930,248.93","108,079,936.75","222,202,413.45","50,623,237.78","97,520,402.70","71,418,498.75","111,696,504.18","53,968,838.10","71,491,140.06","114,077,477.65","76,327,989.01","82,862,995.36","117,215,995.22","91,782,810.53","140,853,819.38","174,831,507.19","269,144,394.82","456,784,432.65"
