科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"363,148,835.73","413,571,218.57","447,477,858.09","266,491,046.66","419,705,246.19","567,426,650.03","139,744,853.35","357,437,101.60","568,365,771.67","764,514,880.91","187,831,419.09","482,002,294.45","707,387,261.68","942,450,475.38","199,743,589.06","550,366,856.40","855,331,422.94","1,126,285,519.92","230,919,086.09","557,134,288.12","859,615,030.37","1,145,311,661.88","222,473,263.27","574,282,630.61","908,178,668.60","1,146,416,823.56","239,613,330.66","602,925,232.94","924,155,565.52","1,317,893,130.25","290,524,667.98","709,740,880.02","1,089,624,102.88"
二、营业利润,"23,755,756.21","30,876,318.63","51,209,666.65","28,230,175.09","48,636,135.02","60,119,696.46","11,997,547.96","36,201,162.22","56,164,805.65","62,356,554.78","16,453,321.33","48,391,862.53","79,380,334.03","104,915,720.37","24,821,325.02","75,349,901.35","124,052,261.83","136,784,912.42","11,785,371.16","44,797,987.38","78,239,433.31","86,798,741.45","22,592,236.55","63,444,986.94","106,825,886.19","110,324,986.54","31,536,525.77","80,044,399.55","104,326,277.59","122,703,532.06","52,698,800.39","130,881,936.61","169,796,040.00"
减:营业成本,"297,060,649.88","333,577,789.52","336,857,258.53","207,701,697.75","326,685,615.18","442,520,379.18","111,829,843.48","285,650,174.03","453,879,519.07","607,040,251.99","144,052,956.05","365,503,639.34","535,368,941.59","714,069,305.37","146,037,804.60","411,798,589.49","635,457,967.31","844,420,573.11","173,642,959.53","413,200,227.31","634,864,092.16","852,100,268.33","161,973,671.89","417,395,074.42","665,648,180.42","835,375,635.22","166,815,773.14","428,510,384.16","659,315,741.53","948,106,011.76","202,161,563.04","495,899,389.68","772,880,875.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,126,251.72","331,966.92","553,854.60","200,336.58","292,874.58","433,439.01","197,763.24","447,471.58","1,239,116.21","1,819,291.22","376,059.76","1,165,454.02","2,122,861.36","4,385,427.20","1,234,457.82","1,792,268.49","2,847,149.37","4,918,985.74","1,513,473.60","1,981,053.88","2,893,148.75","5,628,366.51","1,986,009.50","3,386,258.01","4,241,847.43","6,664,763.26","2,168,149.85","2,935,425.24","4,590,318.52","12,162,629.19","2,278,833.48","6,608,449.07","9,096,785.04"
营业外收入,"1,215,182.00","1,679,783.58","3,240,243.25","815,863.44","8,064,594.27","8,446,703.43","529,861.77","1,575,790.49","2,806,711.97","8,880,556.42","529,666.87","3,558,381.61","5,159,629.50","6,113,463.36","1,593,831.64","2,805,502.38","5,029,202.90","12,461,898.69","883,728.88","15,917,269.89","20,168,386.61","21,828,576.09","526,545.20","14,154,226.57","15,895,049.64","23,033,298.16","798,839.21","1,663,522.36","3,353,051.97","6,383,793.92","4,313,232.42","3,121,956.73","3,420,008.44"
销售费用,"13,339,233.56","12,583,320.67","20,674,065.75","9,759,436.03","13,194,903.55","21,558,755.50","6,496,427.00","16,510,803.04","25,389,747.06","40,053,510.55","10,600,507.57","23,922,467.35","35,468,417.74","54,999,873.50","9,268,939.74","26,438,598.53","43,956,727.80","69,472,893.68","10,893,470.48","31,903,947.76","54,248,193.01","80,240,565.28","9,963,417.78","26,566,864.98","45,075,086.98","70,428,600.54","11,100,640.21","30,869,153.32","54,013,074.15","96,692,948.51","22,485,602.20","53,500,018.31","81,446,966.34"
减:营业外支出,"642,920.02","582,626.75","580,623.58","321,319.82","1,620,894.83","1,907,631.00","415,333.49","1,196,231.57","832,528.50","1,638,734.20","256,834.15","658,054.02","957,239.31","3,016,670.37","467,065.51","1,103,967.08","1,441,076.38","2,210,783.49","500,065.21","1,223,966.57","1,705,713.83","1,713,414.50","440,680.67","1,094,777.69","1,514,532.73","1,818,153.35","317,981.00","947,397.18","1,282,238.69","2,034,873.81","189,417.85","14,417,000.87","15,288,756.98"
管理费用,"27,816,392.03","27,970,056.15","32,445,190.42","17,712,811.20","26,731,984.00","40,591,563.46","11,534,664.22","25,380,810.09","40,451,594.92","57,684,263.85","16,384,683.70","33,835,946.68","48,580,234.85","73,348,663.29","21,025,214.40","48,584,494.90","73,796,656.75","101,038,610.72","23,157,041.16","53,044,587.69","81,105,608.84","112,455,234.27","28,054,773.25","64,507,516.89","94,044,480.61","130,458,003.76","28,748,663.57","62,295,812.29","98,733,984.64","136,925,953.63","29,078,497.89","68,230,934.18","100,601,700.05"
其中:非流动资产处置净损失,,,"57,630.30",,,"1,177,534.66",,"15,514.50",,"15,514.50",,"60,695.52","62,309.98","1,869,159.58",,"44,200.02","44,200.02","87,813.02",,"396,263.19","494,812.96","632,914.28","86,177.33","95,974.57","144,663.49","312,011.69",,"154,911.04","137,853.29","512,537.23",,"12,919,897.29","13,052,410.39"
