科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"40,937,020.13","50,388,041.10","49,062,663.46","50,828,180.24","60,435,444.63","81,666,475.13","308,940,540.69","245,060,544.34","191,710,430.63","125,759,764.59","1,132,183,870.67","253,325,961.32","360,532,886.65","379,033,557.38","488,626,719.84","319,835,091.77","293,750,713.33","269,519,912.57","413,062,210.29","359,002,858.22","396,860,332.76","429,378,098.09","365,536,789.94"
短期借款,"114,711,530.00","76,899,100.00","111,347,859.20","143,524,248.80","163,805,000.00","203,000,000.00","133,931,400.00","195,046,793.40","197,447,972.80","207,168,123.20","264,157,888.00","118,110,982.50","256,752,572.16","352,340,239.90","211,400,000.00","219,400,000.00","359,400,000.00","198,000,000.00","237,318,453.09","399,371,630.04","315,934,723.88","436,889,040.00","487,268,327.99"
交易性金融资产,,"5,687,835.00","1,199,480.00",,,,,,,,,,,,,,,,,,,"3,676,260.00","7,936,285.15"
交易性金融负债,"430,250.00",,,"2,942,990.00","497,426.00","1,285,076.00","1,285,076.00","1,204.00","217,986.75",,,,,,,,,"20,087.96",,,,"2,575,914.00",
应收票据,,,,,,,,,,,,,,,,,,,,,,,
应付票据,"9,976,381.97","18,976,056.36","18,789,296.38","25,878,162.96","30,850,713.46","47,076,944.37","48,387,108.87","44,812,790.71","23,114,381.30","39,468,874.30","41,028,510.56","37,218,657.54","40,912,197.92","33,460,776.05","26,021,506.64","32,174,871.00","16,595,613.30","23,108,881.54","19,611,028.19","17,178,295.54",,"22,148,100.14",
应收账款,"38,000,071.34","57,787,119.59","68,392,982.73","90,920,401.48","86,378,697.57","85,738,293.10","85,293,573.05","122,650,059.50","99,897,250.88","110,712,610.85","105,030,819.89","114,039,670.89","98,299,506.57","120,746,586.75","112,606,884.42","166,199,672.12","205,824,338.87","257,160,114.93","200,776,792.87","289,182,048.26","226,347,808.50","288,947,025.73","287,383,613.92"
应付账款,"42,102,069.48","45,514,975.81","54,228,219.56","60,026,660.83","62,635,709.30","48,580,232.18","44,884,012.96","73,267,801.63","73,915,896.24","86,406,737.87","59,140,316.12","63,044,527.25","79,626,203.68","97,515,728.54","96,264,287.48","88,557,126.78","103,875,349.95","109,216,600.74","66,603,161.75","95,613,698.03",,"128,696,723.82",
预付款项,"3,030,958.27","836,255.37","829,140.80","1,490,902.59","980,378.62","1,436,833.44","3,393,056.34","6,670,312.18","6,527,028.06","6,431,537.24","4,349,236.02","5,840,284.79","5,983,457.31","5,080,261.41","9,624,988.33","6,022,596.72","9,946,073.59","6,252,451.08","4,617,616.85","11,313,429.01","12,222,246.37","6,219,789.72","13,675,714.72"
预收款项,"130,295.80","79,525.08","281,494.13","699,639.35","781,593.30","362,222.86","223,257.27","1,363,412.96","355,930.00","738,614.94","582,644.20","543,157.23","608,335.78","2,874,857.34","764,485.79","639,601.38","670,794.88","1,080,361.72","565,957.64","2,245,156.70","4,101,708.71","759,910.41","718,052.32"
其他应收款,"15,002,744.52","16,436,161.37","20,799,317.21","18,716,602.29","24,137,739.99","24,518,566.09","36,054,584.73","31,537,306.64","68,692,260.51","34,329,056.19","41,826,862.35","41,020,720.57","58,716,210.66","31,591,272.56","25,617,037.20","40,438,625.44","32,005,551.49","40,807,749.11","25,922,360.78","31,832,606.74","24,807,877.90","24,205,469.52","19,958,420.96"
应付职工薪酬,"10,291,256.17","12,140,834.72","12,867,517.53","8,518,058.23","9,145,168.60","13,160,439.61","6,123,502.34","7,566,893.72","7,960,735.04","16,382,396.48","8,211,735.77","6,643,598.34","9,514,528.77","15,103,701.68","13,453,706.44","10,718,486.79","32,938,795.56","47,862,421.70","33,056,664.51","34,228,627.57","37,150,043.43","64,646,098.01","37,612,306.61"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,806,858.03","9,324,391.96","15,712,552.36","21,338,149.09","20,948,919.87","19,641,792.26","18,857,097.73","30,432,695.71","34,711,241.64","23,684,923.23","36,153,434.77","26,840,202.25","27,624,575.67","15,020,552.97","17,359,291.98","23,745,331.09","25,370,423.93","28,849,110.25","27,595,671.70","22,712,448.86","20,797,357.09","31,820,207.91","13,325,800.75"
