科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"70,229,233.74","22,478,395.79","66,701,457.28","64,884,164.92","37,433,928.72","55,201,345.86","95,878,229.15","73,943,067.39","80,014,836.45","101,020,962.20","139,391,704.90","106,254,903.12","257,003,566.78","196,224,683.58","219,587,208.86","307,855,626.86","171,148,046.14","182,935,889.95","174,813,567.68","236,331,556.81","230,824,478.66","180,548,338.92","155,959,898.64","144,214,029.64","183,209,471.54","143,712,366.35","148,789,003.03","182,753,789.71","247,988,908.38","192,857,014.15","323,565,987.81","155,744,163.41","298,756,491.56","344,894,263.06","323,825,849.10","231,977,417.34","107,785,416.62","570,586,780.65","393,503,552.20","707,157,659.15","529,583,781.19","614,888,021.84","346,275,353.31","625,594,644.18"
短期借款,"151,200,000.00","150,400,000.00","184,900,000.00","224,900,000.00","269,900,000.00","259,900,000.00","354,900,000.00","390,900,000.00","390,900,000.00","439,900,000.00","461,001,060.48","296,343,849.00","395,400,000.00","384,900,000.00","388,800,000.00","483,245,523.06","503,140,226.54","592,053,368.18","537,573,751.32","539,997,632.90","588,004,161.57","565,390,910.32","535,503,905.39","565,155,044.52","595,695,054.04","506,175,460.76","553,157,600.00","642,203,568.87","507,191,286.00","401,941,286.00","335,500,000.00","439,349,731.01","389,240,898.71","442,344,588.66","505,887,615.20","436,925,788.11","382,849,563.00","397,000,000.00","220,804,676.00","388,500,291.96","471,463,174.29","485,336,020.02","469,461,837.12","442,541,705.41"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,640,100.00","36,841,500.00","14,361,735.18","14,193,500.43","16,335,508.17"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"553,283.32","276,172.27","722,645.43","523,285.83","798,693.21","734,168.19","555,879.13","859,875.48","1,003,062.52","1,336,026.03","10,298,290.93","1,065,763.83","6,645,968.05","37,895,968.05","2,674,344.36","32,347,756.88","94,899,227.17","11,006,395.74","1,138,430.76","16,780,051.70","2,279,840.23","4,000.00","496,839.55","172,054.78",,"746,353.80",,"996,404.44","595,023.81","36,473,791.77","108,291,879.20","87,907,957.38","36,854,940.00","97,621,128.88","53,454,369.63","31,870,870.00","54,676,326.76","65,454,510.00","47,985,260.00","20,879,491.60","19,150,000.00","13,500,571.05"
应付票据,"41,914,439.96","51,376,289.48","105,778,469.86","134,042,113.90","127,629,976.16","158,327,399.38","169,340,061.50","236,092,970.81","233,796,870.20","242,571,900.72","271,567,364.53","246,736,205.72","323,393,582.27","295,002,254.49","279,379,006.91","179,177,030.45","155,936,589.86","197,895,109.71","252,072,697.55","300,825,270.58","283,491,771.65","271,850,103.62","277,909,579.83","226,585,456.44","258,903,375.88","239,708,312.93","254,341,055.26","197,552,852.90","174,055,864.58","200,391,709.60","181,941,815.52","150,463,025.98","239,338,584.00","293,742,532.23","331,911,103.02","194,812,763.20","118,347,279.67","100,362,974.93","170,098,358.36","160,840,163.27","91,778,523.61","238,286,912.06","409,980,378.07","572,070,446.00"
应收账款,"162,984,904.13","173,685,051.99","185,561,911.19","121,014,615.28","129,755,299.65","151,566,977.14","142,992,309.42","152,230,919.89","150,092,111.78","189,859,015.41","170,443,633.04","191,659,650.95","209,377,149.26","139,327,750.34","148,521,487.37","164,668,518.53","217,564,840.50","181,762,993.71","168,217,827.11","177,519,526.08","162,561,629.37","145,484,126.60","178,886,094.20","124,389,630.05","131,923,758.33","117,740,655.39","660,885.67","120,977,424.32","153,173,436.52","171,364,028.90","143,240,997.76","269,504,499.03","298,238,106.49","263,644,490.71","385,805,430.43","170,981,258.68","289,350,622.73","192,304,763.53","140,959,810.40","263,114,240.01","359,204,104.78","418,541,484.71","490,207,322.60","531,197,661.23"
应付账款,"55,279,761.59","66,085,600.69","48,092,642.30","66,180,286.49","68,943,482.53","100,071,527.79","124,479,907.90","151,457,506.73","175,461,132.82","184,312,081.91","144,476,353.98","189,428,719.58","208,411,840.92","152,521,659.66","121,862,826.31","181,568,980.92","199,165,037.95","171,047,037.71","210,819,412.47","190,895,530.04","198,412,786.69","201,192,635.98","188,617,412.14","190,297,921.28","187,650,589.11","204,065,224.17","159,149,280.86","118,121,360.17","117,807,290.55","136,010,041.57","96,227,342.96","135,712,225.91","121,020,523.83","156,310,458.37","212,016,348.05","54,871,750.89","47,992,558.10","58,979,376.57","69,139,105.68","194,631,694.54","296,807,111.41","276,077,977.40","350,012,373.60","318,989,833.92"
预付款项,"16,835,199.96","22,853,046.36","12,208,890.54","42,719,737.43","44,881,290.51","33,967,979.66","69,700,373.69","91,579,871.88","116,423,301.99","82,652,441.00","93,890,452.55","99,526,274.87","201,112,345.85","171,486,656.78","101,806,998.28","79,407,567.03","239,397,984.28","178,655,755.06","222,322,372.43","33,845,051.41","35,275,010.59","61,392,142.35","30,365,404.08","30,216,689.79","39,088,137.79","104,056,185.13","141,324,298.69","28,985,381.48","32,439,003.49","80,717,544.73","70,299,045.04","117,758,145.95","81,450,881.18","94,490,778.14","135,288,647.95","28,054,133.56","29,393,411.48","29,427,339.72","24,716,014.15","276,808,338.72","332,872,788.07","262,209,308.65","802,032,887.72","455,782,856.65"
预收款项,"629,353.74","2,019,517.39","186,088.06","5,104,033.87","579,704.24","6,486,877.43","8,040,609.91","10,467,323.73","9,989,065.88","13,182,208.53","9,300,503.03","11,678,696.79","22,043,351.93","11,680,883.72","52,283,609.71","11,354,222.08","54,818,807.63","12,180,039.79","68,034,077.96","11,589,101.87","13,389,724.87","7,243,081.80","16,941,648.07","7,586,980.99","6,663,738.06","8,500,532.52","6,638,947.62","7,866,010.67","7,895,249.20","12,206,651.06","8,834,983.62","24,905,949.90","21,815,618.10","14,875,979.40","27,318,645.81","5,014,746.06","5,664,220.75","4,077,226.33","10,235,993.51","89,563,135.00","94,257,485.70","123,785,786.84","348,936,166.29","286,469,816.19"
