科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"16,918,967.41","32,046,689.51","41,902,461.86","22,897,364.31","53,050,885.60","830,300,336.06","727,603,918.95","621,273,644.64","475,389,972.57","475,797,794.59","355,627,482.20","246,225,948.71","142,221,141.75","162,327,163.54","97,965,559.51","122,428,393.47","139,103,990.68","324,586,975.09","211,932,605.84","715,780,663.30","296,577,668.54","258,855,348.22","509,411,789.59","461,661,920.59","515,337,717.44","546,611,004.76","492,212,565.01","517,670,692.07","491,376,764.92","536,392,272.94","353,882,852.28","250,252,948.57","459,130,297.49","312,508,266.46","337,399,759.98","385,679,547.73","423,466,441.25","388,839,533.25","392,143,156.59"
短期借款,"50,000,000.00","25,000,000.00","25,000,000.00","20,000,000.00","50,000,000.00",,,,,"30,000,000.00","70,000,000.00","70,000,000.00","170,000,000.00","170,000,000.00","170,000,000.00","180,000,000.00","238,100,000.00","268,100,000.00","270,000,000.00","30,000,000.00","101,423,670.00","102,303,450.00","127,794,607.28","110,152,340.00","268,891,188.32","269,912,971.21","496,457,334.37","451,229,807.95","560,198,600.00","580,761,300.00","358,546,700.00","58,609,700.00","8,945,100.00","8,878,000.00","8,679,200.00",,"50,000,000.00","100,000,000.00","150,000,000.00"
交易性金融资产,,,,,,,,,,,,,"19,226,160.00","5,150,077.20","15,226,688.40",,"8,172,710.00",,,,,"6,941,491.20",,,"3,808,435.91","3,366,201.38","3,844,144.29",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,"26,649,000.00","38,256,000.00","68,710,500.00","128,798,280.00","111,011,600.00","125,161,200.00","152,157,000.00","163,408,000.00","191,676,280.00","172,672,450.00","282,213,750.00","310,315,950.00","352,296,600.00","401,732,100.00","348,036,073.70","360,615,000.00","347,537,400.00","345,626,400.00","366,166,901.05","321,004,800.00","361,227,600.00","392,901,750.00","306,783,450.00","229,914,900.00","238,438,200.00","245,203,920.00","260,332,520.00","279,102,600.00","334,886,800.00","315,390,400.00"
应收票据,,"760,205.30","753,239.96",,"546,647.44","720,290.00","553,227.76","903,391.81","431,029.27","1,055,187.42",,,,,,,"3,100,000.00","3,100,000.00",,,,,,,,,,,,,,,,,,"2,159,967.58","1,360,018.14","2,348,889.44","1,896,919.96"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00",,,,,,,,,,,
应收账款,"28,410,383.33","27,736,545.88","25,665,256.51","29,972,143.78","22,921,923.21","44,404,854.25","37,817,262.97","36,104,402.44","49,334,359.43","39,018,810.06","53,334,297.07","48,358,533.11","58,329,911.31","77,545,134.97","75,257,181.89","68,327,498.82","80,735,308.70","139,138,000.76","150,113,198.90","102,593,202.56","82,712,621.27","136,740,283.20","147,218,407.77","132,824,057.41","145,835,285.61","205,811,087.88","184,346,081.31","183,599,232.97","156,911,406.20","188,125,645.42","187,798,109.13","162,852,013.13","157,789,930.26","195,576,830.51","184,072,566.28","177,704,979.68","188,276,431.93","204,548,207.65","206,593,120.02"
应付账款,"43,953,473.86","38,970,433.41","43,574,451.15","41,508,679.32","44,523,142.01","50,901,187.55","65,976,214.24","97,224,684.10","97,219,945.37","65,712,423.42","105,634,582.95","153,487,732.28","95,436,265.17","36,787,927.32","50,498,010.66","59,138,997.66","91,448,958.41","64,746,455.94","104,769,192.47","108,498,432.52","120,915,110.55","132,932,971.36","147,113,675.41","140,507,475.73","140,250,108.91","146,389,934.48","159,924,690.62","152,116,839.51","193,118,990.72","184,381,029.87","156,374,089.61","134,573,730.22","132,134,805.29","128,434,499.89","143,527,210.46","163,450,062.73","125,439,017.91","141,237,540.19","150,759,401.11"
预付款项,"2,548,945.03","2,752,546.56","1,909,511.00","6,813,460.42","3,272,783.52","16,492,019.08","15,858,609.23","9,235,641.60","10,551,637.44","10,731,408.45","9,534,733.20","10,556,022.67","5,885,478.03","6,523,894.33","6,591,934.64","6,715,945.42","9,120,631.92","14,572,066.12","9,785,494.62","12,860,820.09","14,242,846.64","11,069,601.90","22,803,674.65","20,758,785.77","10,457,537.88","18,595,760.26","16,731,763.10","25,700,144.44","25,631,655.09","30,363,452.09","20,897,355.74","18,772,124.47","33,551,138.46","38,031,517.60","20,855,678.18","18,540,308.24","20,570,172.66","21,118,214.10","28,536,478.98"
预收款项,"8,004,705.45","11,966,207.32","9,623,651.09","20,802,715.00","10,882,216.14","15,374,252.10","15,533,206.62","24,536,761.31","8,679,045.18","1,449,001.19","17,286,987.14","22,512,315.13","17,792,315.89","18,904,736.81","19,286,246.28","19,373,340.92","14,206,203.97","16,116,897.10","22,212,118.46","24,881,053.82","28,286,184.42","27,268,554.96","35,517,274.42","41,750,510.87","28,629,847.06","24,485,451.65","33,069,910.46","50,824,084.81","43,693,891.82","49,831,975.28","51,495,422.82","67,649,172.32","39,665,357.21","66,833,007.92","63,676,516.46","79,314,250.71","16,479,808.60","62,054,552.98","82,170,326.92"
