科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"42,553,514.53","97,509,462.13","222,441,529.73","47,417,959.12","118,604,871.26","186,251,766.56","250,174,853.70","34,112,574.25","101,431,522.35","182,035,084.47","272,745,211.80","47,623,118.08","169,756,116.09","279,424,675.93","413,969,081.18","72,812,911.33","198,288,435.98","344,013,514.55","525,901,747.75","107,451,328.92","263,138,420.92","451,236,856.98","699,235,545.28","129,537,839.11","315,061,683.86","540,140,778.48","849,158,915.48","151,906,200.20","384,630,015.91","631,821,449.04","950,953,438.05","170,008,790.11","407,832,656.47","673,969,387.32","1,034,068,936.06","180,085,473.26","560,809,372.39","990,185,669.70","1,742,901,554.29","313,229,452.73","948,284,789.19","1,531,612,376.90","2,688,945,270.67","753,459,485.34","1,385,156,045.25","2,319,795,609.59","3,433,568,254.32","1,076,211,590.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,500,000.00","375,425,361.36",,,,,"125,789,900.48","139,399,900.48","139,399,900.48","139,388,772.21",
收到的税费返还,"344,929.10","344,929.10","3,982,069.36","732,029.01","2,626,462.60","4,919,950.16","6,302,035.29","1,419,564.17","3,258,563.82","4,337,088.29","6,879,363.60","548,333.96","2,791,253.19","5,130,422.53","7,309,029.65","1,773,335.36","2,972,086.73","5,375,422.81","7,302,758.21","600,834.02","3,616,670.80","6,350,839.03","7,721,535.75","1,216,251.39","4,258,338.20","6,314,412.29","9,002,249.32","627,084.05","5,120,824.47","7,440,308.39","10,871,595.91","2,204,998.06","4,258,338.20","6,487,838.15","8,997,831.42","2,773,753.17","5,600,001.43","8,723,056.43","15,672,833.97","2,917,526.82","7,075,689.22","11,991,877.40","16,569,140.58","4,771,219.25","7,295,012.93","16,546,868.46","14,944,658.75","10,464,696.99"
支付其他与投资活动有关的现金,,,"294,543.85",,,"94,372,015.35","3,198,342.06",,,,,,,,,,,,,,,,,,,,"745,000,000.00","334,776,414.70","724,500,000.00","1,162,700,000.00","1,974,580,000.00","856,526,862.69","1,928,780,000.00","2,678,350,000.00","3,242,810,000.00","612,740,000.00","1,539,160,000.00","2,248,420,000.00","3,148,320,000.00","921,570,000.00","1,668,370,000.00","2,575,740,000.00","3,423,891,069.44","550,300,000.00","1,116,300,000.00","1,252,200,000.00","1,473,931,986.90","167,000,000.00"
收到其他与经营活动有关的现金,"588,066.19","1,604,301.67","2,973,234.93","137,536.70","3,743,652.60","3,394,823.87","2,921,178.09","2,098,547.36","8,418,871.68","10,124,929.52","13,031,047.89","7,927,641.12","4,037,073.64","5,021,167.19","7,653,590.69","-1,201,789.90","3,337,521.61","4,433,294.04","8,012,099.03","1,208,675.55","3,776,310.89","6,180,475.90","12,035,656.98","5,493,740.95","10,400,845.62","14,508,375.14","10,464,783.98","4,558,221.97","7,521,547.40","10,705,620.31","10,587,741.53","9,889,864.67","6,258,829.27","6,306,176.19","8,455,351.15","5,827,664.51","7,701,437.32","7,804,921.79","27,168,572.27","9,623,815.74","9,835,942.35","13,614,678.89","46,356,424.01","19,303,348.33","16,681,126.57","33,781,294.84","60,362,548.52","202,093,326.55"
投资活动现金流出小计,"3,650,966.83","14,760,549.16","34,823,239.26","9,711,644.02","14,559,944.97","135,633,313.37","48,841,757.93","13,014,295.88","26,366,656.17","28,751,845.07","52,926,191.47","44,496,535.01","62,452,868.21","64,024,150.47","75,735,312.90","17,296,305.63","35,539,543.19","51,811,300.12","90,016,718.43","10,475,026.08","37,805,939.07","62,512,794.38","93,986,423.00","20,482,885.19","48,983,493.56","64,195,942.79","822,320,696.37","355,177,773.76","756,050,779.25","1,208,559,233.27","2,030,044,161.71","865,565,596.63","1,939,554,563.29","2,691,937,064.04","3,274,238,515.00","640,583,856.56","1,585,890,127.98","2,855,513,847.88","3,624,282,349.67","951,453,485.39","1,745,913,460.49","2,687,950,431.74","3,535,398,489.21","740,355,252.55","1,338,627,187.26","1,479,416,826.05","1,746,909,607.31","170,040,143.19"
经营活动现金流入小计,"43,486,509.82","99,458,692.90","229,396,834.02","48,287,524.83","124,974,986.46","194,566,540.59","259,398,067.08","37,630,685.78","113,108,957.85","196,497,102.28","292,655,623.29","56,099,093.16","176,584,442.92","289,576,265.65","428,931,701.52","73,384,456.79","204,598,044.32","353,822,231.40","541,216,604.99","109,260,838.49","270,531,402.61","463,768,171.91","718,992,738.01","136,247,831.45","329,720,867.68","560,963,565.91","868,625,948.78","157,091,506.22","397,272,387.78","649,967,377.74","972,412,775.49","182,103,652.84","418,349,823.94","686,763,401.66","1,051,522,118.63","188,686,890.94","574,110,811.14","1,006,713,647.92","1,785,742,960.53","325,770,795.29","965,196,420.76","1,557,218,933.19","2,751,870,835.26","777,534,052.92","1,409,132,184.75","2,370,123,772.89","3,508,875,461.59","1,288,769,614.53"
投资活动产生的现金流量净额,"-3,532,248.16","-12,767,892.51","-32,008,237.23","-9,574,018.41","-14,057,029.10","-134,858,071.52","-45,966,293.85","-6,397,563.47","-20,960,931.96","-21,668,883.29","-45,979,622.28","-43,343,993.56","-58,628,335.97","-58,926,612.39","-70,170,243.44","-16,401,812.83","-33,749,518.38","-49,542,865.70","-87,299,175.19","-10,185,159.15","-36,756,158.39","-59,425,796.50","-92,264,087.51","-20,352,432.22","-48,843,404.57","-64,027,867.62","-344,140,271.27","67,547,678.04","-66,220,235.29","-107,571,929.57","-185,632,780.74","22,855,839.97","108,548,582.60","-11,221,849.35","-77,095,845.41","148,354,749.75","273,496,089.25","-335,238,533.34","-310,428,633.27","35,719,246.47","43,776,755.90","-19,295,268.41","-12,583,179.40","-135,606,868.44","-381,117,126.20","-160,641,798.67","-165,635,664.65","35,706,796.92"
购买商品、接受劳务支付的现金,"29,559,487.58","72,763,072.16","162,676,100.93","43,094,966.18","89,646,223.18","126,938,756.44","184,811,419.59","42,721,110.26","76,431,170.96","134,567,770.71","185,352,099.29","52,839,509.25","129,866,720.34","242,753,793.02","349,635,209.20","74,438,789.51","193,245,982.51","300,041,489.53","431,016,192.06","100,725,862.91","203,376,840.71","336,415,058.78","480,162,407.28","118,456,999.23","226,841,498.40","406,277,804.43","605,603,062.22","145,382,901.57","305,251,025.77","473,115,004.82","699,744,711.41","166,382,765.07","313,658,728.79","504,487,471.32","696,545,841.82","150,990,854.99","415,941,318.19","711,612,922.48","1,177,960,783.50","336,795,415.33","825,207,629.41","1,384,726,079.86","2,009,539,901.98","828,331,189.23","1,577,570,309.88","2,571,307,582.64","3,440,118,193.40","853,275,887.86"
吸收投资收到的现金,"9,800,000.00","9,800,000.00","9,800,000.00","787,185.00","258,337,985.00","257,550,800.00","251,734,585.00",,"1,200,000.00","1,200,000.00","1,200,000.00",,,,,,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,"315,520,000.00","315,520,000.00","315,520,000.00","315,520,000.00",,,"25,116,330.00","25,798,530.00","758,000.00","758,000.00","758,000.00","758,000.00",,"284,599,994.40","284,599,994.40","284,599,994.40",,,,,,,"1,000,000.00","1,000,000.00","600,000.00"
支付给职工以及为职工支付的现金,"1,291,498.89","8,776,655.40","15,472,330.73","2,552,065.14","12,833,716.09","14,135,795.35","17,990,934.81","8,599,520.81","12,080,630.55","18,508,226.09","22,610,289.04","11,646,862.80","16,382,984.12","21,590,997.10","30,902,242.75","13,384,444.64","16,635,022.17","29,611,808.29","46,109,075.13","17,850,369.66","29,346,003.60","37,704,455.10","61,974,489.05","21,699,242.10","33,866,915.40","46,519,571.65","68,639,188.11","22,034,972.18","39,575,728.64","52,138,964.55","81,265,283.58","28,071,256.29","45,471,819.28","62,056,910.91","94,906,017.30","30,595,853.19","52,843,882.01","77,903,687.51","120,397,620.95","50,704,625.37","71,845,618.61","105,850,628.57","150,604,686.40","51,963,101.84","97,675,867.17","139,818,562.53","190,813,831.51","56,889,638.00"
取得借款收到的现金,,,,"5,500,000.00","5,500,000.00",,"5,500,000.00",,,,,,,,,,"26,000,000.00","26,000,000.00","31,000,000.00","5,000,000.00","13,700,000.00","29,700,000.00","33,200,000.00",,,,,"2,839,510.00","2,839,510.00","2,839,510.00","2,839,510.00",,,,,,,,,,,"40,000,000.00","80,000,000.00","224,400,000.00","378,000,000.00","438,000,000.00","596,000,000.00","300,000,000.00"
支付的各项税费,"1,296,475.99","7,572,260.84","9,995,189.81","1,826,462.94","4,430,501.17","6,880,205.68","9,380,381.44","1,714,044.04","6,701,256.70","9,726,512.96","14,502,983.10","2,291,471.52","7,887,131.84","12,235,756.29","16,710,903.37","3,569,031.15","13,350,970.17","17,459,485.47","23,519,598.51","6,937,227.37","11,289,084.44","20,560,990.99","40,488,549.58","5,893,493.78","23,268,107.70","31,340,573.31","46,993,809.68","16,374,012.67","27,310,098.62","39,294,319.50","58,285,559.96","11,297,506.49","37,101,656.71","51,823,650.47","73,351,782.12","12,508,612.78","52,097,403.28","79,720,583.53","100,446,535.63","22,764,351.96","61,507,707.85","105,325,293.94","162,810,064.91","55,226,038.79","93,288,554.04","129,839,345.37","158,946,244.98","16,509,798.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,559,226.73",
支付其他与经营活动有关的现金,"10,760,578.09","8,239,582.27","9,650,417.08","8,610,437.38","6,361,084.69","19,199,752.57","15,590,550.30","2,770,950.51","6,022,652.32","10,733,012.89","15,120,644.56","4,939,112.46","19,029,520.09","18,008,276.54","22,924,222.98","6,162,043.40","15,232,852.50","34,380,571.97","27,051,312.18","9,917,825.08","20,598,908.19","31,565,550.02","28,592,695.27","10,900,272.39","25,542,891.71","45,208,756.61","48,670,290.31","12,870,579.19","37,311,819.13","56,936,167.48","55,860,137.54","11,203,172.08","25,244,019.68","42,728,434.00","52,432,137.32","18,113,660.39","44,345,990.20","65,026,172.36","80,802,346.99","16,782,273.46","37,616,768.74","55,797,383.97","106,323,410.13","40,962,064.60","89,127,391.89","151,701,828.56","317,095,806.16","406,491,383.21"
筹资活动现金流入小计,"9,800,000.00","9,800,000.00","9,800,000.00","6,287,185.00","263,837,985.00","257,550,800.00","257,234,585.00",,"1,200,000.00","1,200,000.00","1,200,000.00",,,,,,"27,000,000.00","27,000,000.00","32,000,000.00","5,000,000.00","13,700,000.00","29,700,000.00","33,200,000.00","315,520,000.00","315,520,000.00","315,520,000.00","315,520,000.00","2,839,510.00","2,839,510.00","27,955,840.00","28,638,040.00","758,000.00","758,000.00","758,000.00","758,000.00",,"284,599,994.40","284,599,994.40","284,599,994.40",,,"40,000,000.00","80,000,000.00","224,400,000.00","378,000,000.00","439,000,000.00","620,559,226.73","300,600,000.00"
经营活动现金流出小计,"42,908,040.55","97,351,570.67","197,794,038.55","56,083,931.64","113,271,525.13","167,154,510.04","227,773,286.14","55,805,625.62","101,235,710.53","173,535,522.65","237,586,015.99","71,716,956.03","173,166,356.39","294,588,822.95","420,172,578.30","97,554,308.70","238,464,827.35","381,493,355.26","527,696,177.88","135,431,285.02","264,610,836.94","426,246,054.89","611,218,141.18","156,950,007.50","309,519,413.21","529,346,706.00","769,906,350.32","196,662,465.61","409,448,672.16","621,484,456.35","895,155,692.49","216,954,699.93","421,476,224.46","661,096,466.70","917,235,778.56","212,208,981.35","565,228,593.68","934,263,365.88","1,479,607,287.07","427,046,666.12","996,177,724.61","1,651,699,386.34","2,429,278,063.42","976,482,394.46","1,857,662,122.98","2,992,667,319.10","4,106,974,076.05","1,333,166,707.07"
偿还债务支付的现金,"2,000,000.00","2,000,000.00","2,000,000.00",,"5,500,000.00",,"5,500,000.00",,,,,,,,,,,"26,000,000.00","26,000,000.00","5,000,000.00","5,000,000.00","25,700,000.00","38,200,000.00",,,,,,"2,839,510.00","2,839,510.00","2,839,510.00",,,,,,,,,,,,,"68,000,000.00",,"80,000,000.00","190,200,000.00","325,033,522.34"
经营活动产生的现金流量净额,"578,469.27","2,107,122.23","31,602,795.47","-7,796,406.81","11,703,461.33","27,412,030.55","31,624,780.94","-18,174,939.84","11,873,247.32","22,961,579.63","55,069,607.30","-15,617,862.87","3,418,086.53","-5,012,557.30","8,759,123.22","-24,169,851.91","-33,866,783.03","-27,671,123.86","13,520,427.11","-26,170,446.53","5,920,565.67","37,522,117.02","107,774,596.83","-20,702,176.05","20,201,454.47","31,616,859.91","98,719,598.46","-39,570,959.39","-12,176,284.38","28,482,921.39","77,257,083.00","-34,851,047.09","-3,126,400.52","25,666,934.96","134,286,340.07","-23,522,090.41","8,882,217.46","72,450,282.04","306,135,673.46","-101,275,870.83","-30,981,303.85","-94,480,453.15","322,592,771.84","-198,948,341.54","-448,529,938.23","-622,543,546.21","-598,098,614.46","-44,397,092.54"
分配股利、利润或偿还利息支付的现金,"1,611,375.00","1,611,375.00","14,611,375.00",,,,"109,500.00",,"6,680,000.00","6,680,000.00","6,680,000.00",,"13,360,000.00","13,360,000.00","13,360,000.00",,"30,125,641.66","30,151,549.99","30,174,540.37","46,598.50","10,327,610.17","10,659,482.15","10,389,656.83",,"12,924,983.34","13,071,132.88","12,880,000.00",,"12,911,503.20","12,945,737.01","12,911,503.68",,"25,760,000.00","25,769,001.25","25,769,001.25","168,925.00","52,512,866.37","54,012,866.37","53,526,775.00",,"84,488,404.90","85,319,341.17","86,424,961.09","981,895.00","6,039,413.60","64,283,235.31","86,757,114.48","8,917,647.07"
收回投资收到的现金,,"49,600.00","49,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"2,653,400.00","6,353,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464,275.00",,"6,563,332.50","6,942,332.50","27,958,569.99",,,"786,425.00","895,861.27",,,"701,453.25","722,374.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,730,961.64","3,623,004.10","6,034,363.35","9,089,608.50","14,891,943.47","5,292,959.39","9,934,166.87","13,996,085.67","17,894,685.28","3,971,221.11","7,743,321.22","9,419,104.90","11,278,725.54","3,249,330.74","5,734,823.81","12,080,286.12","11,255,367.45","1,244,443.58","3,554,578.03","12,662,693.86","7,475,373.80",
筹资活动现金流出小计,"3,611,375.00","3,611,375.00","16,611,375.00",,"8,153,400.00","6,353,400.00","5,609,500.00",,"6,680,000.00","6,680,000.00","6,680,000.00",,"13,360,000.00","13,360,000.00","13,360,000.00",,"30,125,641.66","56,151,549.99","56,174,540.37","5,046,598.50","15,327,610.17","36,359,482.15","48,589,656.83",,"12,924,983.34","13,071,132.88","12,880,000.00",,"15,751,013.20","15,785,247.01","15,751,013.68",,"25,760,000.00","25,769,001.25","26,233,276.25","168,925.00","59,076,198.87","60,955,198.87","81,485,344.99",,"84,488,404.90","86,105,766.17","87,320,822.36","68,981,895.00","6,039,413.60","144,984,688.56","277,679,488.48","333,951,169.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,634,061.96","2,118,909.54",,,,,,"575,378.47","1,825,902.17","1,278,119.45","97,846.15","278,762.68","278,762.68","209,711.53","337,020.76","267,477.76","267,477.76","3,350.00",,"610,135.93","2,166,218.03","1,722,335.49","130,452.97","140,088.99","168,075.17","510,740.44","102,447.70","96,180.61","97,695.20","153,937.50","268,477.21","308,979.02","309,129.02","457,984.31","107,385.20","442,896.01","69,731,968.12","64,514,990.86","203,401.12","3,095,392.58","3,114,877.21","3,678,872.92","203,940.53","349,975.91","392,475.91","495,146.27","44,000.00"
筹资活动产生的现金流量净额,"6,188,625.00","6,188,625.00","-6,811,375.00","6,287,185.00","255,684,585.00","251,197,400.00","251,625,085.00",,"-5,480,000.00","-5,480,000.00","-5,480,000.00",,"-13,360,000.00","-13,360,000.00","-13,360,000.00",,"-3,125,641.66","-29,151,549.99","-24,174,540.37","-46,598.50","-1,627,610.17","-6,659,482.15","-15,389,656.83","315,520,000.00","302,595,016.66","302,448,867.12","302,640,000.00","2,839,510.00","-12,911,503.20","12,170,592.99","12,887,026.32","758,000.00","-25,002,000.00","-25,011,001.25","-25,475,276.25","-168,925.00","225,523,795.53","223,644,795.53","203,114,649.41",,"-84,488,404.90","-46,105,766.17","-7,320,822.36","155,418,105.00","371,960,586.40","294,015,311.44","342,879,738.25","-33,351,169.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,938,723.02",,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,205,252.39",,"-252,782.29","-669,765.81","-2,112,410.67","-1,431,413.00","249,395.84","967,873.22","80,759.60","945,382.90"
收到其他与投资活动有关的现金,"118,718.67","308,994.69","646,492.49","137,625.61","502,915.87","775,241.85","2,875,464.08","6,616,732.41","4,830,345.74","5,257,059.61","5,668,449.74","1,054,695.30","3,545,769.56","4,818,775.40","5,355,357.93","557,472.04","1,522,547.05","2,000,956.66","2,714,193.24","289,866.93","439,644.75","920,779.85",,,,,"466,000,000.00","419,000,000.00","683,700,000.00","1,091,800,000.00","1,829,365,500.00","882,860,000.00","2,037,860,000.00","2,666,410,000.00","3,178,790,000.00","784,860,000.00","1,851,200,000.00","2,441,124,241.52","3,238,060,000.00","983,720,000.00","1,780,860,000.00","2,653,460,000.00","3,507,881,069.44","603,300,000.00","953,605,507.12","1,305,719,857.61","1,573,303,422.59","205,702,940.11"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"118,718.67","1,992,656.65","2,815,002.03","137,625.61","502,915.87","775,241.85","2,875,464.08","6,616,732.41","5,405,724.21","7,082,961.78","6,946,569.19","1,152,541.45","3,824,532.24","5,097,538.08","5,565,069.46","894,492.80","1,790,024.81","2,268,434.42","2,717,543.24","289,866.93","1,049,780.68","3,086,997.88","1,722,335.49","130,452.97","140,088.99","168,075.17","478,180,425.10","422,725,451.80","689,830,543.96","1,100,987,303.70","1,844,411,380.97","888,421,436.60","2,048,103,145.89","2,680,715,214.69","3,197,142,669.59","788,938,606.31","1,859,386,217.23","2,520,275,314.54","3,313,853,716.40","987,172,731.86","1,789,690,216.39","2,668,655,163.33","3,522,815,309.81","604,748,384.11","957,510,061.06","1,318,775,027.38","1,581,273,942.66","205,746,940.11"
五、现金及现金等价物净增加额,"3,234,846.11","-4,472,145.28","-7,216,816.76","-11,083,240.22","253,331,017.23","143,751,359.03","237,283,572.09","-24,572,503.31","-14,567,684.64","-4,187,303.66","3,609,985.02","-58,961,856.43","-68,570,249.44","-77,299,169.69","-74,771,120.22","-40,571,664.74","-70,741,943.07","-106,365,539.55","-97,953,288.45","-36,402,204.18","-32,463,202.89","-28,563,161.63","120,852.49","274,465,391.73","273,953,066.56","270,037,859.41","57,219,327.19","30,816,228.65","-91,308,022.87","-66,918,415.19","-95,488,671.42","-11,237,207.12","80,420,182.08","-10,565,915.64","31,715,218.41","124,663,734.34","507,902,102.24","-39,143,455.77","200,026,941.99","-65,556,624.36","-71,945,735.14","-160,551,253.54","300,576,359.41","-180,568,517.98","-457,437,082.19","-488,202,160.22","-420,773,781.26","-41,096,082.13"
购建固定资产、无形资产和其他长期资产支付的现金,"3,650,966.83","14,760,549.16","34,528,695.41","9,711,644.02","14,559,944.97","41,261,298.02","45,643,415.87","13,014,295.88","26,366,656.17","28,751,845.07","52,926,191.47","44,496,535.01","62,452,868.21","64,024,150.47","75,735,312.90","15,040,584.56","33,283,822.12","49,555,579.05","87,760,997.36","10,475,026.08","37,805,939.07","62,512,794.38","93,986,423.00","20,482,885.19","48,983,493.56","64,195,942.79","77,320,696.37","20,401,359.06","31,550,779.25","45,859,233.27","55,464,161.71","9,038,733.94","10,774,563.29","13,587,064.04","31,428,515.00","27,843,856.56","45,430,127.98","75,293,789.28","99,236,988.31","29,883,485.39","67,543,460.49","102,210,431.74","93,323,407.54","9,265,352.07","27,927,286.78","32,816,925.57","71,588,848.20","3,040,143.19"
期初现金及现金等价物余额,"21,338,329.90","7,017,202.82","21,337,515.29","14,120,698.53","7,286,389.71","14,120,698.53","14,120,698.53","251,404,270.62","251,404,270.62","251,404,270.62","251,404,270.62","255,014,255.64","255,014,255.64","255,014,255.64","255,014,255.64","180,243,135.42","180,243,135.42","180,243,135.42","180,243,135.42","82,289,846.97","82,289,846.97","82,289,846.97","82,289,846.97","82,410,699.46","82,410,699.46","82,410,699.46","82,410,699.46","139,630,026.65","139,630,026.65","139,630,026.65","139,630,026.65","44,141,355.23","44,141,355.23","44,141,355.23","44,141,355.23","75,856,573.64","210,431,270.88","210,431,270.88","75,856,573.64","275,883,515.63","277,075,299.86","277,075,299.86","275,883,515.63","576,459,875.04","576,459,875.04","576,459,875.04","576,459,875.04","155,917,532.64"
投资支付的现金,,,,,,,,,,,,,,,,"2,255,721.07","2,255,721.07","2,255,721.07","2,255,721.07",,,,,,,,,,,,,,,,,,"1,300,000.00","511,300,058.60","1,300,000.00",,"10,000,000.00","10,000,000.00","18,184,012.23","55,000,000.00","55,000,000.00","55,000,000.00","62,000,000.00",
期末现金及现金等价物余额,"24,573,176.01","2,545,057.54","14,120,698.53","3,037,458.31","260,617,406.94","157,872,057.56","251,404,270.62","226,831,767.31","236,836,585.98","247,216,966.96","255,014,255.64","196,052,399.21","186,444,006.20","177,715,085.95","180,243,135.42","139,671,470.68","109,501,192.35","73,877,595.87","82,289,846.97","45,887,642.79","49,826,644.08","53,726,685.34","82,410,699.46","356,876,091.19","356,363,766.02","352,448,558.87","139,630,026.65","170,446,255.30","48,322,003.78","72,711,611.46","44,141,355.23","32,904,148.11","124,561,537.31","33,575,439.59","75,856,573.64","200,520,307.98","718,333,373.12","171,287,815.11","275,883,515.63","210,326,891.27","205,129,564.72","116,524,046.32","576,459,875.04","395,891,357.06","119,022,792.85","88,257,714.82","155,686,093.78","114,821,450.51"
