科目,2007年度,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"56,833,585,000.00","29,020,707,000.00","58,908,644,000.00","12,936,920,000.00","27,871,801,000.00","43,144,232,000.00","57,790,394,000.00","14,056,729,000.00","30,463,087,000.00","45,781,380,000.00","63,175,862,000.00","15,468,887,000.00","33,719,850,000.00","51,762,279,000.00","68,302,275,000.00","16,101,104,000.00","36,220,337,000.00","54,607,831,000.00","77,076,743,000.00","16,827,076,000.00","38,565,112,000.00","56,495,611,000.00","79,214,931,000.00","15,724,745,000.00","36,087,089,000.00","54,463,475,000.00","76,784,516,000.00","16,108,481,000.00","36,220,598,000.00","53,909,588,000.00","78,009,448,000.00","15,068,377,000.00","36,866,602,000.00","54,711,739,000.00","79,078,361,000.00","13,034,616,000.00","36,114,606,000.00","58,647,550,000.00","79,543,794,000.00"
二、营业利润,"5,596,652,000.00","2,822,915,000.00","3,974,574,000.00","996,202,000.00","2,183,134,000.00","3,186,258,000.00","2,919,719,000.00","1,166,827,000.00","2,184,519,000.00","3,458,998,000.00","3,482,352,000.00","1,325,377,000.00","2,682,353,000.00","4,359,428,000.00","4,730,924,000.00","1,477,413,000.00","3,002,581,000.00","4,412,490,000.00","5,095,520,000.00","1,090,341,000.00","2,365,033,000.00","3,694,721,000.00","4,311,779,000.00","1,279,781,000.00","2,557,939,000.00","3,620,925,000.00","4,991,980,000.00","1,204,863,000.00","2,690,842,000.00","4,354,202,000.00","5,011,999,000.00","1,138,005,000.00","2,907,969,000.00","4,304,296,000.00","4,699,366,000.00","909,490,000.00","2,386,707,000.00","3,894,711,000.00","5,379,368,000.00"
减:营业成本,"46,692,432,000.00","23,445,823,000.00","48,158,932,000.00","10,783,232,000.00","23,401,825,000.00","36,407,843,000.00","48,274,685,000.00","11,506,075,000.00","25,106,327,000.00","37,741,063,000.00","52,022,738,000.00","12,791,882,000.00","27,482,585,000.00","42,427,444,000.00","55,050,797,000.00","13,094,770,000.00","29,004,672,000.00","43,781,501,000.00","61,809,279,000.00","13,783,745,000.00","31,400,635,000.00","45,713,836,000.00","63,845,498,000.00","12,324,744,000.00","28,829,603,000.00","43,927,914,000.00","60,767,811,000.00","12,921,788,000.00","29,130,684,000.00","43,381,328,000.00","61,321,754,000.00","12,044,643,000.00","29,384,772,000.00","43,399,706,000.00","61,935,654,000.00","9,971,004,000.00","28,171,945,000.00","45,634,306,000.00","61,399,773,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"146,126,000.00","57,778,000.00","117,889,000.00","34,156,000.00","73,526,000.00","114,481,000.00","168,028,000.00","52,766,000.00","124,391,000.00","163,083,000.00","218,363,000.00","61,095,000.00","136,775,000.00","257,946,000.00","384,642,000.00","58,001,000.00","217,464,000.00","311,164,000.00","485,754,000.00","77,996,000.00","215,702,000.00","303,577,000.00","420,409,000.00","105,638,000.00","204,441,000.00","292,684,000.00","426,772,000.00","92,513,000.00","213,088,000.00","313,820,000.00","476,141,000.00","101,120,000.00","207,012,000.00","268,632,000.00","622,469,000.00","75,552,000.00","263,163,000.00","354,374,000.00","547,728,000.00"
营业外收入,"207,913,000.00","80,814,000.00","280,024,000.00","43,572,000.00","78,776,000.00","127,884,000.00","481,655,000.00","17,087,000.00","149,531,000.00","316,702,000.00","760,542,000.00","27,172,000.00","70,418,000.00","245,134,000.00","506,883,000.00","80,707,000.00","216,855,000.00","406,778,000.00","756,023,000.00","113,828,000.00","479,620,000.00","704,784,000.00","1,403,539,000.00","121,555,000.00","302,349,000.00","701,867,000.00","1,178,667,000.00","70,656,000.00","285,951,000.00","385,687,000.00","1,196,560,000.00","39,734,000.00","110,920,000.00","286,742,000.00","783,733,000.00","64,543,000.00","169,194,000.00","282,898,000.00","244,828,000.00"
销售费用,"1,629,555,000.00","819,274,000.00","1,857,635,000.00","338,771,000.00","718,364,000.00","1,085,957,000.00","1,609,273,000.00","407,305,000.00","896,349,000.00","1,374,072,000.00","1,849,016,000.00","508,742,000.00","984,462,000.00","1,470,390,000.00","1,978,143,000.00","464,238,000.00","1,014,657,000.00","1,759,527,000.00","2,791,111,000.00","628,843,000.00","1,289,545,000.00","2,074,058,000.00","2,961,373,000.00","635,752,000.00","1,354,719,000.00","2,106,723,000.00","2,925,460,000.00","562,248,000.00","1,220,268,000.00","1,789,498,000.00","3,127,345,000.00","479,217,000.00","1,267,008,000.00","1,982,865,000.00","3,085,851,000.00","493,908,000.00","1,333,138,000.00","2,182,640,000.00","3,105,049,000.00"
减:营业外支出,"48,515,000.00","37,284,000.00","61,409,000.00","6,814,000.00","12,495,000.00","16,144,000.00","63,208,000.00","6,744,000.00","17,356,000.00","22,007,000.00","120,326,000.00","3,366,000.00","23,252,000.00","31,672,000.00","29,434,000.00","1,903,000.00","4,414,000.00","12,854,000.00","47,985,000.00","4,279,000.00","10,716,000.00","13,544,000.00","217,965,000.00","4,179,000.00","9,420,000.00","27,721,000.00","549,626,000.00","16,716,000.00","30,904,000.00","33,258,000.00","77,453,000.00","3,062,000.00","17,352,000.00","27,683,000.00","38,780,000.00","8,168,000.00","16,895,000.00","41,526,000.00","95,561,000.00"
管理费用,"4,128,739,000.00","2,088,349,000.00","4,803,033,000.00","899,217,000.00","1,964,163,000.00","2,987,947,000.00","4,887,513,000.00","1,045,015,000.00","2,409,222,000.00","3,840,883,000.00","5,655,321,000.00","1,252,262,000.00","2,504,440,000.00","3,719,342,000.00","5,672,063,000.00","1,198,581,000.00","2,913,508,000.00","4,817,395,000.00","6,814,648,000.00","1,431,600,000.00","3,241,964,000.00","4,811,281,000.00","7,261,662,000.00","1,485,609,000.00","3,207,380,000.00","4,938,228,000.00","7,650,780,000.00","1,537,511,000.00","3,358,464,000.00","4,963,616,000.00","7,802,417,000.00","1,222,030,000.00","2,978,567,000.00","4,688,035,000.00","7,750,722,000.00","1,514,940,000.00","3,365,189,000.00","5,879,117,000.00","9,293,363,000.00"
其中:非流动资产处置净损失,"26,264,000.00","9,862,000.00","29,399,000.00","3,447,000.00","5,621,000.00","7,808,000.00","35,293,000.00","4,572,000.00","11,346,000.00","15,699,000.00","66,925,000.00","939,000.00","4,564,000.00","7,074,000.00","14,547,000.00","725,000.00","2,502,000.00","4,908,000.00","21,204,000.00","1,154,000.00","4,936,000.00","6,597,000.00","14,764,000.00","1,086,000.00","4,071,000.00","5,071,000.00","33,979,000.00","3,266,000.00","11,630,000.00","13,435,000.00","21,095,000.00","691,000.00","3,017,000.00","4,820,000.00","16,424,000.00","1,563,000.00","3,170,000.00","16,670,000.00",
