科目,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"15,370,831.85","29,825,467.95","147,857,021.45","148,890,259.15","149,390,220.28","165,064,672.83","129,887,865.21","124,870,771.70","109,298,099.25","128,165,069.19","102,757,164.28","83,268,735.83","75,267,379.79","60,938,071.81","82,019,467.62","34,604,222.51","29,694,982.61","41,188,084.49","54,809,260.31","15,986,315.52","16,651,164.16","35,748,926.82","20,927,622.30","46,388,434.12","19,908,064.01","79,492,679.65","444,274,901.42","236,128,355.40","222,717,279.38","233,919,541.61","182,142,022.77","237,673,194.26","245,606,117.09","205,259,114.76","114,941,207.97","250,566,801.21","135,058,511.36","88,097,183.59","88,035,476.11","120,231,838.95","90,867,196.34"
短期借款,"77,883,680.00","96,067,390.00","91,464,940.00","93,124,620.00","118,500,000.00","138,524,574.50","117,500,000.00","133,500,000.00","134,000,000.00","135,000,000.00","125,000,000.00","135,000,000.00","142,000,000.00","142,000,000.00","142,000,000.00","142,000,000.00","157,121,428.00","162,727,026.25","176,565,229.88","140,186,627.10","142,257,900.00","176,888,504.00","180,246,941.00","26,500,000.00","58,447,779.10","55,091,420.08","12,000,000.00","5,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","100,000,000.00","140,000,000.00","140,000,000.00","310,000,000.00","190,000,000.00","150,000,000.00","150,000,000.00","210,000,000.00","235,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,524,931.51","2,067,397.26",,,"11,342.47",,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"3,000,000.00","500,000.00",,,"3,000,000.00",,"300,000.00",,"1,400,000.00",,,,"850,000.00","50,000.00","50,000.00",,"1,500,000.00","4,238,880.00","100,000.00",,"9,000,000.00","16,339,599.99","590,000.00","3,670,000.00","38,520,000.00","42,900,000.00","32,382,000.00","35,710,000.00","39,430,000.00","45,910,000.00","34,530,000.00","1,000,000.00","30,113,800.00","32,967,800.00","37,224,760.00","28,134,448.80","32,207,903.52","34,981,557.65","35,834,100.00","8,322,700.00"
应付票据,,,,,,,,,,,,,,,,,,,,"98,000.00","98,000.00","73,000.00","73,000.00",,,,,,,,,,,,,,,,,,
应收账款,"67,918,222.30","52,367,754.63","57,336,600.55","77,491,091.31","105,636,747.60","87,105,206.19","81,174,391.53","107,934,477.83","126,307,621.69","115,302,812.99","98,672,944.85","123,017,459.85","144,210,121.75","169,641,380.35","131,476,572.20","169,193,018.41","208,413,696.73","205,973,283.78","165,186,296.72","186,280,633.06","222,230,861.46","239,014,804.01","207,651,410.91","253,173,823.68","286,367,677.84","222,393,978.08","211,333,995.78","273,304,869.42","351,139,598.97","367,444,668.64","351,674,680.09","410,265,713.37","440,799,284.12","401,336,088.69","409,813,839.71","425,030,371.74","389,534,270.14","359,205,146.52","361,248,116.84","417,593,511.49","447,121,062.60"
应付账款,"18,138,514.48","21,304,425.58","18,195,834.12","23,066,365.41","28,728,962.39","26,728,104.23","16,876,068.40","23,890,607.83","28,977,761.28","28,328,279.04","33,664,904.70","55,396,589.58","38,823,493.66","14,827,113.60","61,991,879.09","44,821,293.83","18,520,830.62","30,022,089.50","26,757,740.45","27,128,139.46","29,547,249.48","23,155,804.35","16,765,619.95","31,965,062.19","26,827,820.08","26,997,798.00","25,595,096.69","28,692,132.39","36,373,668.05","42,043,245.60","28,679,292.08","45,259,819.47","50,888,432.40","52,585,171.61","52,692,458.16","60,232,245.20","53,350,847.09","77,624,745.48","83,425,618.33","90,772,530.11","80,758,294.93"
预付款项,"10,416,373.40","10,878,728.37","17,429,226.66","19,514,779.71","13,929,085.92","9,561,460.69","15,825,508.17","18,340,248.91","31,755,178.25","8,946,754.99","15,524,717.09","15,378,135.28","25,533,413.68","16,357,714.60","16,304,455.05","27,681,221.43","20,842,169.64","11,557,001.89","19,283,247.98","21,171,260.36","31,995,326.61","16,127,197.46","15,910,277.39","15,278,171.83","24,771,806.99","13,948,212.79","28,224,713.14","38,569,317.17","36,723,605.53","36,201,197.91","48,331,151.23","50,882,979.83","55,004,430.98","51,955,057.56","44,170,455.23","38,484,251.11","40,766,302.81","20,650,110.79","22,556,104.45","24,915,320.66","29,232,287.39"
预收款项,"994,977.00","861,977.67","1,438,693.58","2,679,898.11","3,091,605.35","1,445,770.00","2,332,735.00","4,366,640.00","10,627,414.99","3,128,930.56","3,179,779.95","5,731,377.08","5,674,537.65","4,545,189.20","5,512,261.75","4,231,470.23","4,480,301.85","3,305,737.35","5,313,752.18","2,789,023.23","3,747,228.16","1,190,775.06","3,184,740.74","3,557,131.00","8,206,809.09","9,105,933.01","5,627,010.88","4,019,247.90","4,677,362.89","2,995,739.86","6,929,129.39","3,642,932.63","4,927,037.97","8,642,094.81","4,285,204.48","4,377,722.41","4,661,418.32","2,582,452.96","5,044,154.02","3,011,677.82","4,231,998.21"
其他应收款,"4,685,123.32","3,636,857.44","4,449,031.49","3,055,504.19","4,310,496.71","3,806,868.83","3,433,833.65","6,575,194.54","6,383,314.51","7,156,088.79","8,656,609.16","10,694,415.87","11,073,862.43","11,821,562.77","10,200,019.84","13,772,144.05","14,386,106.31","14,448,468.74","14,209,674.68","16,681,418.98","17,281,238.13","15,492,323.49","16,733,139.87","14,254,745.46","16,545,864.48","12,527,819.68","16,583,499.61","15,755,278.63","20,686,594.26","24,316,077.67","22,123,119.24","28,984,922.67","32,307,479.51","25,026,395.64","16,917,886.89","21,500,061.60","23,261,317.57","26,373,694.89","27,317,678.42","28,959,989.21","29,583,281.15"
应付职工薪酬,"3,276,497.30","6,225,292.21","1,875,431.31","1,726,679.19","1,823,263.62","3,209,012.58","1,222,031.81","1,470,102.00","1,470,602.87","2,869,729.81","1,314,787.34","1,309,185.13","1,138,459.46","2,617,090.99","870,059.60","969,361.73","1,120,642.88","3,462,744.46","875,947.23","573,432.51","961,118.97","5,693,310.48","712,692.46","891,800.63","951,798.10","3,356,020.45","618,560.07","618,076.62","834,563.55","6,163,832.03","651,371.54","723,319.30","893,746.67","7,294,907.65","722,429.35","842,350.71","1,038,710.61","10,972,554.86","3,764,226.66","4,950,601.07","5,077,403.61"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-471,211.64","-972,824.27","-3,439,922.10","1,262,704.99","2,289,752.16","-1,858,811.76","-2,708,293.99","3,153,054.39","2,559,366.09","3,944,563.10","-3,566,173.92","-3,508,674.43","3,057,065.43","2,271,683.26","-10,807,788.74","-2,698,007.81","4,505,178.68","8,694,033.74","-1,023,077.20","-1,703,836.67","6,031,429.84","10,052,184.09","4,484,434.77","11,486,650.07","4,490,254.51","5,353,354.56","2,423,826.40","11,324,278.59","17,180,717.65","13,972,749.84","7,340,416.30","15,333,293.62","4,303,164.57","4,039,869.45","2,059,844.51","10,518,504.82","8,223,564.80","3,801,870.68","5,788,907.91","9,762,154.60","6,266,433.03"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,599,315.07","6,065,068.50","8,005,890.41","10,853,835.62","1,314,904.11","3,065,739.73","1,092,808.22","1,308,945.21","1,092,575.34",,,,,
应付利息,"143,398.48","201,033.14","182,660.55","191,517.88","244,349.94","186,598.25","173,716.94","197,412.10","205,615.00","207,237.50","191,012.50","207,237.50","247,177.88","217,199.47","268,038.14","272,050.48","286,991.70","758,877.88","353,354.37","257,690.00","255,866.67","459,041.27","466,095.08","1,396,766.44","4,097,805.71","6,731,982.24","9,256,277.91","1,297,356.16","3,949,728.77","6,762,876.18","9,368,222.62","1,482,774.30","4,138,638.91","6,801,450.88","9,424,993.35","405,840.00","446,786.66","184,023.33","184,023.33","258,590.00","406,726.67"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"2,770,248.96",,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,
存货,"80,983,125.20","109,887,005.54","123,414,541.54","116,077,679.89","138,886,095.89","161,690,738.38","169,187,119.83","162,421,511.69","173,559,395.74","177,829,559.07","208,661,408.11","238,920,477.52","227,878,283.84","211,307,515.23","265,606,589.02","249,193,876.35","229,275,179.63","251,123,980.09","264,753,222.36","258,809,513.40","238,158,405.71","235,166,643.50","261,824,929.26","250,734,459.33","265,762,156.19","271,564,985.96","272,617,222.17","252,226,996.43","245,962,031.07","270,632,882.33","282,237,959.12","293,568,326.41","317,831,028.21","352,635,858.02","396,850,091.11","375,009,408.70","392,967,236.49","436,774,633.67","431,883,387.91","403,689,973.67","393,907,370.10"
其他应付款,"4,242,231.00","4,615,013.46","3,442,190.26","2,852,349.85","2,818,871.85","1,696,618.15","1,709,962.12","1,610,767.64","1,724,617.76","1,825,547.59","239,482.04","858,202.24","2,101,101.32","1,220,303.89","1,697,910.75","1,707,959.03","4,477,061.79","2,632,885.36","2,083,314.52","6,394,111.01","6,634,926.28","2,117,782.84","2,511,236.46","2,824,369.21","1,778,843.37","2,110,446.24","4,078,895.24","1,944,920.23","2,064,709.79","2,278,494.98","3,553,146.05","1,859,862.35","1,330,076.60","38,628,782.34","1,654,838.08","3,007,031.19","2,885,047.34","2,011,730.00","1,404,557.77","1,688,072.67","1,757,415.86"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","6,000,000.00","6,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,"169,428,764.22","169,587,097.56","169,754,735.32","169,913,068.66",,,,,,"5,000,000.00"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"1,415,498.15","1,005,982.96",,,"150,000,000.00","150,000,000.00","150,005,334.50","150,000,000.00","70,000,000.00","40,000,000.00","146,332,552.14","138,071,886.56","21,303,052.73","25,161,470.26","20,699,607.03","29,223,778.23","24,164,354.33","104,449,124.54"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"179,373,676.07","209,595,813.93","350,986,421.69","365,029,314.25","412,152,646.40","430,228,946.92","399,508,718.39","420,442,204.67","447,303,609.44","438,800,285.03","434,272,843.49","471,279,224.35","483,963,061.49","470,916,244.76","505,657,103.73","494,494,482.75","502,612,134.92","525,790,818.99","522,480,582.05","499,029,141.32","526,316,996.07","550,549,895.28","539,386,979.72","581,835,132.57","618,031,552.47","638,447,676.16","1,015,934,332.12","1,000,966,132.12","1,069,004,177.71","1,131,480,524.58","1,095,340,165.33","1,127,220,040.65","1,135,614,079.64","1,213,763,017.50","1,155,042,112.68","1,170,211,282.43","1,034,883,557.43","984,008,280.01","995,246,099.61","1,055,389,088.31","1,103,483,022.12"
流动负债合计,"104,208,086.62","128,302,307.79","113,159,827.72","124,904,135.43","157,496,805.31","169,931,865.95","137,106,220.28","168,188,583.96","179,565,377.99","175,304,287.60","160,023,792.61","197,764,166.06","193,041,835.40","167,698,580.41","211,532,360.59","201,304,127.49","200,512,435.52","217,603,394.54","216,926,261.43","180,723,186.64","204,533,719.40","219,630,402.09","208,444,760.46","78,621,779.54","104,801,109.96","108,746,954.58","59,599,667.19","52,896,011.89","105,080,750.70","154,216,938.49","136,521,577.98","317,730,765.89","336,068,194.68","427,747,012.06","380,752,836.59","389,383,694.33","260,606,374.82","247,177,377.31","249,611,488.02","320,443,626.27","338,498,272.31"
