科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"322,182,093.53","355,052,652.08","453,979,061.56","455,006,886.41","555,781,624.97","492,130,607.12","686,143,282.92","572,063,174.39","458,060,774.48","575,209,209.60","765,520,158.64","807,869,384.50","755,498,474.55","784,196,263.79","826,524,537.73","1,031,706,812.56","1,406,680,662.64","1,302,623,673.05","1,325,882,201.22"
短期借款,"150,000,000.00","50,000,000.00",,"30,000,000.00",,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"57,350,000.00","238,020,000.00","298,701,500.00","220,404,086.80","23,900,000.00","13,110,000.00","108,370,000.00","145,049,285.53","114,624,923.80","215,368,393.33","196,603,447.05","165,720,881.49","193,432,956.64","173,024,214.10","242,021,813.27","306,479,983.91","359,664,069.09","264,580,824.50","107,244,780.00"
应付票据,"35,579,378.65",,"500,000.00",,,"35,783,676.58","45,382,598.58","139,429,287.60","133,382,485.32","72,946,528.29","4,807,154.00","2,760,380.00","8,484,993.83","18,239,857.66","16,824,724.03","32,708,776.00","30,057,391.45","4,546,137.10",
应收账款,"120,728,904.14","157,456,641.89","263,782,327.43","463,467,747.65","523,464,569.13","622,240,835.62","718,119,491.74","738,964,041.82","762,966,211.37","729,520,690.21","728,675,997.83","708,647,482.44","721,831,272.25","738,510,548.17","912,741,444.90","702,552,232.75","670,442,933.21","707,072,893.60","732,716,170.11"
应付账款,"171,491,581.13","89,910,479.06","178,319,445.41","174,252,350.79","186,705,362.91","210,947,755.64","323,058,374.03","312,510,076.57","325,495,392.05","347,249,670.89","387,742,607.21","456,334,565.21","405,170,130.83","437,180,121.50","437,279,086.71","384,794,732.34","425,777,215.20","271,941,771.39","318,173,093.60"
预付款项,"98,213,529.52","156,780,546.91","217,632,991.92","121,755,109.71","327,705,264.98","399,650,062.83","249,172,044.08","321,907,827.68","331,209,190.48","266,014,472.33","170,662,010.19","140,965,905.37","160,763,427.80","165,786,443.72","162,816,085.65","201,866,055.20","187,456,941.65","244,993,337.47","198,283,894.36"
预收款项,"92,361,925.81","579,020,132.01","857,131,912.36","814,688,353.40","1,315,695,095.35","1,373,973,254.26","1,296,246,757.61","1,371,939,543.66","1,250,213,504.75","1,315,920,629.46","1,240,815,439.70","1,278,829,960.95","663,343,755.91","647,801,114.75","609,134,939.27","764,469,739.27","734,776,103.16","730,044,242.77","564,152,175.45"
其他应收款,"5,233,830.39","3,003,347.77","8,965,326.33","9,316,655.10","11,182,192.09","9,230,458.52","9,463,041.75","9,606,640.05","8,300,354.15","5,890,705.95","5,412,721.84","5,693,610.45","4,491,600.90","7,631,608.70","5,095,521.82","12,807,151.86","4,168,380.25","6,119,336.94","5,590,151.97"
应付职工薪酬,"29,347,822.74","46,796,556.78","46,256,788.13","35,425,607.61","43,017,359.30","28,546,967.54","29,260,186.70","30,367,816.12","27,721,451.65","34,640,865.55","33,529,013.91","34,242,527.40","29,818,027.95","32,054,919.76","43,666,506.66","45,376,209.98","32,684,471.74","35,094,218.68","56,502,037.13"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"17,423,705.61","38,517,390.36","17,066,650.29","10,902,276.76","3,392,648.44","2,319,044.98","8,660,625.11","2,351,314.27","10,247,481.67","199,960.09","725,901.76","9,243,702.57","32,364,454.95","14,435,969.81","57,486,094.48","699,505.50","30,275,839.16","17,261,833.20","41,247,657.39"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,"318,208.05","77,000.00",,"22,500.00",,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"90,346,040.77","144,159,409.32","241,577,047.91","320,143,940.59","417,413,817.58","426,181,293.57","488,804,221.96","641,707,751.96","565,776,339.80","648,171,737.72","740,095,791.69","825,796,387.39","453,767,420.73","475,943,658.82","264,319,338.99","267,749,753.05","268,310,406.12","242,407,660.18","202,521,185.87"
其他应付款,"5,409,624.57","8,355,298.06","7,895,811.87","9,503,233.87","17,176,725.14","9,875,669.03","7,902,984.41","8,243,401.46","28,727,350.20","6,495,161.07","6,164,463.09","7,369,405.19","5,726,112.08","7,027,866.78","6,828,944.03","13,182,245.73","8,248,972.17","9,647,293.14","15,162,167.55"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,
