科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收回投资收到的现金,,,,,,,,,"300,000,000.00","900,000,000.00","1,810,000,000.00","50,000,000.00","1,210,000,000.00","2,407,000,000.00","3,143,000,000.00","269,000,000.00","720,000,000.00","827,000,000.00","1,667,000,000.00","233,704,000.00","769,704,000.00","1,478,704,000.00"
支付其他与筹资活动有关的现金,,,,,,,,"321,507.48","8,041,507.48","8,041,507.48","8,041,507.48",,,,,,,,"31,267,500.00","66,610,382.00","66,610,382.00","71,477,682.00"
取得投资收益收到的现金,,,,,,,,,"2,052,739.73","9,287,191.78","21,427,890.41","47,194.52","11,011,632.88","17,923,632.89","24,595,163.27","2,230,873.96","13,106,997.24","15,567,695.85","30,501,976.66","587,161.64","3,576,514.01","11,258,998.93"
筹资活动现金流出小计,"30,187,200.00","20,172,800.00","34,244,800.00","34,244,800.00","37,266,400.00","37,266,400.00","37,266,400.00","321,507.48","70,461,745.48","70,461,745.48","70,461,745.48",,"73,437,021.54","73,437,021.54","118,641,682.27","20,101,040.15","119,031,777.73","123,063,030.60","154,994,653.66","66,610,382.00","281,414,003.33","287,800,876.24"
处置固定资产、无形资产和其他长期资产收回的现金净额,"251,786.82","141,596.28","98,500.00","130,567.61","255,969.94","279,700.00","282,656.67","5,430.00","10,818.68","44,293.28","86,503.28","29,618.71","176,488.71","183,813.71","4,076,015.75","9,679.00","40,179.00","71,479.00","88,894.00",,"10,865.00","2,379.25"
筹资活动产生的现金流量净额,"-30,187,200.00","-20,172,800.00","-34,244,800.00","-34,244,800.00","-37,266,400.00","-37,266,400.00","-37,266,400.00","473,816,688.76","403,676,450.76","403,676,450.76","403,676,450.76",,"-69,737,021.54","-68,687,021.54","-118,641,682.27","-20,101,040.15","-119,031,777.73","-63,205,187.60","-95,136,810.66","-66,610,382.00","-281,414,003.33","-287,800,876.24"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"251,786.82","141,596.28","98,500.00","130,567.61","255,969.94","279,700.00","282,656.67","5,430.00","302,063,558.41","909,331,485.06","1,831,514,393.69","50,076,813.23","1,221,188,121.59","2,425,107,446.60","3,171,671,179.02","271,240,552.96","733,147,176.24","842,639,174.85","1,697,590,870.66","234,291,161.64","773,291,379.01","1,489,965,378.18"
五、现金及现金等价物净增加额,"56,037,265.98","70,774,877.39","3,780,000.00","60,031,863.64","166,341,450.45","199,479,600.00","242,795,367.36","375,269,634.57","-351,109,903.18","34,023,055.91","55,369,384.00","-490,244,924.26","-483,207,409.75","-358,659,116.08","-40,898,779.00","-486,779,584.87","-435,649,022.68","-478,667,249.63","319,922,381.20","-697,908,585.19","-486,579,703.05","-570,172,790.20"
购建固定资产、无形资产和其他长期资产支付的现金,"11,076,782.43","22,369,394.68","81,544,800.00","86,364,242.49","12,037,112.76","24,471,900.00","34,579,395.03","16,557,334.02","45,796,255.01","87,236,648.26","116,816,462.32","48,439,720.77","72,123,431.78","93,127,717.91","106,823,927.43","10,466,370.58","15,608,632.78","23,405,836.51","45,212,746.47","19,472,754.23","24,586,115.35","299,912,511.01"
期初现金及现金等价物余额,"267,714,429.03","323,751,695.01","394,526,600.00","394,526,572.40","454,558,436.04","454,558,400.00","454,558,436.04","697,353,803.40","697,353,803.40","697,353,803.40","697,353,803.40","752,723,187.40","752,723,187.40","752,723,187.40","752,723,187.40","711,824,408.40","711,824,408.40","711,824,408.40","711,824,408.40","1,031,746,789.60","1,031,746,789.60","1,031,746,789.60"
投资支付的现金,"3,851,809.50",,,,,,,,"1,100,000,000.00","1,280,000,000.00","2,110,000,000.00","430,000,000.00","1,780,604,080.00","2,828,868,380.00","3,192,934,380.00","747,000,000.00","1,361,867,500.00","1,582,867,500.00","1,630,000,000.00","950,000,000.00","1,370,840,900.00","2,016,500,000.00"
期末现金及现金等价物余额,"323,751,695.01","394,526,572.40","398,306,600.00","454,558,436.04","620,899,886.49","654,038,000.00","697,353,803.40","1,072,623,437.97","346,243,900.22","731,376,859.31","752,723,187.40","262,478,263.14","269,515,777.65","394,064,071.32","711,824,408.40","225,044,823.53","276,175,385.72","233,157,158.77","1,031,746,789.60","333,838,204.41","545,167,086.55","461,573,999.40"
