科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"108,085,188.82","147,599,086.15","179,857,239.98","96,047,883.49","148,030,951.49","200,637,382.75","43,207,221.33","93,909,315.18","154,504,828.88","223,527,091.98","56,548,614.54","116,994,244.36","187,543,888.61","268,550,246.33","85,768,846.51","167,603,917.18","303,346,567.99","493,775,636.79","116,725,272.42","332,852,847.10","612,304,967.63","847,315,441.58","217,020,947.12"
取得子公司及其他营业单位支付的现金净额,,"2,798,762.69","1,741,558.54",,,,,,,,,,"62,152,502.34","62,152,502.34",,,"42,229,051.69","51,389,000.97",,,"88,000,000.00",,
收到的税费返还,"3,522,892.85","6,244,835.43","6,080,701.39","4,532,777.65","8,237,160.90","9,801,017.49","2,392,398.68","4,744,163.98","6,817,072.62","10,420,310.34","1,998,714.75","5,499,095.92","9,241,963.49","12,487,029.38","3,383,947.95","6,009,224.92","11,367,467.03","15,383,798.20","2,717,030.06","6,801,204.76","11,315,337.26","20,413,834.48","11,534,747.50"
支付其他与投资活动有关的现金,,,"8,000,000.00",,,,,,,,,,"530,000,000.00",,,,"1,454,000,000.00",,,"12,000,000.00","12,100,000.00","88,000,000.00",
收到其他与经营活动有关的现金,"4,269,518.02","3,728,724.05","2,401,238.86","3,813,088.66","3,236,884.09","5,809,973.26","398,490.08","7,273,814.01","20,277,776.63","26,536,899.05","9,855,997.61","4,217,078.80","22,684,691.35","22,094,768.80","5,726,569.83","57,229,988.43","46,855,929.33","62,968,338.01","33,175,286.33","28,303,179.05","55,289,083.26","76,881,735.42","18,553,009.64"
投资活动现金流出小计,"74,743,575.87","47,726,789.03","62,755,547.57","15,169,072.88","18,922,450.10","23,972,245.24","8,330,889.93","19,491,041.03","51,226,792.34","134,984,189.53","21,683,086.85","116,400,651.67","683,183,141.64","1,750,040,978.10","319,750,943.83","800,772,558.82","1,645,944,707.47","1,781,157,203.19","706,028,419.83","1,032,980,198.51","1,234,631,801.01","1,454,280,209.00","157,493,345.75"
经营活动现金流入小计,"115,877,599.69","157,572,645.63","188,339,180.23","104,393,749.80","159,504,996.48","216,248,373.50","45,998,110.09","105,927,293.17","181,599,678.13","260,484,301.37","68,403,326.90","126,710,419.08","219,470,543.45","303,132,044.51","94,879,364.29","230,843,130.53","361,569,964.35","572,127,773.00","152,617,588.81","367,957,230.91","678,909,388.15","944,611,011.48","247,108,704.26"
投资活动产生的现金流量净额,"-53,701,608.68","-33,147,861.06","-32,701,576.36","-13,753,072.88","-17,506,450.10","-22,556,245.24","-8,330,489.93","-19,470,177.03","-51,204,838.34","-134,918,293.53","-21,638,086.85","-116,355,151.67","-683,110,591.64","-793,857,014.85","208,885,956.85","38,518,980.04","-25,524,548.31","263,976,709.98","39,618,146.72","-156,756,133.22","-245,458,069.97","-305,272,864.72","-102,932,994.96"
购买商品、接受劳务支付的现金,"48,769,061.20","85,167,871.01","95,961,162.42","48,023,726.05","71,885,790.93","92,826,356.66","22,165,850.72","50,292,880.11","82,279,959.07","109,452,549.51","26,982,229.91","49,365,707.20","101,907,870.93","119,435,857.84","40,797,336.94","90,107,722.16","168,284,529.65","317,584,881.51","95,888,843.44","217,104,609.67","452,222,202.12","535,084,691.60","117,798,888.25"
吸收投资收到的现金,,,,,,,"109,785,500.00","109,785,500.00","114,785,500.00","114,785,500.00",,"756,567,605.00","756,567,605.00","756,607,190.28",,,,,"9,683,578.77","10,653,187.00","10,653,187.00","10,653,187.00",
支付给职工以及为职工支付的现金,"13,735,576.71","21,790,372.58","31,103,243.96","17,584,375.67","29,328,990.40","37,842,275.87","11,674,275.65","21,852,288.24","32,866,902.37","43,015,847.62","9,822,409.50","22,351,142.00","38,850,999.77","52,525,418.19","16,881,116.49","41,609,233.45","70,156,882.48","92,834,180.00","34,371,833.64","68,180,559.74","104,694,921.55","128,360,923.38","38,593,662.41"
取得借款收到的现金,"2,000,000.00","12,000,000.00","38,800,000.00","22,000,000.00","28,000,000.00","28,000,000.00",,"16,900,000.00","44,900,000.00","44,900,000.00",,,"120,000,000.00","145,000,000.00",,,"130,000,000.00","144,550,000.00","82,000,000.00","136,425,767.01","174,275,767.01","384,728,778.15","137,414,000.00"
支付的各项税费,"11,411,773.07","11,997,334.87","22,998,107.94","10,096,098.47","15,917,489.83","22,661,512.18","5,058,578.87","11,941,122.47","19,389,048.70","25,214,758.23","5,612,809.93","13,730,757.81","25,965,448.01","24,597,352.34","3,138,542.32","19,382,388.96","30,657,137.00","51,314,608.61","17,426,137.65","42,714,308.91","55,352,135.46","71,527,856.75","17,365,450.15"
收到其他与筹资活动有关的现金,"2,500,000.00","4,020,000.00","1,550,000.00","2,850,000.00","2,850,000.00","7,210,000.00","800,000.00","2,050,000.00","5,550,000.00","12,503,000.00",,"1,400,000.00",,"9,265,000.00",,,,"32,652,000.00",,,,,
