科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,416,689.66","-152,540.85","1,297,856.82","-61,306.92","-255,866.59","-7,902,232.02","-15,367,191.47","-5,871,219.10","-13,044,470.44","-18,681,449.82","-21,884,577.89","-4,314,484.73","-6,923,570.43","-14,969,898.97","-17,459,744.96","824,755.22","-4,782,046.22","-7,659,492.53","-6,706,021.43","4,539,131.22","10,574,611.68","18,718,609.76","16,512,726.00","-9,369,898.57","-18,302,267.98","-24,918,972.03","-34,866,991.97","-5,713,200.73","-8,082,767.59","-1,316,929.60","-1,617,527.40","3,454,779.32","15,730,905.65","35,222,886.15","51,329,768.51","15,218,406.34","35,407,999.01","56,040,748.47","80,981,043.11","18,029,910.74","37,725,918.40","67,123,191.16","89,956,120.52","27,800,273.25","58,429,700.11","95,634,986.48","183,875,343.21","63,229,853.82"
三、利润总额,"57,080,187.27","76,647,571.03","168,181,085.00","90,526,711.31","123,513,880.81","160,340,959.22","213,327,859.37","104,154,491.72","138,677,851.07","170,269,592.58","229,293,746.78","104,181,450.28","142,457,949.71","170,846,607.16","234,700,093.40","140,797,729.93","204,823,345.35","242,791,646.74","340,820,843.28","178,541,252.14","258,502,264.75","315,052,424.58","447,309,728.20","217,588,072.79","321,432,691.70","395,662,409.17","541,612,979.67","251,017,771.81","358,892,488.72","434,324,073.05","458,494,152.65","228,094,641.49","307,394,977.04","296,356,112.25","264,357,480.69","158,280,408.77","224,767,436.96","232,890,793.90","200,125,088.84","205,598,792.09","269,479,228.47","245,967,324.26","216,002,731.43","225,397,967.86","276,315,189.39","250,686,686.05","220,568,439.75","247,897,663.67"
资产减值损失,"568,217.52","3,189,786.27","5,789,152.84","23,180.85","881,744.11","1,954,867.39","3,660,457.21","1,966,914.48","2,262,423.70","501,529.29","4,312,140.47","297,136.34","2,032,164.22","2,484,101.17","5,124,945.31","-294,668.49","2,074,910.21","2,077,741.36","4,022,373.63","-294,771.95","5,666,574.36","5,113,932.31","5,700,743.27","-452,708.49","2,690,091.12","4,601,724.00","2,547,213.09","-420,196.30","6,660,847.33","7,134,104.42","2,122,846.44","1,553,682.47","3,554,936.56","6,266,457.32","15,836,239.70","101,175.14","-152,397.44","-3,549,934.15","9,022,169.06","3,065,812.29","4,730,543.74","6,375,208.10","8,138,453.30","6,649,684.50","19,363,137.94","7,186,069.64","19,174,267.74","-848,287.08"
减:所得税,"5,913,661.31","10,865,891.53","43,522,187.46","13,370,315.72","23,249,088.63","37,718,436.12","50,119,615.43","24,946,135.11","33,795,293.94","44,931,948.79","63,294,524.75","24,171,264.72","36,821,382.70","45,071,244.84","63,811,226.83","35,666,711.99","51,440,703.71","57,596,791.89","80,728,996.72","41,286,676.03","57,183,983.34","68,213,420.74","104,413,696.56","51,156,808.08","77,273,513.84","95,143,758.12","126,162,500.05","59,018,441.07","82,192,335.18","98,687,181.27","113,578,415.78","50,942,248.86","66,775,095.93","57,850,815.30","49,846,041.28","32,352,572.55","50,422,610.08","54,665,151.36","60,520,799.35","52,286,959.46","58,715,629.54","58,833,224.27","64,325,971.45","55,165,789.42","57,698,976.57","50,735,665.04","60,326,796.38","56,643,347.79"
加:公允价值变动净收益,"-70,264.00","-70,264.00","-70,264.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"816,190.48","13,568,079.31",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"82,160.00","82,160.00","82,160.00",,"99,600.00","99,600.00","88,704.86",,,,"-51,536.95",,,,"-36,976.79",,,,-591.12,,"45,938.26","45,938.26","-416,719.17","-510,505.21","462,657.43","462,657.43","-1,176,935.85","24,033.50","221,503.52","225,880.73","1,209,606.29","9,095.78","-500,546.29","-500,546.29","61,365.20","368,355.56","70,072.01","-27,639.92","-3,423,234.27","-484,209.22","-881,368.18","-1,114,263.47","4,913,765.39","985,918.47","2,552,771.26","3,481,425.77","5,231,952.34","1,308,772.61"
四、净利润,"51,166,525.96","65,781,679.50","124,658,897.54","77,156,395.59","100,264,792.18","122,622,523.10","163,208,243.94","79,208,356.61","104,882,557.13","125,337,643.79","165,999,222.03","80,010,185.56","105,636,567.01","125,775,362.32","170,888,866.57","105,131,017.94","153,382,641.64","185,194,854.85","260,091,846.56","137,254,576.11","201,318,281.41","246,839,003.84","342,896,031.64","166,431,264.71","244,159,177.86","300,518,651.05","415,450,479.62","191,999,330.74","276,700,153.54","335,636,891.78","344,915,736.87","177,152,392.63","240,619,881.11","238,505,296.95","214,511,439.41","125,927,836.22","174,344,826.88","178,225,642.54","139,604,289.49","153,311,832.63","210,763,598.93","187,134,099.99","151,676,759.98","170,232,178.44","218,616,212.82","199,951,021.01","160,241,643.37","191,254,315.88"
其中:对联营企业和合营企业的投资权益,,,,,,,"-10,895.14",,,,"-51,536.95",,,,"-36,976.79",,,,-591.12,,"45,938.26",,"-416,719.17",,,"462,657.43","-1,176,935.85",,"221,503.52","225,880.73","1,209,606.29",,"-500,546.29","-500,546.29","61,365.20","368,355.56","70,072.01","-27,639.92","-1,552,589.78","-484,209.22","-881,368.18","-1,114,263.47","-1,622,603.40","-243,008.92","-492,574.73","-766,389.05","-547,703.24",
归属于母公司所有者的净利润,"51,097,973.65","65,668,656.95","123,662,150.71","77,194,003.43","100,337,584.43","122,280,012.10","162,827,942.71","79,540,291.73","104,602,553.70","124,618,518.15","165,193,233.96","80,010,185.56","105,636,567.01","125,775,362.32","170,888,866.57","105,131,017.94","153,382,641.64","185,194,854.85","260,091,846.56","137,254,576.11","201,318,281.41","246,839,003.84","342,896,031.64","166,431,264.71","244,159,177.86","300,518,651.05","415,450,479.62","192,006,336.42","276,700,153.54","335,729,853.57","345,295,364.18","177,845,986.32","241,464,876.65","239,218,815.75","213,822,742.90","124,816,228.54","172,154,896.91","173,996,208.06","132,704,696.88","151,756,036.68","208,058,568.55","183,639,423.47","146,453,282.89","167,462,689.83","215,430,375.53","196,751,786.30","155,559,802.34","185,677,388.31"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"68,552.31","113,022.55","996,746.83","-37,607.84","-72,792.25","342,511.00","380,301.23","-331,935.12","280,003.43","719,125.64","805,988.07",,,,,,,,,,,,,,,,,"-7,005.68",,"-92,961.79","-379,627.31","-693,593.69","-844,995.54","-713,518.80","688,696.51","1,111,607.68","2,189,929.97","4,229,434.48","6,899,592.61","1,555,795.95","2,705,030.38","3,494,676.52","5,223,477.09","2,769,488.61","3,185,837.29","3,199,234.71","4,681,841.03","5,576,927.57"
