科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"192,213,274.31","265,410,558.08","360,427,157.95","57,617,407.29","189,858,615.61","332,595,339.37","529,098,941.60","117,463,350.58","317,920,580.60","527,978,855.23","854,734,174.13","128,376,202.63","344,171,874.41","571,057,644.59","1,176,090,903.70","198,829,089.56","592,643,351.44","1,015,205,399.59","1,645,570,690.24","235,446,641.94","755,056,959.97","1,210,684,535.76","1,990,642,591.86","192,627,128.04","571,183,275.27","950,150,787.37","1,779,151,072.19","226,416,280.77","867,542,705.18","1,383,992,494.48","2,349,414,062.21","283,801,041.47","953,198,879.20","1,555,636,555.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,"46,973,626.23","198,597,110.39","255,233,921.83","255,233,921.83","269,643,921.83",,,,"56,069,162.54","11,075,855.76","13,862,005.76","13,862,005.76","25,225,855.76","2,786,150.00","141,613,472.21","141,613,472.21","126,229,090.97",,"15,986,257.89","21,764,826.86","15,986,788.42",,"26,310,344.35","26,310,344.35",,,"42,904,197.88","51,004,197.86"
收到的税费返还,"17,206,208.68","22,539,495.10","38,201,762.01","7,636,927.71","16,153,830.59","27,215,713.31","45,927,678.17","5,356,578.64","8,402,399.49","10,190,162.86","67,801,431.09","157,187.07","3,389,891.43","47,118,206.38","61,417,055.82","39,360,358.00","58,077,167.19","97,604,492.98","162,292,453.43","23,546,634.15","60,879,425.76","90,589,812.55","124,805,691.72","61,891,818.56","81,279,613.14","108,967,388.73","164,458,355.43","32,772,726.91","57,007,716.91","104,904,097.07","173,272,410.04","32,162,104.61","65,731,240.32","114,661,815.49"
支付其他与投资活动有关的现金,,"100,090.88",,"10,364.24",,,,,,,,,,,,,,,,,,,,"363,701.02","363,701.02","363,701.02","363,701.02","1,413,063.61","1,585,573.61","1,585,573.61","1,598,751.44","2,000,000.00",,
收到其他与经营活动有关的现金,"10,997,250.30","7,290,483.42","12,937,116.03","2,217,137.50","3,535,609.99","7,393,646.48","13,662,994.28","2,061,125.35","20,456,241.65","22,630,308.62","33,460,034.61","2,831,599.64","24,760,400.17","27,589,303.38","42,697,483.60","6,031,221.77","27,160,823.38","33,447,578.94","59,787,006.10","5,918,547.37","18,120,162.05","26,938,227.40","38,886,110.62","6,635,784.28","18,311,700.49","21,994,925.54","31,860,077.04","5,766,221.00","12,919,610.04","16,072,261.84","30,181,599.21","2,354,099.99","10,385,478.40","17,508,363.56"
投资活动现金流出小计,"32,662,222.53","24,100,026.84","70,174,938.51","1,434,694.24","3,970,610.32","7,998,308.83","60,805,239.01","208,041,123.98","270,816,356.75","306,475,773.59","356,283,427.48","32,880,123.42","50,762,232.06","88,553,172.07","188,065,247.51","30,259,045.26","237,290,668.45","610,214,184.01","991,208,622.27","222,173,153.39","649,838,065.29","1,018,715,910.82","1,132,347,074.11","549,909,997.91","985,179,532.06","1,091,918,320.74","1,140,213,144.58","48,202,077.08","122,501,537.44","493,179,400.00","766,956,702.17","20,676,192.17","1,108,789,790.26","1,706,519,571.08"
经营活动现金流入小计,"220,416,733.29","295,240,536.60","411,566,035.99","67,471,472.50","209,548,056.19","367,204,699.16","588,689,614.05","124,881,054.57","346,779,221.74","560,799,326.71","955,995,639.83","131,364,989.34","372,322,166.01","645,765,154.35","1,280,205,443.12","244,220,669.33","677,881,342.01","1,146,257,471.51","1,867,650,149.77","264,911,823.46","834,056,547.78","1,328,212,575.71","2,154,334,394.20","261,154,730.88","670,774,588.90","1,083,232,131.25","1,979,069,103.67","266,938,424.07","941,650,681.00","1,511,574,225.62","2,562,682,388.30","322,828,950.56","1,038,234,179.25","1,700,441,573.89"
投资活动产生的现金流量净额,"-32,604,222.53","-24,073,974.90","-70,110,154.41","-1,341,954.24","-3,846,955.32","-7,868,520.96","-60,667,069.47","-208,010,683.98","-270,712,419.72","-306,285,296.56","-354,386,075.90","-32,820,470.84","-50,442,149.87","-87,879,849.88","-184,703,792.49","-29,951,114.26","-236,980,565.50","-609,509,705.44","-409,705,825.70","249,272,198.21","-178,382,193.69","-547,244,329.22","56,383,824.64","-7,306,878.73","-442,544,472.88","-297,645,464.18","-170,464,791.08","-48,202,077.08","-119,850,650.22","-478,376,357.71","-728,045,006.88","16,876,264.75","-546,244,509.68","-648,669,841.56"
购买商品、接受劳务支付的现金,"9,253,993.31","9,811,497.36","12,720,401.00","2,673,402.97","4,781,148.51","7,963,093.54","12,118,397.46","2,082,901.86","8,625,222.13","12,181,804.36","16,374,137.72","2,711,573.23","8,127,671.56","11,489,927.14","31,606,854.47","4,236,215.88","13,929,240.50","20,606,874.91","30,467,099.77","4,653,105.20","16,191,390.99","41,134,590.72","48,604,416.39","10,619,081.80","19,769,943.43","41,198,858.10","65,526,255.35","17,991,204.92","46,145,302.91","68,014,542.26","154,175,948.11","26,478,649.91","83,411,150.45","106,186,255.77"
吸收投资收到的现金,,"10,010,000.00",,,"1,450,000,000.00","1,450,000,000.00","1,450,000,000.00",,,,,,,,,"64,185,000.00","64,185,000.00","66,335,000.00","73,729,400.00",,"300,000.00","300,000.00","300,000.00",,,,"700,000.00","900,000.00","900,000.00","900,000.00","46,324,340.00",,"21,213,750.00","21,213,750.00"
支付给职工以及为职工支付的现金,"72,768,863.87","113,709,978.70","128,090,315.64","61,154,077.62","106,215,234.42","147,304,885.42","198,493,919.93","103,186,643.45","175,842,972.40","251,733,514.75","338,371,015.11","141,012,906.37","243,521,867.84","360,360,731.25","495,347,537.90","197,610,705.21","334,172,823.43","480,233,878.25","635,140,151.21","255,003,853.37","449,219,732.41","651,747,614.70","852,735,372.53","224,479,847.31","527,235,075.34","788,095,475.65","1,007,895,636.21","236,951,300.13","574,214,318.87","825,894,390.21","1,058,716,456.76","275,055,562.95","758,282,241.61","1,061,091,230.99"
取得借款收到的现金,"20,000,000.00",,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"34,807,255.32","50,722,896.56","60,807,988.50","14,714,192.32","38,833,772.58","69,024,394.23","87,479,143.05","21,897,003.27","69,841,229.35","107,370,956.11","154,258,751.64","27,494,107.17","80,965,781.81","124,553,791.90","200,261,027.71","52,575,499.18","118,679,140.34","192,131,171.14","276,454,150.23","65,926,090.47","156,948,937.16","241,115,582.27","344,153,070.53","78,188,415.71","137,648,439.39","189,670,387.01","286,546,006.80","61,409,467.36","165,582,749.30","260,850,281.93","390,560,496.57","66,427,067.71","172,342,317.29","264,070,367.78"
收到其他与筹资活动有关的现金,,"13,035.51",,"602,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"48,036,363.12","59,453,710.64","68,911,312.89","16,325,745.32","29,943,205.76","59,028,433.22","96,616,351.79","22,866,045.23","52,333,719.40","88,479,683.97","128,178,799.89","32,995,784.86","65,179,776.51","116,261,237.05","182,789,986.73","46,195,448.87","101,129,468.21","165,750,184.03","256,913,793.86","62,624,749.95","131,703,901.22","203,430,130.49","308,230,072.18","96,592,645.59","222,144,003.46","265,118,131.41","362,126,090.58","77,459,167.77","152,079,648.24","223,579,102.15","337,932,253.85","74,846,472.66","138,866,913.00","245,311,086.98"
筹资活动现金流入小计,"20,000,000.00","10,023,035.51","30,000,000.00","602,500.00","1,450,000,000.00","1,450,000,000.00","1,450,000,000.00",,,,,,,,,"64,185,000.00","64,185,000.00","66,335,000.00","73,729,400.00",,"300,000.00","300,000.00","300,000.00",,,,"700,000.00","900,000.00","900,000.00","900,000.00","1,031,324,340.00",,"21,213,750.00","21,213,750.00"
经营活动现金流出小计,"164,866,475.62","233,698,083.26","270,530,018.03","94,867,418.23","179,773,361.27","283,320,806.41","394,707,812.23","150,032,593.81","306,643,143.28","459,765,959.19","637,182,704.36","204,214,371.63","397,795,097.72","612,665,687.34","910,005,406.81","300,617,869.14","567,910,672.48","858,722,108.33","1,198,975,195.07","388,207,798.99","754,063,961.78","1,137,427,918.18","1,553,722,931.63","409,879,990.41","906,797,461.62","1,327,904,401.04","1,794,264,818.34","409,525,340.60","951,422,830.83","1,413,258,329.97","2,044,455,217.44","443,031,654.93","1,115,780,552.04","1,665,644,777.42"
偿还债务支付的现金,,,"20,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,"928,654.62","928,654.62","1,063,340.72",,"848,891.56","785,889.53","831,033.52",,"910,107.36","910,107.36"
经营活动产生的现金流量净额,"55,550,257.67","61,542,453.34","141,036,017.96","-27,395,945.73","29,774,694.92","83,883,892.75","193,981,801.82","-25,151,539.24","40,136,078.46","101,033,367.52","318,812,935.47","-72,849,382.29","-25,472,931.71","33,099,467.01","370,200,036.31","-56,397,199.81","109,970,669.53","287,535,363.18","668,674,954.70","-123,295,975.53","79,992,586.00","190,784,657.53","600,611,462.57","-148,725,259.53","-236,022,872.72","-244,672,269.79","184,804,285.33","-142,586,916.53","-9,772,149.83","98,315,895.65","518,227,170.86","-120,202,704.37","-77,546,372.79","34,796,796.47"
分配股利、利润或偿还利息支付的现金,"20,232,400.00","23,861,192.55","21,787,622.40","358,425.00","673,042.50","61,382,642.92","61,382,642.92","97,669,610.82","109,300,718.87","109,300,718.87","109,300,718.87","2,221,816.30","137,877,573.73","137,877,573.73","137,877,573.73","4,200,000.00","196,861,708.18","206,700,000.00","206,700,000.00","8,040,000.00","211,099,635.67","221,127,688.39","221,127,688.39",,"310,499,333.39","310,502,076.19","316,494,224.57","1,760.32","233,656,691.83","242,666,165.58","242,659,873.89",,"349,115,179.18","349,110,486.68"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"570,000,000.00","465,000,000.00","465,000,000.00","465,000,000.00","1,165,117,000.00","538,000,000.00","538,000,000.00","784,224,323.71","956,106,523.71",,,,"92,890.00",,"515,000,000.00","1,000,000,000.00"
支付其他与筹资活动有关的现金,,,"703,141.25",,"81,364,186.12","81,755,595.16","74,370,005.02",,,,,,,,,,,,,,"338,450.00","338,450.00","1,579,650.00",,,,,,"27,614,160.00","27,614,160.00","27,614,160.00",,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,"373,972.60","11,067,214.62","6,431,628.60","6,431,628.60","6,431,628.60","23,457,762.54","4,602,619.18","4,602,619.18","9,941,469.07","13,505,799.35",,"2,610,200.00","2,610,200.00","6,527,900.00","3,495,205.47","11,030,185.68","20,284,393.66"
筹资活动现金流出小计,"20,232,400.00","23,861,192.55","42,490,763.65","358,425.00","112,037,228.62","173,138,238.08","165,752,647.94","97,669,610.82","109,300,718.87","109,300,718.87","109,300,718.87","2,221,816.30","137,877,573.73","137,877,573.73","137,877,573.73","4,200,000.00","196,861,708.18","206,700,000.00","206,700,000.00","8,040,000.00","211,438,085.67","221,466,138.39","222,707,338.39",,"311,427,988.01","311,430,730.81","317,557,565.29","1,760.32","262,119,743.39","271,066,215.11","271,105,067.41",,"350,025,286.54","350,020,594.04"
处置固定资产、无形资产和其他长期资产收回的现金净额,"58,000.00","26,051.94","64,784.10","92,740.00","123,655.00","129,787.87","138,169.54","30,440.00","103,937.03","190,477.03","1,897,351.58","59,652.58","320,082.19","673,322.19","3,361,455.02","307,931.00","310,102.95","330,505.97","435,581.95","13,723.00","24,243.00","39,953.00","156,136.21",500.00,"32,440.00","107,063.78","136,030.44",,"40,687.22","12,192,842.29","32,290,905.29","34,057,251.45","36,515,094.90","37,565,335.86"
筹资活动产生的现金流量净额,"-232,400.00","-13,838,157.04","-12,490,763.65","244,075.00","1,337,962,771.38","1,276,861,761.92","1,284,247,352.06","-97,669,610.82","-109,300,718.87","-109,300,718.87","-109,300,718.87","-2,221,816.30","-137,877,573.73","-137,877,573.73","-137,877,573.73","59,985,000.00","-132,676,708.18","-140,365,000.00","-132,970,600.00","-8,040,000.00","-211,138,085.67","-221,166,138.39","-222,407,338.39",,"-311,427,988.01","-311,430,730.81","-316,857,565.29","898,239.68","-261,219,743.39","-270,166,215.11","760,219,272.59",,"-328,811,536.54","-328,806,844.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-68.92,"-8,892.02","-2,981.27",,"-3,073.19","-2,607.38","36,007.11","-1,131.45","-48,966.05","-604,645.15","-684,983.35","350,567.18","465,673.31","775,971.47","434,237.51","-190,767.41","-664,696.20","-762,339.14","-903,371.14","507,070.70","-4,902,468.75","-8,923,043.35","-24,000,580.16","-3,307,392.41","-1,076,810.10","266,731.75","1,591,092.53","1,250,588.12","5,455,591.48","6,121,270.67","17,637,116.40","-4,322,614.70","-7,167,499.65","-15,250,510.09"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"58,000.00","26,051.94","64,784.10","92,740.00","123,655.00","129,787.87","138,169.54","30,440.00","103,937.03","190,477.03","1,897,351.58","59,652.58","320,082.19","673,322.19","3,361,455.02","307,931.00","310,102.95","704,478.57","581,502,796.57","471,445,351.60","471,455,871.60","471,471,581.60","1,188,730,898.75","542,603,119.18","542,635,059.18","794,272,856.56","969,748,353.50",,"2,650,887.22","14,803,042.29","38,911,695.29","37,552,456.92","562,545,280.58","1,057,849,729.52"
五、现金及现金等价物净增加额,"22,713,566.22","23,621,429.38","58,432,118.63","-28,493,824.97","1,363,887,437.79","1,352,874,526.33","1,417,598,091.52","-330,832,965.49","-339,926,026.18","-315,157,293.06","-145,558,842.65","-107,541,102.25","-213,326,982.00","-191,881,985.13","48,052,907.60","-26,554,081.48","-260,351,300.35","-463,101,681.40","125,095,157.86","118,443,293.38","-314,430,162.11","-586,548,853.43","410,587,368.66","-159,339,530.67","-991,072,143.71","-853,481,733.03","-300,926,978.51","-188,640,165.81","-385,386,951.96","-644,105,406.50","568,038,552.97","-107,649,054.32","-959,769,918.66","-957,930,399.22"
购建固定资产、无形资产和其他长期资产支付的现金,"32,662,222.53","23,999,935.96","70,174,938.51","1,424,330.00","3,970,610.32","7,998,308.83","13,831,612.78","9,444,013.59","15,582,434.92","51,241,851.76","86,639,505.65","32,880,123.42","50,762,232.06","88,553,172.07","131,996,084.97","19,183,189.50","53,428,662.69","96,352,178.25","125,982,766.51","19,387,003.39","42,470,088.25","54,997,933.78","80,513,478.31","11,546,296.89","41,773,204.46","68,219,752.39","88,563,350.63","25,808,857.42","34,076,312.38","259,598,370.69","497,000,065.14","15,226,792.17","17,537,322.16","103,827,182.80"
期初现金及现金等价物余额,"52,043,351.48","74,756,917.70","98,378,347.08","156,810,465.71","156,810,465.71","156,810,275.16","156,810,465.71","1,574,408,557.23","1,574,408,557.23","1,574,408,557.23","1,574,408,557.23","1,428,849,714.58","1,428,849,714.58","1,428,849,714.58","1,428,849,714.58","1,476,902,622.18","1,476,902,622.18","1,476,902,622.18","1,476,902,622.18","1,601,997,780.04","1,601,997,780.04","1,601,997,780.04","1,601,997,780.04","2,027,496,348.70","2,012,585,148.70","2,012,585,148.70","2,012,585,148.70","1,711,658,170.19","1,711,658,170.19","1,711,658,170.19","1,711,658,170.19","2,279,696,723.16","2,279,696,723.16","2,279,696,723.16"
