科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"181,803,547.23","329,515,273.64","112,615,755.97","363,998,533.52","101,735,068.19","187,450,687.46","235,114,934.67","314,519,037.95","85,956,282.15","159,600,706.03","233,212,043.11","303,953,659.44","74,222,802.14","146,934,962.65","230,509,290.71","321,210,769.90","83,414,301.86","167,535,070.28","268,743,928.77","422,710,035.47","159,185,934.55","356,383,516.99","511,396,319.58","677,903,252.73","144,560,192.58","292,701,853.97","414,015,679.47","566,014,288.05","118,508,964.23","280,853,319.72","419,697,784.55","594,345,649.08","114,723,993.57","264,391,637.51","441,595,796.38","679,932,407.42","172,538,500.11","410,932,799.26","632,478,374.05","925,290,768.03","231,753,081.29"
二、营业利润,"17,495,697.65","40,694,831.74","24,625,507.85","55,635,522.26","19,159,494.59","26,575,751.61","23,487,762.16","32,316,591.68","13,854,351.73","18,716,367.73","15,932,220.35","12,363,622.62","12,065,611.96","20,815,136.48","26,103,745.66","28,215,051.29","8,728,423.65","15,942,813.52","26,143,246.07","68,318,671.35","11,986,072.94","26,341,154.47","43,395,203.13","53,031,004.97","10,613,918.91","33,619,522.42","49,412,264.48","56,350,620.98","11,732,023.86","20,624,263.74","35,722,893.06","46,454,980.44","10,894,976.12","25,848,510.97","44,152,261.17","67,187,413.56","25,462,355.84","34,039,614.54","57,648,380.79","-76,337,276.66","24,830,431.04"
减:营业成本,"147,001,323.64","203,989,818.90","66,489,936.49","211,883,289.38","60,655,990.22","110,477,294.91","136,951,183.16","182,060,264.98","50,609,248.44","96,896,174.92","144,251,055.17","186,851,918.77","39,513,538.66","82,726,622.49","132,268,681.28","190,402,704.55","51,400,729.00","101,385,133.62","160,041,712.15","266,265,614.38","119,416,694.87","260,082,009.66","366,661,895.91","484,078,421.79","101,401,449.36","183,500,184.07","257,090,918.37","356,343,318.59","71,763,407.83","180,643,548.60","264,622,535.34","376,122,894.20","75,976,086.83","175,063,164.24","290,898,260.46","441,473,036.83","106,941,817.13","272,166,365.02","422,458,358.61","602,557,110.01","161,305,210.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"225,347.72","1,753,284.14","1,688,993.09","3,210,384.82","674,337.45","1,184,529.24","1,767,728.45","2,688,953.21","915,967.30","1,433,720.60","1,754,029.22","2,661,146.17","273,362.28","1,036,468.07","1,539,968.17","2,610,012.22","685,134.98","1,454,261.27","2,303,002.01","3,830,358.91","621,210.56","2,421,398.74","3,565,986.07","5,222,025.47","780,343.37","2,675,316.94","3,619,149.53","5,001,632.12","915,488.84","2,053,434.50","2,796,442.18","6,288,330.48","1,361,820.84","3,200,124.87","5,198,969.14","8,004,571.54","2,150,750.27","4,966,049.93","7,749,926.25","11,493,959.78","2,909,220.27"
营业外收入,"120,100.00","220,000.00","501,466.00","883,136.50","783,050.00","1,127,085.85","1,302,348.63","8,472,168.61","117,530.00","1,439,496.50","1,489,778.11","4,296,308.28","219,336.00","220,126.00","376,309.24","1,086,805.76","190,537.41","433,064.29","775,732.29","4,573,602.13","685,876.30","2,203,598.30","2,664,122.34","3,527,522.42","1,407,868.03","7,330,685.32","14,436,954.69","10,998,080.46","2,868,506.02","13,279,326.33","14,842,146.07","17,155,598.50","3,411,082.31","4,706,796.06","7,235,485.68","496,060.61","320,226.88","443,160.81","572,792.39","483,679.74","499,001.95"
销售费用,"4,595,617.06","28,914,238.87","10,337,914.78","38,664,481.59","9,840,266.30","18,560,396.12","23,092,310.40","31,699,603.08","6,343,450.54","16,072,448.40","26,569,496.17","37,081,795.47","6,482,112.25","14,236,076.84","25,629,513.65","36,024,636.31","7,182,123.20","16,830,777.28","29,581,499.41","43,428,115.51","8,951,198.38","23,785,839.11","35,130,846.03","50,910,874.15","10,996,446.92","23,601,633.96","36,890,415.08","53,511,631.70","11,909,285.94","27,437,413.88","42,132,831.62","57,716,164.07","15,090,914.31","34,893,283.39","55,333,388.28","76,331,312.38","12,607,460.34","34,771,344.50","55,079,190.24","80,240,817.62","8,508,101.56"
减:营业外支出,"347,350.00","1,093,788.28","8,000.78","403,417.61","17,543.60","224,734.00","248,235.17","354,062.28","70,783.87","348,623.59","350,374.00","830,761.97","121,800.00","122,550.00","133,141.93","157,511.94","50,000.00","107,000.00","436,444.73","1,226,400.55","18,817.80","420,668.34","528,902.60","1,085,443.54","15,768.81","1,055,089.14","1,097,726.77","997,600.77","105,233.45","166,815.58","289,168.27","473,622.97","39,924.32","97,607.16","189,062.63","623,490.06","10,317.19","12,902.91","470,399.15","740,253.19","11,753.81"
管理费用,"11,046,989.16","40,814,660.34","6,856,839.32","44,454,329.39","7,668,456.36","21,166,403.39","35,597,888.26","51,555,580.56","11,908,415.60","24,987,992.18","40,723,902.71","58,281,633.90","12,336,919.87","21,940,921.91","35,213,088.42","51,796,010.28","13,968,830.58","27,144,674.30","42,724,384.99","62,151,507.62","14,870,296.60","33,688,600.71","50,339,448.14","70,554,182.73","17,942,185.00","37,518,103.14","55,319,675.43","81,900,345.99","19,984,572.12","44,484,044.56","63,729,926.03","88,854,780.97","18,805,911.74","35,933,619.16","52,142,829.78","82,052,185.59","18,810,157.96","43,030,148.72","43,477,405.58","63,216,289.41","19,575,012.09"
其中:非流动资产处置净损失,,,,,,,,,,"70,783.87","70,783.87","388,577.51",,,,"16,390.56",,,,"802,191.28",,"16,577.21",,"188,763.76",,"621,036.67",,"632,474.30",,"63,592.34",,"49,037.80",,"40,821.46",,,,,,,
