科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,721,675,221.90","4,530,322,085.53","2,096,618,422.70","4,038,615,872.11","5,250,445,099.83","946,142,164.73","2,664,723,588.13","5,788,855,534.02","7,697,692,263.07","1,283,709,683.32","4,142,285,211.10","9,061,911,811.76","11,975,721,873.21","2,044,062,682.33","6,307,530,589.17","12,027,752,412.32","15,451,453,920.62","2,801,627,024.79","7,212,764,919.00","13,820,970,278.32","17,930,412,463.89","3,039,882,807.35","8,932,187,443.52","16,271,438,646.01","21,090,411,325.24","3,524,106,228.55","9,650,442,818.43","17,599,487,049.71","25,567,402,483.20","4,003,598,841.52","11,620,378,224.28","19,972,991,191.80","27,185,309,985.32","5,466,140,158.09","14,532,337,762.58","26,502,344,335.43","32,556,634,127.38","7,259,881,518.56"
二、营业利润,"127,188,702.24","167,213,825.07","57,583,533.80","189,004,632.86","188,612,236.60","-10,531,581.85","73,227,896.01","241,844,868.38","254,261,533.36","9,085,965.02","151,978,588.74","416,351,932.31","460,564,054.87","5,831,068.89","213,270,127.99","491,886,092.90","523,839,988.92","3,202,820.04","165,333,800.12","423,684,582.83","396,726,389.87","9,610,115.30","252,744,938.39","682,046,782.39","701,395,779.38","16,444,161.93","354,649,521.75","888,615,852.35","924,760,965.94","48,145,659.80","465,785,255.35","1,031,919,830.48","1,000,612,060.83","68,073,985.40","641,827,395.23","1,414,582,715.64","1,475,867,335.16","124,482,544.69"
减:营业成本,"2,474,882,766.34","4,176,998,926.78","1,916,303,923.00","3,673,328,913.33","4,814,274,732.12","880,936,783.23","2,423,273,460.48","5,267,169,219.41","7,033,038,912.70","1,181,617,913.00","3,736,371,810.05","8,173,862,760.80","10,867,142,264.16","1,877,907,623.49","5,691,139,839.75","10,805,074,655.14","13,999,150,316.11","2,554,434,619.97","6,537,042,843.78","12,573,580,416.52","16,411,603,391.61","2,786,203,458.65","8,022,228,369.21","14,558,815,117.25","19,018,833,532.16","3,186,609,533.60","8,613,608,744.04","15,586,117,764.21","23,159,446,103.63","3,658,106,677.56","10,326,558,100.57","17,756,275,203.03","24,625,416,153.34","4,923,065,002.50","12,933,371,072.44","23,594,015,649.87","28,979,578,692.42","6,539,044,578.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"177,689.30","284,325.58","213,516.70","360,107.45","421,954.89","34,428.70","250,562.14","482,824.56","791,062.17","146,582.77","1,045,984.21","2,151,943.86","2,843,015.52","198,136.53","1,199,021.33","2,017,516.12","2,918,816.11","303,555.32","967,769.38","2,038,698.48","3,142,344.81","485,927.42","1,317,641.27","3,386,170.59","5,018,366.93","451,739.21","1,735,901.25","4,045,092.74","5,423,758.57","585,366.80","3,747,968.29","4,918,269.45","33,744,344.90","8,960,408.05","20,464,826.26","34,518,122.91","47,090,570.89","11,496,436.17"
营业外收入,"5,082,710.89","3,055,758.93","1,875,911.21","2,904,821.41","6,394,561.94","2,089,185.33","3,055,806.73","3,775,176.74","20,568,882.61","1,423,124.34","4,718,122.49","6,252,557.59","10,836,782.52","771,744.47","2,690,942.99","26,489,245.96","35,194,402.72","4,566,940.63","8,374,777.72","21,125,755.49","33,846,395.21","5,052,728.07","13,254,058.52","18,917,333.91","28,855,922.90","4,374,557.31","14,416,295.94","41,316,424.33","77,825,139.00","6,458,354.93","37,029,172.41","63,035,010.33","61,659,073.40","12,181,227.84","14,681,565.58","23,166,271.39","28,416,521.26","1,945,036.44"
销售费用,"48,859,128.89","64,759,844.91","38,606,359.34","70,805,321.62","95,460,799.22","21,957,857.11","61,682,838.44","120,426,562.43","173,865,539.05","42,197,571.11","113,937,795.75","205,899,693.70","288,587,915.62","56,403,924.25","162,331,544.24","300,546,740.83","371,899,521.84","86,933,865.66","209,548,249.20","346,897,806.08","486,440,680.86","86,357,031.12","231,125,901.62","404,423,462.56","568,639,117.33","122,683,962.68","289,330,992.90","480,207,207.54","674,426,746.82","156,153,369.35","336,066,613.22","543,381,769.48","761,033,415.86","210,758,112.63","466,800,905.65","778,425,888.45","1,070,474,010.85","270,414,708.56"
减:营业外支出,"1,601,635.07","1,733,525.25","565,803.98","891,092.51","1,509,617.44","186,990.52","407,859.57","1,041,561.28","1,465,041.89","190,869.82","1,334,413.38","1,359,415.13","1,545,035.44","126,364.63","1,039,603.58","2,390,505.26","3,493,724.04","1,662,654.37","2,654,375.19","3,954,474.20","7,476,170.28","1,025,028.27","2,699,627.21","6,320,956.06","21,624,041.06","1,214,029.43","2,474,751.59","5,581,413.51","13,660,675.49","2,669,411.40","9,068,142.78","12,841,409.86","18,292,849.61","3,664,494.21","8,875,054.37","13,062,696.08","22,219,213.88","5,945,570.33"
管理费用,"85,696,088.04","122,593,379.23","56,736,946.65","90,602,785.27","122,319,377.66","38,260,715.81","85,352,081.72","137,481,016.71","224,453,850.91","54,292,724.51","155,404,294.75","273,096,270.52","375,660,560.56","87,009,436.97","205,107,489.53","344,790,919.35","475,958,333.15","125,181,961.46","269,420,026.72","444,311,847.78","586,967,533.40","130,452,029.13","354,410,001.53","506,419,161.82","703,612,778.76","156,067,387.36","341,104,494.24","539,005,551.66","677,120,834.33","168,112,312.58","357,855,197.26","552,266,004.89","756,304,596.69","223,080,273.80","467,334,532.28","709,147,021.06","1,047,237,762.73","279,911,412.99"
其中:非流动资产处置净损失,"735,915.09","24,022.27","50,271.18","58,725.17",,"33,803.80","36,474.72","78,518.43","258,121.51","40,326.42","253,879.88","274,582.95","541,846.19","87,153.16","101,319.05","173,410.67","553,672.51","700,771.06","1,494,093.59","1,303,429.30","4,472,860.10","365,469.57","728,944.29","-290,828.59","4,774,917.73","80,807.13","624,469.92","1,271,256.79","5,454,896.42","1,482,204.29","2,423,552.44","4,503,200.58","8,137,081.18","2,944,503.10","4,420,518.62","6,560,752.60",,
