科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月
一、营业收入,"7,063,680,577.37","19,050,779,371.54","26,916,136,713.96","33,296,552,612.33","12,334,337,189.54","27,480,081,027.10","37,341,892,361.88","45,313,461,923.30","8,824,099,000.00","24,900,778,630.00","35,656,772,980.00","47,278,248,260.00","15,541,266,500.00","39,025,241,140.00","57,159,792,230.00","74,558,886,120.00","30,480,761,180.00","62,036,963,740.00","81,877,886,780.00","93,108,058,260.00","17,744,732,780.00","38,990,022,260.00","53,833,105,570.00","68,071,200,640.00","21,914,106,300.00","46,287,249,310.00"
二、营业利润,"325,183,642.17","1,143,574,250.78","1,606,644,800.26","1,815,750,271.28","478,640,072.12","1,544,154,212.78","1,977,624,445.22","1,727,314,322.58","296,404,000.00","1,681,137,890.00","2,285,720,550.00","2,519,748,590.00","299,944,410.00","1,919,898,730.00","2,107,000,800.00","2,556,717,790.00","815,845,590.00","2,774,068,360.00","3,986,443,490.00","5,022,596,070.00","1,293,001,130.00","2,857,356,890.00","4,037,159,420.00","4,743,724,620.00","1,527,350,670.00","3,623,803,300.00"
减:营业成本,"5,754,044,099.65","15,517,452,031.80","21,942,529,225.52","27,096,480,929.80","10,021,728,559.15","22,147,305,374.79","30,142,290,561.21","36,631,539,604.71","7,026,065,000.00","19,279,198,000.00","27,727,055,070.00","36,975,215,840.00","13,155,103,730.00","32,293,981,040.00","47,967,290,930.00","62,114,202,050.00","25,987,269,190.00","51,501,606,870.00","67,317,886,490.00","75,618,779,240.00","14,120,111,280.00","30,728,824,140.00","41,987,463,830.00","52,541,311,990.00","16,964,687,020.00","35,885,819,090.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,955,055.59","13,366,279.08","21,867,655.18","26,154,333.47","5,408,154.78","16,737,658.90","28,642,931.02","41,569,722.75","11,833,000.00","25,104,010.00","36,926,150.00","60,565,820.00","14,702,220.00","34,296,900.00","53,251,150.00","85,789,380.00","62,185,990.00","167,112,250.00","281,680,870.00","351,891,660.00","43,325,290.00","135,935,380.00","215,634,660.00","321,629,450.00","70,736,600.00","199,921,290.00"
营业外收入,"5,546,190.31","22,204,281.74","41,084,994.71","103,541,382.69","6,260,561.25","24,852,977.54","64,641,786.43","119,699,733.20","32,962,000.00","55,235,630.00","67,158,850.00","396,422,370.00","654,538,910.00","685,883,330.00","2,050,635,080.00","2,570,296,440.00","319,518,330.00","391,678,060.00","570,324,530.00","676,342,400.00","42,855,100.00","118,763,360.00","358,064,630.00","430,318,410.00","54,907,580.00","125,594,680.00"
销售费用,"665,223,718.08","1,763,315,174.06","2,613,698,188.93","3,265,835,696.65","1,231,841,633.38","2,701,388,419.83","3,672,455,900.40","4,613,874,020.45","1,039,119,000.00","2,943,283,910.00","4,386,798,960.00","5,730,733,320.00","1,489,135,230.00","3,545,282,910.00","5,220,238,000.00","6,943,427,310.00","2,509,411,860.00","5,557,485,520.00","7,596,600,160.00","8,590,884,800.00","1,416,096,520.00","3,329,000,440.00","5,037,866,770.00","6,736,386,530.00","2,140,916,210.00","4,456,578,030.00"
减:营业外支出,"4,823,666.32","9,660,641.34","19,574,071.81","49,538,542.66","20,153,964.25","47,593,950.89","68,154,143.06","91,442,643.84","13,630,000.00","50,922,430.00","76,214,990.00","163,342,120.00","20,093,220.00","49,163,730.00","100,492,420.00","163,843,450.00","9,019,010.00","28,927,890.00","71,099,440.00","138,419,710.00","13,215,090.00","43,129,930.00","61,586,090.00","97,696,580.00","18,164,080.00","71,617,950.00"
管理费用,"215,538,753.00","448,311,951.95","710,024,835.66","1,048,917,739.01","352,946,719.87","709,388,700.44","1,154,623,597.28","1,725,420,652.02","347,517,000.00","744,233,070.00","1,038,676,800.00","1,660,163,890.00","424,725,880.00","962,374,750.00","1,571,921,080.00","2,663,128,420.00","881,460,750.00","1,467,485,520.00","2,188,570,230.00","3,191,097,790.00","885,141,720.00","1,541,577,010.00","2,284,945,520.00","3,619,391,520.00","1,021,890,800.00","2,042,668,680.00"
其中:非流动资产处置净损失,"912,344.66","2,246,108.90","3,902,684.42","27,846,062.76",,"8,037,324.89","22,883,419.06","29,149,648.36","10,138,000.00","24,907,280.00","59,851,440.00","133,940,770.00","5,366,990.00","18,905,570.00","23,442,460.00","42,755,050.00","5,366,270.00","9,905,160.00","17,103,720.00","46,405,360.00","3,400,230.00","22,716,440.00","33,904,660.00","23,421,860.00","4,820,990.00","18,703,720.00"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"25,038,047.40","107,120,090.05","164,232,419.35","252,547,120.04","111,501,109.95","245,914,062.66","345,621,200.04","481,410,018.37","62,046,000.00","118,162,800.00","187,687,950.00","222,445,770.00","28,545,720.00","172,633,670.00","278,756,620.00","464,055,870.00","184,509,280.00","439,293,380.00","751,425,330.00","1,051,478,280.00","-17,033,390.00","200,747,430.00","241,430,430.00","322,740,490.00","111,789,400.00","364,303,600.00"
