科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度
销售商品、提供劳务收到的现金,"159,142,007.58","305,894,864.30","493,688,986.68","669,679,375.11","1,031,835,571.57","2,582,808,752.14","4,164,073,969.16","5,642,717,649.79","1,182,592,285.97","2,217,236,813.13","2,897,613,022.67","4,859,977,446.69","858,340,432.98","3,769,840,140.97","5,255,599,363.23","6,875,395,809.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"102,072.64","997,707.93","1,944,512.84","5,613,976.11","17,869,090.52","109,208,678.54","181,280,952.75","327,990,885.89","166,613,427.65","368,178,833.73","375,928,245.06","426,422,074.94","173,063,456.20","344,723,889.76","504,163,229.06","554,975,334.08"
支付其他与投资活动有关的现金,,,,,"7,622,656.40","65,493,283.87","144,581,285.74","75,647,007.46","9,288,797.74","78,460,913.41","541,400,807.00","181,234,868.96","59,475,957.59","54,069,542.48","89,486,867.28","149,651,350.48"
收到其他与经营活动有关的现金,"35,078,603.22","60,741,549.31","84,272,389.64","8,118,405.46","268,933,670.36","120,418,809.00","142,415,878.53","127,631,863.35","38,281,966.00","126,721,030.05","75,667,353.21","293,690,542.41","98,834,203.75","87,852,294.09","105,844,110.14","155,830,875.90"
投资活动现金流出小计,"1,138,074.46","4,092,273.12","3,861,024.27","20,913,487.98","492,625,864.64","1,969,345,394.94","2,929,926,272.71","3,582,529,519.30","315,873,137.28","1,128,905,677.21","1,725,873,167.81","2,643,381,854.67","543,260,898.67","1,487,366,433.66","2,569,089,918.57","3,501,200,185.89"
经营活动现金流入小计,"194,322,683.44","367,634,121.54","579,905,889.16","683,411,756.68","1,318,638,332.45","2,812,436,239.68","4,487,770,800.44","6,098,340,399.03","1,387,487,679.62","2,712,136,676.91","3,349,208,620.94","5,580,090,064.04","1,130,238,092.93","4,202,416,324.82","5,865,606,702.43","7,586,202,019.93"
投资活动产生的现金流量净额,"212,466.49","-624,465.86","-293,217.01","-12,118,214.13","-427,763,607.72","1,691,013,657.56","1,305,473,306.76","-3,381,172,042.29","-313,536,889.47","-1,086,704,862.36","-1,667,403,569.61","-2,474,930,880.70","-535,112,617.13","-1,408,586,660.07","-2,449,013,176.05","-3,312,433,480.07"
购买商品、接受劳务支付的现金,"132,974,148.66","253,791,789.79","385,370,042.14","531,921,341.17","348,706,640.34","1,125,411,592.14","1,282,993,227.03","1,696,160,350.58","360,764,371.13","609,012,604.51","1,277,048,288.90","2,129,877,972.50","476,951,182.86","833,657,401.90","1,247,248,962.71","1,720,006,305.93"
吸收投资收到的现金,,,,,,"27,600,000.00","32,600,000.00","36,600,000.00","60,000,000.00","60,000,000.00",,"68,000,000.00",,,,
支付给职工以及为职工支付的现金,"11,840,101.83","24,770,898.43","40,069,091.29","55,176,931.05","60,726,865.45","141,513,177.74","253,178,807.17","376,165,176.60","102,563,617.29","237,984,221.43","240,486,432.04","514,637,808.41","129,373,634.48","250,813,980.51","322,056,745.36","742,237,923.41"
取得借款收到的现金,"4,000,000.00","3,000,000.00","8,100,000.00","81,500,000.00","949,700,000.00","1,914,850,000.00","1,914,850,000.00","2,706,250,000.00","400,000,000.00","428,800,000.00","796,800,000.00","1,742,000,000.00","640,508,521.12","1,204,571,627.12","1,255,342,470.12","2,192,535,875.09"
支付的各项税费,"2,581,269.08","9,246,312.71","21,037,247.34","26,791,867.16","177,337,246.42","507,824,296.59","748,172,491.21","1,163,612,448.68","313,925,420.68","720,339,118.09","846,747,024.26","1,196,730,832.66","216,195,615.26","1,124,271,601.12","1,519,124,282.09","1,900,779,073.82"
收到其他与筹资活动有关的现金,,,,,"2,647,284,702.97","4,000,000.00","40,992,310.08","2,883,064,758.15",,,"6,857,347.25",,,,,
支付其他与经营活动有关的现金,"37,418,363.29","79,073,801.26","114,126,599.30","33,450,259.96","232,330,210.73","110,149,569.12","489,526,699.07","207,551,967.75","185,817,598.56","43,020,219.35","537,701.34","469,803,596.72","169,780,382.07","109,913,864.72","132,752,273.07","237,439,185.45"
筹资活动现金流入小计,"4,000,000.00","3,000,000.00","8,100,000.00","81,500,000.00","3,596,984,702.97","1,946,450,000.00","1,988,442,310.08","5,625,914,758.15","460,000,000.00","488,800,000.00","803,657,347.25","1,810,000,000.00","640,508,521.12","1,204,571,627.12","1,255,342,470.12","2,192,535,875.09"
经营活动现金流出小计,"184,813,882.86","366,882,802.19","560,602,980.07","647,340,399.34","819,100,962.94","1,884,898,635.59","2,773,871,224.48","3,443,489,943.61","963,071,007.66","1,610,356,163.38","2,364,819,446.54","4,311,050,210.29","992,300,814.67","2,318,656,848.25","3,221,182,263.23","4,600,462,488.61"
