科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"88,532,950.98","170,857,922.36","132,889,368.00","49,151,252.63","1,201,932,162.54","1,071,665,472.54","672,098,318.51","130,703,590.90","262,804,584.37","302,764,461.96","256,469,954.40","268,631,219.92","456,685,446.64","1,002,771,887.49","573,908,823.59","492,025,968.63","493,661,238.38","382,304,108.10"
短期借款,"110,000,000.00","100,000,000.00",,,,,,,,,,,"14,000,000.00","14,000,000.00","14,000,000.00","14,000,000.00",,
交易性金融资产,,,,,,,"1,293,270.00","5,639,900.00","3,924,800.00","2,819,520.00","3,101,780.00","1,593,480.00","3,487,044.00","2,021,619.60","3,368,534.40","4,811,844.80","3,458,636.50","10,170,706.00"
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"44,982,884.53","196,447,451.94","435,696,309.31","426,082,107.08","412,145,406.89","476,303,315.91","526,028,205.73","619,054,841.94","590,961,958.48","321,640,707.00","582,760,638.94","531,674,969.84","654,442,456.19","409,313,345.48","485,913,883.70","455,646,593.09","428,339,376.13","476,342,177.27"
应付票据,,,,,,,,,,,,,,"27,627,567.72","27,009,223.55","26,440,981.75","27,580,836.81",
应收账款,"380,222,776.07","514,091,716.61","592,251,568.74","704,845,919.34","628,980,693.38","683,708,842.82","762,453,065.77","816,443,790.97","779,175,717.15","879,157,458.85","984,806,969.71","916,822,293.88","896,875,681.36","800,489,655.63","784,801,047.91","927,888,841.28","1,138,284,758.77","1,005,119,732.26"
应付账款,"181,319,869.21","139,061,089.97","211,729,526.60","240,724,130.71","197,404,233.94","209,617,535.70","207,518,378.35","179,301,335.53","167,958,453.11","209,162,837.96","216,539,262.05","148,109,299.91","204,083,993.96","181,193,192.74","226,935,377.26","273,766,315.84","369,357,642.76","336,070,914.11"
预付款项,"71,219,381.13","29,027,349.59","10,750,428.57","18,021,375.87","16,213,114.18","13,964,219.32","9,932,164.34","18,866,007.94","19,865,215.50","24,595,366.34","25,668,912.30","34,272,593.42","24,389,597.50","22,693,613.96","17,896,345.31","26,501,770.98","15,559,374.61","21,281,813.79"
预收款项,"11,542,539.69","5,892,661.85","6,378,972.42","5,476,005.81","9,571,848.64","8,691,488.12","10,260,851.31","12,248,703.08","8,782,013.90","8,855,612.01","4,798,856.16","9,743,663.83","5,677,856.68","4,632,626.89","5,155,632.07","8,091,221.10","7,984,225.85","11,038,886.64"
