科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"64,571,007.33","89,641,611.63","96,878,913.50","28,576,284.97","12,015,137.59","84,533,110.98","120,802,536.93","124,911,224.00","108,147,912.98","144,624,736.93","93,357,794.38","78,121,135.49","50,926,158.98","137,710,481.83","101,664,058.97","56,560,478.14","62,963,882.97","1,037,563,505.29","750,890,719.73","417,259,561.63","302,438,052.84"
短期借款,,,"1,372,839.38",,,,,,,,"20,000,000.00","20,000,000.00","10,000,000.00","76,200,000.00","147,055,775.00","177,869,918.91","185,795,856.86","207,853,571.05","238,669,372.19","246,099,453.28","264,258,996.50"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"11,041,677.70",,"37,503,581.15","8,748,149.90","6,897,401.00","26,686,523.20","24,776,043.20","20,503,152.00","17,335,480.00","66,764,204.15","45,439,297.49","56,462,488.00","38,212,445.00","88,969,718.89","104,631,025.68","75,784,422.33","73,003,496.60","118,473,214.24","106,509,617.14","84,270,082.80","81,612,598.56"
应付票据,"6,948,900.00",,"12,125,995.60","4,053,000.00","750,400.00","8,667,837.49","1,215,873.50",,,"33,606,875.00","1,460,764.56","1,590,000.00","1,590,000.00","213,000.00",,,"635,000.00","75,000.00","103,405.00","81,809,038.86","43,988,519.06"
应收账款,"34,466,641.44","45,710,510.32","90,863,557.83","134,674,475.98","164,297,619.23","137,751,363.49","146,464,602.90","185,122,677.37","194,986,069.57","169,528,395.38","168,462,503.31","199,445,606.90","205,849,954.18","465,590,758.32","487,745,900.58","541,158,436.35","600,074,475.41","724,028,976.88","666,670,389.69","825,041,791.00","840,858,162.12"
应付账款,"26,022,414.46","54,183,686.95","74,802,137.22","40,219,626.22","55,998,636.77","79,182,115.36","36,826,634.46","64,998,232.53","69,090,984.09","91,879,783.11","58,689,316.39","65,263,814.32","77,967,477.06","154,096,085.70","219,486,612.40","159,689,748.55","169,630,010.86","236,937,401.45","187,960,117.21","311,651,323.04","311,756,675.14"
预付款项,"1,239,600.03","2,090,263.85","6,117,706.56","16,066,172.35","15,717,922.15","15,802,162.05","16,756,975.61","17,195,577.02","26,868,697.66","35,050,903.25","36,926,554.33","49,073,263.74","51,072,207.39","113,853,723.81","125,890,484.40","112,723,007.81","105,982,626.98","71,854,004.62","78,354,545.81","175,111,643.56","186,802,007.49"
预收款项,"1,272,478.00","616,800.00","4,201,857.53","642,520.00","589,996.58","935,007.48","6,722,615.61","6,490,063.74","6,369,894.02","7,618,335.55","14,648,817.74","15,920,042.59","21,989,663.37","10,032,540.19","8,822,636.01","16,641,169.18","7,279,754.42","136,610,388.67","98,274,553.10","101,003,566.36","116,189,872.80"
