科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,"777,089,353.61","1,032,949,820.11","1,411,916,366.06","289,367,004.14","879,771,127.08","1,532,737,511.45","2,744,442,690.36","848,029,559.47","1,716,782,420.59","2,337,373,131.27","3,362,174,916.90","634,216,948.82","1,571,473,295.06","2,333,786,314.65","3,753,657,542.64","397,683,468.71","1,461,030,916.05","2,977,108,854.21","4,891,286,030.61","747,284,083.56","3,698,353,710.19","5,818,144,527.72","9,350,466,228.38","1,242,614,023.02","4,352,741,037.73","6,674,578,482.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"315,239,707.05",,,,"73,428,915.07",,,,,,"769,754,489.44","1,038,695,871.06","833,192,446.84",,,,"3,424,866.22","91,400,000.00","91,400,000.00","91,400,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,958.68",,,"117,572,793.75","9,691,173.79",,,,
收到其他与经营活动有关的现金,"7,634,691.87","4,700,000.00","4,700,000.00","6,892,437.32",744.69,"2,186,744.69","3,162,280.00",,"2,700,000.00","2,700,000.00","7,200,000.00",,"32,180.00","32,180.00","4,372,180.00",,"48,654,809.64","103,810,603.43","194,824,436.87","48,571,302.40","67,600,224.25","260,565,829.10","794,274,681.64","186,410,793.96","367,016,116.52","418,262,408.23","513,042,667.04","206,733,823.70","438,145,290.86","648,495,977.82","1,111,489,595.28","777,857,034.39","1,626,514,163.77","2,075,680,474.37","720,040,096.38","634,710,432.22","758,403,246.26","1,891,120,665.66","1,455,332,920.25","863,530,965.37","517,241,696.81","2,678,982,820.38"
投资活动现金流出小计,"15,300.00","15,300.00","15,300.00","15,300.00",,,,,,,,,,,,,"61,211,203.40","85,019,015.48","104,427,081.15","12,989,345.47","30,259,331.90","117,987,415.25","695,910,839.07","77,731,065.88","151,223,942.10","228,207,425.01","425,208,764.37","43,340,684.59","89,344,681.69","136,174,591.80","740,584,099.99","250,325,367.79","1,272,284,673.69","2,069,822,223.25","2,984,195,639.49","149,748,673.15","838,760,157.49","1,335,057,807.63","1,221,336,169.18","129,089,856.38","1,108,008,800.55","1,194,015,739.11"
经营活动现金流入小计,"7,634,691.87","4,700,000.00","4,700,000.00","6,892,437.32",744.69,"2,186,744.69","3,162,280.00",,"2,700,000.00","2,700,000.00","7,200,000.00",,"32,180.00","32,180.00","4,372,180.00",,"825,744,163.25","1,136,760,423.54","1,606,740,802.93","337,938,306.54","947,371,351.33","1,793,303,340.55","3,538,717,372.00","1,034,440,353.43","2,083,798,537.11","2,755,635,539.50","3,875,217,583.94","840,950,772.52","2,009,618,585.92","2,982,282,292.47","4,865,147,137.92","1,175,540,503.10","3,087,545,079.82","5,052,789,328.58","5,611,326,126.99","1,381,994,515.78","4,456,756,956.45","7,709,265,193.38","10,805,799,148.63","2,106,144,988.39","4,869,982,734.54","9,353,561,303.01"
投资活动产生的现金流量净额,"-15,300.00","-11,485.50","-11,485.50","-2,249.73",,,"25,706.60",,,,"9,523.98","2,812.31","4,862.98","4,862.98","8,936.63","5,413.00","-60,091,951.67","-83,899,763.75","-104,427,081.15","-12,989,345.47","-30,259,331.90","-117,987,415.25","-695,819,584.01","-77,408,351.08","-36,550,184.91","-53,772,035.93","-177,254,339.59","-43,340,084.59","-89,341,761.69","-126,171,671.80","-705,046,253.49","-250,325,367.79","-1,256,222,127.33","-1,975,990,765.39","-2,886,227,039.78","-149,726,855.76","-838,759,612.49","-1,312,606,972.09","-1,197,582,523.40","-128,986,100.97","-452,778,388.34","-538,741,844.29"
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,"977,197,380.89","1,662,745,193.37","2,412,466,865.81","520,412,196.96","1,166,915,600.11","1,717,030,805.53","2,374,931,130.86","880,112,219.03","1,658,318,926.20","3,934,917,814.52","5,862,537,377.97","1,475,059,041.31","2,280,403,902.20","3,528,291,536.98","5,038,067,667.01","1,540,972,339.78","2,660,513,975.84","3,954,571,736.43","6,180,506,226.04","2,042,652,635.15","4,421,643,592.38","5,657,109,285.32","7,316,714,879.37","2,170,707,365.99","2,692,887,191.77","3,691,099,045.71"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","100,000,000.00","130,000,000.00","40,000,000.00","55,859,649.96","55,859,649.96","75,094,360.96","2,062,549,990.31","2,062,549,990.31","2,376,593,386.67","2,386,545,631.50",,95.22,95.22,"12,000,095.22",,"1,325,000.00","1,425,000.00"
支付给职工以及为职工支付的现金,"100,900.00","614,995.30","691,029.66","783,626.96","73,626.76",,"445,220.17","101,141.61","485,167.57","616,361.40","2,395,966.93","25,500.00","51,000.00","51,000.00","710,640.00","25,500.00","35,466,363.59","52,319,051.18","76,119,363.97","27,186,721.09","50,875,050.22","75,568,984.67","109,592,460.48","48,541,641.00","81,904,844.25","118,118,713.48","203,300,378.73","79,625,473.39","137,538,004.66","201,692,917.55","285,023,052.98","133,018,228.52","213,146,298.92","312,433,943.94","435,139,248.82","194,990,158.40","321,749,372.78","462,087,706.86","623,691,492.80","286,611,782.02","467,889,469.28","644,586,131.61"
