科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"68,742,354.05","109,033,793.65","140,803,500.83","202,224,751.68","120,490,447.86","525,197,775.19","536,205,612.46","393,421,707.90","501,434,608.23","467,655,096.85","281,584,327.84","190,510,383.68","204,935,146.41","156,333,714.15","88,175,118.83","113,359,933.90","162,444,835.92","162,431,043.09","173,063,094.11","308,923,080.65","319,770,118.35","165,819,488.34"
短期借款,"227,000,000.00","286,500,000.00","378,000,000.00","425,000,000.00","305,000,000.00","75,000,000.00","75,000,000.00",,,,,,,"23,000,000.00","50,000,000.00","100,000,000.00","150,000,000.00","170,000,000.00","190,000,000.00","210,000,000.00","253,000,000.00","308,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"20,288,179.01","50,447,000.00","3,154,774.84","7,000,000.00","30,904,270.00","42,482,000.00","13,814,498.08","6,627,000.00","20,286,779.50","21,691,453.48","50,024,222.16","19,530,000.00","53,729,116.47","43,997,129.93","32,568,440.10","29,757,999.81","54,616,877.67","65,834,417.00","38,793,348.40","56,728,092.63","104,097,795.69","116,727,584.16"
应付票据,"28,000,000.00","92,020,000.00","37,040,000.00","48,100,000.00","13,000,000.00","1,000,000.00",,,,,"2,450,000.00","2,450,000.00",,"22,000,000.00","83,800,000.00","189,800,000.00","210,120,000.00","305,883,500.00","381,492,500.00",,"495,090,000.00",
应收账款,"395,625,540.06","374,729,576.05","510,812,950.95","531,478,970.84","439,521,575.60","444,077,339.63","504,835,070.18","583,889,175.21","515,736,670.87","466,274,891.35","540,819,242.71","640,185,185.21","680,119,595.25","739,808,367.44","839,168,645.69","819,549,067.97","906,551,617.17","898,187,443.69","959,301,199.38","935,816,363.76","1,006,489,583.10","965,615,401.04"
应付账款,"41,342,941.30","22,334,751.08","33,112,851.74","60,787,710.58","37,936,272.88","36,952,370.48","52,438,219.44","43,291,805.33","33,655,781.68","27,870,552.62","35,011,799.82","39,759,997.39","63,454,202.35","57,419,106.89","67,402,229.70","71,225,990.83","59,280,110.72","53,542,941.74","54,990,546.37",,"100,254,564.07",
预付款项,"26,690,796.80","90,879,433.44","76,973,317.84","103,726,753.98","35,912,825.67","41,989,337.10","34,114,979.83","40,997,245.26","27,307,875.29","43,700,591.35","95,281,296.70","69,231,558.06","81,677,595.40","64,678,211.46","108,469,111.23","225,789,030.83","164,567,802.71","162,697,561.30","162,347,042.66","143,539,687.03","113,012,695.83","158,263,843.81"
预收款项,"12,751,924.75","39,980,857.98","13,827,712.63","54,108,622.97","82,576,597.88","74,905,857.08","6,767,199.85","2,785,244.71","4,613,122.22","3,997,563.27","18,541,390.85","8,257,543.33","10,146,627.60","17,127,592.70","24,886,575.55","21,576,875.66","15,434,665.27","24,420,750.34","14,801,930.70","24,307,926.49","11,486,969.02","15,242,132.49"
其他应收款,"15,933,863.69","13,295,965.29","3,963,390.34","5,978,353.45","6,626,886.97","10,595,214.04","10,699,818.03","12,173,906.05","6,156,673.91","11,287,408.24","13,522,031.08","21,667,052.94","10,383,321.90","18,760,215.91","15,228,231.93","22,394,837.46","33,712,478.07","36,271,495.97","42,516,631.80","53,938,876.42","127,080,212.79","36,705,097.74"
应付职工薪酬,"119,621.58","1,373,758.41","3,017,447.97","4,073,609.64","6,989,618.10","5,155,070.35","5,962,127.66","6,456,178.74","6,594,077.68","3,249,744.81","5,447,484.65","5,702,702.41","7,869,506.02","2,712,739.28","3,787,191.02","3,106,719.00","6,622,156.99","3,234,843.62","5,667,652.05","6,762,917.32","12,537,936.07","7,372,118.22"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,142,495.97","-3,738,962.16","4,895,796.58","15,779,096.93","2,604,030.08","7,299,678.24","30,024,955.92","13,695,238.05","10,743,670.31","3,043,965.32","13,611,342.02","14,747,245.39","30,057,187.20","14,401,094.61","13,197,286.17","10,472,488.59","24,660,332.67","5,395,297.60","13,419,867.12","14,319,702.25","40,466,906.97","6,597,536.53"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"224,675.00","700,150.00","1,170,400.00","1,651,100.00",,,,,,,,,,,,,,"266,800.00","6,343.75"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"16,500,000.00",,,,,,,,,,,,,,,,,,,
存货,"106,801,909.76","172,701,499.24","166,819,229.57","214,977,660.13","273,492,317.78","276,966,458.88","208,781,456.55","151,045,927.84","131,840,856.61","157,309,489.28","196,540,241.82","237,456,204.40","204,376,036.97","248,571,654.21","244,754,535.19","268,188,385.26","265,731,821.09","338,992,829.38","317,304,997.17","397,786,035.54","305,164,819.89","342,906,784.87"
其他应付款,"455,790.99","2,585,996.37","2,392,247.47","2,146,105.82","2,596,660.31","2,894,580.73","2,077,164.71","2,275,547.05","3,263,566.70","1,863,556.41","3,458,215.99","4,060,707.80","3,998,411.07","6,328,973.91","5,958,715.53","7,127,156.00","5,172,161.43","3,450,868.74","3,777,683.17","4,816,530.61","12,836,991.59","8,539,267.24"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,"15,165,238.12","29,841,391.65","17,389,186.09","13,252,177.48","9,986,337.16","7,411,173.04","8,980,609.22","10,435,175.96","9,237,643.28","56,983,080.82","60,535,152.98","32,502,770.76","57,973,339.82","37,313,622.35","33,726,690.31","32,122,512.53","12,561,800.29","79,821,422.71","201,027,732.55"
其他流动负债,,,,,,,,,,,"1,000,000.00","1,000,000.00",,,,,,,,,,
流动资产合计,"634,082,643.37","811,087,267.67","902,527,164.37","1,080,551,728.20","936,789,715.53","1,358,697,310.93","1,321,703,612.61","1,198,141,299.42","1,210,174,637.45","1,176,899,539.77","1,188,206,538.27","1,187,818,027.57","1,292,203,893.22","1,332,684,446.08","1,360,866,853.73","1,537,012,595.05","1,624,939,054.98","1,698,141,480.74","1,725,448,826.05","1,909,293,936.32","2,055,436,648.36","1,988,065,932.51"
流动负债合计,"308,527,782.65","441,056,401.68","488,786,056.39","610,219,820.94","451,403,329.25","204,377,956.88","173,920,767.58","68,504,013.88","58,870,218.59","40,025,382.43","79,520,233.33","75,978,196.32","115,525,934.24","142,989,507.39","249,031,997.97","403,309,230.08","471,289,427.08","565,928,202.04","664,150,179.41","829,019,108.53","925,673,367.72","858,002,673.12"
可供出售金融资产,,,,,,,,,,,,,"2,250,000.00","2,250,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",
长期借款,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,"51,600,000.00","28,863,750.00","28,863,750.00","22,413,750.00","22,413,750.00","21,188,250.00","21,188,250.00","14,738,250.00","14,722,538.46","13,811,269.22","13,811,269.22"
长期应付款,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,"23,750,000.00","23,750,000.00","23,750,000.00","53,250,000.00","53,250,000.00","38,154,827.37","38,154,827.37","43,404,827.37","43,404,827.37","48,543,962.67","48,543,962.67","49,438,827.52","49,439,343.99","57,688,606.26","57,688,606.26"
专项应付款,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,
固定资产,"139,267,958.47","144,524,179.56","191,505,716.07","201,384,106.17","200,179,881.72","195,274,276.76","199,344,015.63","191,967,714.91","186,675,385.25","181,448,362.69","182,897,803.32","178,052,746.42","255,526,090.82","250,623,951.55","276,426,784.43","277,181,025.72","275,814,500.73","267,568,347.14","257,815,491.65","263,538,909.67","341,347,759.45","348,868,513.75"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,
在建工程,"3,097,655.33","1,361,822.02","3,089,662.63","3,604,589.32","2,391,134.18","2,836,073.82","11,655,906.02","13,809,812.64","28,343,867.76","37,284,617.85","39,622,443.56","52,885,865.25","4,659,338.25","8,004,221.22","10,510,636.74","11,298,413.54","1,423,019.25","1,504,793.97","18,205,553.69","94,606,634.12","64,149,439.99","77,570,710.71"
其他非流动负债,,,"22,458,660.00","22,114,905.00",,,,,,"27,133,145.00",,,,,,,,,,,,
