科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他流动资产,,,,,,,"80,911.00","100,206.62","138,961.09","205,532.64","657,589.81","848,808.12","1,836,046.71","2,269,066.21","4,719,629.27","2,686,745.91","2,806,194.43","3,092,664.80","233,218,038.04","243,296,470.56","223,496,910.95","143,663,865.00","234,068,165.80","217,651,196.28","279,037,966.40","278,972,382.32","253,486,281.64","253,770,098.96","264,439,956.39"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"95,880,706.48","113,442,932.77","156,410,035.93","157,570,794.04","483,822,962.79","506,896,460.29","534,429,717.68","540,733,440.73","509,021,159.47","511,152,597.02","520,379,245.61","531,129,923.47","520,878,254.38","517,290,428.03","537,154,810.80","538,334,419.44","530,474,834.41","455,637,904.29","469,776,933.11","483,925,504.35","439,162,925.73","454,756,276.90","504,732,496.48","499,471,071.31","488,662,894.02","505,228,927.89","527,865,961.29","539,668,703.07","536,828,213.26"
流动负债合计,"95,162,138.59","96,610,395.89","111,479,767.82","91,418,555.60","35,458,684.75","49,943,257.15","57,098,676.63","43,853,244.84","38,686,097.73","41,418,399.51","46,378,477.66","47,081,423.68","42,597,565.80","41,634,036.71","49,740,213.87","42,161,185.56","43,892,862.75","45,532,294.16","54,800,673.71","52,285,838.76","52,031,270.61","52,873,702.77","88,130,654.19","67,308,982.50","61,776,605.87","67,986,729.66","85,672,383.26","68,145,994.53","64,790,251.66"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"624,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,"74,920,638.57","75,027,471.64","75,027,471.64","75,706,912.59","75,393,781.95","74,957,659.44","74,857,557.73","74,397,825.97","73,919,618.92","66,232,256.74","54,080,372.94","53,924,991.07"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"84,522,405.20","91,378,678.30","86,414,508.41","84,623,148.72","83,928,511.40","82,895,901.88","81,940,508.35","80,225,644.44","79,761,170.85","79,666,938.74","81,425,325.91","86,792,613.74","85,958,468.91","85,505,238.20","85,210,309.17","83,475,453.87","81,695,011.25","80,605,640.51","79,261,845.50","78,019,217.54","76,693,252.52","77,947,275.29","187,413,334.21","184,493,157.45","217,934,088.87","222,821,911.05","233,274,144.78","235,271,434.75","230,826,384.88"
递延所得税负债,,,,,,,,,,,,,,,"44,208.02","44,208.02","44,208.02","44,208.02","72,120.32","72,120.32","72,120.32","72,120.32",,,,,,,
在建工程,"8,405,686.72",,"1,536,563.00","2,533,746.36","1,449,214.44","839,926.25","1,168,438.25","5,945,187.62","19,299,380.52","30,235,079.29","40,207,137.70","40,680,138.82","46,749,627.56","58,937,830.46","64,752,373.04","74,714,059.71","80,402,316.08","91,904,505.89","97,948,559.60","100,658,973.58","150,286,654.27","150,908,295.19","6,925,068.87","15,088,400.46","18,468,095.61","16,307,579.03","6,568,581.29","2,250,074.82","2,740,078.82"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"30,624,000.00","30,000,000.00",,,,,,,,,,,,,"44,208.02","44,208.02","44,208.02","44,208.02","72,120.32","72,120.32","2,603,661.87","2,603,661.87","2,354,166.67","2,253,917.01","2,115,333.98","2,115,333.98","3,349,016.79","3,349,016.79","3,349,016.79"
固定资产清理,,,,,360.00,,,,,"8,366.25",,,,,,"1,153.85","3,362.98","3,362.98",,141.03,,,,,,,"92,645.04","360,082.58","7,770.00"
