科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"419,365,097.28","452,661,279.90","600,309,887.02","132,568,974.96","347,579,872.78","522,921,935.17","686,170,020.55","140,625,048.27","360,654,157.55","524,835,903.77","710,955,123.49","208,469,800.56","523,152,956.62","805,791,732.88","1,134,705,420.21","311,033,073.82","809,084,290.87","1,314,992,165.82","1,814,646,181.80","463,706,489.72","1,074,709,447.26","1,697,581,903.62","2,308,912,930.54","550,628,308.58","1,235,035,428.22","1,896,345,695.28","2,606,483,094.18","660,986,157.05","1,479,853,623.03","2,225,156,200.80","2,994,925,507.23","734,893,682.65","1,724,988,116.14"
二、营业利润,"137,392,525.10","158,539,885.90","218,956,038.61","44,590,009.73","123,890,229.59","190,094,000.33","250,121,750.65","48,879,616.30","124,264,429.89","177,883,225.69","230,346,699.08","69,922,086.13","180,954,367.95","283,038,536.16","367,517,644.08","108,841,209.29","274,653,528.83","441,332,228.79","579,729,336.28","153,273,140.52","365,552,302.03","592,220,556.17","747,439,391.68","168,481,227.96","424,224,708.12","651,057,043.98","827,721,879.96","177,108,364.21","427,559,326.30","624,802,485.36","780,167,682.76","122,966,131.64","402,893,853.63"
减:营业成本,"217,823,367.36","235,881,513.45","310,219,190.51","69,957,454.68","180,446,934.64","271,904,826.92","360,000,007.53","80,447,811.73","207,014,209.74","301,916,263.34","417,985,570.85","118,833,266.56","293,962,288.91","450,388,353.96","648,622,241.51","170,178,832.35","445,940,316.10","734,921,012.83","1,029,299,461.09","265,012,890.59","604,708,716.27","959,371,514.34","1,323,324,907.13","315,870,126.48","687,710,131.15","1,065,583,356.46","1,519,412,298.48","411,969,954.95","902,423,655.13","1,370,837,563.00","1,875,840,534.97","509,684,991.16","1,149,689,333.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,335,816.26","5,209,334.95","5,816,033.12","896,492.23","3,467,362.41","5,789,865.68","7,457,878.39","1,186,084.17","3,074,678.67","5,160,703.37","6,698,757.41","1,931,393.48","5,456,735.56","8,493,155.57","11,927,660.13","2,796,257.97","6,850,608.83","10,940,419.86","15,451,855.05","4,317,706.52","11,167,741.73","17,943,154.41","24,692,015.87","14,358,285.72","18,698,745.67","24,659,421.99","47,372,256.87","9,080,332.89","18,104,338.74","27,640,367.84","37,762,774.95","18,151,827.69","27,627,163.67"
营业外收入,"10,960,394.94","13,867,835.26","3,355,319.53","31,391.46","322,237.77","370,269.33","544,749.44","335,815.07","517,803.01","770,344.38","1,268,354.95","232,320.50","441,465.12","1,327,572.02","1,809,274.82","1,348,537.31","1,576,667.58","13,804,168.28","14,346,343.63","791,480.88","2,695,479.35","4,981,933.82","8,808,436.69","1,428,154.50","2,205,330.59","6,273,263.98","7,574,020.02","5,238,232.01","6,206,586.33","4,140,418.12","7,209,390.26","2,106,697.83","4,568,440.91"
销售费用,"7,348,483.98","9,175,779.71","15,236,768.25","3,548,596.39","7,633,020.61","11,900,396.91","16,454,120.76","4,382,615.73","9,301,104.33","14,216,720.16","19,932,311.62","4,772,217.42","11,041,013.21","17,535,073.36","31,285,267.96","7,730,156.66","18,437,876.86","27,192,526.12","42,544,929.28","10,172,307.46","23,740,003.85","31,822,241.22","55,870,854.68","9,454,331.59","25,937,800.96","36,657,500.97","54,284,691.49","11,043,060.83","17,407,989.38","26,619,524.58","50,447,037.88","10,928,567.72","22,083,264.26"
减:营业外支出,"1,351,201.38","479,293.60","1,562,366.59","121,403.43","413,134.49","483,554.26","922,329.04","91,486.18","431,005.59","557,300.50","1,645,388.63","134,166.71","278,296.86","588,567.62","686,273.42","130,544.59","2,573,206.00","3,027,609.18","4,323,954.99","74,963.40","806,208.22","1,962,714.44","3,162,595.39","658,452.25","1,116,982.72","2,195,208.63","3,082,273.30","2,072,203.50","3,364,797.58","4,302,866.52","4,722,148.24","122,203.95","349,899.10"
管理费用,"38,830,020.53","35,674,004.16","40,249,224.06","11,813,162.09","24,890,279.84","39,632,386.65","52,941,076.61","12,705,345.72","27,221,713.33","44,808,397.96","59,383,314.36","16,190,097.23","34,484,438.31","52,500,918.74","77,483,409.45","25,663,467.11","59,571,990.67","91,725,546.04","129,542,298.75","39,157,173.54","73,773,888.84","109,688,591.29","164,744,668.13","40,978,900.75","88,319,247.77","134,839,321.98","184,747,476.14","44,685,661.52","97,090,098.46","153,411,286.12","219,855,807.77","59,008,843.89","121,556,116.81"
其中:非流动资产处置净损失,"897,107.36","69,116.30","383,196.85","24,809.78","24,809.78","36,363.63","58,840.53",,,,"964,661.11","41,343.04","43,979.18","330,284.00","406,606.62","26,495.06","2,220,018.47","2,293,871.71","3,569,882.33","2,914.51","286,728.52","1,491,656.92","2,651,751.41","653,158.25","726,368.30","727,646.36","2,676,248.02","54,485.42","114,915.64","340,655.13",,,
