科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"844,372,684.70","1,432,872,150.27","1,899,970,079.48","1,045,500,802.95","1,388,196,669.34","1,737,770,889.12","335,547,840.17","648,379,082.64","1,078,014,712.10","1,602,663,964.97","392,428,583.61","916,474,566.69","1,453,928,263.47","2,185,698,572.24","488,322,665.41","1,358,478,149.86","2,025,277,892.22","2,862,644,129.52","668,483,727.39","1,449,697,115.48","2,368,222,723.91","3,462,551,545.46","928,147,041.22","2,028,285,281.22","3,305,207,599.54","4,737,645,967.59","1,151,399,395.25"
二、营业利润,"46,537,629.01","192,894,552.29","484,954,071.87","313,424,507.81","373,567,671.16","384,218,383.06","47,484,302.13","46,516,429.63","46,559,356.42","70,335,176.42","33,742,207.92","677,088,971.25","697,626,015.32","678,726,557.42","43,780,187.35","160,308,393.84","192,983,622.34","218,748,276.23","54,699,354.22","118,355,861.34","194,424,263.35","339,007,899.71","197,788,351.86","285,091,311.88","380,885,465.25","595,797,469.83","56,110,216.50"
减:营业成本,"645,130,559.52","973,431,403.71","1,092,607,001.17","594,542,336.85","821,211,949.27","1,085,210,910.95","244,048,988.33","502,470,702.41","885,885,956.37","1,295,469,870.55","299,080,258.59","736,899,423.22","1,171,103,308.84","1,727,382,248.53","386,707,266.59","1,069,548,518.67","1,600,675,941.81","2,234,890,720.89","513,692,304.88","1,103,770,584.64","1,804,680,768.15","2,636,182,909.62","627,352,218.59","1,502,018,880.95","2,520,361,074.01","3,534,850,761.75","947,500,827.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"402,006.56","617,724.89","29,448,366.59","16,927,313.57","22,731,507.80","29,195,077.29","6,675,207.85","11,911,023.96","15,878,590.64","21,947,518.65","5,924,775.27","10,284,187.20","15,265,897.59","19,076,218.91","3,698,670.66","9,957,678.07","14,922,989.02","23,642,965.07","7,629,065.26","12,881,684.56","17,851,176.29","36,666,645.20","5,820,416.84","17,511,527.57","26,817,652.87","43,585,623.02","9,011,911.40"
营业外收入,"2,231,529.65","7,545,367.39","79,272.00",,,"5,560,000.00","50,000.00","50,000.00","50,000.00","150,831.93","1,680.00","231,930.01","392,180.02","712,680.02","320,499.99","640,999.98","1,095,546.11","63,863,055.97","7,964,179.56","19,099,516.16","20,184,247.35","31,737,386.64","6,513,052.25","7,365,916.46","13,272,696.25","635,008.95","971,180.09"
销售费用,"71,715,483.03","130,645,201.94","81,647,975.56","25,104,673.63","35,283,460.89","51,894,692.52","12,514,608.83","27,245,456.09","38,082,925.65","81,556,939.44","21,614,522.83","44,866,299.56","71,352,336.08","101,275,498.19","13,359,202.84","59,399,172.42","114,454,411.41","146,818,567.02","48,381,045.99","112,008,650.95","171,484,011.66","245,185,863.97","61,958,385.37","122,844,337.06","182,053,424.75","258,743,385.40","50,459,892.38"
减:营业外支出,"11,019.22","1,309,290.13","82,034.60",,,128.00,,,,,,,,,,"156,127.12","156,127.12","337,464.99","17,598.45","193,091.24","210,833.02","1,150,467.71","118,986.51","1,111,023.71","1,559,224.46","347,635.10","242,570.78"
管理费用,"60,914,621.77","64,554,069.18","96,649,350.93","41,427,389.15","56,614,489.28","101,880,333.65","16,989,111.29","39,342,292.00","56,220,165.97","85,642,180.61","18,317,418.86","43,898,352.16","63,852,736.26","102,751,655.89","20,488,876.41","53,658,184.52","80,717,088.30","132,843,783.74","40,305,622.24","84,086,497.91","128,034,161.13","191,119,678.99","50,000,405.94","106,663,430.18","178,093,198.25","265,975,260.60","68,051,859.56"
其中:非流动资产处置净损失,,"1,151,111.20","50,284.60",,,128.00,,,,,,,,,,"6,127.12","6,127.12","6,127.12",,,,"120,750.22",,,,,
