科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"157,253,733.73","330,861,876.67","62,505,241.31","152,237,150.87","233,745,263.52","360,845,447.85","126,144,754.80","278,877,612.52","375,087,680.83","508,929,312.81","124,317,567.41","221,436,730.04","343,239,431.80","484,173,458.10","89,695,169.72","186,845,594.68","282,611,531.07","450,805,681.72","72,380,524.41","172,172,571.24","247,517,592.01","397,135,169.26","52,892,861.26","134,954,074.00","193,922,814.52","256,296,497.44","52,566,732.12","100,103,493.17","144,731,238.13","131,671,923.36","40,131,225.62","96,217,173.24","152,895,027.85","197,800,835.33","31,210,416.93","66,564,397.70","98,733,550.11","136,397,971.40","17,196,453.70","40,791,352.32","53,215,145.97","87,078,528.45","12,551,512.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"-263,477.80",,,,,,,,,,,,,"236,700.00",,,,,,,,
收到的税费返还,"2,496,267.45","5,911,896.41",,"2,287,043.04","3,301,606.97","9,873,184.67",,"1,327,666.72","6,780,298.63","6,780,298.63","2,788,583.45","3,239,013.02","3,679,305.49","4,190,975.73",,"1,786,318.63","3,791,384.00","6,023,518.28","715,410.96","2,717,565.92","4,147,042.88","7,383,153.88","701,362.85","1,326,902.75","2,484,835.92","10,062,906.06","789,063.97","1,018,434.98","2,057,435.81","2,604,412.35","1,108,820.06","2,021,295.48","2,812,191.73","3,071,231.98","11,951.47","11,951.47","114,354.14",,"55,396.71","55,396.71","55,396.71",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,264,170.53",
收到其他与经营活动有关的现金,"1,688,456.74","12,634,944.54","2,075,597.28","3,934,776.27","6,633,535.85","11,300,574.17","3,110,745.53","4,566,873.63","6,948,321.76","9,100,276.95","7,368,685.70","43,950,048.66","45,827,383.25","15,919,118.06","18,698,362.23","54,887,886.67","61,281,904.36","106,314,822.78","28,622,717.70","53,554,131.12","59,359,028.15","64,694,667.14","27,152,052.11","40,701,353.97","44,784,945.74","35,358,937.81","59,119,055.69","77,335,000.91","70,765,073.27","56,316,320.52","8,267,560.03","13,078,247.34","17,017,995.89","15,930,680.52","5,866,435.77","5,962,625.90","7,560,651.27","12,902,118.27","1,102,648.21","6,529,469.54","7,824,638.20","150,406,275.37","828,335.24"
投资活动现金流出小计,"4,280,742.84","37,994,034.34","15,850,369.83","49,058,597.79","83,415,022.11","148,154,221.41","79,784,932.56","192,593,009.18","281,930,104.28","450,826,397.54","71,016,665.25","138,107,415.59","205,294,234.46","443,538,088.23","40,767,821.24","176,245,535.33","318,553,385.13","572,578,555.19","18,824,750.06","71,760,593.16","123,313,688.67","163,104,712.57","13,752,178.72","15,434,901.25","20,310,788.48","28,951,074.85","2,751,687.50","5,103,585.69","5,604,734.39","3,677,546.47","436,290.72","516,290.72","612,343.98","8,348,528.07","292,599.00","2,909,536.40","14,811,509.40","19,774,416.42",,"111,800.00","164,704.68","26,382,380.79","939,900.00"
经营活动现金流入小计,"161,438,457.92","349,408,717.62","64,580,838.59","158,458,970.18","243,680,406.34","382,019,206.69","129,255,500.33","284,772,152.87","388,816,301.22","524,809,888.39","134,474,836.56","268,625,791.72","392,746,120.54","504,283,551.89","108,393,531.95","243,519,799.98","347,684,819.43","563,144,022.78","101,718,653.07","228,444,268.28","311,023,663.04","469,212,990.28","80,746,276.22","176,982,330.72","241,192,596.18","301,718,341.31","112,474,851.78","178,456,929.06","217,553,747.21","190,592,656.23","49,507,605.71","111,316,716.06","172,725,215.47","216,802,747.83","37,088,804.17","72,538,975.07","106,408,555.52","149,300,089.67","18,354,498.62","47,376,218.57","61,095,180.88","237,484,803.82","13,379,847.49"
投资活动产生的现金流量净额,"-3,990,742.84","-35,204,034.34","-15,850,369.83","-49,058,597.79","-83,415,022.11","-147,721,479.79","-79,784,932.56","-192,593,009.18","-281,930,104.28","-449,645,677.01","-69,203,797.28","-137,530,965.40","-204,693,698.37","-442,659,149.33","-39,267,821.24","-174,745,535.33","-317,053,385.13","-570,626,473.86","-10,761,456.59","-63,693,074.69","-114,942,626.96","-162,695,590.42","-13,725,884.70","177,065,329.00","198,192,841.77","185,400,052.65","-2,578,897.66","-4,509,905.57","-4,952,054.27","117,608,362.07","-436,290.72","51,639,316.87","151,762,863.61","158,654,953.24","2,277,401.00","-115,736.40","-12,017,709.40","-16,121,116.42",,"-111,800.00","-162,534.68","156,724,564.21","-939,900.00"
购买商品、接受劳务支付的现金,"129,178,338.59","271,951,750.18","48,656,041.27","122,790,308.04","171,499,867.65","261,000,784.16","88,362,109.05","178,093,812.09","242,410,695.57","332,847,691.95","92,814,456.83","170,868,637.01","259,219,350.70","282,498,514.83","67,002,000.20","173,287,757.70","241,920,321.14","379,878,779.31","99,839,026.99","164,154,855.47","216,607,881.55","325,868,697.82","21,325,386.79","71,008,501.22","108,578,788.55","160,529,017.90","71,785,578.10","111,363,627.80","148,192,775.21","103,331,410.29","19,145,301.50","61,195,894.85","111,351,559.90","90,635,218.87","16,804,493.66","31,982,661.82","49,566,722.45","45,499,405.87","3,155,564.27","9,226,884.14","11,402,873.18","41,741,843.03","3,860,689.78"
吸收投资收到的现金,,"50,000,000.00",,"294,000,000.00","294,000,000.00","272,002,034.26","25,628,850.00","25,628,850.00","25,628,850.00","51,234,750.00",,"349,999,478.00","349,999,478.00","349,999,478.00",,,"37,310,930.10","149,630,930.10","100,000,000.00","120,010,000.00","120,010,000.00","120,010,000.00",,,"2,000.00","2,000.00","305,000,000.00","305,000,000.00","305,000,000.00","305,000,000.00",,,,,,,,,,,,,
