科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,"19,068,000.00","250,750.00","2,519,495.00","53,535,410.00","44,424,250.00",,,"15,810.00",,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,190,000.00",,,,,"750,000.00","1,250,000.00","1,250,000.00","1,250,000.00",,"2,500,000.00",
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"918,264.26","918,264.26","1,815,152.30","18,732,432.57","1,257,077.26","1,937,973.54","1,539,136.51","475,563,049.59",,,,"12,093,101.89",,,,"18,204.90",,,,,,,,"294,141.53",,,,"440,001,484.97","-163,433.72","89,847,482.09","189,870,705.78"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"535,379.29","542,944.29","41,330.00","552,341.29","1,028,471.20","1,184,968.83","1,908,837.63","2,179,446.88",,"15,880.00","47,110.00","118,365.00",,"60,500.00","81,020.00","230,452.00","21,448.80","16,910.00","55,455.00","163,830.00","4,600.00","4,600.00","4,600.00","105,310.00",,"752,677.50","752,677.50","3,493,238,745.58","4,830.88","13,636,102.92","14,235,154.92"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,453,643.55","1,461,208.55","1,856,482.30","38,352,773.86","2,536,298.46","5,642,437.37","56,983,384.14","522,166,746.47",,"15,880.00","62,920.00","12,211,466.89",,"60,500.00","81,020.00","248,656.90","2,021,448.80","2,016,910.00","2,055,455.00","2,353,830.00","4,600.00","4,600.00","4,600.00","399,451.53","750,000.00","2,002,677.50","2,002,677.50","3,934,490,230.55","-158,602.84","105,983,585.01","204,105,860.70"
收取利息、手续费及佣金的现金,"228,655,467.25","1,290,093,798.41","2,035,250,384.40","2,621,397,324.03","548,541,011.57","984,494,828.31","1,320,735,756.53","1,670,908,943.58","476,935,803.46","1,104,188,833.47","1,872,210,108.70","2,662,389,265.24","709,967,539.01","1,416,881,067.05","2,045,184,298.72","2,805,218,643.95","708,966,334.87","1,441,870,132.90","1,910,226,361.60","2,329,702,282.50","646,877,291.24","1,239,414,635.38","1,841,343,078.40","2,620,315,791.92","812,322,998.34","1,534,328,819.63","2,335,526,113.95","3,332,988,642.74","890,127,013.50","1,813,037,194.19","2,841,575,807.51"
投资支付的现金,,,"136,020,729.86","73,034,304.64","1,437,100.00","2,607,825.00","13,572,160.00",,,,,,,,"15,769,000.00","31,079,000.00",,"85,270,500.00","91,270,500.00","105,270,500.00",,"35,000,000.00","35,000,000.00","40,000,000.00",,"51,500,000.00","1,500,000.00","1,500,000.00","35,000,000.00","35,000,000.00",
