科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"3,097,893,271.47","2,440,646,846.55","2,502,762,800.47","1,346,335,079.71","2,003,851,558.63","2,824,995,407.94","794,499,775.29","1,512,092,470.05","2,137,575,957.08","2,844,363,841.89","687,803,802.10","1,519,514,858.09","2,627,696,951.49","2,996,006,578.66","717,023,489.39","1,627,377,610.53","2,517,459,419.22","2,817,637,388.46","892,181,730.18","1,761,991,389.32","2,503,556,570.11","2,672,006,732.64","503,797,889.89","1,126,912,306.51","1,883,962,761.94","2,171,779,459.38","373,327,768.40","812,114,071.25","1,381,450,138.17","1,240,552,073.18","219,018,769.71","567,159,213.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"22,460,164.42",,,,,,,,,"63,638,000.00","374,757,551.67"
收到的税费返还,"58,618,200.28","32,359,783.86","37,959,291.64","6,875,717.07","15,536,531.49","24,324,461.95","13,605,591.78","23,215,612.97","28,304,957.54","33,855,158.76",,"14,276,817.95","29,852,040.71","42,964,647.53","13,165,553.95","27,932,117.22","30,536,517.36","33,615,678.02","8,749,727.99","20,307,327.84","30,223,450.92","30,223,450.92","5,903,475.71","6,912,872.90","10,187,908.20","10,187,908.20","1,372,168.94","2,719,771.74","4,376,396.66","12,120,169.16","1,750,723.38","14,752,561.21"
支付其他与投资活动有关的现金,,,,,,,,,,"4,900,000.00",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,746,149.75","8,495,987.67","5,215,332.86","2,496,487.69","6,671,647.02","8,476,988.26","1,350,392.52","11,207,162.75","13,051,139.29","27,560,145.95","2,810,632.97","12,949,355.64","9,459,137.06","19,970,876.63","2,415,380.16","6,659,192.45","5,219,867.53","29,084,573.01","14,276,935.84","13,413,362.73","11,121,927.22","16,748,986.34","5,942,624.17","3,257,984.05","8,344,237.33","17,306,870.79","23,429,174.75","50,772,132.58","514,357,164.46","96,530,040.58","30,728,825.48","54,783,734.44"
投资活动现金流出小计,"159,482,345.66","54,528,315.53","125,179,803.48","72,002,217.22","122,314,341.23","121,354,498.46","6,458,819.60","145,110,097.62","239,996,462.29","403,300,963.23","76,584,026.76","160,656,957.72","220,245,296.27","309,251,169.84","21,781,428.89","33,666,851.16","49,978,977.43","74,674,704.75","313,949,638.54","572,889,510.89","733,334,209.21","2,333,719,234.59","569,889,769.85","981,656,853.12","1,279,110,892.73","1,801,855,489.18","7,940,337.74","128,464,769.05","196,738,610.50","245,174,463.65","64,002,034.89","790,642,450.37"
经营活动现金流入小计,"3,167,257,621.50","2,481,502,618.08","2,545,937,424.97","1,355,707,284.47","2,026,059,737.14","2,857,796,858.15","809,455,759.59","1,546,515,245.77","2,178,932,053.91","2,905,779,146.60","690,614,435.07","1,546,741,031.68","2,667,008,129.26","3,058,942,102.82","732,604,423.50","1,661,968,920.20","2,553,215,804.11","2,880,337,639.49","915,208,394.01","1,795,712,079.89","2,544,901,948.25","2,718,979,169.90","515,643,989.77","1,137,083,163.46","1,902,494,907.47","2,199,274,238.37","398,129,112.09","865,605,975.57","1,900,183,699.29","1,349,202,282.92","251,498,318.57","636,695,509.05"
投资活动产生的现金流量净额,"-152,014,372.01","-47,634,675.53","-124,955,803.48","-70,001,712.52","-120,313,836.53","-119,353,993.76","-6,435,319.60","-139,848,270.70","-234,778,849.04","-386,743,891.23","-75,874,026.76","-159,881,957.72","-219,418,296.27","-247,625,195.46","-1,037,771.36","-11,723,193.63","-28,035,319.90","-51,724,787.37","-313,829,638.54","-266,517,291.74","-226,154,487.74","-316,609,737.79","-102,399,533.74","-84,227,741.38","-7,928,331.09","421,350,531.26","93,717,771.85","450,122,902.49","442,248,483.17","569,890,524.71","-64,001,034.89","-352,611,466.15"
购买商品、接受劳务支付的现金,"2,622,461,304.48","1,918,913,972.15","2,426,348,436.74","1,229,351,071.14","1,946,472,806.18","2,627,992,435.91","672,076,026.62","1,204,852,502.29","1,678,217,210.75","2,211,030,778.18","886,349,734.70","1,689,769,806.98","2,512,474,502.45","2,809,318,528.80","848,348,108.07","1,655,158,560.56","2,181,592,256.68","2,219,121,371.79","843,438,989.39","1,753,843,679.61","2,352,460,301.50","2,076,710,222.42","317,669,320.80","1,020,289,570.55","1,407,952,964.60","1,599,141,300.70","316,824,357.38","623,380,814.38","1,318,385,939.48","1,013,948,209.46","176,279,951.58","538,822,284.67"
吸收投资收到的现金,"7,200,000.00",,,,,"817,646,800.86",,,,,,,"10,951,600.00","10,951,600.00",,,"1,388,400.00","520,513,748.00",,,"7,500,000.00","7,500,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"42,714,300.68","51,977,342.70","60,032,039.51","33,836,855.18","53,546,804.91","67,121,669.64","20,488,955.73","37,411,694.21","57,260,094.80","79,068,921.50","17,810,175.67","46,198,962.65","70,180,962.28","97,454,667.21","26,806,080.83","51,609,527.01","76,191,771.72","102,028,997.20","30,754,546.47","59,761,705.31","84,578,295.27","105,967,232.86","21,814,980.01","46,891,940.38","74,241,207.30","100,984,227.33","5,818,500.32","12,419,655.83","17,793,034.76","23,994,578.71","3,916,449.95","9,742,668.87"
取得借款收到的现金,"1,384,500,000.00","1,093,000,000.00","1,086,308,852.00","839,583,351.50","1,317,463,255.02","1,478,693,466.50","682,702,745.00","883,702,745.00","1,438,398,496.00","1,609,283,440.00","299,683,000.00","597,292,800.00","961,490,800.00","1,239,287,400.00","360,369,850.00","825,504,700.00","1,178,597,700.00","1,351,597,700.00","224,640,457.77","447,898,528.48","603,512,550.15","782,344,433.11","150,000,000.00","350,500,000.00","370,500,000.00","570,500,000.00",,,,,,
支付的各项税费,"92,814,895.43","129,031,607.62","93,858,178.38","63,542,134.79","100,985,564.47","117,861,261.67","26,712,543.38","45,861,439.80","66,306,520.65","81,183,444.50","36,791,188.95","56,939,999.96","70,869,858.67","92,903,293.56","9,017,238.18","18,146,912.93","35,221,932.68","74,106,462.93","15,602,451.96","48,198,665.95","62,541,959.18","82,843,286.26","16,674,613.66","47,979,210.56","64,609,869.55","84,990,925.56","11,121,936.62","12,470,141.39","34,563,059.08","32,225,455.41","1,596,476.96","16,790,230.60"
收到其他与筹资活动有关的现金,,,,,,"12,095,199.14",,,,,,,,,,,,,,,,,,,"2,445,429.57","2,465,429.56",,,,,,
支付其他与经营活动有关的现金,"90,581,059.12","73,424,600.69","67,008,533.10","34,757,862.20","37,632,588.91","71,158,925.42","15,131,526.73","48,734,137.13","56,212,946.00","87,929,983.70","15,244,295.18","47,730,417.16","59,749,201.38","182,135,814.46","36,003,073.26","50,109,381.87","59,058,663.93","152,362,304.77","38,700,301.05","76,853,008.89","129,717,153.74","199,992,301.83","33,639,239.13","75,177,634.08","127,380,312.26","153,124,707.07","9,091,794.99","19,652,523.32","278,594,763.12","88,875,088.14","37,517,464.96","55,600,408.27"
筹资活动现金流入小计,"1,391,700,000.00","1,093,000,000.00","1,086,308,852.00","839,583,351.50","1,317,463,255.02","2,308,435,466.50","682,702,745.00","883,702,745.00","1,438,398,496.00","1,609,283,440.00","299,683,000.00","597,292,800.00","972,442,400.00","1,250,239,000.00","360,369,850.00","825,504,700.00","1,179,986,100.00","1,872,111,448.00","224,640,457.77","447,898,528.48","611,012,550.15","789,844,433.11","150,000,000.00","350,500,000.00","372,945,429.57","572,965,429.56",,,,,,
经营活动现金流出小计,"2,848,571,559.71","2,173,347,523.16","2,647,247,187.73","1,361,487,923.31","2,138,637,764.47","2,884,134,292.64","734,409,052.46","1,336,859,773.43","1,857,996,772.20","2,459,213,127.88","956,195,394.50","1,840,639,186.75","2,713,274,524.78","3,181,812,304.03","920,174,500.34","1,775,024,382.37","2,352,064,625.01","2,547,619,136.69","928,496,288.87","1,938,657,059.76","2,629,297,709.69","2,465,513,043.37","389,798,153.60","1,190,338,355.57","1,674,184,353.71","1,938,241,160.66","342,856,589.31","667,923,134.92","1,649,336,796.44","1,159,043,331.72","219,310,343.45","620,955,592.41"
偿还债务支付的现金,"1,462,940,000.00","1,238,000,000.00","946,308,852.00","543,521,092.00","919,702,235.50","1,178,557,506.50","619,866,400.00","1,241,702,745.00","1,742,733,906.00","2,125,342,188.00","137,078,600.00","269,209,800.00","688,490,800.00","911,329,800.00","267,000,000.00","585,593,000.00","1,182,746,450.00","1,501,597,700.00","311,009,764.28","482,668,728.48","779,450,659.39","904,374,432.34","177,000,000.00","327,000,000.00","327,000,000.00","407,500,000.00","200,000,000.00","230,000,000.00","250,000,000.00","250,000,000.00",,"17,000,000.00"
经营活动产生的现金流量净额,"318,686,061.79","308,155,094.92","-101,309,762.76","-5,780,638.84","-112,578,027.33","-26,337,434.49","75,046,707.13","209,655,472.34","320,935,281.71","446,566,018.72","-265,580,959.43","-293,898,155.07","-46,266,395.52","-122,870,201.21","-187,570,076.84","-113,055,462.17","201,151,179.10","332,718,502.80","-13,287,894.86","-142,944,979.87","-84,395,761.44","253,466,126.53","125,845,836.17","-53,255,192.11","228,310,553.76","261,033,077.71","55,272,522.78","197,682,840.65","250,846,902.85","190,158,951.20","32,187,975.12","15,739,916.64"
分配股利、利润或偿还利息支付的现金,"46,152,300.35","48,813,896.38","22,339,706.38","51,137,712.09","61,624,594.90","73,433,127.93","8,784,322.98","81,120,120.04","85,684,725.37","90,820,879.93","3,678,583.38","88,053,583.38","95,987,059.04","102,016,870.92","7,927,601.06","97,925,868.13","107,206,586.73","112,779,487.49","4,777,010.00","80,332,970.40","83,576,935.20","89,538,827.14","2,792,407.23","44,938,036.19","49,029,013.39","51,758,057.81","1,815,000.94","2,319,475.93","2,319,475.93","2,415,900.93",,
收回投资收到的现金,"138,100.00",,,,,,,"5,100,000.00","5,100,000.00",,,,,"60,347,324.38","20,708,657.53","20,708,657.53","20,708,657.53","21,246,524.16",,"300,000,000.00","500,000,000.00","1,974,826,296.48","465,000,000.00","888,918,282.90","1,261,619,670.71","1,772,329,341.30","100,000,000.00","576,722,383.85","568,072,185.98","325,508,500.00",,"300,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"9,175,199.14",,,,,,,,,,,,"1,989,395.80",,,"3,179,500.00","19,979,500.00",,,"3,179,500.00","3,179,500.00",,,,,,"3,368,500.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,"3,112,383.57","6,059,721.47",,"2,490,236.11","8,424,801.24","9,222,631.36",,"1,658,109.59","1,865,287.69","1,865,287.69","1,895,521.99",,"3,006,666.67"
筹资活动现金流出小计,"1,509,092,300.35","1,286,813,896.38","968,648,558.38","594,658,804.09","981,326,830.40","1,261,165,833.57","628,650,722.98","1,322,822,865.04","1,828,418,631.37","2,216,163,067.93","140,757,183.38","357,263,383.38","784,477,859.04","1,013,346,670.92","274,927,601.06","683,518,868.13","1,289,953,036.73","1,616,366,583.29","315,786,774.28","563,001,698.88","866,207,094.59","1,013,892,759.48","179,792,407.23","371,938,036.19","379,208,513.39","462,437,557.81","201,815,000.94","232,319,475.93","252,319,475.93","252,415,900.93",,"20,368,500.00"
