科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"83,383,210.60","76,294,298.16","128,219,460.71","120,238,416.69","320,241,983.47","324,513,402.51","270,107,748.10","152,759,099.53","213,864,305.54","356,721,462.62","501,704,155.23"
短期借款,"10,000,000.00","15,000,000.00","13,000,000.00","13,000,000.00","3,000,000.00","20,000,000.00","20,000,000.00","10,000,000.00","85,409,999.99","64,410,000.00","184,530,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"97,913.74","3,965,000.00","14,003,980.00","5,612,041.57","8,560,000.00","2,244,652.26","13,074,633.94","11,870,500.00","26,709,507.67","17,400,353.67","20,857,768.97"
应付票据,"20,043,563.00","28,892,562.30","25,181,856.00","28,422,988.60","39,896,514.70","44,420,663.10","63,188,431.80","45,486,354.80","98,006,579.79","105,494,766.65","133,538,982.79"
应收账款,"91,365,802.86","137,962,533.85","151,445,904.47","151,742,506.86","192,665,794.90","223,058,728.16","217,503,194.58","222,596,679.40","506,089,570.18","532,194,009.66","629,897,641.33"
应付账款,"38,920,322.53","66,571,308.36","61,813,827.18","63,622,751.01","73,967,413.30","95,011,544.19","83,844,214.32","68,496,634.33","145,285,937.28","153,063,549.69","220,706,721.38"
预付款项,"5,999,603.95","3,588,605.10","7,077,592.46","7,414,229.49","13,873,024.25","19,894,099.07","9,680,662.67","13,686,283.42","16,348,648.77","14,201,384.45","15,754,464.09"
预收款项,"7,463,811.40","1,946,222.60","27,041,627.30","26,683,097.70","21,697,670.70","5,699,024.18","4,038,563.62","1,488,565.20","3,170,216.09","11,141,820.45","3,769,050.10"
其他应收款,"1,871,803.54","4,893,924.70","6,819,416.28","7,593,529.17","7,743,362.25","9,153,047.78","9,217,318.32","61,492,105.28","134,607,485.95","77,502,479.63","83,872,498.25"
应付职工薪酬,,"16,354.23","27,967.73","22,033.31","39,613.60","36,486.97","33,047.46","28,012.53","3,323,509.19","3,273,550.61","7,294,194.58"
应收关联公司款,,,,,,,,,,,
应交税费,"3,004,009.72","3,285,162.33","7,957,759.89","2,978,296.34","7,640,577.79","8,436,432.86","6,966,340.99","2,522,246.88","11,963,336.61","15,940,178.53","18,889,744.49"
应收利息,,,,,,,,,,,"477,199.59"
应付利息,,,,,,,,,"41,085.45",,"336,582.64"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"48,288,950.18","58,344,071.49","46,194,091.03","58,521,283.17","62,807,292.03","69,081,005.47","59,694,511.47","52,682,903.70","104,003,917.01","112,852,454.81","118,265,411.10"
其他应付款,"420,805.01","378,540.17","188,676.65","229,270.21","502,140.58","571,159.14","490,014.89","959,646.20","418,741,666.33","5,537,135.41","5,685,118.30"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,"209,937.21",,"49,450.24","15,189.07","24,371.08","22,012.60",
一年内到期的非流动负债,,,,,"134,245.33","53,698.12",,,,,
其他流动资产,"328,930.47","1,666,311.47","1,559,800.96","1,748,480.21",,"129,425.10",,,"559,999.98","11,902,839.23","19,367,226.05"
其他流动负债,,,,,,,,,,,
流动资产合计,"231,336,215.34","286,714,744.77","355,320,245.91","352,870,487.16","606,101,394.11","648,074,360.35","579,327,519.32","515,102,760.40","1,002,207,806.18","1,122,796,996.67","1,390,196,364.61"
流动负债合计,"79,852,511.66","116,090,149.99","135,211,714.75","134,958,437.17","146,878,176.00","174,229,008.56","178,560,613.08","128,981,459.94","765,942,330.73","358,861,001.34","574,750,394.28"
可供出售金融资产,,,,,,,,,,,
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"65,798,382.65","90,027,992.10","110,239,526.52","107,964,747.16","106,382,255.00","107,730,026.55","105,976,952.38","105,288,872.30","222,162,714.67","237,384,551.37","324,938,114.73"
递延所得税负债,,,,,,,,,,,
在建工程,"17,696,614.10","19,381,120.21",,,,"52,830.19","63,304,553.66","63,561,113.66","105,050,924.70","90,289,825.42","36,552,225.52"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"10,380,585.69","13,785,174.24","15,011,351.90","14,529,696.59","13,912,301.78","16,634,628.76","16,255,458.29","19,872,992.99","83,996,708.64","105,632,413.86","104,750,422.10"
固定资产清理,,,,,,,,,,,
负债合计,"90,233,097.35","129,875,324.23","150,223,066.65","149,488,133.76","160,790,477.78","190,863,637.32","194,816,071.37","148,854,452.93","849,939,039.37","464,493,415.20","679,500,816.38"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"65,121,000.00","65,121,000.00","65,121,000.00","65,121,000.00","86,921,000.00","173,842,000.00","173,842,000.00","173,842,000.00","204,849,751.00","226,283,357.00","226,283,357.00"
油气资产,,,,,,,,,,,
资本公积,"58,172,900.54","58,172,900.54","58,172,900.54","58,172,900.54","276,740,756.96","189,819,756.96","189,819,756.96","189,819,756.96","1,278,811,972.08","1,740,298,793.99","1,740,668,536.19"
无形资产,"4,731,078.35","4,631,177.49","4,458,778.73","4,403,876.18","17,057,567.02","17,740,558.26","17,613,278.88","17,523,025.15","86,339,653.92","83,974,297.47","80,587,846.55"
盈余公积,"11,038,120.77","15,717,681.39","20,396,032.04","20,396,032.04","20,396,032.04","20,396,032.04","25,092,340.99","25,092,340.99","25,092,340.99","25,092,340.99","29,872,659.67"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,"1,118,765,692.55","1,118,765,692.55","1,118,765,692.55"
未分配利润,"91,629,098.86","128,078,953.83","168,768,678.63","164,271,501.86","175,936,662.56","189,701,022.69","210,019,800.89","214,922,280.09","231,812,905.20","271,516,023.64","320,463,944.11"
长期待摊费用,,"707,716.75","370,961.43","290,449.32",,,,,,,"19,654.12"
少数股东权益,"4,500,039.69","5,982,903.20","9,438,933.75","9,851,006.47","11,360,335.78","11,904,546.18","13,716,384.43","13,644,377.91","15,031,870.69","15,891,071.24","17,380,402.61"
递延所得税资产,"1,131,966.77","1,486,011.87","1,731,099.02","1,771,014.85","2,226,349.77","2,660,980.03","2,430,786.62","2,310,461.20","9,618,357.93","5,510,556.76","7,679,247.70"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,"377,699.22","268,239.81","38,653,263.78","62,388,976.17","61,392,729.38","84,853,081.82","55,496,681.75"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"89,358,041.87","116,234,018.42","116,800,365.70","114,430,087.51","126,043,871.01","128,452,634.84","227,978,835.32","251,072,448.48","1,603,330,073.15","1,620,778,005.39","1,624,039,462.92"
所有者权益(或股东权益)合计,"230,461,159.86","273,073,438.96","321,897,544.96","317,812,440.91","571,354,787.34","585,663,357.87","612,490,283.27","617,320,755.95","1,755,598,839.96","2,279,081,586.86","2,334,735,011.15"
资产总计,"320,694,257.21","402,948,763.19","472,120,611.61","467,300,574.67","732,145,265.12","776,526,995.19","807,306,354.64","766,175,208.88","2,605,537,879.33","2,743,575,002.06","3,014,235,827.53"
负债和所有者(或股东权益)合计,"320,694,257.21","402,948,763.19","472,120,611.61","467,300,574.67","732,145,265.12","776,526,995.19","807,306,354.64","766,175,208.88","2,605,537,879.33","2,743,575,002.06","3,014,235,827.53"
