科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"469,420,371.17","457,773,423.54","512,087,125.66","104,843,880.57","242,115,242.36","420,982,118.90","569,314,055.88","124,014,663.05","270,466,048.21","403,339,411.25","555,630,201.52","116,479,211.73","264,007,395.77","415,519,752.58","423,163,479.00","106,874,502.23","279,054,010.60","437,336,457.19","467,902,086.06","104,260,242.00","290,970,719.42","510,316,752.65","660,012,166.11","157,067,292.98","402,991,594.57","618,196,358.31","769,334,857.12","206,227,788.10","471,229,153.91","728,247,323.32","877,260,049.94","212,706,034.68","488,950,059.05","764,090,540.03","932,417,166.94","213,576,047.76","498,869,854.65"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"10,184,000.00",,,,,,,,,,,,,,
收到的税费返还,"1,127,134.28","4,711,498.70","2,243,739.89","728,907.64","948,098.82","3,623,037.20","5,570,828.59","2,273,874.84","4,409,848.62","8,318,532.02","11,651,168.91","3,569,373.47","6,071,015.11","8,623,641.35","13,047,539.63","1,094,827.86","3,449,539.84","4,284,579.58","4,284,579.58","1,628,528.37","2,540,260.70","3,616,044.00","5,013,296.33","1,806,889.79","2,366,613.95","3,206,324.55","3,709,758.51","442,676.23","704,131.65","2,214,056.69","2,824,572.55","2,430,737.30","13,690,802.45","17,378,349.23","18,853,455.82","2,001,019.79","6,029,445.31"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"3,400,000.00",,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,314,841.44","2,855,210.75","7,188,849.20","332,159.03","905,981.45","1,381,390.23","2,089,615.46","3,511,699.09","3,605,894.76","4,391,619.21","4,241,661.45","236,164.71","515,916.78","1,267,698.33","3,223,481.97","685,733.02","406,162.58","2,105,605.49","3,347,167.45","1,016,789.08","2,237,002.67","3,595,520.66","1,945,694.28","423,044.15","1,316,830.11","1,782,812.77","6,852,821.88","1,888,907.81","1,220,585.21","4,506,431.76","6,023,829.27","1,501,708.71","4,223,445.49","4,719,852.22","11,302,665.74","412,479.77","11,227,352.48"
投资活动现金流出小计,"30,042,789.51","8,056,564.70","9,133,460.38","29,937,438.68","42,233,986.42","74,080,118.95","117,279,193.33","63,898,402.50","90,089,990.99","103,324,202.61","119,579,935.93","20,435,042.70","39,611,945.68","70,788,736.15","98,287,767.72","33,415,303.86","43,545,362.67","60,097,104.03","119,050,544.24","16,476,994.43","18,731,384.43","18,895,387.70","40,669,002.36","6,323,976.26","9,045,001.26","11,023,046.16","20,632,137.66","3,651,040.47","14,538,213.27","23,672,785.84","89,294,981.73","7,967,749.34","14,209,820.56","44,451,461.60","67,441,721.78","7,145,386.10","10,023,085.10"
经营活动现金流入小计,"476,862,346.89","465,340,132.99","521,519,714.75","105,904,947.24","243,969,322.63","425,986,546.33","576,974,499.93","129,800,236.98","278,481,791.59","416,049,562.48","571,523,031.88","120,284,749.91","270,594,327.66","425,411,092.26","439,434,500.60","108,655,063.11","282,909,713.02","443,726,642.26","475,533,833.09","106,905,559.45","295,747,982.79","517,528,317.31","666,971,156.72","159,297,226.92","406,675,038.63","623,185,495.63","779,897,437.51","208,559,372.14","473,153,870.77","734,967,811.77","886,108,451.76","216,638,480.69","506,864,306.99","786,188,741.48","962,573,288.50","215,989,547.32","516,126,652.44"
投资活动产生的现金流量净额,"-30,042,789.51","-7,056,564.70","-9,133,460.38","-29,937,438.68","-42,233,986.42","-74,080,118.95","-117,279,193.33","-63,898,402.50","-90,089,990.99","-103,324,202.61","-119,579,935.93","-20,435,042.70","-39,611,945.68","-70,788,736.15","-98,287,767.72","-33,415,303.86","-43,545,362.67","-60,097,104.03","-119,050,544.24","-16,476,994.43","-18,731,384.43","-18,895,387.70","-39,574,002.36","-6,323,976.26","-9,045,001.26","-11,023,046.16","-20,632,137.66","-3,651,040.47","-14,538,213.27","-23,672,785.84","-89,294,981.73","-7,967,749.34","-14,159,820.56","-44,401,461.60","-67,391,721.78","-7,145,386.10","-10,023,085.10"
购买商品、接受劳务支付的现金,"414,102,363.49","393,888,119.89","413,037,354.49","90,990,354.58","219,240,132.24","411,353,762.06","511,023,139.91","115,955,286.41","260,159,979.31","404,317,405.10","566,683,458.02","115,153,504.18","251,280,868.42","381,198,809.42","344,161,820.88","109,553,525.19","239,516,074.82","385,094,133.01","388,505,828.08","185,729,033.70","322,924,897.17","545,067,574.45","650,498,437.16","112,005,706.81","279,244,754.99","465,835,400.85","526,517,929.54","187,482,225.64","390,512,503.08","601,730,447.68","673,383,656.22","250,504,840.65","491,380,598.56","722,168,341.77","844,509,217.07","206,206,303.68","437,111,526.67"
吸收投资收到的现金,,,,,"538,031,250.00","538,031,250.00","533,917,847.00",,,,,"48,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00",,"36,000,000.00","36,000,000.00","36,000,000.00",,,,,,,,,,,,,,,,,,
