科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"895,546,238.53","1,264,629,235.12","1,478,977,904.91","719,208,462.74","1,380,227,541.07","276,714,148.36","592,656,613.76","1,044,459,789.65","1,348,471,969.21","372,649,383.45","649,362,755.80","1,030,715,295.15","1,592,454,283.05","386,385,124.98","640,582,692.57","987,646,305.08","1,245,572,582.94","330,376,788.85","662,766,788.17","1,061,782,883.47","1,480,471,039.25","402,315,272.16"
取得子公司及其他营业单位支付的现金净额,"76,639,749.00","59,380,000.00",,,,,,,,,,,,,,,,,"735,545.00","21,642,384.62","725,595.00","58,042,267.90"
收到的税费返还,"48,186,085.81","78,913,079.72","123,117,437.99","38,857,809.01","88,849,631.78","16,994,018.51","33,668,898.52","57,847,204.32","86,826,867.27","26,651,606.60","45,568,869.71","80,439,794.26","108,614,452.37","15,713,203.91","35,908,418.07","49,587,615.20","56,783,622.28","16,126,697.63","35,601,792.20","69,353,462.34","81,742,119.37","14,978,567.70"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"725,595.00"
收到其他与经营活动有关的现金,"256,359,775.31","179,825,577.41","243,040,652.30","20,889,360.38","93,021,380.31","163,500.00","8,691,427.11","29,341,416.68","64,211,083.24","521,019.17","29,936,013.01","29,608,240.62","172,483,496.90","9,530,199.39","11,094,640.53","26,034,223.40","56,855,200.93","50,543,991.94","31,680,472.87","38,673,546.39","145,140,140.17","52,297,000.00"
投资活动现金流出小计,"304,979,289.33","398,301,629.11","376,424,290.30","106,439,503.31","181,599,442.47","119,429,110.97","149,206,109.55","228,079,333.19","284,973,828.46","49,295,329.67","93,978,892.65","212,576,246.48","237,120,816.06","55,809,277.48","124,795,550.00","181,232,399.44","210,236,349.28","68,642,954.83","155,363,932.42","258,559,453.69","222,238,551.06","203,253,604.39"
经营活动现金流入小计,"1,200,092,099.65","1,523,367,892.25","1,845,135,995.20","778,955,632.13","1,562,098,553.16","293,871,666.87","635,016,939.39","1,131,648,410.65","1,499,509,919.72","399,822,009.22","724,867,638.52","1,140,763,330.03","1,873,552,232.32","411,628,528.28","687,585,751.17","1,063,268,143.68","1,359,211,406.15","397,047,478.42","730,049,053.24","1,169,809,892.20","1,707,353,298.79","469,590,839.86"
投资活动产生的现金流量净额,"-237,677,776.84","-391,985,475.84","-362,127,470.16","-100,130,090.24","-159,560,531.12","-119,429,110.97","-147,830,359.55","-223,020,178.07","-253,700,218.34","-49,295,329.67","-93,747,481.07","-209,964,635.23","-220,720,247.57","-55,801,056.11","-124,778,328.63","-178,833,815.60","-177,162,265.71","-43,209,954.83","-129,930,932.42","-211,233,293.88","-167,536,691.25","-149,464,904.39"
购买商品、接受劳务支付的现金,"678,640,196.80","769,585,185.15","1,232,348,050.80","394,533,378.76","871,939,847.33","238,858,326.21","449,340,791.01","647,140,742.05","980,382,649.45","210,612,621.95","431,064,620.07","706,661,486.64","1,238,083,764.55","220,369,830.21","329,368,257.74","638,116,186.56","891,586,520.53","249,721,272.82","379,762,341.65","598,873,783.03","961,148,126.37","279,005,194.96"
吸收投资收到的现金,,"237,000,000.00",,,,"597,859,348.00","597,859,348.00","597,859,348.00","597,859,348.00",,,,,,"846,507,049.75","846,507,049.75","847,739,416.09",,,,,
