科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"216,650,271.57","327,303,990.43","143,715,187.40","243,457,238.84","367,612,571.47","71,263,138.29","189,195,626.50","323,952,891.53","495,723,983.52","100,156,301.50","339,103,797.59","727,142,194.97","1,266,058,301.27","335,688,486.44","897,434,468.66","1,522,335,169.93","2,175,378,052.40","489,929,869.46","1,183,258,646.44","2,128,813,036.69","3,583,998,130.40","1,108,808,805.86","2,628,267,688.93","4,098,934,110.66","5,979,088,239.17","1,359,235,501.82","3,452,712,535.49","5,799,659,810.93","8,347,269,023.23","2,289,804,335.89","5,140,994,078.03","8,252,209,379.53","12,319,105,877.69","2,944,694,682.77","6,617,330,299.27","10,471,188,585.38","15,230,837,652.33","5,024,165,893.82","10,778,932,179.86"
二、营业利润,"41,931,905.48","57,940,941.66","29,789,395.09","54,387,605.43","67,490,713.20","14,523,895.25","44,090,363.21","75,890,865.84","86,648,231.41","23,166,435.52","73,144,712.21","132,288,677.49","174,346,255.58","55,538,951.30","149,720,922.29","274,778,935.65","316,411,759.26","67,976,328.27","179,056,590.33","288,278,439.65","551,523,798.89","155,268,119.36","374,387,713.02","622,170,065.15","911,485,130.62","-84,975,254.06","137,494,441.06","313,230,518.02","-458,035,977.47","131,019,175.44","405,322,876.17","551,661,213.23","681,397,622.03","101,041,909.42","339,579,574.59","291,308,440.58","298,671,632.45","184,374,810.22","355,469,088.81"
减:营业成本,"100,176,825.25","149,449,419.33","58,684,568.82","102,090,711.02","162,716,793.95","27,047,704.52","78,958,797.23","144,722,007.23","234,153,987.60","43,614,201.22","163,217,124.76","433,373,430.31","815,803,900.42","207,235,640.28","556,516,563.46","936,755,131.49","1,406,447,433.18","306,887,976.37","737,549,427.66","1,394,829,735.82","2,346,932,278.61","769,282,395.03","1,820,001,643.74","2,848,275,734.18","4,080,568,671.32","955,206,763.96","2,445,069,306.49","4,192,814,584.14","6,047,532,460.59","1,700,617,240.08","3,914,011,158.04","6,330,594,795.97","9,651,256,951.54","2,311,998,436.17","5,207,369,942.71","8,419,579,058.82","12,458,981,086.35","4,370,738,000.90","9,457,759,791.37"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,209,800.58","16,690,961.96","7,918,754.03","13,402,772.54","19,602,963.83","3,843,605.57","10,293,814.38","17,596,601.00","26,745,699.04","5,223,994.83","17,352,783.01","29,558,487.84","53,200,725.50","9,490,234.67","24,948,040.19","38,722,204.07","35,336,299.71","2,807,351.97","7,543,134.36","11,591,205.86","19,521,902.47","5,681,316.16","12,699,013.49","19,450,133.99","29,659,971.53","4,873,315.71","13,424,894.84","22,202,321.51","32,639,807.08","6,662,799.49","13,120,457.00","15,394,795.88","36,268,236.91","6,845,027.62","16,906,738.27","28,389,845.18","42,152,116.21","9,730,271.89","16,073,524.54"
营业外收入,"143,627.00","1,718,834.67","430,350.84","477,600.84","1,430,350.84","240,000.00","240,000.00","340,000.00","1,817,520.00",,"635,208.00","5,042,165.48","14,915,734.29","601,715.26","3,747,875.26","9,228,797.57","41,844,064.57","1,783,535.68","7,711,312.09","66,900,335.22","87,993,759.91","1,218,755.94","10,218,041.96","11,501,273.55","37,634,958.05","1,619,387.52","5,371,360.01","6,940,333.12","580,995,606.64","3,238,465.33","10,158,454.17","15,829,634.72","137,866,409.50","16,815,024.89","36,868,210.12","44,267,424.40","24,623,628.85","7,127,518.83","7,583,044.94"
销售费用,"44,295,492.93","76,286,385.02","33,242,090.39","50,941,283.11","84,703,148.54","18,380,093.48","38,697,256.01","60,838,048.42","105,577,544.39","25,397,471.43","62,859,626.72","102,102,681.54","167,090,825.99","47,988,164.93","119,774,473.49","195,419,988.55","293,071,675.41","81,968,211.43","177,626,162.13","282,986,160.33","427,718,508.80","110,182,173.33","265,991,489.96","434,274,752.95","655,634,292.57","174,500,653.06","383,370,316.19","616,963,158.13","932,779,766.70","244,150,977.38","516,263,007.54","795,039,515.64","1,117,069,716.80","246,445,427.53","542,801,029.54","820,330,744.55","1,141,674,877.40","234,880,180.78","469,869,190.32"
减:营业外支出,"394,745.47","172,714.62","35,020.29","47,421.24","360,007.36","17,133.90","20,887.18","386,459.77","546,516.60","10,505.00","18,123.51","119,039.80","242,965.54","74,073.23","115,280.90","377,840.62","808,927.06","79,170.08","1,218,983.50","1,935,490.98","4,491,006.65","102,413.55","796,258.77","1,569,699.24","1,166,320.87","671,027.57","483,527.63","1,839,249.35","2,927,290.76","526,596.88","2,185,230.62","5,095,002.65","10,891,345.97","366,575.00","3,033,487.71","2,919,666.12","11,659,205.23","369,392.69","1,133,182.43"
管理费用,"24,881,565.30","25,479,526.49","12,965,878.55","20,314,304.30","31,168,096.95","6,637,177.99","16,242,234.16","26,549,055.50","45,116,693.39","10,900,064.68","29,696,876.28","51,393,941.90","81,047,774.12","22,151,258.73","51,481,918.86","81,128,956.41","126,960,588.66","34,674,930.87","85,897,862.06","141,262,247.14","228,119,797.21","69,297,300.05","150,372,442.51","236,004,841.98","415,100,124.96","120,629,486.94","296,996,699.04","490,910,881.21","760,462,973.34","179,065,042.90","408,234,393.67","626,191,931.73","912,093,469.98","208,885,137.27","433,923,867.20","680,314,839.01","1,015,499,812.27","182,480,517.15","426,874,107.52"
其中:非流动资产处置净损失,"130,581.49","74,111.37","34,080.29",,"61,551.79","4,483.90","6,548.18","7,096.18","50,973.65",,"3,658.69","6,378.65","18,378.10","25,954.60","33,591.64","59,969.35","80,492.92",,"11,421.94","427,041.65","826,166.63",,"19,298.40","86,758.85","91,638.44","68,898.99","8,327.09","116,642.31","275,957.18",,"768,624.86","893,609.20","965,486.65","62,228.12","774,329.46","793,582.56",,,
