科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"562,697,769.10","373,103,954.69","218,747,804.72","60,810,190.40","89,819,719.57","122,398,751.16","206,256,487.59","32,722,935.09","75,000,270.08","111,334,720.92","182,901,031.20","48,010,614.82","89,271,263.90"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"2,985,453.49"
收到的税费返还,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"779,345.49",,,,,"50,000,000.00",,"60,000,000.00",,,,,
收到其他与经营活动有关的现金,"27,037,515.87","41,744,787.39","16,656,021.08","804,752.06","9,992,257.82","12,945,726.68","18,342,840.62","877,799.39","3,234,910.55","4,916,318.28","7,458,676.60","2,299,707.55","19,742,818.12"
投资活动现金流出小计,"29,850,484.45","35,353,236.00","11,682,762.34","1,957,101.77","2,787,525.77","53,201,523.75","194,094,485.87","61,664,599.36","62,738,214.36","62,534,779.36","163,532,880.06","330,507,724.00","408,501,725.99"
经营活动现金流入小计,"589,735,284.97","414,848,742.08","235,403,825.80","61,614,942.46","99,811,977.39","135,344,477.84","224,599,328.21","33,600,734.48","78,235,180.63","116,251,039.20","190,359,707.80","50,310,322.37","109,014,082.02"
投资活动产生的现金流量净额,"-29,182,796.45","-34,540,252.17","-11,287,485.14","-1,957,101.77","-2,772,525.77","-22,602,732.52","-67,845,715.44","59,163,893.80","118,574,114.42","119,165,391.42","63,011,633.22","43,051,567.91","33,646,248.48"
购买商品、接受劳务支付的现金,"314,174,842.74","223,757,697.57","84,053,185.50","13,244,432.32","31,962,844.88","65,170,551.35","85,194,107.45","23,902,813.37","54,738,810.21","111,075,560.21","125,733,750.38","29,486,954.90","86,947,923.77"
吸收投资收到的现金,,,,,"171,984,059.46","171,984,059.46","171,984,059.46",,,,,,
支付给职工以及为职工支付的现金,"67,603,915.15","54,854,482.23","52,077,003.32","13,868,866.37","25,878,688.49","39,510,710.79","53,682,952.05","12,658,216.25","24,817,506.01","39,013,497.29","54,874,961.98","15,346,817.48","30,456,854.58"
取得借款收到的现金,"115,000,000.00","80,000,000.00","40,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,
支付的各项税费,"33,729,449.18","38,081,322.06","36,875,852.90","10,074,664.25","14,521,613.64","20,472,620.87","27,035,675.22","4,612,137.79","7,525,913.58","9,170,194.60","16,368,530.15","7,032,230.40","11,965,810.25"
