科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"48,230,575.47","108,781,845.76","168,864,262.87","131,870,342.07","191,650,533.65","42,958,448.95","123,029,097.15","200,291,541.85","275,411,010.75","55,488,460.84","167,779,921.28","271,095,727.47","396,691,366.98","86,778,191.66","255,204,323.81","428,759,744.82","655,495,352.99","111,911,831.99","277,891,443.14","620,172,934.47","998,594,717.65","196,290,376.45","521,313,664.25","843,732,965.85","1,307,948,095.41","241,957,390.95","476,566,171.30","714,584,763.08","1,116,971,191.56","175,703,178.71","528,719,439.51","898,994,739.61"
二、营业利润,"7,936,828.42","28,161,549.56","53,750,344.63","42,126,492.25","63,817,719.04","12,966,732.45","42,656,606.54","69,933,124.50","88,740,375.11","15,646,512.43","50,483,549.73","83,410,668.30","113,918,906.15","21,617,428.03","71,027,157.41","94,632,475.20","109,374,657.24","24,415,432.91","49,489,250.87","45,850,495.36","57,621,360.78","6,436,460.46","36,066,842.99","26,171,086.42","44,301,901.18","42,498,126.77","35,644,064.81","45,977,945.12","80,522,853.43","-20,794,857.76","38,584,645.09","49,635,714.56"
减:营业成本,"31,626,112.93","61,887,978.65","87,446,061.12","62,767,275.54","87,725,316.22","20,551,086.06","54,399,836.48","93,055,110.22","130,720,127.40","28,505,446.28","83,421,650.27","134,076,194.40","198,956,880.63","48,427,839.98","145,793,218.74","260,357,318.65","429,583,703.84","77,372,271.27","192,650,436.82","502,175,329.32","837,526,559.19","171,359,327.06","424,544,411.93","689,598,646.34","1,031,052,596.84","167,127,201.67","346,995,563.08","509,210,936.10","779,507,455.05","141,397,632.27","415,108,993.74","720,924,668.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"212,116.52","946,555.19","1,518,010.91","1,244,142.56","1,942,381.30","485,123.01","1,039,385.01","1,652,705.02","2,124,495.86","492,327.15","1,448,543.22","2,528,602.51","3,292,217.39","628,126.37","1,934,542.90","3,201,495.63","4,544,901.66","1,012,468.71","1,848,024.36","2,692,206.08","4,576,065.22","655,900.05","2,029,838.62","2,863,892.53","5,376,714.30","1,259,348.09","2,173,792.92","3,032,401.56","8,127,738.43","1,053,178.17","2,957,376.85","4,611,506.59"
营业外收入,"120,000.00","2,060,000.00","4,759,800.00","4,435,765.00","4,506,032.58",0.60,"411,578.60","1,011,578.60","2,411,578.60","100,000.00","101,746.00","846,746.00","1,046,746.00","666,800.00","1,221,804.69","1,236,084.69","1,332,984.69","530,700.00","1,624,757.41","2,832,469.54","2,851,983.04","419,162.37","2,275,266.61","2,747,886.96","8,235,653.02","402,617.86","4,044,024.47","8,140,697.04","23,149,671.66","1,350,987.59","2,426,403.16","3,486,048.08"
销售费用,"4,550,192.50","8,085,388.59","14,536,638.76","10,696,198.37","14,135,111.59","3,506,107.95","9,753,518.35","15,497,969.68","22,364,090.89","6,281,380.73","15,158,408.59","21,736,239.96","31,900,252.02","6,575,053.83","15,207,069.89","25,533,211.05","39,343,220.84","5,252,536.17","15,418,330.10","27,519,279.19","43,250,129.48","9,314,280.29","23,018,234.18","42,870,276.98","78,684,139.83","15,415,871.85","36,255,282.05","54,902,180.53","95,125,082.64","28,605,194.88","47,976,267.11","74,363,731.85"
减:营业外支出,"47,460.06","91,726.07","2,080,850.32","75,252.69","75,252.69",,"1,168,000.00","1,477,008.28","1,477,012.06","4,334.82","24,784.04","34,788.93","80,209.85","149,538.29","157,538.29","190,588.29","456,259.25","2,070.89","13,344.05","123,044.46","246,291.08","174,794.71","239,004.10","294,366.21","527,056.58","60,348.47","1,125,455.24","1,428,987.13","2,818,069.67","1,558,603.77","3,128,461.61","3,136,300.30"
管理费用,"3,125,909.46","6,883,405.19","8,529,134.17","10,587,365.25","18,490,142.50","5,880,503.68","15,596,201.15","22,422,955.92","31,888,607.95","7,503,711.60","17,871,975.15","28,506,341.18","43,959,936.60","10,830,697.35","22,438,679.89","38,024,728.32","54,623,363.83","15,916,003.10","30,895,770.42","46,435,552.70","67,026,861.13","17,699,249.21","36,860,901.84","57,968,717.66","87,868,036.53","20,993,834.81","42,804,210.25","65,320,435.05","101,170,343.90","22,476,259.22","44,044,488.44","74,109,416.22"
其中:非流动资产处置净损失,,,,,,,,,,,"7,516.20",,,,,,,,,,,,,,,,"42,824.24",,"49,737.53",,,
