科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"236,849,996.36","319,914,261.25","342,894,657.30","76,655,210.44","176,493,591.50","247,789,512.97","353,969,543.84","73,566,809.65","178,672,831.98","264,048,443.86","350,482,952.45","99,897,166.75","218,974,654.86","323,318,626.77","435,602,643.06","128,822,206.37","275,431,100.22","421,167,533.41","607,803,382.31","128,861,843.83","909,622,446.69","1,540,372,010.63","2,749,181,351.36","792,278,826.74","1,720,785,547.39","2,708,145,326.62","3,972,492,738.73","1,202,376,606.05","2,411,414,471.62","3,529,439,944.12","4,644,822,362.37","1,240,532,750.71","2,576,626,786.86","4,042,173,670.81","5,522,979,925.41","1,397,871,548.51","3,147,521,953.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"55,891,547.54",,"14,568,400.00","16,968,400.00","34,345,486.00",,"-106,210,430.69","-82,730,246.23","-50,368,826.59",,"-2,513,017.09","-2,513,017.09","-43,711,167.02","-62,227,258.34","-62,227,258.36","-62,227,258.36","-63,374,020.98",,,,"212,643.23","53,590,346.02","56,300,476.96"
收到的税费返还,"31,587.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,621.01","690,693.59","1,216,435.41","1,350,954.30","3,441,854.40","6,326,326.18","6,326,326.18","1,631,683.31","2,765,869.67"
支付其他与投资活动有关的现金,,,"50,421.34",,,,,,,"300,000.00",,,,,,,,,,"30,000,000.00","20,652,400.00","116,510,000.00","70,000,000.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"59,514,114.50","41,982,233.79","43,171,102.39","1,714,216.43","13,808,186.88","15,564,581.09","16,410,163.70","8,133,196.91","16,287,390.21","18,308,330.50","28,649,183.30","2,590,554.45","11,584,043.18","16,550,212.99","36,836,805.01","1,911,288.83","49,012,768.73","55,307,912.35","72,173,636.35","3,134,914.71","26,590,949.83","120,397,308.52","60,596,448.02","23,814,745.52","100,872,791.13","125,760,133.95","102,136,762.61","38,977,370.80","52,138,424.94","109,905,257.80","216,444,670.39","76,856,839.23","110,538,153.05","156,712,743.30","235,698,843.65","195,486,520.56","175,025,571.15"
投资活动现金流出小计,"28,948,630.72","6,970,834.18","6,697,159.74","6,745,594.99","10,415,225.08","38,024,758.22","78,616,710.28","26,035,847.55","62,521,110.78","95,487,661.51","102,530,704.71","13,822,407.97","70,200,938.42","142,635,363.01","198,655,671.99","53,873,567.45","154,556,581.02","347,064,557.61","505,646,466.65","161,618,069.55","258,728,943.35","511,206,210.13","674,202,301.25","290,070,851.33","427,362,086.93","516,303,310.95","659,873,964.86","227,816,103.15","666,073,251.17","786,412,003.50","1,032,835,291.00","295,304,093.40","442,273,714.53","753,116,051.14","875,003,306.28","159,463,845.14","205,708,253.29"
经营活动现金流入小计,"296,395,698.30","361,896,495.04","386,065,759.69","78,369,426.87","190,301,778.38","263,354,094.06","370,379,707.54","81,700,006.56","194,960,222.19","282,356,774.36","379,132,135.75","102,487,721.20","230,558,698.04","339,868,839.76","472,439,448.07","130,733,495.20","324,443,868.95","476,475,445.76","679,977,018.66","131,996,758.54","936,213,396.52","1,660,769,319.15","2,809,777,799.38","816,093,572.26","1,821,658,338.52","2,833,905,460.57","4,074,629,501.34","1,241,353,976.85","2,463,715,517.57","3,640,035,895.51","4,862,483,468.17","1,318,740,544.24","2,690,606,794.31","4,205,212,740.29","5,765,005,095.24","1,594,989,752.38","3,325,313,394.66"
投资活动产生的现金流量净额,"-22,330,376.43","-1,968,834.18","-3,160,401.03","-6,745,594.99","-10,415,225.08","-38,024,758.22","-78,616,710.28","-26,035,347.55","-62,520,610.78","-95,487,161.51","-102,530,704.71","-13,822,407.97","-60,130,171.30","-82,118,767.14","-128,088,391.12","-33,478,936.91","-87,817,402.96","-179,822,160.38","-136,898,089.48","136,696,563.87","-102,682,257.51","-298,880,318.81","-373,123,168.30","-289,870,456.97","-326,876,392.28","-259,360,106.05","-451,867,167.38","-177,648,616.58","-594,783,851.01","-675,122,603.34","-600,266,280.92","-154,267,056.06","-220,584,731.99","-390,227,232.98","-440,164,383.41","-108,898,258.03","-31,838,812.64"
购买商品、接受劳务支付的现金,"77,334,144.38","128,445,116.59","90,506,180.59","19,543,598.34","47,714,616.20","72,831,357.30","121,794,850.86","27,160,704.42","69,986,527.39","118,115,337.15","172,609,387.87","48,631,500.93","110,220,478.91","164,314,177.74","204,859,987.60","54,517,968.83","128,015,608.33","239,247,204.17","320,627,816.47","84,412,961.01","655,010,340.32","1,337,463,054.96","1,984,568,815.71","652,309,016.14","1,422,473,417.77","1,942,629,027.16","2,878,652,419.53","810,206,323.79","1,880,219,153.96","2,857,251,698.69","3,702,763,780.26","954,095,294.58","2,016,209,576.50","2,978,777,285.00","4,055,939,000.04","1,147,897,326.33","2,628,639,577.13"
吸收投资收到的现金,,,,,"677,714,500.00","677,714,500.00","677,714,500.00",,,,,,,,,,,,"2,000,000.00",,"310,000,000.00","310,000,000.00","310,000,000.00",,"28,218,900.00","28,218,900.00","33,118,900.00","1,818,000,000.00","1,818,000,000.00","1,823,200,000.00","1,826,178,000.00","3,784,000.00","6,724,000.00","6,724,000.00","6,724,000.00","3,054,121.56","5,660,079.74"
