科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"194,046,086.38","348,026,678.40","402,941,924.94","294,779,903.48","485,732,976.14","648,080,329.10","193,054,734.18","437,223,200.80","819,632,429.52","1,109,516,829.96","330,247,093.78","682,617,372.00","1,069,777,098.45","1,600,291,581.99","531,972,070.06","960,868,747.39","1,334,204,117.84","1,861,129,592.02","627,121,787.46","1,240,302,831.92","1,911,232,192.69","2,428,905,972.28","679,116,760.25","1,525,514,624.42","2,381,839,968.97","3,251,557,825.76","602,067,515.80","1,220,009,645.98","1,931,481,962.96","2,607,254,915.81","651,298,390.92","1,343,770,681.47","2,101,210,085.86","2,700,905,262.47"
取得子公司及其他营业单位支付的现金净额,"14,246,167.21",,,,,,,,"42,098,912.08","42,098,912.08",,"4,192,997.65","4,192,997.65","10,381,404.72",,,,,,"188,933.74","13,992,883.74","11,670,598.52",,"340,000,000.00","340,000,000.00",,,,,,,,,"1,630,502.42"
收到的税费返还,,"145,571.51","186,334.48","26,706.85","57,534.73","76,414.16","109,519.47","720,761.75","809,399.58","1,315,061.19","1,080,090.15","3,244,030.27","4,017,519.40","4,643,656.98","3,042,759.01","3,865,646.93","4,351,148.31","5,930,490.08","1,086,004.08","3,761,645.20","4,804,133.50","6,552,333.81","1,721,791.07","12,233,403.31","22,616,159.08","21,564,931.34","1,957,836.49","4,321,321.16","7,790,824.06","6,948,071.01","1,350,030.94","5,041,398.57","9,327,937.12","10,553,176.05"
支付其他与投资活动有关的现金,,,,,,,,,,"4,192,997.65",,,,,,,,,,"703,184.63","703,184.63","879,038.75",,,,,,,,"6,010.50",,,,"12,540,184.10"
收到其他与经营活动有关的现金,"7,389,701.46","919,719.52","1,446,145.03","883,247.32","1,762,091.62","4,186,137.37","1,337,500.51","3,996,426.80","4,475,374.46","9,385,734.15","297,381.61","5,262,803.27","11,777,626.42","25,735,674.08","1,728,678.22","11,863,218.80","14,415,248.05","18,913,729.00","5,753,970.49","28,732,329.41","34,389,040.94","24,060,275.33","26,818,566.42","11,253,037.40","17,321,562.50","30,110,617.96","3,895,905.36","6,896,273.86","8,295,457.30","33,220,353.07","13,220,880.37","7,480,721.85","11,074,543.05","34,824,966.43"
投资活动现金流出小计,"24,180,425.42","22,753,768.17","33,975,455.29","17,693,776.22","29,462,204.47","74,896,392.41","97,529,895.51","138,888,448.50","166,346,377.50","219,503,993.08","8,326,674.00","65,568,560.89","86,358,410.35","83,069,541.04","52,590,801.33","117,606,018.62","137,044,092.57","157,012,223.04","29,935,358.98","69,718,131.14","86,531,195.80","56,723,133.58","222,082,083.81","395,848,990.11","417,592,363.15","293,661,634.89","25,379,896.36","31,703,509.59","35,663,334.51","66,858,505.24","34,711,434.48","111,678,704.45","147,924,005.87","380,532,821.55"
经营活动现金流入小计,"201,435,787.84","349,091,969.43","404,574,404.45","295,689,857.65","487,552,602.49","652,342,880.63","194,501,754.16","441,940,389.35","824,917,203.56","1,120,217,625.30","331,624,565.54","691,124,205.54","1,085,572,244.27","1,630,670,913.05","536,743,507.29","976,597,613.12","1,352,970,514.20","1,885,973,811.10","633,961,762.03","1,272,796,806.53","1,950,425,367.13","2,459,518,581.42","707,657,117.74","1,549,001,065.13","2,421,777,690.55","3,303,233,375.06","607,921,257.65","1,231,227,241.00","1,947,568,244.32","2,647,423,339.89","665,869,302.23","1,356,292,801.89","2,121,612,566.03","2,746,283,404.95"
投资活动产生的现金流量净额,"-23,919,740.80","-22,561,576.63","-33,944,696.59","-17,591,109.55","-29,240,007.15","-73,819,079.30","-97,529,895.51","-138,887,468.50","-166,312,051.35","-218,800,384.38","-8,322,582.75","-59,178,619.72","-79,779,445.85","-78,841,785.97","-47,859,311.38","-99,554,267.57","-136,976,630.65","-102,358,747.28","-1,860,701.17","-29,166,219.75","-50,330,653.87","-13,595,391.45","-205,451,269.40","-384,500,199.73","-406,126,769.38","-280,945,265.98","-23,439,775.53","-29,531,216.22","-29,708,213.03","-53,196,017.24","-33,728,053.88","-94,866,548.28","-64,343,687.22","-291,332,326.14"
购买商品、接受劳务支付的现金,"141,780,366.27","261,891,635.06","281,936,749.67","267,958,099.58","411,253,625.73","546,360,817.23","177,414,679.27","354,445,924.40","594,115,827.69","832,398,457.23","293,385,348.85","547,422,353.65","871,989,414.52","1,294,951,576.96","419,917,800.44","708,694,546.25","894,850,921.98","1,446,007,098.78","512,058,805.24","828,136,571.63","1,269,138,727.23","1,733,283,269.69","530,706,052.21","1,213,162,947.39","1,887,241,992.62","2,406,295,089.89","565,698,871.03","1,075,906,849.75","1,585,416,901.71","2,064,092,452.89","595,660,907.19","1,190,921,368.00","1,819,183,355.67","2,199,652,581.52"
吸收投资收到的现金,"56,551,351.91","983,154.58","1,500,000.00","1,470,893.00","824,346,427.55","830,392,893.76","3,724,300.00","5,194,300.00","12,996,443.06","16,162,911.97","5,173,575.00","5,173,575.00","32,067,375.00","32,067,375.00",,,,,,,"307,625.00","307,690.00","235,999,997.10","235,999,997.10","245,890,797.10","245,890,797.10",,,"2,350,000.00","2,450,000.00",,"415,119.60","4,192,499.60","4,192,499.60"
