科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其他应收款,"75,153,769.60","71,714,071.36","114,637,413.43","51,766,669.49","42,649,922.89","38,787,140.87","25,809,181.03","21,691,516.50","17,778,924.08","15,532,811.47","10,129,157.74","33,226,559.53","24,044,497.07","48,502,981.55","47,102,201.18","42,003,539.71","37,681,676.64","49,901,887.23","42,444,513.41","67,580,425.24","81,029,769.80","58,889,107.77","54,454,916.78","45,836,705.66","53,143,026.78","55,492,051.43","53,930,539.85","47,046,731.57","52,933,708.91","59,809,483.17","43,894,040.07","47,305,225.32","35,974,144.19","63,316,402.61","75,746,327.91","73,786,789.15","115,776,924.72","82,403,277.39","93,208,186.05","51,221,253.06","58,865,993.60","60,037,318.71","64,755,604.88","155,118,726.62"
应付职工薪酬,"11,072,446.00","10,186,126.03","9,321,658.68","10,765,373.23","8,157,348.19","6,771,956.28","5,231,029.42","7,521,150.20","4,136,315.42","5,178,609.59","4,923,701.86","5,034,249.20","5,031,323.13","4,753,729.29","4,808,335.51","8,827,866.86","6,652,150.57","8,970,207.59","8,816,923.79","11,582,995.30","10,446,253.16","8,750,273.08","8,486,256.69","9,645,357.77","7,034,896.28","9,809,544.48","9,519,778.42","12,015,076.62","9,577,074.02","12,101,567.98","10,581,980.83","12,395,303.72","9,951,585.46","10,381,482.97","16,614,592.67","8,722,919.61","14,532,813.22","24,630,496.87","13,881,398.08","8,855,799.87","7,943,702.90","11,990,356.09","7,697,399.59","11,983,432.98"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,692,587.97","4,292,120.13","6,438,987.46","16,911,297.94","6,431,178.47","11,539,924.14","9,734,431.38","25,220,845.24","543,026.57","9,240,065.23","15,150,847.84","20,608,039.18","9,842,384.76","9,227,677.19","12,363,135.38","18,484,078.85","4,212,653.29","9,035,402.07","6,490,018.80","16,526,203.16","6,687,737.77","11,591,771.11","8,514,177.55","30,128.63","2,362,231.37","1,972,219.05","5,407,008.67","2,047,997.49","1,583,179.92","4,356,882.18","-1,005,320.99","29,422,874.13","11,462,745.08","17,072,978.36","24,877,933.37","18,398,029.67","3,525,802.64","4,825,571.54","4,183,995.25","24,327,323.98","16,995,334.00","23,330,392.51","18,199,524.00","34,865,189.11"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"261,935.48","261,935.48",,,,,,,
应付利息,,,,,,,,"228,286.54","228,286.54",,,"228,286.54","228,286.54",,,,,,,,,,,,,,,"874,318.50",,,,"1,862,028.77",,,,"424,863.14",,,,"106,645.83",,,,"86,395.83"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"5,013,378.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"319,085,311.61","343,288,633.28","348,598,179.53","405,300,904.69","378,021,436.69","418,197,637.51","443,024,640.40","405,391,724.84","413,805,852.83","427,868,061.01","423,092,536.22","359,598,512.28","365,476,045.68","385,326,523.64","346,496,133.62","386,920,510.47","435,473,854.81","457,165,922.52","489,973,977.17","480,385,338.77","516,657,599.05","494,219,629.27","499,615,905.32","491,706,736.55","489,251,350.89","513,738,210.09","508,087,433.03","486,802,955.52","497,176,316.88","480,957,575.30","493,979,479.91","438,954,908.25","480,029,738.59","510,320,817.14","500,785,340.35","496,113,041.61","512,345,349.01","548,004,881.23","618,875,922.38","855,201,506.85","822,370,340.98","786,927,604.15","849,999,127.62","900,555,204.62"
其他应付款,"13,068,354.09","3,698,447.91","38,399,160.61","15,662,317.68","7,436,955.41","12,026,018.18","17,725,076.93","26,735,463.43","19,998,770.49","14,745,077.66","15,961,951.84","33,548,275.83","16,340,344.55","33,850,619.22","42,646,177.52","28,450,375.21","19,605,744.17","35,467,006.96","52,094,237.41","31,547,034.46","33,112,322.14","22,753,774.63","31,929,334.59","37,147,532.89","34,748,415.40","30,796,671.00","36,450,320.77","40,072,060.81","38,571,537.92","100,421,284.20","37,441,458.66","71,388,524.72","74,506,524.83","160,197,502.72","219,868,272.68","123,961,271.08","135,860,275.62","54,742,919.79","72,368,004.90","74,104,429.02","59,555,610.29","38,911,197.65","104,870,544.80","48,003,230.93"
