科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"89,080,195.99","134,545,272.49","239,403,016.58","151,372,233.47","223,671,970.83","435,636,474.22","53,797,341.89","99,538,968.29","196,753,243.27","308,929,106.51","31,753,631.75","116,252,254.00","210,407,788.87","312,796,213.23","121,624,519.20","211,572,013.61","366,517,936.77","537,565,051.55","117,373,966.63","232,552,411.51","403,887,979.25","755,802,924.33","124,831,507.36","248,788,097.17","412,831,265.52","653,223,813.00","97,403,557.57","170,285,614.23","306,299,931.19","478,265,438.77","160,339,182.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"16,691,274.62","11,440,000.00","-72,979.90","-72,979.90",,"105,604,800.00","105,604,800.00","126,468,554.02","126,972,224.97",,,,,,"247,500,000.00",,,,,,,
收到的税费返还,"5,544,072.44","3,765,289.55","4,769,780.12","3,308,962.43","3,308,962.43","7,777,619.75","712,943.28","1,914,064.77","2,398,984.14","3,857,078.44","1,002,919.19","2,056,581.26","3,766,502.93","5,241,699.32","4,485.59","472,734.51","1,318,905.61","2,641,676.11","358,933.07","913,939.94","993,597.27","1,278,081.90","685,641.69","1,384,925.56","1,828,862.82","3,786,917.75","1,027,537.46","2,748,426.25","4,418,369.64","2,939,813.17","31,566.17"
支付其他与投资活动有关的现金,,"30,000.00",,,,,,,,"59,160,000.00",,,"593,000.00",,,,,,,,,"5,000,000.00","10,000,000.00",,,,,"185,000.00","185,000.00","2,350,649.00",
收到其他与经营活动有关的现金,"50,270,618.20","8,355,337.01","15,410,245.38","18,015,284.86","26,378,464.70","41,043,322.71","9,732,404.33","23,767,143.98","29,901,400.84","41,707,958.28","15,605,292.35","61,975,662.29","80,227,376.52","117,245,935.96","13,116,271.21","75,025,610.41","97,073,086.11","179,224,856.40","9,865,918.83","109,876,496.03","128,314,043.86","150,837,250.49","37,941,658.83","41,704,346.78","55,428,637.10","78,961,149.52","12,294,993.16","50,448,154.75","106,763,518.37","102,842,112.05","12,231,463.23"
投资活动现金流出小计,"17,830,194.66","15,694,313.96","35,189,193.39","35,151,633.81","39,695,674.83","58,143,419.22","13,232,722.20","18,314,047.92","40,832,524.29","127,471,053.15","58,882,509.32","53,738,001.67","83,466,594.32","97,617,507.27","141,850,796.01","162,680,862.50","211,417,873.43","275,495,503.67","57,048,507.24","64,851,452.97","71,801,260.97","112,292,661.57","47,342,733.77","274,332,809.92","181,483,052.87","224,294,402.61","30,819,226.75","50,257,273.52","51,369,119.89","255,639,325.03","20,838,643.20"
经营活动现金流入小计,"144,894,886.63","146,665,899.05","259,583,042.08","172,696,480.76","253,359,397.96","484,457,416.68","64,242,689.50","125,220,177.04","229,053,628.25","354,494,143.23","48,361,843.29","180,284,497.55","294,401,668.32","435,283,848.51","134,745,276.00","287,070,358.53","464,909,928.49","719,431,584.06","127,598,818.53","343,342,847.48","533,195,620.38","907,918,256.72","163,458,807.88","291,877,369.51","470,088,765.44","735,971,880.27","110,726,088.19","223,482,195.23","417,481,819.20","584,047,363.99","172,602,211.44"
投资活动产生的现金流量净额,"-6,137,689.03","-15,654,313.96","-35,189,193.39","-35,149,983.81","-39,694,024.83","-58,141,769.22","-13,192,722.20","-18,223,447.92","-40,741,924.29","-127,380,453.15","-58,879,509.32","-46,673,401.67","-76,388,129.97","27,993,193.75","-141,830,796.01","-151,410,862.50","-200,147,873.43","-264,225,503.67","-57,042,697.24","-64,830,642.97","-71,605,450.97","-112,093,851.57","-33,787,233.77","-180,777,309.92","-87,923,552.87","-125,339,269.05","-30,781,726.75","-41,162,273.52","-42,268,099.89","-245,038,305.03","-20,838,643.20"
购买商品、接受劳务支付的现金,"57,636,371.83","60,637,729.63","139,229,238.31","101,523,453.72","184,102,767.69","263,446,350.57","69,945,656.99","108,568,985.43","159,510,157.36","205,887,572.94","55,817,229.57","120,229,958.59","194,272,116.88","265,563,541.51","134,151,052.11","231,983,771.94","327,749,899.05","397,812,445.96","90,108,859.10","194,386,192.37","335,516,226.91","509,310,759.75","119,830,586.52","222,404,515.60","327,024,008.19","465,745,392.44","112,789,354.94","167,995,520.30","246,035,777.03","277,540,552.14","81,645,104.39"
吸收投资收到的现金,"7,268,000.00","67,100,000.00",,,"363,443,358.00","363,443,358.00",,,,,,"1,509,600.00","2,960,000.00","2,960,000.00",,,,,,"95,452,000.00","95,452,000.00","95,452,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"13,452,747.42","14,992,980.49","17,245,227.72","14,657,319.42","20,834,769.97","28,576,151.54","14,672,606.81","20,749,254.94","27,414,550.99","36,060,389.87","15,654,239.57","27,729,719.93","39,772,481.49","48,230,045.26","19,142,035.13","32,544,648.34","49,019,256.78","68,474,345.58","28,436,398.58","47,940,877.06","69,887,034.62","91,982,103.70","30,540,708.87","50,753,208.26","70,871,457.20","89,956,615.10","29,764,502.24","50,500,187.69","69,922,569.27","89,494,897.66","25,510,826.19"
取得借款收到的现金,"43,700,000.00","14,000,000.00","15,000,000.00","8,749,879.28","46,568,378.02","46,568,378.02","1,000,000.00","6,000,000.00","6,000,000.00","56,000,000.00","42,000,000.00","86,000,000.00","86,000,000.00","115,415,596.00","88,813,466.47","162,342,546.47","203,842,546.47","263,061,890.47","65,883,368.00","131,383,368.00","146,383,368.00","166,383,368.00","80,000,000.00","232,500,000.00","323,500,000.00","412,363,850.00","76,000,000.00","128,100,000.00","151,650,000.00","369,000,000.00","79,300,000.00"
支付的各项税费,"16,759,810.33","15,779,463.07","29,834,114.03","23,034,547.77","29,058,361.81","42,478,559.52","10,117,219.09","15,227,094.34","18,317,314.32","32,474,911.38","7,965,130.30","14,145,505.84","19,383,017.95","21,966,094.16","13,385,492.30","19,368,019.43","25,859,340.02","57,258,227.90","6,220,951.06","16,661,985.40","20,539,580.78","45,861,531.55","17,324,227.32","35,936,851.57","46,997,560.06","52,225,766.49","9,202,854.46","14,203,621.29","17,992,322.59","19,574,323.17","7,718,441.80"
收到其他与筹资活动有关的现金,"10,000,000.00",,,,,,,"459,959.08","723,994.29",,"27,313.77","288,030.45","423,220.15",,"22,662.69","6,901.93",,,,"1,000,297.87","1,000,006.32","1,000,111.22",,"1,000,000.00","1,034,111.60","1,034,111.60",,"448,409.68","500,994.68","22,632,875.00",
支付其他与经营活动有关的现金,"58,440,150.41","21,316,849.22","49,636,143.32","39,825,883.75","59,816,150.55","77,381,336.01","24,872,066.09","34,386,158.75","51,243,134.17","59,643,719.27","15,038,365.67","41,356,019.03","69,094,545.32","111,491,227.06","25,838,537.85","69,051,438.89","103,695,033.88","170,498,253.17","19,825,953.71","55,881,987.52","80,615,567.51","105,542,642.19","62,803,831.85","81,044,013.99","109,062,970.25","138,655,035.92","40,354,099.30","71,189,353.25","137,611,567.12","154,596,343.28","38,167,501.15"
筹资活动现金流入小计,"60,968,000.00","81,100,000.00","15,000,000.00","8,749,879.28","410,011,736.02","410,011,736.02","1,000,000.00","6,459,959.08","6,723,994.29","56,000,000.00","42,027,313.77","87,797,630.45","89,383,220.15","118,375,596.00","88,836,129.16","162,349,448.40","203,842,546.47","263,061,890.47","65,883,368.00","227,835,665.87","242,835,374.32","262,835,479.22","80,000,000.00","233,500,000.00","324,534,111.60","413,397,961.60","76,000,000.00","128,548,409.68","152,150,994.68","391,632,875.00","79,300,000.00"
经营活动现金流出小计,"146,289,079.99","112,727,022.41","235,944,723.38","179,041,204.66","293,812,050.02","411,882,397.64","119,607,548.98","178,931,493.46","256,485,156.84","334,066,593.46","94,474,965.11","203,461,203.39","322,522,161.64","447,250,907.99","192,517,117.39","352,947,878.60","506,323,529.73","694,043,272.61","144,592,162.45","314,871,042.35","506,558,409.82","752,697,037.19","230,499,354.56","390,138,589.42","553,955,995.70","746,582,809.95","192,110,810.94","303,888,682.53","471,562,236.01","541,206,116.25","153,041,873.53"
偿还债务支付的现金,"47,144,235.00","21,800,000.00","14,000,000.00","5,000,000.00","15,000,000.00","49,000,000.00","8,000,000.00","8,000,000.00","18,000,000.00","39,000,000.00","5,000,000.00","56,500,000.00","58,500,000.00","88,500,000.00","37,000,000.00","87,000,000.00","107,000,000.00","156,000,000.00","12,742,288.47","61,742,288.47","140,802,297.67","190,802,297.67","54,219,039.50","112,949,039.50","145,498,079.00","220,998,079.00","63,810,674.30","129,810,674.30","169,617,498.60","238,617,498.60","77,900,000.00"
经营活动产生的现金流量净额,"-1,394,193.36","33,938,876.64","23,638,318.70","-6,344,723.90","-40,452,652.06","72,575,019.04","-55,364,859.48","-53,711,316.42","-27,431,528.59","20,427,549.77","-46,113,121.82","-23,176,705.84","-28,120,493.32","-11,967,059.48","-57,771,841.39","-65,877,520.07","-41,413,601.24","25,388,311.45","-16,993,343.92","28,471,805.13","26,637,210.56","155,221,219.53","-67,040,546.68","-98,261,219.91","-83,867,230.26","-10,610,929.68","-81,384,722.75","-80,406,487.30","-54,080,416.81","42,841,247.74","19,560,337.91"
分配股利、利润或偿还利息支付的现金,"9,340,858.57","863,199.16","13,615,606.69","637,845.27","1,041,182.12","1,515,340.78","205,422.23","26,306,088.91","26,375,144.47","26,534,622.26","1,627,954.95","16,294,220.01","18,518,388.89","19,375,303.11","8,999,347.25","17,294,298.67","22,955,691.96","24,968,527.98","2,442,359.67","11,443,352.66","14,195,405.66","16,310,324.66","1,724,381.69","8,638,636.45","12,483,483.13","21,123,327.45","3,562,739.36","6,175,019.06","14,630,424.40","19,807,897.06","4,842,896.71"
收回投资收到的现金,"1,760,751.71",,,,,,,,,,,"7,052,800.00","7,052,800.00","7,052,800.00",,,,,,,,,,,,"10,000,000.00",,,,,
支付其他与筹资活动有关的现金,"58,500.00",,"8,144,935.00","150,000.00","268,335.00","2,158,335.00","2,730,000.00","3,251,781.46","3,665,816.67","3,181,822.38","27,313.77","51,338.86","186,528.56","7,786,970.86","1,500,000.00","4,700,153.50","4,917,373.85","4,997,373.85","80,000.00","1,084,900.00","1,110,202.35","1,110,287.65",19.60,"1,256,438.78","134,312,496.98","136,611,278.39","6,000.00","28,698,455.00","29,165,255.00","36,209,335.00",
取得投资收益收到的现金,"2,426,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500,000.00",
