科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"248,369,075.07","232,850,272.60","287,487,159.26","303,262,750.41","326,140,824.98","579,453,522.66","760,083,616.86","545,778,843.29","1,028,431,543.40","233,254,833.64","1,061,658,547.62","1,132,466,090.29","1,010,801,072.60","1,005,813,294.27","1,080,802,134.37","1,138,046,229.88"
短期借款,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"1,565,807.54",,"4,856,808.95",,"7,972,100.00","608,500.00","6,005,000.00","5,500,000.00","472,701.02","4,000,000.00","2,633,998.00","2,460,100.00","5,973,567.89","8,382,344.92","10,508,038.69","8,928,846.67"
应付票据,,,,,,,,,,,,,,,,
应收账款,"10,912,049.60","36,812,918.12","52,104,293.95","67,501,292.10","71,803,242.12","61,545,559.23","75,432,308.13","85,611,741.61","79,345,671.32","74,733,113.37","106,239,046.42","118,303,046.17","118,073,381.55","114,734,102.13","127,201,268.57","140,884,335.76"
应付账款,"5,881,866.04","9,788,015.36","28,406,757.22","22,016,441.37","24,524,442.83","21,380,079.89","19,948,816.58","20,028,118.07","22,072,244.33","23,917,367.15","25,645,703.37","27,008,488.32","27,615,155.41",,"29,897,183.88",
预付款项,"11,224,843.80","5,925,983.70","16,371,481.38","19,006,966.14","23,831,535.32","22,405,940.92","6,836,063.85","10,328,633.84","8,321,539.38","13,641,069.57","14,535,570.46","20,694,768.67","22,973,853.58","23,025,737.19","20,380,677.42","50,281,310.58"
预收款项,"51,945.33","148,064.61","103,268.40","439,658.82","442,746.06","337,853.54","1,028,216.11","208,244.79","1,382,495.52","1,648,896.51","1,674,559.41","400,119.73","634,983.65","1,824,947.18","2,490,857.08","9,364,100.88"
其他应收款,"583,261.19","260,479.53","355,227.35","1,896,971.08","1,834,117.52","3,548,527.20","360,504.82","1,961,907.02","2,077,342.54","2,557,736.89","354,302.18","4,481,900.04","2,823,649.05","5,365,319.70","4,236,599.04","9,433,431.78"
应付职工薪酬,"14,740,597.20","13,699,424.52","15,210,807.13","12,647,910.84","10,163,712.67","8,031,296.72","14,332,675.98","12,959,506.48","12,514,102.32","11,701,394.29","34,522,094.79","20,159,321.73","15,029,267.29","17,425,326.86","55,145,757.11","32,165,506.27"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"18,186,820.73","15,909,194.12","29,156,481.24","26,096,043.18","25,411,290.82","18,896,601.81","29,370,693.07","27,274,571.31","42,833,085.23","31,168,599.93","36,754,509.60","42,109,208.06","57,529,382.30","45,545,337.13","41,059,132.32","49,861,055.78"
应收利息,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"3,600.00","3,600.00",,,"10,601,607.45",,,
