科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"542,238,536.75","647,163,354.47","680,824,573.73","407,113,412.39","621,657,896.90","877,296,918.87","250,852,831.91","475,594,683.89","722,846,623.76","427,752,494.95"
取得子公司及其他营业单位支付的现金净额,"34,106,568.18",,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,"3,790,000.00",,,,,"100,000,000.00","100,000,000.00","1,400,000.00"
收到其他与经营活动有关的现金,"1,977,752.01","2,165,280.30","973,801.55","680,043.12","838,679.16","2,081,442.74","1,871,035.02","1,127,342.20","1,464,670.82","6,488,018.31"
投资活动现金流出小计,"50,601,697.80","37,758,254.74","44,860,621.03","30,336,021.47","39,984,393.63","49,820,435.45","11,366,679.29","134,377,830.20","162,044,573.81","88,201,026.08"
经营活动现金流入小计,"544,216,288.76","649,328,634.77","681,798,375.28","407,793,455.51","622,496,576.06","879,378,361.61","252,723,866.93","476,722,026.09","724,311,294.58","434,240,513.26"
投资活动产生的现金流量净额,"-40,500,501.80","-14,690,440.31","-40,294,501.03","-24,616,021.47","-34,264,393.63","-43,110,754.73","-9,560,671.76","-132,401,822.67","-157,539,795.22","-80,416,133.60"
购买商品、接受劳务支付的现金,"473,423,024.12","526,991,741.66","545,230,146.28","316,987,919.34","480,995,711.28","709,228,103.80","241,910,550.43","430,146,824.90","625,502,923.56","276,376,490.17"
吸收投资收到的现金,,,,,,"300,880,000.00",,,,
支付给职工以及为职工支付的现金,"20,291,007.24","26,358,751.26","30,625,664.13","17,099,254.18","26,179,567.87","35,507,390.15","9,699,255.73","19,296,146.63","29,953,024.17","40,486,117.17"
取得借款收到的现金,"92,930,000.00","220,000,000.00","79,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00",,,,
支付的各项税费,"23,592,830.49","25,927,606.73","30,082,589.45","22,956,686.30","30,210,742.01","41,198,965.17","9,462,969.23","18,171,923.85","28,642,118.35","37,617,698.93"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"23,777,381.57","21,699,018.37","30,339,412.29","17,733,568.48","27,166,943.26","48,775,146.10","12,992,250.84","25,484,321.85","39,813,533.02","46,167,078.65"
筹资活动现金流入小计,"92,930,000.00","220,000,000.00","79,000,000.00","84,000,000.00","84,000,000.00","384,880,000.00",,,,
经营活动现金流出小计,"541,084,243.42","600,977,118.02","636,277,812.15","374,777,428.30","564,552,964.42","834,709,605.22","274,065,026.23","493,099,217.23","723,911,599.10","400,647,384.92"
偿还债务支付的现金,"120,000,000.00","182,930,000.00","130,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","17,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00"
经营活动产生的现金流量净额,"3,132,045.34","48,351,516.75","45,520,563.13","33,016,027.21","57,943,611.64","44,668,756.39","-21,341,159.30","-16,377,191.14","399,695.48","33,593,128.34"
分配股利、利润或偿还利息支付的现金,"21,901,272.22","5,911,779.65","5,031,195.43","2,236,108.12","3,211,051.92","4,030,395.37","939,479.16","22,461,358.33","22,461,358.33","22,461,358.33"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,"500,000.00","3,200,000.00","400,000.00","200,000.00","200,000.00","4,003,773.61","1,948,318.34","99,689.29","151,790.69","19,705,660.37"
取得投资收益收到的现金,,,,,,,,,"1,680,565.38",
筹资活动现金流出小计,"142,401,272.22","192,041,779.65","135,431,195.43","81,436,108.12","82,411,051.92","87,034,168.98","19,887,797.50","106,561,047.62","106,613,149.02","126,167,018.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"408,196.00","184,814.43","161,120.00","20,000.00","20,000.00","138,280.72","106,007.53","106,007.53","204,213.21","619,803.31"
筹资活动产生的现金流量净额,"-49,471,272.22","27,958,220.35","-56,431,195.43","2,563,891.88","1,588,948.08","297,845,831.02","-19,887,797.50","-106,561,047.62","-106,613,149.02","-126,167,018.70"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"72,637.89","214,999.17","135,308.33","318,301.91","344,136.30","96,318.07","2,848.83","31,302.73","171,285.68","491,680.85"
收到其他与投资活动有关的现金,"9,693,000.00","22,883,000.00","4,405,000.00","5,700,000.00","5,700,000.00","6,571,400.00","1,700,000.00","1,870,000.00","2,620,000.00","7,165,089.17"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"10,101,196.00","23,067,814.43","4,566,120.00","5,720,000.00","5,720,000.00","6,709,680.72","1,806,007.53","1,976,007.53","4,504,778.59","7,784,892.48"
五、现金及现金等价物净增加额,"-86,767,090.79","61,834,295.96","-51,069,825.00","11,282,199.53","25,612,302.39","299,500,150.75","-50,786,779.73","-255,308,758.70","-263,581,963.08","-172,498,343.11"
购建固定资产、无形资产和其他长期资产支付的现金,"16,495,129.62","37,758,254.74","31,070,621.03","30,336,021.47","39,984,393.63","49,820,435.45","11,366,679.29","34,377,830.20","37,086,808.61","86,801,026.08"
期初现金及现金等价物余额,"105,686,944.06","18,919,853.27","80,754,149.23","29,684,324.23","29,684,324.23","29,684,324.23","329,184,474.98","330,215,260.97","330,215,260.97","329,184,474.98"
投资支付的现金,,,"10,000,000.00",,,,,,"24,957,765.20",
期末现金及现金等价物余额,"18,919,853.27","80,754,149.23","29,684,324.23","40,966,523.76","55,296,626.62","329,184,474.98","278,397,695.25","74,906,502.27","66,633,297.89","156,686,131.87"
