科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"241,266,992.33","292,770,031.03","449,061,283.04","108,135,293.69","239,910,837.88","380,310,552.54","521,336,292.66","108,811,932.69","245,668,322.89","390,482,885.28","523,165,333.65","113,228,688.84","255,051,365.92","419,308,061.95","585,557,288.82","123,137,734.99","293,834,488.70","455,396,868.02","749,402,070.41","139,613,828.86","368,309,372.41","575,178,003.70","855,857,611.92","192,762,383.34","574,017,183.53","798,351,585.31","1,106,824,908.59","218,635,383.91","589,054,343.51","820,159,642.53"
二、营业利润,"55,885,587.53","63,690,292.42","101,867,787.50","24,994,433.82","72,479,736.97","116,402,116.02","161,389,583.22","28,492,084.40","81,175,581.15","126,370,890.63","176,341,222.39","34,165,314.54","81,299,517.33","129,955,779.52","188,136,676.89","33,249,111.45","97,139,820.06","156,961,548.99","239,261,878.33","39,122,657.97","149,698,578.30","245,215,479.38","358,057,685.42","59,406,210.74","227,366,468.07","322,969,453.52","433,521,879.92","61,226,270.88","202,946,603.48","276,580,867.13"
减:营业成本,"102,469,698.43","139,190,858.05","205,419,765.69","46,953,569.37","91,664,192.44","157,711,345.46","219,932,658.02","49,150,547.94","107,246,266.69","175,221,237.87","222,711,505.18","50,597,276.88","110,880,780.66","193,512,580.09","263,291,764.35","61,058,997.63","133,923,861.39","202,923,180.03","333,681,731.65","69,219,452.99","160,419,114.68","238,590,881.07","361,472,500.32","97,237,119.72","267,119,123.97","361,957,860.48","509,133,841.72","122,008,452.88","304,295,401.23","418,066,666.61"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,465,396.07","3,116,010.80","6,842,735.35","1,540,434.71","3,951,659.72","5,928,842.21","8,566,729.74","1,819,222.21","4,001,381.21","6,285,849.77","9,259,312.20","1,881,488.77","4,676,252.60","7,461,805.47","12,475,604.90","1,920,049.82","5,241,570.03","7,313,550.87","15,197,525.63","1,858,948.23","6,448,266.19","9,889,991.13","16,286,328.24","4,228,233.62","13,465,501.75","16,311,298.56","26,057,315.10","5,092,638.24","11,696,289.56","14,915,188.41"
营业外收入,"17,025.30","333,335.98","337,992.44","138,900.00","145,112.94","228,446.25","391,383.09","173,068.56","10,390,235.19","10,608,132.82","10,828,209.17","269,847.21","7,258,352.42","8,076,319.05","8,478,655.07","216,666.63","933,333.26","1,357,209.89","1,643,376.35","216,666.63","677,777.75","977,527.36","1,412,788.00","873,513.86","1,712,227.85","2,072,674.07","2,559,052.32","1,104,774.48","1,749,812.46","2,366,572.86"
销售费用,"4,329,615.90","10,612,583.90","29,176,075.20","8,038,561.77","18,137,814.41","31,383,003.61","44,526,859.49","11,871,673.19","24,942,222.29","37,535,199.93","51,148,177.32","12,084,115.44","27,247,965.30","41,745,181.56","57,126,143.00","14,034,791.77","30,313,275.86","46,907,283.45","72,704,737.35","16,499,619.24","34,318,239.59","49,559,625.93","69,922,008.05","17,451,711.62","34,723,752.76","54,389,112.22","75,008,054.87","17,987,707.33","35,659,194.02","54,186,064.84"
减:营业外支出,"228,540.00","22,699.27","82,102.28","15,250.00","17,750.00","144,760.03","689,151.31","39,626.04","42,957.27","61,587.75","477,298.96","2,200.35","6,097.77","8,745.23","206,358.78","539,441.75","2,849,719.67","2,911,541.78","4,129,974.70","142,354.03","159,102.78","414,986.80","458,411.07","44,506.77","47,255.68","244,150.36","287,311.59","145,194.05","248,849.96","328,901.71"
管理费用,"46,285,265.98","52,621,019.37","72,219,897.38","18,215,351.10","45,561,190.43","61,616,493.28","83,196,690.24","20,062,364.59","39,557,877.99","61,472,839.98","84,542,502.59","20,792,191.81","42,943,534.00","67,386,683.65","94,020,818.21","22,197,405.19","44,069,596.99","68,581,381.79","96,517,551.91","21,400,675.43","43,332,519.85","65,921,218.87","92,134,929.23","20,706,066.53","44,655,069.08","67,374,445.33","90,475,447.60","24,704,833.48","52,230,041.76","80,842,682.38"
其中:非流动资产处置净损失,,"2,699.27",,,,,"194,189.71",,"23,457.27",,"71,540.00","2,200.35","6,097.77",,"177,788.92","536,144.31","2,691,188.40",,"2,783,356.61",,"16,744.40","88,447.64","124,220.72",,"38,664.42","48,530.95","91,692.18",,"64,596.77","64,596.77"
