科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"949,788,139.30","1,304,931,733.04","1,519,070,228.16","680,265,243.92","1,667,528,509.18","293,130,155.07","792,435,160.92","1,406,659,698.84","1,992,141,751.15","367,807,609.09","1,047,082,638.94","1,788,420,098.87","2,423,002,784.85","433,496,901.53","1,179,526,712.75","1,961,926,561.45","2,733,921,624.47","555,898,284.70","1,315,895,805.35","2,015,026,595.54","2,661,269,669.94","496,727,317.87","1,132,807,425.52","1,790,806,700.94","2,417,247,296.62","476,671,100.02","1,010,158,657.51","1,584,430,242.96"
二、营业利润,"70,053,676.05","122,709,167.63","170,837,063.59","67,909,084.83","159,615,361.27","24,923,534.85","71,428,309.44","120,482,502.42","180,967,896.70","30,990,284.14","90,370,266.99","187,177,706.96","225,110,624.26","40,928,920.11","110,229,018.15","207,802,945.69","283,678,614.65","43,758,920.12","131,854,922.28","217,985,993.40","273,867,066.54","45,209,683.17","109,755,026.09","162,536,910.53","186,185,573.23","19,018,967.74","30,281,289.03","48,728,121.84"
减:营业成本,"769,979,288.60","1,017,483,326.48","1,162,533,555.99","507,799,356.37","1,269,523,118.21","216,468,938.66","597,661,538.01","1,084,607,616.26","1,504,333,936.74","261,151,287.95","771,629,064.33","1,293,780,704.64","1,770,683,316.17","308,783,731.18","847,163,385.05","1,398,693,076.97","1,955,228,008.02","409,312,893.84","928,848,587.69","1,407,616,159.36","1,850,497,903.97","330,452,464.21","758,732,351.53","1,210,796,188.38","1,655,961,962.67","336,831,579.12","717,829,532.72","1,117,287,863.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,807,064.73","5,269,308.43","6,543,628.79","3,322,049.38","7,949,468.60","2,042,760.05","5,460,049.26","8,420,726.90","11,678,966.59","3,178,064.40","8,840,045.36","11,762,871.27","14,181,613.91","3,953,787.48","8,251,115.36","12,235,528.39","17,842,523.75","2,708,265.02","7,857,020.55","12,409,455.67","18,596,856.49","3,594,100.38","11,574,050.28","14,420,686.09","18,491,088.32","4,812,449.40","8,382,986.26","12,714,552.13"
营业外收入,"2,466,151.71","4,555,162.94","1,949,759.91","1,421,375.00","3,653,477.43","628,262.35","1,439,711.36","3,903,797.00","5,479,045.60","1,147,876.81","1,627,358.28","4,273,574.16","5,241,075.84","657,364.74","1,452,604.69","2,322,589.17","7,619,598.10","1,591,899.36","2,350,332.20","4,122,514.47","9,650,327.58","1,218,230.79","2,016,993.59","3,625,307.87","8,293,605.04","1,374,068.06","2,721,983.55","6,124,126.71"
销售费用,"54,421,092.14","91,578,697.93","104,056,159.06","49,447,072.26","105,554,905.16","32,392,491.74","72,997,764.43","121,760,341.64","166,757,798.56","43,849,851.55","105,642,673.18","177,854,995.35","232,472,976.66","52,215,511.23","137,597,313.50","213,530,169.94","278,954,111.76","61,535,115.12","143,618,733.94","219,896,835.02","290,194,036.93","72,297,215.40","149,281,866.77","237,921,535.89","323,995,068.32","74,600,192.35","152,543,469.92","232,674,248.01"
减:营业外支出,"365,841.99","767,498.45","2,345,112.83","207,478.94","1,749,224.51","96,013.25","1,163,626.23","1,538,503.51","2,361,017.63","30,821.38","462,213.10","1,148,992.53","2,363,825.26","243,241.65","549,210.23","1,631,961.76","2,856,809.16","378,151.68","751,516.66","4,466,782.26","4,598,451.56","375,899.06","1,254,240.16","1,604,935.06","2,599,700.51","243,766.63","796,246.84","1,830,303.62"
管理费用,"46,349,482.39","60,031,084.16","67,256,889.75","42,638,263.13","110,366,281.16","24,605,041.91","54,388,686.84","95,071,605.01","143,827,482.83","32,908,815.21","73,212,894.29","127,045,645.59","177,030,719.84","37,190,594.11","82,301,523.11","132,821,667.21","194,829,691.23","46,427,650.48","104,754,221.86","154,125,498.93","214,035,758.52","49,397,692.14","99,963,884.42","155,138,037.85","215,924,491.95","45,901,133.50","98,718,266.21","161,314,758.52"
其中:非流动资产处置净损失,,"505,277.84","325,427.40","74,098.96","80,898.96",,"84,020.18","96,407.67","107,798.02",,"10,918.62","52,143.97","128,239.62","56,484.47","5,978.17","59,995.39","237,551.53","102,736.91","122,627.09","268,096.45","300,129.27","21,221.31","21,221.31","67,182.49","108,540.46","4,609.40","18,788.77","46,493.01"
