科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"68,837,432.99","64,463,363.75","209,726,472.34","216,574,509.81","219,298,236.59","230,208,506.99","247,522,344.10","237,440,513.65","228,048,686.81","260,643,172.76","272,389,143.46","270,396,919.45","265,812,402.40","278,829,519.46","296,183,647.67","298,904,244.09","306,668,382.42","234,793,819.08","247,726,796.12","271,611,320.86","264,919,382.08","262,692,233.57","285,128,009.01","291,100,501.91","276,318,877.86","291,271,142.14","290,316,308.30","279,698,843.82","309,046,900.73","1,250,861,081.36","378,176,824.27","425,071,319.11","586,771,145.96","789,635,938.26","1,084,659,328.73","2,486,997,484.60","2,419,233,923.76","2,716,046,229.12","3,554,091,746.21","3,365,926,054.05","2,700,038,788.33","3,091,065,014.66","3,594,381,127.23","3,302,357,694.64","2,440,437,853.23","2,006,817,167.57","3,482,843,345.27","3,897,120,861.17"
短期借款,"15,000,000.00","15,000,000.00","10,000,000.00","17,020,400.00","15,802,120.00","23,502,160.00","21,347,500.00","15,222,250.00","12,133,510.00","17,574,700.00","18,853,840.00","14,405,260.00","10,766,860.00","16,376,000.00","14,063,000.00","1,577,660.00",,"16,638,240.00","14,866,180.00","17,929,746.00","22,233,932.80","8,478,799.20","3,944,646.00","5,544,932.40","3,355,735.20","1,707,969.60","808,794.00","4,002,656.00","2,858,305.00","28,529,782.40","7,719,194.00","3,424,969.60","2,352,444.00","4,243,440.00","3,243,275.00","3,449,460.00","9,686,548.20","106,690,075.00","150,000,000.00","284,749,000.00","283,872,000.00","350,000,000.00","334,240,000.00","554,240,000.00","901,040,000.00","901,040,000.00","516,800,000.00","496,800,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,734,174.01",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,760,000.00","1,760,000.00","1,760,000.00","1,760,000.00","2,108,450.00","2,108,450.00","14,163,150.00","6,177,450.00",,,,,,,,,,
应收票据,,,"60,502.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,072,108.00","127,000,000.00","60,000,000.00",,"30,000,000.00","112,600,000.00","107,600,000.00","28,400,000.00",,,,,,,,
应收账款,"12,674,931.82","15,999,307.42","8,619,749.25","14,270,781.99","11,671,923.04","14,990,822.67","9,304,401.51","13,623,247.18","15,724,082.15","14,109,490.89","15,303,085.21","16,385,706.43","20,823,625.40","23,583,962.31","25,388,054.15","19,374,324.26","13,294,101.69","29,341,844.82","30,849,856.34","34,501,653.94","38,620,561.98","47,971,110.62","36,236,068.06","38,775,481.57","42,243,088.67","33,153,888.63","38,387,475.46","46,952,586.99","38,823,517.24","90,974,832.34","87,407,845.75","116,855,222.93","116,617,547.53","115,135,059.78","123,214,493.66","138,955,222.65","132,368,244.72","150,744,639.40","366,431,335.04","638,722,990.96","556,077,555.11","628,727,819.18","470,818,722.30","709,166,081.31","607,150,619.02","634,173,822.12","620,552,755.95","536,329,190.00"
应付账款,"5,495,180.44","3,787,034.55","2,980,082.80","3,508,440.51","4,194,635.20","3,476,606.16","4,254,799.00","2,176,080.00","758,100.00",,"2,549,660.00","2,093,265.64",,"106,984.00","678,579.56","1,105,053.36","3,066,989.88","629,805.69","2,207,983.10","3,039,804.83","3,910,476.55","1,900,531.50","1,368,015.38","1,948,621.00","1,313,795.00","1,805,554.28","2,573,623.13","2,306,715.79","6,778,111.32","115,109,704.49","106,211,224.48","135,353,755.83","135,535,705.38","96,242,217.20","104,004,669.85","121,630,249.71","124,841,876.70","147,291,774.78","141,333,561.75","128,642,117.77","150,225,140.87","198,116,156.25","240,251,839.17","177,484,052.29","207,249,128.15",,"317,862,623.47",
预付款项,"97,617.31","101,049.48","269,539.61","336,115.27","233,271.33",,"472,064.17",,,,"492,783.19","570,088.53","748,467.40","465,351.24","1,119,686.44","517,258.31","609,370.05","726,562.43","1,102,725.78","1,699,158.70","3,508,313.46","1,079,173.72","1,403,550.09","1,471,425.34","922,081.93","1,073,918.22","1,180,026.01","8,224,835.96","5,746,212.80","7,994,460.30","29,062,619.75","38,885,608.51","40,052,812.74","20,636,610.96","39,837,127.59","44,822,639.41","45,230,106.85","51,637,995.81","52,314,652.87","35,318,863.14","45,907,720.44","43,290,396.61","38,009,342.31","56,219,680.84","75,822,559.49","52,028,026.23","72,496,312.70","59,694,858.76"
预收款项,,,"1,483,399.66",,,,"1,711,090.81",,,"6,292,077.50","1,796,499.98","3,053,730.80","3,687,006.65","7,647,504.45","1,487,591.04","2,101,460.23","2,225,961.56","2,310,793.82","969,036.67","7,376,295.14","928,732.27","3,571,071.50","6,142,772.76","4,565,571.05","6,465,578.60","4,497,851.54","938,905.02","4,122,358.26","3,936,799.19","38,218,852.22","36,566,832.55","39,513,723.51","36,301,468.19","35,666,961.47","40,869,642.50","40,372,636.76","38,015,540.55","52,200,359.54","33,002,806.29","44,479,877.14","27,170,026.42","47,738,421.72","19,910,020.76","29,751,160.54","42,565,898.35","94,513,674.81","94,772,922.04","60,550,913.01"
