科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"321,613,792.32","386,415,164.88","367,330,384.95","16,840,585.14","61,506,592.52","83,965,500.50","192,418,138.13","37,663,541.38","103,954,831.49","231,928,391.11","461,552,705.69","108,920,599.64","189,069,520.24","372,045,241.35","451,314,399.77","124,456,666.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"99,741,236.08","99,805,701.21","99,805,701.21",
收到的税费返还,"1,397,353.50","2,303,516.58","1,557,762.08",844.57,"13,801.44","577,499.36","800,023.41","203,455.60","534,655.52","3,593,073.87","3,791,021.34","1,750,523.08","2,515,164.22","4,379,220.31","6,148,665.63","367,991.81"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"5,000,000.00",,,
收到其他与经营活动有关的现金,"4,894,430.20","8,679,561.76","4,479,354.44","2,189,290.00","3,104,252.00","4,880,599.99","6,189,013.88","259,820.47",,"5,730,411.87","5,896,787.14","849,860.19","931,029.07","728,095.77","1,266,382.90","5,000.00"
投资活动现金流出小计,"35,413,127.62","49,463,622.81","50,368,932.30","2,038,063.73","3,975,062.49","35,887,509.01","71,253,934.92","9,372,347.52","25,638,581.65","64,104,190.79","69,093,226.66","106,436,258.77","149,954,757.26","169,486,357.77","305,180,101.21","20,963,780.28"
经营活动现金流入小计,"327,905,576.02","397,398,243.22","373,367,501.47","19,030,719.71","64,624,645.96","89,423,599.85","199,407,175.42","38,126,817.45","104,489,487.01","241,251,876.85","471,240,514.17","111,520,982.91","192,515,713.53","377,152,557.43","458,729,448.30","124,829,658.11"
投资活动产生的现金流量净额,"-35,050,412.95","-49,342,557.01","-50,184,458.63","-1,997,664.99","-3,757,348.51","-35,594,319.65","-69,756,487.23","-9,242,097.62","-25,474,874.70","-61,104,939.65","-43,436,133.51","-106,307,564.88","-149,643,269.05","-169,107,461.02","-304,185,541.37","-20,236,303.00"
购买商品、接受劳务支付的现金,"252,987,252.68","286,301,052.61","283,398,556.58","104,104,605.23","140,608,290.39","231,375,722.67","347,080,671.50","42,383,208.83","86,619,548.25","169,636,770.71","254,532,679.66","91,891,417.57","178,098,380.10","308,375,983.57","304,359,982.19","121,249,111.14"
吸收投资收到的现金,,,,,"166,252,000.00","173,552,000.00","164,913,352.48",,"34,855,000.00","32,859,500.00","27,959,500.00","350,000.00","350,000.00","350,000.00","503,710,322.57",
