科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"130,698,514.39","158,565,325.79","65,574,539.21","3,453,963.99","216,278,440.26","255,883,042.25","186,699,716.87","199,235,971.88","201,356,308.82","128,598,692.46","135,046,255.84","204,114,519.62","93,368,447.49","105,863,082.78","107,301,780.89","98,434,133.66","101,360,843.45","100,133,420.43","104,584,889.17","72,824,067.99","108,251,884.12","92,366,911.09","101,739,116.75"
短期借款,,,,,,,,,,,,"8,000,000.00","8,000,000.00","4,000,000.00",,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"13,007,395.59","29,049,047.23","67,170,555.29","80,395,264.41","88,845,703.88","17,783,165.80","17,087,177.98","24,306,583.95","23,780,284.38","17,424,630.91","41,556,130.47","40,273,609.87","42,972,625.11","26,511,242.82","59,089,023.36","54,633,910.68","63,338,847.55","47,832,882.94","54,949,043.89","55,111,884.59","54,405,159.93","49,602,069.21","52,376,537.15"
应付账款,"14,461,269.14","4,153,142.52","17,443,494.51","7,437,178.06","10,985,269.67","9,479,338.24","4,560,193.91","23,046,545.04","3,132,066.93","2,298,333.28","4,389,414.56","8,298,977.22","10,381,540.67","10,095,703.89","16,429,992.88","11,989,323.57","12,290,713.88","4,117,932.24","7,762,980.64","13,266,919.29",,"7,093,464.55",
预付款项,"2,539,121.03","3,506,357.15","9,041,581.68","9,317,007.72","4,407,196.27","1,217,166.31","2,843,129.74","997,653.98","1,552,024.50","597,345.12","2,119,517.82","3,157,786.13","3,603,987.98","2,947,455.09","3,694,420.71","3,230,541.74","3,260,069.89","3,973,494.57","5,784,426.71","7,830,840.34","7,458,196.47","4,686,637.90","8,060,079.69"
预收款项,"10,000.18","2,302,985.38","383,890.54","293,074.52","352,252.93","228,247.29","531,390.30","429,430.65","630,914.18","252,081.39","263,180.56","2,772,265.99","966,380.20","3,231,742.99","3,816,024.36","2,926,290.80","2,759,002.43","664,703.44","699,542.79","610,358.34","806,718.02","560,972.77","559,635.20"
其他应收款,"5,115,280.30","2,054,908.76","1,106,291.65","1,331,224.15","1,057,970.24","2,498,220.62","2,931,428.18","5,949,854.35","5,454,832.73","4,460,384.84","3,468,777.99","3,310,072.44","4,006,502.05","11,013,772.73","14,035,417.87","9,003,110.24","10,672,309.27","7,020,533.84","8,010,302.24","11,018,252.91","10,453,172.48","5,197,851.50","5,000,762.82"
应付职工薪酬,"7,661,734.66","11,849,294.28","5,311,811.26","3,495,765.57","614,168.62","1,160,484.35","6,504,349.65","4,390,358.69","1,252,264.31","9,008,746.03","4,834,962.17","5,061,308.33","1,741,792.70","9,925,905.31","9,187,527.11","5,873,526.22","2,047,883.52","9,838,767.52","6,114,795.15","6,193,714.72","6,358,336.01","15,874,293.24","10,462,835.01"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,299,833.56","4,589,251.25","3,634,039.74","1,241,414.77","2,670,969.70","1,490,267.04","2,057,384.96","3,468,189.77","3,310,925.06","3,380,786.29","5,616,181.39","6,513,483.06","5,859,919.55","1,444,747.86","3,124,100.68","2,629,498.36","3,212,170.92","1,535,084.07","181,536.15","802,791.38","1,437,684.06","2,070,074.13","1,950,609.38"
应收利息,"2,015,574.03","1,241,334.55","1,031,291.59","1,763,863.00","444,303.65","2,368,746.71","3,007,960.22","6,278,377.62","5,821,258.00","3,528,524.26","2,681,091.71","3,360,956.52","4,949,591.53","73,061.11","71,533.33",,,,,,,,
应付利息,,,,,,,,,,,,,,"5,848.33",,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,
存货,"3,840.00","4,420,286.12","1,995,957.75","5,052,923.04","3,088,942.30","2,054,234.38","4,427,954.59","2,250,297.06","5,101,918.59","5,996,602.63","12,763,872.25","7,863,781.99","8,818,220.95","3,375,265.84","4,661,811.32","4,661,811.32","2,061,320.75",,,"820,193.38",,"749,856.53","933,534.02"
其他应付款,"152,719.01","1,335,011.83","757,812.90","448,342.25","729,795.87","538,942.06","623,136.94","279,791.00","694,538.48","3,035,111.14","2,344,086.77","7,315,846.27","5,228,048.02","7,234,824.16","4,741,921.63","7,785,278.36","6,703,611.73","61,068,409.28","41,260,168.28","8,637,103.16","5,980,929.91","27,991,502.85","3,509,412.20"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"100,000,000.00","145,599,189.90","113,085,525.42","154,844,467.29","173,000,000.00","143,164,595.57","125,407,864.02","228,431,926.74","196,108,259.05","155,924,709.83","262,841,737.40","282,322,489.82","257,055,215.25","279,002,904.23","270,520,139.20","298,214,791.68","265,374,314.63","269,318,319.73","248,535,111.81","299,079,293.58","271,104,996.82"
其他流动负债,,,,,,,,,,,,,,"465,604.77","554,719.26","899,423.51","1,169,653.84",,"932,289.68","851,115.15","852,124.58","705,297.48","1,076,979.65"
流动资产合计,"153,379,725.34","198,837,259.60","245,920,217.17","246,913,436.21","427,208,082.02","436,649,043.36","389,997,367.58","382,183,334.41","368,474,491.04","389,038,106.96","393,743,905.13","418,005,436.40","420,561,112.51","432,106,370.19","445,909,202.73","448,966,411.87","451,213,530.11","457,175,123.46","438,702,976.64","416,923,558.94","429,103,524.81","451,682,619.81","439,215,027.25"
流动负债合计,"23,585,556.55","24,229,685.26","27,531,048.95","12,915,775.17","15,352,456.79","12,897,278.98","14,276,455.76","31,614,315.15","9,020,708.96","17,975,058.13","17,447,825.45","37,961,880.87","32,177,681.14","36,404,377.31","37,854,285.92","32,103,340.82","28,183,036.32","77,224,896.55","56,951,312.69","30,362,002.04","30,696,894.82","54,295,605.02","26,065,228.72"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"9,840,000.00","10,014,487.38","10,182,323.25","10,190,574.92","10,205,248.99","10,262,555.52","10,185,069.78","10,501,546.68","10,157,648.95","9,853,868.73","9,717,777.80","9,742,222.75","9,362,313.59"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,"13,757,349.90","13,533,365.64","13,309,381.38","13,085,397.12","12,861,412.86","12,637,428.60"
预计负债,,,,,,,,,,,,,,"20,932,159.81","20,932,159.81","51,000,694.44","52,073,487.35","34,850,267.72","39,683,967.08","62,146,312.47","62,482,250.99","22,082,641.01","27,322,519.21"
固定资产,"25,508,257.12","41,918,709.67","41,581,562.89","40,037,957.12","39,306,061.06","38,575,612.31","38,414,729.13","38,317,231.36","37,983,351.49","37,247,073.54","36,516,163.58","36,298,939.35","36,459,787.04","35,788,362.72","35,117,600.03","34,416,864.85","33,640,937.58","19,157,216.01","18,607,063.42","18,039,922.39","17,616,631.82","17,256,554.79","16,821,843.45"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,"1,915,035.60",,,,,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,"20,932,159.81","20,932,159.81","51,000,694.44","52,073,487.35","34,850,267.72","39,683,967.08","62,146,312.47","62,482,250.99","22,082,641.01","27,322,519.21"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"23,585,556.55","24,229,685.26","27,531,048.95","12,915,775.17","15,352,456.79","12,897,278.98","14,276,455.76","31,614,315.15","9,020,708.96","17,975,058.13","17,447,825.45","37,961,880.87","32,177,681.14","57,336,537.12","58,786,445.73","83,104,035.26","80,256,523.67","112,075,164.27","96,635,279.77","92,508,314.51","93,179,145.81","76,378,246.03","53,387,747.93"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","152,000,000.00","197,600,000.00","197,600,000.00","197,600,000.00","197,600,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"49,062,815.61","49,062,815.61","49,062,815.61","49,062,815.61","199,046,044.31","199,046,044.31","135,458,497.04","135,458,497.04","135,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","63,458,497.04","21,273,937.41","21,273,937.41","21,273,937.41","21,273,937.41"
无形资产,"123,533.33","136,365.74","57,218.84","37,112.06","27,058.67","17,005.28","6,951.89","23,388,530.82","23,134,924.50","22,528,999.38","21,921,966.22","22,275,330.19","22,129,632.61","23,150,373.80","22,177,606.49","20,754,168.61","19,899,317.95","19,095,484.11","18,584,162.01","17,706,665.85","18,783,375.74","17,715,788.80","16,819,136.93"
盈余公积,"4,763,130.96","11,300,721.25","15,862,684.12","15,862,684.12","15,862,684.12","19,595,786.57","19,595,786.57","19,595,786.57","19,595,786.57","22,216,871.77","22,216,871.77","22,216,871.77","22,216,871.77","23,093,746.90","23,093,746.90","23,093,746.90","23,093,746.90","23,093,746.90","23,093,746.90","23,093,746.90","23,093,746.90","27,122,139.00","27,122,139.00"
开发支出,,,,,,,,,"406,464.49","1,555,732.07","1,807,980.07","1,807,980.07","1,717,583.66",,,"539,633.96","1,110,429.28","1,389,176.00","1,563,887.32","3,004,790.36","5,634,032.27","5,102,185.49","5,250,116.66"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"42,868,178.62","101,706,491.23","136,764,157.04","151,069,681.73","157,877,463.18","164,362,079.04","175,287,897.48","171,480,306.54","179,231,901.57","188,367,711.66","201,917,400.33","202,326,882.78","210,599,441.99","196,238,710.97","206,926,090.31","188,392,092.72","192,996,550.23","165,474,344.35","162,528,182.73","147,334,339.55","160,660,665.04","186,549,812.70","194,141,457.28"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,,"58,909.18","53,386.45"
少数股东权益,,,,,,,"5,189,944.89","7,044,903.92","7,537,059.04","7,820,274.71","8,234,954.11","11,948,390.50","12,146,582.65","12,653,350.73","12,926,420.72","12,989,667.82","12,609,124.68","14,235,283.56","13,448,270.67","10,306,787.85","11,454,623.46","10,855,036.89","11,531,384.71"
递延所得税资产,"1,268,165.95","3,492,342.74","1,661,706.82","1,922,451.24","1,597,446.65","659,527.95","1,389,533.14","1,304,712.63","844,721.66","1,468,501.36","1,445,533.70","1,510,349.57","1,548,635.52","3,618,653.63","3,855,034.96","8,171,897.43","8,438,650.32","9,261,139.96","10,014,873.13","13,278,938.57","13,321,379.06","5,359,478.35","4,897,413.40"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"26,899,956.40","47,462,453.75","43,300,488.55","41,997,520.42","40,930,566.38","39,252,145.54","39,811,214.16","63,010,474.81","62,369,462.14","62,800,306.35","71,531,643.57","71,907,086.56","72,037,962.08","72,747,965.07","71,355,490.47","74,145,120.37","73,274,404.91","73,161,912.66","72,461,000.47","75,193,567.28","78,158,593.81","68,096,552.22","65,841,639.08"
所有者权益(或股东权益)合计,"156,694,125.19","222,070,028.09","261,689,656.77","275,995,181.46","452,786,191.61","463,003,909.92","415,532,125.98","413,579,494.07","421,823,244.22","433,863,355.18","447,827,723.25","451,950,642.09","460,421,393.45","447,517,798.14","458,478,247.47","440,007,496.98","444,231,411.35","418,261,871.85","414,528,697.34","399,608,811.71","414,082,972.81","443,400,926.00","451,668,918.40"
资产总计,"180,279,681.74","246,299,713.35","289,220,705.72","288,910,956.63","468,138,648.40","475,901,188.90","429,808,581.74","445,193,809.22","430,843,953.18","451,838,413.31","465,275,548.70","489,912,522.96","492,599,074.59","504,854,335.26","517,264,693.20","523,111,532.24","524,487,935.02","530,337,036.12","511,163,977.11","492,117,126.22","507,262,118.62","519,779,172.03","505,056,666.33"
负债和所有者(或股东权益)合计,"180,279,681.74","246,299,713.35","289,220,705.72","288,910,956.63","468,138,648.40","475,901,188.90","429,808,581.74","445,193,809.22","430,843,953.18","451,838,413.31","465,275,548.70","489,912,522.96","492,599,074.59","504,854,335.26","517,264,693.20","523,111,532.24","524,487,935.02","530,337,036.12","511,163,977.11","492,117,126.22","507,262,118.62","519,779,172.03","505,056,666.33"
