科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"12,416,200.98","45,995,107.08","39,751,650.07","22,784,546.15","512,878,322.25","450,601,924.53","412,031,765.66","388,547,538.78","348,464,530.74","301,346,179.72","309,697,712.77","290,182,392.81","263,229,501.89","248,750,941.88","287,568,144.71","275,225,698.31","199,231,144.18","98,642,490.45","84,859,912.90","79,030,758.25","104,952,210.59","72,782,550.94","88,689,426.18","68,179,288.60","100,388,998.79","169,186,798.58","206,265,594.59","142,350,442.30","123,945,739.99","127,801,765.26","251,540,115.45","241,260,301.54","298,915,567.15","384,154,993.66"
短期借款,"63,000,000.00","93,000,000.00","140,978,512.24","209,104,532.28","92,424,080.81","93,489,153.10","60,740,318.56","84,708,486.11","38,787,258.88","14,062,878.32","54,342,550.09","35,998,019.72",,,,"49,400,000.00",,,"5,856,265.72","46,006,377.93","52,103,754.22","12,597,436.14","25,690,977.32","18,695,872.68","20,351,480.75","30,057,585.82","66,950,531.35","61,028,800.10","66,358,967.89","123,408,954.74","251,500,113.90","265,988,268.95","409,410,590.60","376,248,457.34"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,766,890.09","1,540,000.00","5,760,000.00","5,500,000.00","6,946,000.00","10,602,000.00","42,817,268.30","41,362,320.61","35,615,024.98","20,700,000.00","88,821,769.26","78,844,000.00","62,837,241.63","61,526,267.82","52,509,685.49","51,046,760.13","49,716,472.17","71,254,767.82","118,318,725.26","98,772,462.44","93,805,151.06","64,037,527.63","85,548,082.34","51,551,966.58","99,259,880.83","78,670,107.44","151,088,900.65","124,124,150.38","122,848,767.99","132,534,364.18","274,108,809.62","299,125,196.74","332,756,851.91","207,886,016.01"
应付票据,"5,023,064.92",,,,,,,,,,,,"5,298,300.00","8,125,000.00","15,962,616.00","5,699,587.84","31,040,268.44","40,621,629.09","18,772,857.09","7,960,464.74","15,833,290.24","27,234,820.40","30,062,778.62","15,761,812.32","48,943,194.00","81,559,895.07","55,574,703.40","41,550,000.00","66,947,618.65","80,940,180.05","110,209,294.95","147,926,202.33","210,414,397.40","158,630,028.54"
应收账款,"97,515,032.45","89,766,001.14","102,938,529.97","157,703,976.77","180,619,294.08","197,100,913.82","247,270,031.34","262,414,230.27","193,999,549.47","212,375,738.57","130,484,007.45","128,049,825.89","132,781,195.68","143,552,741.79","119,540,213.86","120,393,249.04","174,810,542.81","186,087,840.96","155,444,099.59","165,885,041.82","168,649,928.99","208,981,634.93","209,689,925.14","244,205,914.27","211,503,743.48","333,496,661.56","322,099,647.52","359,353,642.99","435,340,523.89","514,038,526.99","512,067,972.71","472,221,086.67","602,380,562.08","725,941,236.24"
应付账款,"42,713,217.36","24,040,494.76","32,744,884.57","36,076,777.36","49,935,243.33","28,314,831.92","57,199,372.33","54,323,730.88","95,977,750.29","57,249,658.32","23,536,911.14","22,313,725.93","47,424,328.72","64,740,576.43","102,318,561.55","75,122,976.36","79,789,440.90","87,149,124.81","104,460,178.54","106,393,671.62","135,651,952.57","113,500,940.88","130,296,873.85","163,045,476.32","184,870,400.86","255,227,248.18","213,919,541.89","277,083,669.82","295,150,228.43","334,352,632.21","316,730,663.97","313,936,188.76","408,547,602.53","495,564,539.37"
预付款项,"22,262,866.95","17,575,002.15","13,555,266.55","38,069,198.92","42,171,296.49","78,881,297.35","44,250,436.26","41,987,081.34","49,898,430.44","78,996,734.82","79,470,850.96","84,476,552.41","81,076,822.39","91,524,772.05","36,967,263.32","38,891,570.54","41,887,974.19","32,115,435.23","25,499,513.34","19,118,853.03","26,098,358.21","25,552,559.80","21,000,567.95","22,535,691.14","23,467,126.83","52,299,330.31","16,195,047.28","38,308,779.26","15,328,279.90","26,383,677.24","10,122,513.52","10,636,172.14","17,202,001.85","10,456,376.26"
预收款项,"110,872.41","1,756,981.90","118,137.49","1,418,047.49","1,022,211.44","932,959.44","227,666.07","862,842.41","2,436,681.06","332,002.66","874,848.80","427,920.49","372,129.79","2,936,930.75","1,351,410.26","688,160.27","1,490,678.03","636,631.38","1,155,597.20","739,635.26","1,198,350.25","2,105,211.13","1,439,964.19","2,582,518.77","2,947,175.83","7,022,613.93","10,351,549.89","9,512,101.63","6,279,002.41","7,352,530.58","8,004,515.05","11,711,321.70","30,768,171.16","66,398,073.57"
